variables,secondhalfname,Data_ID,Numerator,Denominator,pop1,pop2,Type1,Type2,Category1,Category 2
Total population,Total population,total_population,1,ONE,indiv,residents,Number,count,Demographics,Age
# of children age 0-14,# of children age 0-14,number_of_children_age_0_14,2,ONE,indiv,residents,Number,count,Demographics,Age
% of pop that are children age 0-14,children age 0-14,percent_of_pop_that_are_children_age_0_14,2,1,indiv,residents,Percentage 1,percent_pop,Demographics,Age
# of youth age 15-24,# of youth age 15-24,number_of_youth_age_15_24,7+8,ONE,indiv,residents,Number,count,Demographics,Age
% of of pop that are youth age 15-24,youth age 15-24,percent_of_of_pop_that_are_youth_age_15_24,7+8,1,indiv,residents,Percentage 1,percent_pop,Demographics,Age
# of adults age 25-64,# of adults age 25-64,number_of_adults_age_25_64,9+10+11+12+13+14+15+16,ONE,indiv,residents,Number,count,Demographics,Age
% of pop that are adults age 25-64,adults age 25-64,percent_of_pop_that_are_adults_age_25_64,9+10+11+12+13+14+15+16,1,indiv,residents,Percentage 1,percent_pop,Demographics,Age
% of pop that are seniors 65+,seniors 65+,percent_of_pop_that_are_seniors_65,17,1,indiv,residents,Percentage 1,percent_pop,Demographics,Age
% of pop that are recent immigrants (arr. 2016-2021),recent immigrants (arr. 2016-2021),percent_of_pop_that_are_recent_immigrants_arr_2016_2021,1492,1483,indiv,residents,Percentage 2,percent_pop,Immigration,Immigration
% of pop that are immigrants,immigrants,percent_of_pop_that_are_immigrants,1485,1483,indiv,residents,Percentage 2,percent_pop,Immigration,Immigration
% of pop that are Indigenous,Indigenous,percent_of_pop_that_are_indigenous,1445,1444,indiv,residents,Percentage 2,percent_pop,Indigenous,Indigenous
% of Pop that are FN,First Nations,percent_of_pop_that_are_fn,1447,1444,indiv,residents,Percentage 2,percent_pop,Indigenous,Indigenous
% of Pop that are Metis,Metis,percent_of_pop_that_are_metis,1448,1444,indiv,residents,Percentage 2,percent_pop,Indigenous,Indigenous
% of Pop that are Inuit,Inuit,percent_of_pop_that_are_inuit,1449,1444,indiv,residents,Percentage 2,percent_pop,Indigenous,Indigenous
% of pop that are racialized,racialized,percent_of_pop_that_are_racialized,1640,1639,indiv,residents,Percentage 2,percent_pop,Demographics,Race
% of pop that are refugees,refugees,percent_of_pop_that_are_refugees,1630,1,indiv,residents,Percentage 2,percent_pop,Immigration,Immigration
% of immigrants that are refugees,refugees,percent_of_immigrants_that_are_refugees,1630,1625,indiv,immigrants,Percentage 2,percent_pop,Immigration,Immigration
% of renter households,renter households,percent_of_renter_households,299,297,households,households,Percentage 2,percent_pop,Housing,Tenure
% of pop with knowledge of neither English nor French,people with knowledge of neither English nor French,percent_of_pop_with_knowledge_of_neither_english_nor_french,429,425,indiv,residents,Percentage 2,percent_pop,Language,Knowledge of official languages
% of pop age 25-64 with no high school diploma or equivalent,people with no high school diploma or equivalent,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,2059,2058,indiv,residents aged 25-64,Percentage 2,percent_pop,Education,Education
% of pop living alone,living alone,percent_of_pop_living_alone,42,34,indiv,residents aged 25-64,Percentage 2,percent_pop,Family,Family composition
% of census families that are one-parent families,one-parent families,percent_of_census_families_that_are_one_parent_families,397,389,households,census families,Percentage 2,percent_pop,Family,Family composition
Unemployment rate,unemployed,unemployment_rate,1969,ONE,indiv,residents in the labour force,Percentage 1,percent_pop,Employment,Unemployment
Average after-tax income in 2020 among recipients ($),Average after-tax income in 2020 among recipients ($),average_after_tax_income_in_2020_among_recipients,65,ONE,indiv,residents,Average,Dollar,Income,individual after-tax income
Average market income in 2020 among recipients ($),Average market income in 2020 among recipients ($),average_market_income_in_2020_among_recipients,68,ONE,indiv,residents,Average,Dollar,Income,individual market income
Average after-tax income in 2019 among recipients ($),Average after-tax income in 2019 among recipients ($),average_after_tax_income_in_2019_among_recipients,143,ONE,indiv,residents,Average,Dollar,Income,individual after-tax income
