variables,secondhalfname,Data_ID,Numerator,Denominator,pop1,pop2,Type1,Type2,Category1,Category 2
Total population,Total population,total_population,1,ONE,indiv,residents,Number,count,Demographics,Age
# of youth age 15-24,# of youth age 15-24,number_of_youth_age_15_24,7+8,ONE,indiv,residents,Number,count,Demographics,Age
% of of pop that are youth age 15-24,youth age 15-24,percent_of_of_pop_that_are_youth_age_15_24,7+8,1,indiv,residents,Percentage 1,percent_pop,Demographics,Age
% of pop that are seniors 65+,seniors 65+,percent_of_pop_that_are_seniors_65,17,1,indiv,residents,Percentage 1,percent_pop,Demographics,Age
% of pop that are recent immigrants (arr. 2016-2021),recent immigrants (arr. 2016-2021),percent_of_pop_that_are_recent_immigrants_arr_2016_2021,1281,1272,indiv,residents,Percentage 2,percent_pop,Immigration,Immigration
% of pop that are immigrants,immigrants,percent_of_pop_that_are_immigrants,1274,1272,indiv,residents,Percentage 2,percent_pop,Immigration,Immigration
% of pop that are Indigenous,Indigenous,percent_of_pop_that_are_indigenous,1234,1233,indiv,residents,Percentage 2,percent_pop,Indigenous,Indigenous
% of Pop that are FN,First Nations,percent_of_pop_that_are_fn,1236,1233,indiv,residents,Percentage 2,percent_pop,Indigenous,Indigenous
% of Pop that are Metis,Metis,percent_of_pop_that_are_metis,1237,1233,indiv,residents,Percentage 2,percent_pop,Indigenous,Indigenous
% of Pop that are Inuit,Inuit,percent_of_pop_that_are_inuit,1238,1233,indiv,residents,Percentage 2,percent_pop,Indigenous,Indigenous
% of pop that are racialized,racialized,percent_of_pop_that_are_racialized,1429,1428,indiv,residents,Percentage 2,percent_pop,Demographics,Race
% of pop that are refugees,refugees,percent_of_pop_that_are_refugees,1419,1,indiv,residents,Percentage 2,percent_pop,Immigration,Immigration
% of immigrants that are refugees,refugees,percent_of_immigrants_that_are_refugees,1419,1414,indiv,immigrants,Percentage 2,percent_pop,Immigration,Immigration
% of pop with knowledge of neither English nor French,people with knowledge of neither English nor French,percent_of_pop_with_knowledge_of_neither_english_nor_french,218,214,indiv,residents,Percentage 2,percent_pop,Language,Knowledge of official languages
