variables,secondhalfname,Data_ID,Numerator,Denominator,pop1,pop2,Type1,Type2,Category1,Category 2
# of people who identify with a religion,people who identify with a religion,number_of_people_who_identify_with_a_religion,1906+1907+1923+1924+1925+1926+1927+1928,ONE,indiv,residents,Number,count,Demographics,Religion
# Buddhists,Buddhists,number_buddhists,1906,ONE,indiv,residents,Number,count,Demographics,Religion
# Christians,Christians,number_christians,1907,ONE,indiv,residents,Number,count,Demographics,Religion
# Hindus,Hindus,number_hindus,1923,ONE,indiv,residents,Number,count,Demographics,Religion
# Jewish,Jewish,number_jewish,1924,ONE,indiv,residents,Number,count,Demographics,Religion
# Muslims,Muslims,number_muslims,1925,ONE,indiv,residents,Number,count,Demographics,Religion
# Sikhs,Sikhs,number_sikhs,1926,ONE,indiv,residents,Number,count,Demographics,Religion
# Traditional (North American Indigenous) spirituality,Traditional (North American Indigenous) spirituality,number_traditional_north_american_indigenous_spirituality,1927,ONE,indiv,residents,Number,count,Demographics,Religion
# Other religions and spiritual traditions,Other religions and spiritual traditions,number_other_religions_and_spirital_traditions,1928,ONE,indiv,residents,Number,count,Demographics,Religion
# No religion and secular perspectives,No religion and secular perspectives,number_no_religion_and_secular_perspectives,1929,ONE,indiv,residents,Number,count,Demographics,Religion
% of people who identify with a religion,of people who identify with a religion,percent_of_people_who_identify_with_a_religion,1906+1907+1923+1924+1925+1926+1927+1928,1905,indiv,residents,Percentage 2,percent_pop,Demographics,Religion
% Buddhists,Buddhists,percent_buddhists,1906,1905,indiv,residents,Percentage 2,percent_pop,Demographics,Religion
% Christians,Christians,percent_christians,1907,1905,indiv,residents,Percentage 2,percent_pop,Demographics,Religion
% Hindus,Hindus,percent_hindus,1923,1905,indiv,residents,Percentage 2,percent_pop,Demographics,Religion
% Jewish,Jewish,percent_jewish,1924,1905,indiv,residents,Percentage 2,percent_pop,Demographics,Religion
% Muslims,Muslims,percent_muslims,1925,1905,indiv,residents,Percentage 2,percent_pop,Demographics,Religion
% Sikhs,Sikhs,percent_sikhs,1926,1905,indiv,residents,Percentage 2,percent_pop,Demographics,Religion
% Traditional (North American Indigenous) spirituality,Traditional (North American Indigenous) spirituality,percent_traditional_north_american_indigenous_spirituality,1927,1905,indiv,residents,Percentage 2,percent_pop,Demographics,Religion
% Other religions and spiritual traditions,Other religions and spiritual traditions,percent_other_religions_and_spirital_traditions,1928,1905,indiv,residents,Percentage 2,percent_pop,Demographics,Religion
% No religion and secular perspectives,No religion and secular perspectives,percent_no_religion_and_secular_perspectives,1929,1905,indiv,residents,Percentage 2,percent_pop,Demographics,Religion
# of people 0-5 in low-income based on LIM-AT,in low-income based on LIM-AT,number_of_people_0_5_in_low_income_based_on_lim_at,173,ONE,indiv,residents,Number,count,Income,LIM-AT
% of people 0-5 in low-income based on LIM-AT,in low-income based on LIM-AT,percent_of_people_0_5_in_low_income_based_on_lim_at,173,168,indiv,residents,Percentage 2,percent_pop,Income,LIM-AT
Gini index on adjusted household after-tax income,Gini index,gini_index_on_adjusted_household_after_tax_income,212,ONE,households,households,Number,Index,Income,Income inequality
# of people with English as a language most spoken at home,people with English as a language most spoken at home,number_of_people_with_english_as_a_language_most_spoken_at_home,780+1103+1104+1106,ONE,indiv,residents,Number,count,Language,Knowledge of official languages
% of people with English as a language most spoken at home,people with English as a language most spoken at home,percent_of_people_with_english_as_a_language_most_spoken_at_home,780+1103+1104+1106,777,indiv,residents,Percentage 2,percent_pop,Language,Knowledge of official languages
# of people with knowledge of both English and French,people with knowledge of both English and French,number_of_people_with_knowledge_of_both_english_and_french,428,ONE,indiv,residents,Number,count,Language,Knowledge of official languages
% of people with knowledge of both English and French,people with knowledge of both English and French,percent_of_people_with_knowledge_of_both_english_and_french,428,425,indiv,residents,Percentage 3,percent_pop,Language,Knowledge of official languages
# of children under 18 years eligible for instruction in the minority official language,children under 18 years eligible for instruction in the minority official language,number_of_children_under_18_eligible_for_instruction_in_minority_official_language,2595,ONE,indiv,residents,Number,count,Language,Eligibility for instruction in the minority official language
% of children under 18 years eligible for instruction in the minority official language,children under 18 years eligible for instruction in the minority official language,percent_of_children_under_18_eligible_for_instruction_in_minority_official_language,2595,2594,indiv,residents,Percentage 2,percent_pop,Language,Eligibility for instruction in the minority official language
