ons_ID,walkscore_mean,bikescore_mean,food_convenience_dist_closest_3_popwt,food_fastfood_dist_closest_3_popwt,food_grocery_dist_closest_3_popwt,food_resto_dist_closest_3_popwt,food_specialty_dist_closest_3_popwt,food_convenience_num_per_1000_res_plus_buffer,food_fastfood_num_per_1000_res_plus_buffer,food_grocery_num_per_1000_res_plus_buffer,food_resto_num_per_1000_res_plus_buffer,food_specialty_num_per_1000_res_plus_buffer,crime_person_total_per_1000pop_plus_50m_buffer,crime_property_total_per_1000pop_plus_50m_buffer,crime_other_total_per_1000pop_plus_50m_buffer,crime_total_per_1000pop_plus_50m_buffer,percent_attached,percent_uncertaintly_attached,food_convenience_pct_within_15_mins,food_fastfood_pct_within_15_mins,food_grocery_pct_within_15_mins,food_resto_pct_within_15_mins,food_specialty_pct_within_15_mins
0,32.77221968,65.2483527,1.642,1.265,2.606,1.41,2.359,0.353,1.522,0.127,1.053,0.284,7.496154621,28.64205297,6.094618435,42.23282602,84.4,15.6,0.771,0.812,0.543,0.753,0.554
3001,12.765625,57.4375,1.55,1.579,2.937,2.189,3.96,6.349,44.444,3.175,25.397,0,44.44444444,234.9206349,57.14285714,336.5079365,NA,NA,0.616,0.616,0,0,0
3002,36.78,77.97,1.205,0.866,1.415,1.233,1.102,0.386,3.348,0.129,1.288,0.644,8.886027044,28.46104314,1.93174501,39.2788152,86.3,13.7,0.723,0.798,0.559,0.55,0.721
3003,35.54,80.01,0.815,0.536,2.349,0.931,0.667,0.488,2.72,0,0.349,0.697,8.647140865,23.43096234,2.928870293,35.0069735,77.8,22.2,0.999,1,0.178,0.993,1
3004,51.56,65.4,1.146,0.568,1.334,0.762,1.657,0.646,3.486,0.129,0.904,0.129,12.65332473,50.6132989,6.455777921,69.72240155,80,20,0.992,1,0.948,1,0.644
3005,28.96,72.47,1.307,1.107,2.318,1.028,1.631,0.299,0.15,0,0.299,0.15,3.293413174,11.9760479,1.347305389,16.61676647,84.9,15.1,0.95,0.991,0.424,0.98,0.74
3006,63.4,78.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
3007,33.79,54.11,0.854,0.777,1.655,0.793,0.98,1.149,2.874,0.383,3.065,0.958,6.130268199,38.69731801,3.0651341,47.89272031,86.1,13.9,0.924,0.939,0.593,0.953,0.901
3008,26.12,58.08,1.297,0.744,1.857,0.875,1.39,0.462,2.079,0.231,1.386,0.231,8.083140878,18.93764434,2.771362587,29.79214781,83.4,16.6,0.839,0.94,1,0.928,0.384
3009,57.27,85.45,0.687,0.504,0.922,0.593,0.688,1.154,6.101,0.66,2.143,1.319,19.45589448,91.34377576,6.760098928,117.5597692,78.5,21.5,1,1,0.966,1,1
3010,33.32,51.35,1.537,0.774,3.174,1.651,2.682,0.242,0.606,0.121,0.242,0.121,8.721986675,15.50575409,6.420351302,30.64809207,89.3,10.7,0.931,0.939,0.839,0.939,0.838
3011,49.8,65.26,1.069,0.85,1.527,1.255,1.774,0.657,0.767,0.219,0.329,0.11,5.47645126,18.83899233,1.533406353,25.84884995,84.7,15.3,1,0.977,0.872,0.951,0.302
3012,26.23,70.01,1.05,0.779,1.153,0.954,1.313,0.351,1.17,0.234,0.585,0.117,8.771929825,25.61403509,1.637426901,36.02339181,85.1,14.9,0.984,0.984,0.71,0.761,0.47
3013,24.41,79.15,1.091,0.746,1.458,0.933,1.274,0.22,0.55,0,0.22,0,5.173362686,81.34287287,1.651073198,88.16730875,82.8,17.2,0.989,0.984,0.717,0.872,0.581
3014,18.45,60.3,1.54,1.337,1.723,1.335,2.766,0.116,0.271,0.077,0.194,0,2.942884802,7.976766699,0.696999032,11.61665053,87.2,12.8,0.901,0.808,0.494,0.529,0.043
3015,27.77,84.47,0.669,0.426,1.15,0.63,0.693,1.167,2.1,0.233,1.05,0.583,15.05250875,35.70595099,4.317386231,55.07584597,80.7,19.3,1,1,0.899,1,1
3016,19.53,66.58,1.347,0.875,3.392,0.868,2.795,0.322,1.417,0.129,1.417,0.193,3.735909823,14.29951691,0.901771337,18.93719807,85.8,14.2,0.565,0.945,0.498,0.959,0.366
3017,29.6,65.69,1.975,0.985,2.62,1.323,2.745,0.154,0.615,0,0.154,0.077,3.458877786,11.60645657,1.614142967,16.67947733,88.7,11.3,0.736,0.919,0.468,0.857,0.33
3018,26.23,79.43,0.781,0.528,1.451,0.525,0.812,0.485,1.091,0.242,0.97,0.485,6.545454545,20.84848485,1.696969697,29.09090909,80.4,19.6,1,1,0.865,1,0.95
3019,26.16666667,86.5,NA,NA,NA,NA,NA,100,3000,0,500,0,2800,9800,600,13200,NA,NA,NA,NA,NA,NA,NA
3020,48.08,87.76,0.673,0.612,1.334,0.793,1.417,0.622,1.43,0.124,0.995,0.124,12.86913273,41.59154492,5.035747591,59.49642524,78.4,21.6,1,0.995,0.956,1,0.786
3021,5.36,29.84,5.9,4.143,10.586,4.07,4.477,0.468,1.247,0,0.624,0.468,3.585346843,15.58846454,0.467653936,19.64146532,90.6,9.4,0.202,0.243,0.003,0.321,0.259
3022,24.84,71.75,0.997,0.594,1.59,0.714,1.628,0.282,2.069,0.188,1.128,0.094,8.932769158,83.2157969,6.299952985,98.44851904,83.9,16.1,0.913,1,0.49,1,0.637
3023,21.68,77.97,1.17,0.732,2.629,0.863,1.81,0.216,1.728,0,0.54,0,6.155507559,72.57019438,1.61987041,80.34557235,84.2,15.8,0.88,1,0.08,1,0.271
3024,68.97,95.07,0.332,0.228,0.681,0.212,0.46,0.753,6.648,0.125,4.484,0.47,25.14894951,85.85763562,103.323926,214.3305111,76.4,23.6,1,1,1,1,1
3025,47.68,50,1.257,1.101,2.073,1.312,1.452,0.339,1.188,0,0.933,0.255,3.139584217,15.10394569,0.933389902,19.17691981,87.5,12.5,0.8,0.845,0.472,0.498,0.735
3026,21.34,43.03,2.773,2.383,3.356,2.66,2.836,0.139,1.317,0.139,0.416,0.347,3.882149047,16.70710572,0.831889081,21.42114385,89.9,10.1,0.25,0.38,0.018,0.074,0.074
3027,49.34,56.09,1.496,0.8,1.329,0.888,1.068,0.166,0.497,0.083,0.248,0.248,4.140786749,12.50517598,0.745341615,17.39130435,83.7,16.3,0.737,0.946,0.844,0.891,0.788
3028,37.84,69.66,1.012,0.573,1.42,0.713,1.071,0.903,6.622,0.15,2.558,1.354,11.88863807,132.4303988,4.514672686,148.8337096,79.1,20.9,1,1,0.635,1,0.949
3029,51.62,88.23,0.949,0.539,1.585,0.648,0.704,0.174,0.868,0,0.174,0.347,14.75694444,29.16666667,2.951388889,46.875,83.1,16.9,1,1,0.377,1,0.985
3030,20.48314607,62.6741573,NA,NA,NA,NA,NA,250,1550,0,950,50,1500,11250,400,13150,NA,NA,NA,NA,NA,NA,NA
3031,6.19,36.46,3.231,2.144,19.841,5.598,15.119,0.873,0.873,0,0.437,0.437,5.240174672,10.04366812,0.873362445,16.15720524,90.8,9.2,0.491,0.491,0,0.113,0.375
3032,37.6,61.3,1.14,0.715,1.58,1.344,1.814,0.339,1.49,0.068,1.016,0.068,5.010155721,18.82193636,1.218686527,25.05077861,88.3,11.7,0.793,1,0.792,0.635,0.378
3033,0.24,28.52,9.273,9.016,13.429,9.487,10.165,0,0,0,0,0,4.98687664,7.874015748,1.312335958,14.17322835,91,9,0.011,0.011,0,0,0
3034,21.04,74.05,1.193,0.971,2.859,1.268,1.615,0.228,0.342,0,0.228,0.114,4.908675799,14.38356164,3.196347032,22.48858447,84.7,15.3,0.903,0.903,0.197,0.539,0.236
3035,24.71,74.18,1.315,0.928,1.518,1.197,2.132,0.482,2.769,0.361,1.204,0,7.947019868,33.59422035,1.806140879,43.3473811,83.6,16.4,0.9,1,0.594,0.649,0.147
3036,10.48,63.72,1.704,1.745,3.8,0.951,2.186,0.254,0,0,0.761,0,2.791878173,10.15228426,0.76142132,13.70558376,86.6,13.4,0.848,0.126,0.084,0.932,0.084
3037,2.13,22.89,3.329,3.047,4.427,3.238,3.888,0.217,0.217,0,0.217,0.217,4.130434783,8.47826087,1.304347826,13.91304348,91.3,8.7,0.109,0.109,0.021,0.114,0.089
3038,1.66,28.81,6.458,7.036,11.057,5.148,11.438,0.354,0,0,0.531,0,3.183023873,9.549071618,0.530503979,13.26259947,89.9,10.1,0.133,0.041,0.02,0.154,0
3039,0.74,26.62,5.496,5.596,9.692,5.62,9.825,0.656,0.656,0,1.311,0,5.901639344,28.85245902,1.639344262,36.39344262,85.4,14.6,0.034,0.092,0,0.103,0.002
3040,36.74,74.68,0.833,0.694,1.453,1.004,1.267,0.613,1.471,0.245,0.368,0.123,11.15879828,43.16370325,6.376456162,60.69895769,83.7,16.3,0.962,0.972,0.678,0.962,0.927
3041,56.08,72.16,0.694,0.748,1.117,0.803,1.019,0.862,2.414,0.345,0.517,1.034,8.965517241,33.62068966,2.068965517,44.65517241,80.2,19.8,1,0.96,0.77,0.986,0.735
3042,31.75,83.5,NA,NA,NA,NA,NA,0,300,0,0,100,5400,8100,1500,15000,NA,NA,NA,NA,NA,NA,NA
3043,31.79,61.87,1.404,0.968,1.968,1.149,1.8,0.278,1.11,0.056,0.278,0.056,4.05330372,11.54913937,0.888395336,16.49083842,88.7,11.3,0.704,0.867,0.426,0.87,0.384
3044,30.13,39.68,1.423,1.199,4.235,1.4,6.469,0.35,0.7,0.07,0.28,0,4.06162465,17.57703081,1.120448179,22.75910364,87.1,12.9,0.613,0.719,0.564,0.603,0
3045,38.49,68.89,1.104,0.72,1.138,0.749,1.192,1.323,5.954,1.103,4.41,0.441,13.00992282,75.41345094,3.74862183,92.17199559,82,18,0.911,1,0.673,1,0.905
3046,2.23,30.47,7.852,7.521,19.633,10.233,15.034,0.255,0.255,0,0,0,5.612244898,13.26530612,1.275510204,20.15306122,91.6,8.4,0.218,0.23,0.012,0.012,0.006
3047,48.85,94.98,0.63,0.415,0.791,0.39,0.618,0.442,1.622,0.295,3.244,0.663,8.993733874,55.14190933,10.46811648,74.60375968,83.1,16.9,1,1,0.911,1,1
3048,32.71,72.28,1.504,0.842,1.166,0.86,1.37,0.638,2.871,0.399,1.356,0.638,7.256778309,20.33492823,1.275917065,28.8676236,87,13,0.645,0.925,0.86,0.966,0.822
3049,11.9,35.15,3.929,5.014,8.113,3.339,11.52,0.471,0.189,0.094,0.566,0,3.204524034,15.83411876,0.754005655,19.79264844,91,9,0.174,0.151,0.101,0.239,0
3050,10.08,31.98,0.963,0.815,2.434,1.167,2.003,3.433,7.725,0,4.292,0,57.51072961,174.248927,60.08583691,291.8454936,NA,NA,0.77,0.844,0.364,0.709,0.271
3051,11.51,45.06,2.763,2.655,3.45,2.548,2.632,12.5,37.5,6.25,0,0,162.5,681.25,43.75,887.5,NA,NA,0,0,0,0,0
3052,49.34,76,0.945,0.811,2.301,1.601,1.776,0.162,0.324,0,0,0,7.455429498,15.88330632,2.106969206,25.44570502,84.1,15.9,1,1,0,0.772,0.581
3053,53.98,80.05,0.946,0.743,1.3,1.123,1.316,0.18,0.539,0,0.18,0,7.719928187,14.18312388,2.333931777,24.23698384,84.1,15.9,1,1,0.646,0.911,0.558
3054,62.04,71.66,0.866,0.569,1.443,0.957,1.34,0.294,1.618,0,0.441,0.147,12.20588235,56.02941176,5.441176471,73.67647059,75.8,24.2,0.99,1,0.879,0.993,0.831
3055,66.96,95.73,0.457,0.263,1.017,0.399,0.4,0.547,2.918,0.091,2.462,1.277,10.12311902,60.37391701,5.380756954,75.87779298,79.9,20.1,1,1,1,1,1
3056,36.73,70.12,0.985,0.942,3.465,1.699,1.353,0.353,0.353,0,0.118,0.118,5.526161082,17.04879483,1.646090535,24.22104644,83.4,16.6,0.981,0.994,0.001,0.718,0.973
3057,38.92753623,54.63768116,NA,NA,NA,NA,NA,120,380,0,200,80,1100,3680,1480,6260,NA,NA,NA,NA,NA,NA,NA
3058,33.26,74.14,0.864,0.521,2.408,0.759,0.925,0.848,2.884,0,1.018,0.679,10.51738762,30.02544529,2.374893978,42.91772689,79.6,20.4,1,1,0.192,1,1
3059,57.09,98.16,0.936,0.51,0.729,0.442,0.514,0.364,3.097,0.364,4.554,1.639,6.193078324,29.69034608,1.092896175,36.97632058,87.7,12.3,0.881,1,1,1,1
3060,22.39,61.4,1.781,1.182,2.299,1.641,1.96,0.201,1.554,0.1,1.003,0.351,3.309100025,20.25570318,1.052895463,24.61769867,86.1,13.9,0.432,0.683,0.313,0.309,0.363
3061,38.84,72.77,1.059,0.876,1.157,0.92,1.254,0.524,1.748,0.35,0.962,0.612,5.332167832,19.05594406,2.272727273,26.66083916,85.8,14.2,0.819,0.99,0.948,0.961,0.524
3062,0.6,29.12,8.613,10.476,17.857,10.242,8.875,0.376,0,0,0,0.376,2.631578947,7.142857143,0.37593985,10.15037594,91.7,8.3,0.04,0,0,0.018,0.005
3063,45.73,84,0.928,0.558,1.194,0.623,0.753,0.35,3.24,0.175,2.014,0.963,6.042031524,27.05779335,2.189141856,35.28896673,85.6,14.4,0.936,1,0.92,1,0.994
3064,49.33333333,94,NA,NA,NA,NA,NA,0,9.091,0,9.091,0,163.6363636,272.7272727,109.0909091,545.4545455,NA,NA,NA,NA,NA,NA,NA
3065,39.86,75.82,0.831,0.549,1.086,0.554,0.83,0.356,1.566,0.214,1.21,0.285,13.1007476,37.73584906,4.699181203,55.53577786,74.9,25.1,1,1,0.909,1,1
3066,22.5,65.47727273,1.432,0.967,2.806,1.215,1.83,0,0,0,0.314,0,4.081632653,13.81475667,1.25588697,19.1522763,84,16,0.332,1,0,1,0.104
