Data_ID,Non-official languages spoken most often at home,lang_count,ONS_ID
ID877,            Kabyle,0,3003
ID878,            Tamazight,0,3003
ID881,            Hausa,0,3003
ID882,            Mina,0,3003
ID883,          Coptic,0,3003
ID885,            Bilen,0,3003
ID886,            Oromo,0,3003
ID887,            Somali,220,3003
ID890,            Amharic,30,3003
ID891,            Arabic,855,3003
ID893,              Assyrian Neo-Aramaic,0,3003
ID894,              Chaldean Neo-Aramaic,0,3003
ID895,"              Aramaic, n.o.s.",0,3003
ID896,            Harari,0,3003
ID897,            Hebrew,0,3003
ID898,            Maltese,0,3003
ID899,            Tigrigna,60,3003
ID902,          Khmer (Cambodian),60,3003
ID903,          Vietnamese,175,3003
ID906,          Bikol,0,3003
ID907,"          Bisaya, n.o.s.",15,3003
ID908,          Cebuano,25,3003
ID909,          Fijian,0,3003
ID910,          Hiligaynon,0,3003
ID911,          Ilocano,25,3003
ID912,          Indonesian,0,3003
ID913,          Kankanaey,0,3003
ID914,          Kinaray-a,0,3003
ID916,            Merina,0,3003
ID917,"            Malagasy, n.o.s.",0,3003
ID918,          Malay,0,3003
ID919,"          Pampangan (Kapampangan, Pampango)",0,3003
ID920,          Pangasinan,0,3003
ID921,"          Tagalog (Pilipino, Filipino)",250,3003
ID922,          Waray-Waray,0,3003
ID925,          Haitian Creole,25,3003
ID926,          Jamaican English Creole,0,3003
ID927,          Krio,0,3003
ID928,          Morisyen,0,3003
ID929,          Sango,0,3003
ID930,"          Creole, n.o.s.",0,3003
ID933,          Kannada,0,3003
ID934,          Malayalam,0,3003
ID935,          Tamil,145,3003
ID936,          Telugu,50,3003
ID937,          Tulu,0,3003
ID939,        Georgian,0,3003
ID942,          Albanian,0,3003
ID943,          Armenian,0,3003
ID946,              Latvian,0,3003
ID947,              Lithuanian,0,3003
ID949,              Belarusian,0,3003
ID950,              Bulgarian,0,3003
ID951,              Czech,10,3003
ID952,              Macedonian,0,3003
ID953,              Polish,15,3003
ID954,              Russian,25,3003
ID955,              Rusyn,0,3003
ID956,              Serbo-Croatian,60,3003
ID957,                Bosnian,30,3003
ID958,                Croatian,0,3003
ID959,                Serbian,30,3003
ID960,"                Serbo-Croatian, n.i.e.",0,3003
ID961,              Slovak,0,3003
ID962,              Slovene (Slovenian),0,3003
ID963,              Ukrainian,0,3003
ID966,            Irish,0,3003
ID967,            Scottish Gaelic,0,3003
ID968,            Welsh,0,3003
ID971,            Frisian,0,3003
ID973,              German,0,3003
ID974,              Pennsylvania German,0,3003
ID975,              Swiss German,0,3003
ID976,              Yiddish,0,3003
ID978,              Afrikaans,0,3003
ID979,              Dutch,0,3003
ID980,"              Low German, n.o.s.",0,3003
ID981,              Low Saxon,0,3003
ID982,              Plautdietsch,0,3003
ID983,              Vlaams (Flemish),0,3003
ID985,              Danish,0,3003
ID986,              Icelandic,0,3003
ID987,              Norwegian,0,3003
ID988,              Swedish,0,3003
ID990,          Greek,0,3003
ID993,              Assamese,0,3003
ID994,              Bengali,85,3003
ID995,              Gujarati,120,3003
ID996,              Hindi,160,3003
ID997,              Kacchi,0,3003
ID998,              Kashmiri,0,3003
ID999,              Konkani,0,3003
ID1000,              Marathi,0,3003
ID1001,              Nepali,0,3003
ID1003,                Odia,0,3003
ID1004,"                Oriya, n.o.s.",0,3003
ID1005,              Punjabi (Panjabi),50,3003
ID1006,              Rohingya,0,3003
ID1007,              Sindhi,15,3003
ID1008,              Sinhala (Sinhalese),0,3003
ID1009,              Urdu,125,3003
ID1012,              Baluchi,0,3003
ID1013,              Kurdish,20,3003
ID1014,              Parsi,0,3003
ID1015,              Pashto,65,3003
ID1017,                Dari,65,3003
ID1018,                Iranian Persian,90,3003
ID1019,"                Persian (Farsi), n.o.s.",0,3003
ID1023,            Catalan,0,3003
ID1024,            Italian,20,3003
ID1025,            Portuguese,30,3003
ID1026,            Romanian,25,3003
ID1027,            Spanish,125,3003
ID1030,        Japanese,0,3003
ID1031,        Korean,0,3003
ID1032,        Mongolian,0,3003
ID1034,          Akan (Twi),0,3003
ID1035,          Bamanankan,0,3003
ID1036,          Edo,0,3003
ID1037,          Éwé,0,3003
ID1038,"          Fulah (Pular, Pulaar, Fulfulde)",0,3003
ID1039,          Ga,0,3003
ID1040,          Ganda,0,3003
ID1041,          Gikuyu,0,3003
ID1042,          Igbo,0,3003
ID1043,          Kinyarwanda (Rwanda),0,3003
ID1044,          Lingala,0,3003
ID1045,          Luba-Kasai,0,3003
ID1046,          Mòoré,0,3003
ID1047,          Mwani,0,3003
ID1048,          Ndebele,0,3003
ID1049,          Rundi (Kirundi),0,3003
ID1050,          Shona,0,3003
ID1051,          Soninke,0,3003
ID1053,          Swahili,0,3003
ID1054,          Wojenaka,0,3003
ID1055,          Wolof,0,3003
ID1056,          Yoruba,0,3003
ID1059,          Dinka,0,3003
ID1060,          Nuer,0,3003
ID1062,"          African, n.o.s.",0,3003
ID1064,          American Sign Language,0,3003
ID1065,          Quebec Sign Language,0,3003
ID1069,            Hakka,0,3003
ID1070,            Mandarin,105,3003
ID1071,            Min Dong,0,3003
ID1072,"            Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",10,3003
ID1073,            Wu (Shanghainese),0,3003
ID1074,            Yue (Cantonese),100,3003
ID1075,"            Chinese, n.o.s.",0,3003
ID1078,            Burmese,0,3003
ID1081,              S'gaw Karen,0,3003
ID1083,            Tibetan,0,3003
ID1087,          Lao,0,3003
ID1088,          Thai,0,3003
ID1091,          Azerbaijani,0,3003
ID1092,          Kazakh,0,3003
ID1093,          Turkish,35,3003
ID1094,          Uyghur,0,3003
ID1095,          Uzbek,0,3003
ID1098,          Estonian,0,3003
ID1099,          Finnish,0,3003
ID1100,          Hungarian,0,3003
ID877,            Kabyle,0,3013
ID878,            Tamazight,0,3013
ID881,            Hausa,0,3013
ID882,            Mina,0,3013
ID883,          Coptic,0,3013
ID885,            Bilen,0,3013
ID886,            Oromo,0,3013
ID887,            Somali,0,3013
ID890,            Amharic,0,3013
ID891,            Arabic,210,3013
ID893,              Assyrian Neo-Aramaic,0,3013
ID894,              Chaldean Neo-Aramaic,0,3013
ID895,"              Aramaic, n.o.s.",0,3013
ID896,            Harari,0,3013
ID897,            Hebrew,0,3013
ID898,            Maltese,0,3013
ID899,            Tigrigna,0,3013
ID902,          Khmer (Cambodian),0,3013
ID903,          Vietnamese,85,3013
ID906,          Bikol,0,3013
ID907,"          Bisaya, n.o.s.",0,3013
ID908,          Cebuano,0,3013
ID909,          Fijian,0,3013
ID910,          Hiligaynon,0,3013
ID911,          Ilocano,0,3013
ID912,          Indonesian,0,3013
ID913,          Kankanaey,0,3013
ID914,          Kinaray-a,0,3013
ID916,            Merina,0,3013
ID917,"            Malagasy, n.o.s.",0,3013
ID918,          Malay,0,3013
ID919,"          Pampangan (Kapampangan, Pampango)",0,3013
ID920,          Pangasinan,0,3013
ID921,"          Tagalog (Pilipino, Filipino)",30,3013
ID922,          Waray-Waray,0,3013
ID925,          Haitian Creole,0,3013
ID926,          Jamaican English Creole,0,3013
ID927,          Krio,0,3013
ID928,          Morisyen,0,3013
ID929,          Sango,0,3013
ID930,"          Creole, n.o.s.",0,3013
ID933,          Kannada,0,3013
ID934,          Malayalam,0,3013
ID935,          Tamil,0,3013
ID936,          Telugu,0,3013
ID937,          Tulu,0,3013
ID939,        Georgian,0,3013
ID942,          Albanian,0,3013
ID943,          Armenian,0,3013
ID946,              Latvian,0,3013
ID947,              Lithuanian,0,3013
ID949,              Belarusian,0,3013
ID950,              Bulgarian,0,3013
ID951,              Czech,0,3013
ID952,              Macedonian,0,3013
ID953,              Polish,30,3013
ID954,              Russian,0,3013
ID955,              Rusyn,0,3013
ID956,              Serbo-Croatian,0,3013
ID957,                Bosnian,0,3013
ID958,                Croatian,0,3013
ID959,                Serbian,0,3013
ID960,"                Serbo-Croatian, n.i.e.",0,3013
ID961,              Slovak,0,3013
ID962,              Slovene (Slovenian),0,3013
ID963,              Ukrainian,0,3013
ID966,            Irish,0,3013
ID967,            Scottish Gaelic,0,3013
ID968,            Welsh,0,3013
ID971,            Frisian,0,3013
ID973,              German,15,3013
ID974,              Pennsylvania German,0,3013
ID975,              Swiss German,0,3013
ID976,              Yiddish,0,3013
ID978,              Afrikaans,0,3013
ID979,              Dutch,0,3013
ID980,"              Low German, n.o.s.",0,3013
ID981,              Low Saxon,0,3013
ID982,              Plautdietsch,0,3013
ID983,              Vlaams (Flemish),0,3013
ID985,              Danish,0,3013
ID986,              Icelandic,0,3013
ID987,              Norwegian,0,3013
ID988,              Swedish,0,3013
ID990,          Greek,0,3013
ID993,              Assamese,0,3013
ID994,              Bengali,0,3013
ID995,              Gujarati,0,3013
ID996,              Hindi,65,3013
ID997,              Kacchi,0,3013
ID998,              Kashmiri,0,3013
ID999,              Konkani,0,3013
ID1000,              Marathi,0,3013
ID1001,              Nepali,0,3013
ID1003,                Odia,0,3013
ID1004,"                Oriya, n.o.s.",0,3013
ID1005,              Punjabi (Panjabi),30,3013
ID1006,              Rohingya,0,3013
ID1007,              Sindhi,0,3013
ID1008,              Sinhala (Sinhalese),0,3013
ID1009,              Urdu,15,3013
ID1012,              Baluchi,0,3013
ID1013,              Kurdish,0,3013
ID1014,              Parsi,0,3013
ID1015,              Pashto,0,3013
ID1017,                Dari,0,3013
ID1018,                Iranian Persian,10,3013
ID1019,"                Persian (Farsi), n.o.s.",0,3013
ID1023,            Catalan,0,3013
ID1024,            Italian,100,3013
ID1025,            Portuguese,15,3013
ID1026,            Romanian,0,3013
ID1027,            Spanish,25,3013
ID1030,        Japanese,0,3013
ID1031,        Korean,0,3013
ID1032,        Mongolian,0,3013
ID1034,          Akan (Twi),0,3013
ID1035,          Bamanankan,0,3013
ID1036,          Edo,0,3013
ID1037,          Éwé,0,3013
ID1038,"          Fulah (Pular, Pulaar, Fulfulde)",0,3013
ID1039,          Ga,0,3013
ID1040,          Ganda,0,3013
ID1041,          Gikuyu,0,3013
ID1042,          Igbo,0,3013
ID1043,          Kinyarwanda (Rwanda),0,3013
ID1044,          Lingala,0,3013
ID1045,          Luba-Kasai,0,3013
ID1046,          Mòoré,0,3013
ID1047,          Mwani,0,3013
ID1048,          Ndebele,0,3013
ID1049,          Rundi (Kirundi),0,3013
ID1050,          Shona,0,3013
ID1051,          Soninke,0,3013
ID1053,          Swahili,0,3013
ID1054,          Wojenaka,0,3013
ID1055,          Wolof,0,3013
ID1056,          Yoruba,0,3013
ID1059,          Dinka,0,3013
ID1060,          Nuer,0,3013
ID1062,"          African, n.o.s.",0,3013
ID1064,          American Sign Language,0,3013
ID1065,          Quebec Sign Language,0,3013
ID1069,            Hakka,0,3013
ID1070,            Mandarin,45,3013
ID1071,            Min Dong,0,3013
ID1072,"            Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",0,3013
ID1073,            Wu (Shanghainese),0,3013
ID1074,            Yue (Cantonese),45,3013
ID1075,"            Chinese, n.o.s.",0,3013
ID1078,            Burmese,0,3013
ID1081,              S'gaw Karen,0,3013
ID1083,            Tibetan,0,3013
ID1087,          Lao,0,3013
ID1088,          Thai,0,3013
ID1091,          Azerbaijani,0,3013
ID1092,          Kazakh,0,3013
ID1093,          Turkish,25,3013
