Var_Name_clean,Percent of people attached to a primary care physician,Percent of people uncertainly attached to a primary care physician,Number of crimes against the person,Number of property crimes,Number of other crimes,Number of total crimes,Number of crimes against the person per 1000 people (plus 50m buffer),Number of property crimes per 1000 people (plus 50m buffer),Number of other crimes per 1000 people (plus 50m buffer),Number of total crimes per 1000 people (plus 50m buffer),Mean walk score,Mean bike score,SES index rank order,SES index decile,SES index quintile,Percent tree canopy coverage,Percent of residential area covered in parkland,Pedestrian network density (km per km squared),Cycling network density (km per km squared),Trail network density (km per km squared),Number of residents within a 15-minute walk of a CHC,Percent of residents within a 15-minute walk of a CHC,Average distance to the nearest CHC (km),Total population (2021),Number of private dwellings,Number of households,Number of supermarkets,Number of supermarkets per 1000 people (plus 50m buffer),Average distance to closest three supermarkets (population-weighted),Percent of population within a 15-minute walk of a supermarket,Number of grocery stores (incl. supermarkets),Number of grocery stores (incl. supermarkets) per 1000 people (plus 50m buffer),"Average distance to closest three grocery stores (incl. supermarkets, population-weighted)",Percent of population within a 15-minute walk of a grocery store (incl. supermarkets),Number of convenience stores,Number of convenience stores per 1000 people (plus 50m buffer),Average distance to closest three convenience stores (population-weighted),Percent of population within a 15-minute walk of a convenience store,Number of fast food restaurants,Number of fast food restaurants per 1000 people (plus 50m buffer),Average distance to closest three fast food restaurants (population-weighted),Percent of population within a 15-minute walk of a fast food restaurant,Number of restaurants,Number of restaurants per 1000 people (plus 50m buffer),Average distance to closest three restaurants (population-weighted),Percent of population within a 15-minute walk of a restaurant,Number of specialty food stores,Number of specialty food stores per 1000 people (plus 50m buffer),Average distance to closest three specialty food stores (population-weighted),Percent of population within a 15-minute walk of a specialty food store,Number of mental health counselling services,Number of mental health counselling services per 1000 people (plus 50m buffer),Average distance to closest three mental health counselling services (population-weighted),Average distance to closest five mental health counselling services (population-weighted),Number of mental health services,Number of mental health services per 1000 people (plus 50m buffer),Average distance to closest mental health service (population-weighted),Average distance to closest three mental health services (population-weighted),Average distance to closest five mental health services (population-weighted),Number of support groups,Number of support groups per 1000 people (plus 50m buffer),Average distance to closest five support groups (population-weighted),Average distance to closest ten support groups (population-weighted),Number of cannabis stores,Number of cannabis stores per 1000 people (plus 50m buffer),Average distance to closest three cannabis stores (population-weighted),Percent of population within a 15-minute walk of a cannabis store,Number of moneylenders,Number of moneylenders per 1000 people (plus 50m buffer),Average distance to closest three moneylenders (population-weighted),Percent of population within a 15-minute walk of a moneylender
type 1,Percentage 1,Percentage 1,Count,Count,Count,Count,Rate,Rate,Rate,Rate,Average,Average,Rank,Rank,Rank,Percentage 1,Percentage 1,Rate,Rate,Rate,Count,Percentage 1,Average distance,Count,Count,Count,Count,Rate,Average distance,Percentage 2,Count,Rate,Average distance,Percentage 2,Count,Rate,Average distance,Percentage 2,Count,Rate,Average distance,Percentage 2,Count,Rate,Average distance,Percentage 2,Count,Rate,Average distance,Percentage 2,Count,Rate,Average distance,Average distance,Count,Rate,Average distance,Average distance,Average distance,Count,Rate,Average distance,Average distance,Count,Rate,Average distance,Percentage 2,Count,Rate,Average distance,Percentage 2
type 2,of population,of population,Number,Number,Number,Number,per 1000,per 1000,per 1000,per 1000,Average,Average,Rank order,Decile,Quintile,area coverage,area coverage,km per km2,km per km2,km per km2,Within 15 min,Within 15 min,to nearest,Number,Number,Number,Number,per 1000,to nearest 3,Within 15 min,Number,per 1000,to nearest 3,Within 15 min,Number,per 1000,to nearest 3,Within 15 min,Number,per 1000,to nearest 3,Within 15 min,Number,per 1000,to nearest 3,Within 15 min,Number,per 1000,to nearest 3,Within 15 min,Number,per 1000,to nearest 3,to nearest 5,Number,per 1000,to nearest 1,to nearest 3,to nearest 5,Number,per 1000,to nearest 5,to nearest 10,Number,per 1000,to nearest 3,Within 15 min,Number,per 1000,to nearest 3,Within 15 min
cat,Primary care attachment,Primary care attachment,Crime and safety,Crime and safety,Crime and safety,Crime and safety,Crime and safety,Crime and safety,Crime and safety,Crime and safety,Transportation,Transportation,SES index,SES index,SES index,Environment,Environment,Transport networks,Transport networks,Transport networks,CHC access,CHC access,CHC access,General demographics,General demographics,General demographics,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Mental health supports,Mental health supports,Mental health supports,Mental health supports,Mental health supports,Mental health supports,Mental health supports,Mental health supports,Mental health supports,Mental health supports,Mental health supports,Mental health supports,Mental health supports,Cannabis stores,Cannabis stores,Cannabis stores,Cannabis stores,Moneylenders,Moneylenders,Moneylenders,Moneylenders
Quintilable,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,yes,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no,yes,no
data_ID,percent_attached,percent_uncertaintly_attached,crime_person_total,crime_property_total,crime_other_total,crime_total,crime_person_total_per_1000pop_plus_50m_buffer,crime_property_total_per_1000pop_plus_50m_buffer,crime_other_total_per_1000pop_plus_50m_buffer,crime_total_per_1000pop_plus_50m_buffer,walkscore_mean,bikescore_mean,SES_Rank_order,SES_Deciles,SeS_Quintiles,Percent_coverage_tree canopy,Percent_coverage_parkland_residential,Pedestrian_Network_Density_km_per_km2,Cycling_Network_Density_km_per_km2,Trail_Network_Density_km_per_km2,Number_of_Residents_within_15_mins_chc,Residents_within_15_min_walk_%_chc,Average_distance_to_nearest_chc_km,pop2021_total,dwellings_priv_count,household_count,food_supermarket_num_region,food_supermarket_num_per_1000_res_plus_buffer,food_supermarket_dist_closest_3_popwt,food_supermarket_pct_within_15_mins,food_supermarketgrocery_num_region,food_supermarketgrocery_num_per_1000_res_plus_buffer,food_supermarketgrocery_dist_closest_3_popwt,food_supermarketgrocery_pct_within_15_mins,food_convenience_num_region,food_convenience_num_per_1000_res_plus_buffer,food_convenience_dist_closest_3_popwt,food_convenience_pct_within_15_mins,food_fastfood_num_region,food_fastfood_num_per_1000_res_plus_buffer,food_fastfood_dist_closest_3_popwt,food_fastfood_pct_within_15_mins,food_restaurant_num_region,food_restaurant_num_per_1000_res_plus_buffer,food_restaurant_dist_closest_3_popwt,food_restaurant_pct_within_15_mins,food_specialty_num_region,food_specialty_num_per_1000_res_plus_buffer,food_specialty_dist_closest_3_popwt,food_specialty_pct_within_15_mins,mh_counselling_num_region,mh_counselling_num_per_1000_res_plus_buffer,mh_counselling_dist_closest_3_popwt,mh_counselling_dist_closest_5_popwt,mh_services_num_region,mh_services_num_per_1000_res_plus_buffer,mh_services_dist_closest_1_popwt,mh_services_dist_closest_3_popwt,mh_services_dist_closest_5_popwt,mh_supportgroup_num_region,mh_supportgroup_num_per_1000_res_plus_buffer,mh_supportgroup_dist_closest_5_popwt,mh_supportgroup_dist_closest_10_popwt,cannabis_num_region,cannabis_num_per_1000_res_plus_buffer,cannabis_dist_closest_3_popwt,cannabis_pct_within_15_mins,moneylender_num_region,moneylender_num_per_1000_res_plus_buffer,moneylender_dist_closest_3_popwt,moneylender_pct_within_15_mins
0,84.4,15.6,7627,29132,6201,42960,7.496154621,28.64205297,6.094618435,42.23282602,32.77221968,65.2483527,NA,NA,NA,34.49,14.3,1.08,0.89,0.792071086,178107,17.50523367,7.39822,1017315,427115,407250,106,0.104,2.654,0.522,141,0.139,2.505,0.568,359,0.353,1.639,0.775,1575,1.548,1.264,0.815,1084,1.065,1.406,0.758,290,0.285,2.378,0.552,43,0.042,3.071,3.7,60,0.059,2.205,3.071,3.7,103,0.101,3.7,4.785,125,0.123,2.766,0.505,59,0.058,4.929,0.225
3001,NA,NA,13,70,18,101,NA,NA,NA,NA,12.765625,57.4375,84,8,4,27.66,16.26,0.54,1.09,0.55,0,0,4.61,315,130,125,1,NA,2.542,NA,1,NA,2.542,NA,2,NA,1.55,NA,14,NA,1.545,NA,8,NA,2.189,NA,0,NA,3.96,NA,0,NA,5.598,5.915,0,NA,4.718,5.598,5.915,0,NA,5.915,6.608,0,0,3.466,0,0,0,5.848,0
3002,86.3,13.7,49,184,10,243,8.886027044,28.46104314,1.93174501,39.2788152,36.78,77.97,14,2,1,34.02,18.35,5.79,2.82,2,1924,24.78,1.72,7765,3190,3055,0,0.129,1.567,0.548,0,0.129,1.415,0.559,1,0.386,1.205,0.723,22,3.606,0.86,0.798,3,1.288,1.233,0.55,4,0.644,1.102,0.721,0,0,0.863,1.073,1,0.129,0.633,0.863,1.073,3,0.386,1.073,1.382,3,0.515,1.521,0.458,2,0.644,1.339,0.556
3003,77.8,22.2,110,302,37,449,8.647140865,23.43096234,2.928870293,35.0069735,35.54,80.01,104,10,5,17.26,11.03,12.58,4.14,4.02,1053,7.34,2.43,14340,6000,5745,1,0.07,1.729,0.966,1,0.07,1.729,0.966,3,0.488,0.815,0.999,32,2.72,0.536,1,2,0.349,0.931,0.993,8,0.697,0.667,1,0,0,1.879,2.253,0,0,1.581,1.879,2.253,0,0,2.253,2.802,0,0,2.821,0,0,0,2.282,0.178
3004,80,20,95,386,48,529,12.65332473,50.6132989,6.455777921,69.72240155,51.56,65.4,89,9,5,18.95,10.26,6.47,4.77,1.24,1160,14.98,1.8,7745,3320,3220,1,0.129,1.398,0.948,1,0.129,1.323,0.948,4,0.646,1.146,0.992,26,3.615,0.568,1,6,0.775,0.803,1,1,0.129,1.657,0.644,0,0,1.716,2.218,0,0,0.771,1.716,2.218,1,0.129,2.218,2.954,2,0.258,1.275,1,1,0.129,2.706,0.176
3005,84.9,15.1,21,77,9,107,3.293413174,11.9760479,1.347305389,16.61676647,28.96,72.47,69,7,4,28.56,22.21,9.69,9.43,7.1,0,0,4.58,6680,2835,2785,0,0,2.319,0.424,0,0,2.19,0.424,2,0.299,1.302,0.95,1,0.15,1.107,0.991,2,0.299,1.028,0.98,1,0.15,1.592,0.74,0,0,3.942,4.077,0,0,3.868,3.942,4.077,0,0,4.077,5.096,0,0,2.618,0.108,0,0,4.144,0
3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.4,78.5,NA,NA,NA,41.67,0,0.99,1.9,0.58,NA,NA,NA,NA,0,10,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
3007,86.1,13.9,27,190,16,233,6.130268199,38.69731801,3.0651341,47.89272031,33.79,54.11,62,6,3,32.59,8.69,4.91,2.81,3.28,0,0,6.12,5220,2140,2095,3,0.575,1.362,0.775,3,0.575,1.362,0.775,5,1.149,0.854,0.924,15,2.874,0.777,0.939,15,3.065,0.793,0.953,4,0.958,0.98,0.901,0,0,1.208,2.077,1,0.192,0.786,1.208,2.077,3,0.575,2.077,3.921,2,0.383,1.28,0.673,2,0.383,2.603,0.81
3008,83.4,16.6,32,79,12,123,8.083140878,18.93764434,2.771362587,29.79214781,26.12,58.08,87,8,4,17.27,9.83,8.23,7.02,3.48,0,0,5.5,4330,1890,1845,1,0.231,1.758,1,1,0.231,1.758,1,2,0.462,1.297,0.839,8,2.079,0.744,0.94,6,1.386,0.875,0.928,1,0.231,1.39,0.384,0,0,1.025,1.91,0,0,0.914,1.025,1.91,0,0.462,1.91,3.64,1,0.231,1.388,0.671,0,0,3.027,0.001
3009,78.5,21.5,86,294,24,404,19.45589448,91.34377576,6.760098928,117.5597692,57.27,85.45,99,10,5,21.95,44.17,7.64,4.65,3.15,3412,56.26,1.37,6065,3325,2980,3,0.495,1.085,0.966,4,0.66,0.922,0.966,6,1.154,0.687,1,26,6.265,0.504,1,11,2.143,0.593,1,7,1.319,0.688,1,2,0.33,0.763,0.903,4,0.66,0.593,0.763,0.903,0,0,0.903,1.272,1,0.66,0.914,1,3,0.824,0.766,1
3010,89.3,10.7,38,121,8,167,8.721986675,15.50575409,6.420351302,30.64809207,33.32,51.35,66,7,4,35.02,9.78,7.13,4.56,4.35,0,0,6.17,8255,3230,3175,1,0.121,3.175,0.839,1,0.121,3.174,0.839,2,0.242,1.537,0.931,5,0.606,0.774,0.939,2,0.242,1.651,0.939,1,0.121,2.682,0.838,0,0,5.015,5.47,0,0,4.642,5.015,5.47,0,0,5.47,6.275,1,0.121,3.236,0.712,0,0,4.728,0
3011,84.7,15.3,43,109,10,162,5.47645126,18.83899233,1.533406353,25.84884995,49.8,65.26,76,7,4,43.58,45.5,4.44,3.9,5.81,0,0,4.84,9130,3285,3210,2,0.329,1.27,0.872,2,0.329,1.233,0.872,4,0.548,1.077,1,10,1.205,0.824,0.977,2,0.329,1.243,0.951,1,0.11,1.774,0.302,0,0,3.856,4.369,0,0,2.799,3.856,4.369,0,0,4.369,5.099,0,0,2.079,0.286,0,0,3.795,0.143
3012,85.1,14.9,34,94,10,138,8.771929825,25.61403509,1.637426901,36.02339181,26.23,70.01,65,6,3,21.9,14.42,7.3,4.66,2.27,2323,27.17,2.4,8550,3875,3765,2,0.234,1.174,0.71,2,0.234,1.153,0.71,1,0.351,1.05,0.984,7,1.17,0.779,0.984,5,0.585,0.954,0.761,1,0.117,1.313,0.47,0,0,1.146,1.34,0,0,0.96,1.146,1.34,2,0.234,1.34,1.691,0,0,1.536,0.578,0,0,1.553,0.473
3013,82.8,17.2,36,683,13,732,5.173362686,81.34287287,1.651073198,88.16730875,24.41,79.15,72,7,4,25.42,4.21,6.8,4.03,3.27,536,5.9,2.63,9085,4080,3910,0,0,1.524,0.694,0,0,1.428,0.725,2,0.22,1.091,0.989,4,0.55,0.746,0.984,1,0.22,0.933,0.872,0,0,1.274,0.581,0,0,1.01,1.146,2,0.22,0.862,1.01,1.146,2,0.22,1.146,1.412,0,0,1.651,0.548,1,0.11,1.698,0.487
3014,87.2,12.8,72,203,17,292,2.942884802,7.976766699,0.696999032,11.61665053,18.45,60.3,26,3,2,20.9,7.18,8.19,5.37,4.9,0,0,5.15,25825,9035,8930,0,0.039,2.133,0.165,1,0.077,1.758,0.473,3,0.116,1.54,0.901,3,0.271,1.337,0.808,4,0.194,1.344,0.529,0,0,3.141,0.04,0,0,2.927,3.308,0,0,1.927,2.927,3.308,1,0.039,3.308,3.958,0,0,2.963,0.144,0,0,4.09,0
3015,80.7,19.3,104,261,32,397,15.05250875,35.70595099,4.317386231,55.07584597,27.77,84.47,100,10,5,37.18,85.38,10.39,7.74,7.67,5733,66.9,1.28,8570,4645,4405,2,0.233,1.109,0.967,2,0.233,1.106,0.967,7,1.167,0.669,1,17,2.1,0.426,1,9,1.05,0.63,1,5,0.583,0.686,1,0,0,1.124,1.364,2,0.233,0.964,1.124,1.364,0,0,1.364,1.771,1,0.117,1.855,0.693,3,0.35,1.016,0.86
3016,85.8,14.2,58,220,13,291,3.735909823,14.29951691,0.901771337,18.93719807,19.53,66.58,31,3,2,13.98,14.57,5.57,3.98,2.5,0,0,8.67,15525,5040,4950,2,0.129,3.392,0.498,2,0.129,2.861,0.498,5,0.322,1.347,0.565,22,1.417,0.875,0.945,22,1.417,0.868,0.959,3,0.193,2.795,0.366,0,0,7.932,8.09,0,0,7.586,7.932,8.09,0,0,8.09,8.707,3,0.193,1.878,0.691,0,0,8.391,0
3017,88.7,11.3,40,128,16,184,3.458877786,11.60645657,1.614142967,16.67947733,29.6,65.69,15,2,1,19.36,11.74,2.76,3.51,2.03,0,0,4.76,13010,4640,4475,2,0.154,1.824,0.768,2,0.154,1.823,0.768,1,0.154,1.975,0.736,7,0.615,0.984,0.919,2,0.154,1.323,0.857,1,0.077,2.745,0.33,0,0,2.909,3.71,0,0,2.234,2.909,3.71,0,0,3.71,5.19,2,0.154,2.161,0.52,0,0,4.992,0
3018,80.4,19.6,45,153,14,212,6.545454545,20.84848485,1.696969697,29.09090909,26.23,79.43,94,9,5,27.22,16.76,6.87,4.37,2.91,0,0,3.09,8250,3895,3640,0,0,2.887,0,2,0.242,1.451,0.865,4,0.485,0.781,1,8,1.091,0.528,1,6,0.97,0.525,1,2,0.485,0.812,0.95,0,0,1.663,2.198,0,0,1.214,1.663,2.198,0,0.242,2.198,2.71,1,0.242,1.165,0.942,0,0,3.26,0
3019,NA,NA,26,93,6,125,NA,NA,NA,NA,26.16666667,86.5,NA,NA,NA,17.54,NA,8.62,12.69,12.1,0,0,2.67,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,30,NA,NA,NA,5,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,0,NA,NA
3020,78.4,21.6,199,621,80,900,12.86913273,41.59154492,5.035747591,59.49642524,48.08,87.76,98,9,5,20.41,9.13,10.92,4.48,3.2,8160,50.73,1.24,16085,7555,7120,1,0.062,1.718,0.443,2,0.124,1.337,0.956,8,0.622,0.673,1,18,1.43,0.612,0.995,10,0.995,0.793,1,2,0.124,1.417,0.786,2,0.124,0.727,0.913,2,0.124,0.594,0.727,0.913,2,0.124,0.913,1.259,1,0.062,1.462,0.74,0,0.062,2.492,0.249
