variables,Numerator,Denominator,Number or percentage,Category,ind or hh,VAR_ID
Total population,1,ONE,Number,Demographics,ind,VAR1
Number of seniors age 65+,17,ONE,Number,Demographics,ind,VAR3
Percent of pop that are seniors age 65+,17,1,Percentage 2,Demographics,ind,VAR2
Average age of the population,32,ONE,Average,Demographics,ind,VAR4
Median age of the population,33,ONE,Median,Demographics,ind,VAR5
Number of people living alone,42,ONE,Number,Family comp,ind,VAR8
Percent of people living alone,42,34,Percentage 2,Family comp,ind,VAR9
Number of after-tax income recipients age 15+,63,ONE,Number,Income/work,ind,VAR10
Average after-tax income in 2020 among recipients ($),65,ONE,Average,Income/work,ind,VAR11
Number of market income recipients age 15+,66,ONE,Number,Income/work,ind,VAR12
Average market income in 2020 among recipients ($),68,ONE,Average,Income/work,ind,VAR13
Percent of income from government transfers (2020),84,ONE,Percentage 1,Income/work,ind,VAR14
Average after-tax income in 2019 among recipients ($),143,ONE,Average,Income/work,ind,VAR15
Average market income in 2019 among recipients ($),146,ONE,Average,Income/work,ind,VAR16
Percent of income from government transfers (2019),159,ONE,Percentage 1,Income/work,ind,VAR17
Number of people 0-17 in low income based on LIM-AT,167,ONE,Number,Income/work,ind,VAR20
Percent of people 0-17 in low income based on LIM-AT,167,166,Percentage 2,Income/work,ind,VAR21
Number of people 18-64 in low income based on LIM-AT,169,ONE,Number,Income/work,ind,VAR22
Percent of people 18-64 in low income based on LIM-AT,169,166,Percentage 2,Income/work,ind,VAR23
Number of people 65+ in low-income based on LIM-AT,170,ONE,Number,Income/work,ind,VAR24
Percent of people 65+ in low-income based on LIM-AT,170,166,Percentage 2,Income/work,ind,VAR25
Number of people in low-income based on LIM-AT,171,ONE,Number,Income/work,ind,VAR18
Percent of people in low income based on LIM-AT,171,166,Percentage 2,Income/work,ind,VAR19
Number of people with knowledge of only French as an official language,216,ONE,Number,Language,ind,VAR49
Percent of people with knowledge of only French as an official language,216,214,Percentage 2,Language,ind,VAR50
Number of people who know neither English nor French,218,ONE,Number,Language,ind,VAR52
Percent of people who know neither English nor French,218,214,Percentage 2,Language,ind,VAR51
Percent of pop that are Indigenous,1234,1233,Percentage 2,Indigenous,ind,VAR53
Number of people who are Indigenous,1234,ONE,Number,Indigenous,ind,VAR54
Percent of Pop that are FN,1236,1233,Percentage 2,Indigenous,ind,VAR55
Number of people who are FN,1236,ONE,Number,Indigenous,ind,VAR56
Percent of Pop that are Metis,1237,1233,Percentage 2,Indigenous,ind,VAR57
Number of people who are Metis,1237,ONE,Number,Indigenous,ind,VAR58
Percent of Pop that are Inuit,1238,1233,Percentage 2,Indigenous,ind,VAR59
Number of people who are Inuit,1238,ONE,Number,Indigenous,ind,VAR60
Number of immigrants,1274,ONE,Number,Immigration,ind,VAR62
Percent of pop that are immigrants,1274,1272,Percentage 2,Immigration,ind,VAR61
Percent of pop that are recent immigrants (arr. 2016-2021),1281,1272,Percentage 2,Immigration,ind,VAR63
Number of recent immigrants (arr. 2016-2021),1281,ONE,Number,Immigration,ind,VAR64
Percent of pop that are refugees,1419,1,Percentage 2,Immigration,ind,VAR65
Percent of immigrants that are refugees,1419,1414,Percentage 2,Immigration,ind,VAR66
Number of refugees,1419,ONE,Number,Immigration,ind,VAR67
Percent of pop that are visible minority,1429,1428,Percentage 2,Demographics,ind,VAR68
Number of people who are visible minority,1429,ONE,Number,Demographics,ind,VAR69
Number of pop in labour force,1752,ONE,Number,Income/work,ind,VAR71
Percent of pop in labour force (participation rate),1752,1751,Percentage 2,Income/work,ind,VAR70
Number of pop unemployed,1754,ONE,Number,Income/work,ind,VAR73
Unemployment rate,1754,1752,Percentage 2,Income/work,ind,VAR72
Number of people age 25-64 with no high school diploma,1848,ONE,Number,Education,ind,VAR74
Percent of people age 25-64 with no high school diploma,1848,1847,Percentage 2,Education,ind,VAR75
Number of people age 25-64 with a high school diploma,1849,ONE,Number,Education,ind,VAR76
Percent of people age 25-64 with a high school diploma,1849,1847,Percentage 2,Education,ind,VAR77
"Number of people age 25-64 with a postsecondary degree, diploma, or certificate",1853,ONE,Number,Education,ind,VAR78
"Percent of people age 25-64 with a postsecondary degree, diploma, or certificate",1853,1850,Percentage 2,Education,ind,VAR79
Number of workers age 15+ who work at home,2353,ONE,Number,Income/work,ind,VAR80
Percent of workers age 15+ who work at home,2353,2352,Percentage 2,Income/work,ind,VAR81
Number of workers age 15+ who have no fixed workplace address,2355,ONE,Number,Income/work,ind,VAR82
Percent of workers age 15+ who have no fixed workplace address,2355,2352,Percentage 2,Income/work,ind,VAR83
"Number of workers age 15+ who commute by car, truck, or van",2363,ONE,Number,Commuting,ind,VAR84
"Percent of workers age 15+ who commute by car, truck, or van",2363,2362,Percentage 2,Commuting,ind,VAR85
Number of workers age 15+ who commute by public transit,2366,ONE,Number,Commuting,ind,VAR86
Percent of workers age 15+ who commute by public transit,2366,2362,Percentage 2,Commuting,ind,VAR87
Number of workers age 15+ who commute by walking,2367,ONE,Number,Commuting,ind,VAR88
Percent of workers age 15+ who commute by walking,2367,2362,Percentage 2,Commuting,ind,VAR89
Number of workers age 15+ who commute by bicycle,2368,ONE,Number,Commuting,ind,VAR90
Percent of workers age 15+ who commute by bicycle,2368,2362,Percentage 2,Commuting,ind,VAR91
Number of workers age 15+ who commute by other means,2369,ONE,Number,Commuting,ind,VAR92
