name,number_of_people_who_identify_with_a_religion,number_buddhists,number_christians,number_hindus,number_jewish,number_muslims,number_sikhs,number_traditional_north_american_indigenous_spirituality,number_other_religions_and_spiritual_traditions,number_no_religion_and_secular_perspectives,percent_of_people_who_identify_with_a_religion,percent_buddhists,percent_christians,percent_hindus,percent_jewish,percent_muslims,percent_sikhs,percent_traditional_north_american_indigenous_spirituality,percent_other_religions_and_spiritual_traditions,percent_no_religion_and_secular_perspectives,number_of_people_0_5_in_low_income_based_on_lim_at,percent_of_people_0_5_in_low_income_based_on_lim_at,gini_index_on_adjusted_household_after_tax_income,number_of_people_with_english_as_a_language_most_spoken_at_home,percent_of_people_with_english_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_both_english_and_french,percent_of_people_with_knowledge_of_both_english_and_french,number_of_children_under_18_years_eligible_for_instruction_in_the_minority_official_language,percent_of_children_under_18_years_eligible_for_instruction_in_the_minority_official_language,number_of_commuters_aged_15_leaving_for_work_between_5_a_m_and_5_59_a_m,number_of_commuters_aged_15_leaving_for_work_between_6_a_m_and_6_59_a_m,number_of_commuters_aged_15_leaving_for_work_between_7_a_m_and_7_59_a_m,number_of_commuters_aged_15_leaving_for_work_between_8_a_m_and_8_59_a_m,number_of_commuters_aged_15_leaving_for_work_between_9_a_m_and_11_59_a_m,number_of_commuters_aged_15_leaving_for_work_between_12_p_m_and_4_59_a_m,percent_of_commuters_aged_15_leaving_for_work_between_5_a_m_and_5_59_a_m,percent_of_commuters_aged_15_leaving_for_work_between_6_a_m_and_6_59_a_m,percent_of_commuters_aged_15_leaving_for_work_between_7_a_m_and_7_59_a_m,percent_of_commuters_aged_15_leaving_for_work_between_8_a_m_and_8_59_a_m,percent_of_commuters_aged_15_leaving_for_work_between_9_a_m_and_11_59_a_m,percent_of_commuters_aged_15_leaving_for_work_between_12_p_m_and_4_59_a_m,number_of_commuters_aged_15_who_commute_for_less_than_15_minutes,number_of_commuters_aged_15_who_commute_for_15_to_29_minutes,number_of_commuters_aged_15_who_commute_for_30_to_44_minutes,number_of_commuters_aged_15_who_commute_for_45_to_59_minutes,number_of_commuters_aged_15_who_commute_for_60_minutes_and_over,percent_of_commuters_aged_15_who_commute_for_less_than_15_minutes,percent_of_commuters_aged_15_who_commute_for_15_to_29_minutes,percent_of_commuters_aged_15_who_commute_for_30_to_44_minutes,percent_of_commuters_aged_15_who_commute_for_45_to_59_minutes,percent_of_commuters_aged_15_who_commute_for_60_minutes_and_over,number_of_commuters_aged_15_who_commute_within_ottawa,number_of_commuters_aged_15_who_commute_outside_of_ottawa_in_ontario,number_of_commuters_aged_15_who_commute_to_a_different_province_territory,percent_of_commuters_aged_15_who_commute_within_ottawa,percent_of_commuters_aged_15_who_commute_outside_of_ottawa_in_ontario,percent_of_commuters_aged_15_who_commute_to_a_different_province_territory,number_of_people_aged_25_64_with_no_high_school_diploma_or_equivalent,number_of_people_aged_25_64_with_a_high_school_diploma_or_equivalent,number_of_people_aged_25_64_with_a_postsecondary_certificate_diploma_or_degree,number_of_people_aged_25_64_with_an_apprencticeship_or_trades_certificate,number_of_people_aged_25_64_with_a_college_cegep_or_other_non_university_certificate_diploma,number_of_people_aged_25_64_with_a_university_certificate_below_bachelor_level,number_of_people_aged_25_64_with_a_bachelors_degree_or_higher,number_of_people_aged_25_64_with_a_bachelors_degree,number_of_people_aged_25_64_with_a_masters_degree,number_of_people_aged_25_64_with_a_doctorate,percent_of_people_aged_25_64_with_no_high_school_diploma_or_equivalent,percent_of_people_aged_25_64_with_a_high_school_diploma_or_equivalent,percent_of_people_aged_25_64_with_a_postsecondary_certificate_diploma_or_degree,percent_of_people_aged_25_64_with_an_apprencticeship_or_trades_certificate,percent_of_people_aged_25_64_with_a_college_cegep_or_other_non_university_certificate_diploma,percent_of_people_aged_25_64_with_a_university_certificate_below_bachelor_level,percent_of_people_aged_25_64_with_a_bachelors_degree_or_higher,percent_of_people_aged_25_64_with_a_bachelors_degree,percent_of_people_aged_25_64_with_a_masters_degree,percent_of_people_aged_25_64_with_a_doctorate,number_of_households,number_of_multigenerational_households,percent_of_multigenerational_households,number_of_census_families,number_of_couple_families,number_of_couple_families_with_children,number_of_couple_families_without_children,percent_of_census_families,percent_of_couple_families,percent_of_couple_families_with_children,percent_of_couple_families_without_children,median_after_tax_income_of_households_in_2020,average_after_tax_income_of_households_in_2020,median_after_tax_income_of_one_person_households_in_2020,average_after_tax_income_of_one_person_households_in_2020,median_after_tax_income_of_two_or_more_person_households_in_2020,average_after_tax_income_of_two_or_more_person_households_in_2020
census_division_ottawa_3506_00000_3_1_percent,684210,10800,528715,20300,10600,98920,6375,445,8055,316740,0.6835606174134572,0.010789749737749139,0.5282131974624107,0.020280733303361807,0.010589939557420451,0.09882611519056896,0.006368949497976922,4.4457765123133024e-4,0.008047355012737898,0.3164393825865428,7030,0.1176372155287818,0.3,791650,0.7908946955657348,365220,0.3648715476719733,0.35041326320381994,0.35041326320381994,14395,48330,71860,60390,37570,43155,0.052212549873050414,0.1752992383025027,0.26064562930721796,0.21904243743199128,0.13627130939426912,0.15652883569096845,74060,116265,55365,15975,14030,0.2686253173739572,0.4217083786724701,0.20081610446137105,0.05794341675734494,0.050888647080159596,219175,7030,6420,0.9421613721360099,0.030219662124403558,0.02759747238103426,35045,508270,417420,19905,117225,11355,268940,160030,75165,13550,0.06450217645380672,0.9354978235461933,0.7682835923911543,0.03663620551613705,0.2157588139477099,0.020899478203252258,0.49499829748856555,0.2945436809217489,0.13834515888572926,0.02493949182334373,407255,9890,0.0242845391707898,275340,231175,121845,109325,1,0.8395983148107794,0.4425256047069078,0.3970545507372703,88000,103000,47600,53100,109000,123000
ons2022_admaston_bromley_3701_00000_3_2_percent,2280,0,2280,0,0,0,0,0,0,710,0.7612687813021702,0,0.7612687813021702,0,0,0,0,0,0,0.2370617696160267,45,0.21951219512195122,0.3,2830,0.9449081803005008,170,0.05676126878130217,0,0,110,325,315,185,75,160,0.09361702127659574,0.2765957446808511,0.2680851063829787,0.1574468085106383,0.06382978723404255,0.13617021276595745,405,380,205,65,125,0.3446808510638298,0.32340425531914896,0.17446808510638298,0.05531914893617021,0.10638297872340426,35,75,0,0.03626943005181347,0.07772020725388601,0,170,1350,920,150,515,15,245,200,15,0,0.1118421052631579,0.8881578947368421,0.6052631578947368,0.09868421052631579,0.33881578947368424,0.009868421052631578,0.1611842105263158,0.13157894736842105,0.009868421052631578,0,1135,40,0.03524229074889868,905,835,400,435,1,0.9226519337016574,0.4419889502762431,0.48066298342541436,76500,86600,37200,42800,89000,96000
ons2022_airport_3001_00000_6_7_percent,170,0,170,0,0,0,0,0,0,85,0.5862068965517241,0,0.5862068965517241,0,0,0,0,0,0,0.29310344827586204,0,NA,0.4,255,0.864406779661017,80,0.2711864406779661,0.3333333333333333,0.3333333333333333,0,15,25,30,15,15,0,0.15789473684210525,0.2631578947368421,0.3157894736842105,0.15789473684210525,0.15789473684210525,50,30,10,0,0,0.5263157894736842,0.3157894736842105,0.10526315789473684,0,0,70,0,10,0.875,0,0.125,25,140,115,10,25,0,80,50,20,0,0.15625,0.875,0.71875,0.0625,0.15625,0,0.5,0.3125,0.125,0,125,0,0,105,80,30,50,1,0.7619047619047619,0.2857142857142857,0.47619047619047616,95000,114000,NA,34000,121000,134000
ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,7940,0,7885,0,10,30,0,0,15,1695,0.8227979274611399,0,0.8170984455958549,0,0.0010362694300518134,0.0031088082901554403,0,0,0.0015544041450777201,0.17564766839378237,55,0.07746478873239436,0.3,3010,0.31191709844559584,6785,0.7031088082901554,0.8763736263736264,0.8763736263736264,585,1055,985,535,180,450,0.1541501976284585,0.2779973649538867,0.2595520421607378,0.14097496706192358,0.04743083003952569,0.11857707509881422,750,955,805,715,570,0.1976284584980237,0.2516469038208169,0.21212121212121213,0.18840579710144928,0.15019762845849802,780,925,90,0.2732049036777583,0.3239929947460595,0.03152364273204904,800,4530,2965,495,1640,100,725,560,95,25,0.150093808630394,0.849906191369606,0.5562851782363978,0.09287054409005628,0.3076923076923077,0.01876172607879925,0.13602251407129456,0.1050656660412758,0.017823639774859287,0.004690431519699813,4080,90,0.022058823529411766,2990,2565,1080,1490,1,0.8578595317725752,0.3612040133779264,0.4983277591973244,73500,81700,34800,41700,88000,95100
ons2022_alta_vista_3002_00000_2_8_percent,4975,55,4100,145,175,420,0,0,80,2790,0.639871382636656,0.00707395498392283,0.5273311897106109,0.01864951768488746,0.022508038585209004,0.054019292604501605,0,0,0.010289389067524116,0.35884244372990354,0,0,0.3,6625,0.8526383526383526,3810,0.49034749034749037,0.4371069182389937,0.4371069182389937,65,200,465,595,330,165,0.036011080332409975,0.11080332409972299,0.25761772853185594,0.3296398891966759,0.18282548476454294,0.09141274238227147,615,855,245,50,35,0.3407202216066482,0.47368421052631576,0.13573407202216067,0.027700831024930747,0.019390581717451522,1400,20,55,0.9459459459459459,0.013513513513513514,0.037162162162162164,135,3850,3365,65,500,35,2765,1180,1045,190,0.033877038895859475,0.9661229611041405,0.8444165621079046,0.01631116687578419,0.12547051442910917,0.00878293601003764,0.6938519447929736,0.2961104140526976,0.26223337515683814,0.04767879548306148,3060,65,0.021241830065359478,2285,2055,1025,1035,1,0.899343544857768,0.4485776805251641,0.45295404814004375,115000,131200,54400,40500,139000,156000
ons2022_arnprior_3702_00000_2_5_percent,6310,35,6120,65,0,50,0,0,40,3115,0.6702071163037706,0.0037174721189591076,0.6500265533722783,0.006903876792352629,0,0.0053106744556558685,0,0,0.004248539564524694,0.3308550185873606,70,0.112,0.3,9165,0.9734466277217206,1195,0.12692511949017526,0.13105413105413105,0.13105413105413105,340,765,820,475,330,390,0.1088,0.2448,0.2624,0.152,0.1056,0.1248,1210,485,705,470,250,0.3872,0.1552,0.2256,0.1504,0.08,1245,1045,20,0.49899799599198397,0.4188376753507014,0.008016032064128256,485,4215,2910,340,1555,55,965,715,155,25,0.10319148936170212,0.8968085106382979,0.6191489361702127,0.07234042553191489,0.33085106382978724,0.011702127659574468,0.2053191489361702,0.15212765957446808,0.03297872340425532,0.005319148936170213,4305,60,0.013937282229965157,2770,2265,920,1345,1,0.8176895306859205,0.33212996389891697,0.4855595667870036,66500,75600,34000,40480,86000,93100
ons2022_bayshore_3003_00000_5_4_percent,10900,255,5400,1180,50,3715,120,0,180,3360,0.7646439845668187,0.017888460189407224,0.37881445106980005,0.08277797264117853,0.00350754121360926,0.26061031217116803,0.008418098912662224,0,0.012627148368993335,0.23570676955454226,355,0.3480392156862745,0.3,10035,0.7039635215713784,2775,0.19466853735531392,0.2733118971061093,0.2733118971061093,250,655,870,750,625,1050,0.059453032104637336,0.15576694411414982,0.20689655172413793,0.178359096313912,0.14863258026159334,0.2497027348394768,960,1810,820,285,325,0.22829964328180738,0.4304399524375743,0.19500594530321047,0.06777645659928656,0.07728894173602854,3335,55,50,0.9694767441860465,0.015988372093023256,0.014534883720930232,975,6755,5195,265,1450,275,3205,1925,960,110,0.1261319534282018,0.8738680465717982,0.6720569210866753,0.03428201811125485,0.18758085381630013,0.03557567917205692,0.41461836998706336,0.24902975420439843,0.12419146183699871,0.014230271668822769,5725,160,0.02794759825327511,3550,2575,1330,1245,1,0.7253521126760564,0.37464788732394366,0.35070422535211265,64000,72700,42000,46560,78000,84700
ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,5875,60,4800,90,25,815,15,0,70,1825,0.762987012987013,0.007792207792207792,0.6233766233766234,0.011688311688311689,0.003246753246753247,0.10584415584415584,0.001948051948051948,0,0.00909090909090909,0.237012987012987,110,0.20952380952380953,0.3,5000,0.6493506493506493,3405,0.4422077922077922,0.46153846153846156,0.46153846153846156,135,450,535,385,280,400,0.06178489702517163,0.20594965675057209,0.2448512585812357,0.17620137299771166,0.12814645308924486,0.18306636155606407,615,850,345,205,165,0.2814645308924485,0.3890160183066362,0.15789473684210525,0.09382151029748284,0.07551487414187644,1695,40,60,0.9442896935933147,0.022284122562674095,0.033426183844011144,455,3625,2755,150,985,105,1515,955,390,55,0.11151960784313726,0.8884803921568627,0.6752450980392157,0.03676470588235294,0.24142156862745098,0.025735294117647058,0.3713235294117647,0.2340686274509804,0.09558823529411764,0.013480392156862746,3220,75,0.023291925465838508,2020,1570,785,790,1,0.7772277227722773,0.3886138613861386,0.3910891089108911,73500,84000,46000,49300,91000,100100
ons2022_beaverbrook_3005_00000_2_3_percent,4335,45,3555,185,30,435,10,0,75,2435,0.6398523985239852,0.006642066420664207,0.5247232472324723,0.02730627306273063,0.004428044280442804,0.06420664206642067,0.0014760147601476014,0,0.01107011070110701,0.359409594095941,45,0.15517241379310345,0.3,5775,0.8517699115044248,1940,0.2861356932153392,0.23875432525951557,0.23875432525951557,65,285,385,405,230,205,0.04153354632587859,0.18210862619808307,0.24600638977635783,0.25878594249201275,0.14696485623003194,0.13099041533546327,535,550,315,90,85,0.34185303514376997,0.3514376996805112,0.2012779552715655,0.05750798722044728,0.054313099041533544,1240,55,0,0.9538461538461539,0.04230769230769231,0,150,3220,2640,95,770,65,1710,1035,475,65,0.04451038575667656,0.9554896142433235,0.7833827893175074,0.028189910979228485,0.228486646884273,0.019287833827893175,0.5074183976261127,0.30712166172106825,0.14094955489614244,0.019287833827893175,2770,50,0.018050541516245487,2005,1585,825,755,1,0.7905236907730673,0.4114713216957606,0.3765586034912718,89000,101400,51200,57500,102000,116600
