V1,V2,V3,V4,V5,V6
Total population,1,ONE,Number,Demographics,total_population
Percent of pop that are seniors 65+,17,1,Percentage 2,Demographics,percent_of_pop_that_are_seniors_65
Number of seniors 65+,17,ONE,Number,Demographics,number_of_seniors_65
Average age of the population,32,ONE,Average,Demographics,average_age_of_the_population
Median age of the population,33,ONE,Median,Demographics,median_age_of_the_population
Number of children living in one-parent families,40,ONE,Number,Demographics,number_of_children_living_in_one_parent_families
Percent of children living in one-parent families,40,38,Percentage 2,Demographics,percent_of_children_living_in_one_parent_families
Number of pop living alone,42,ONE,Number,Family comp,number_of_pop_living_alone
Percent of pop living alone,42,34,Percentage 2,Family comp,percent_of_pop_living_alone
Average after-tax income in 2020 among recipients ($),65,ONE,Average,Income/work,average_after_tax_income_in_2020_among_recipients
Average market income in 2020 among recipients ($),68,ONE,Average,Income/work,average_market_income_in_2020_among_recipients
Percent of income from government transfers (2020),84,ONE,Percentage 1,Income/work,percent_of_income_from_government_transfers_2020
Average after-tax income in 2019 among recipients ($),143,ONE,Average,Income/work,average_after_tax_income_in_2019_among_recipients
Average market income in 2019 among recipients ($),146,ONE,Average,Income/work,average_market_income_in_2019_among_recipients
Percent of income from government transfers (2019),159,ONE,Percentage 1,Income/work,percent_of_income_from_government_transfers_2019
Number of people in low-income based on LIM-AT,171,ONE,Number,Income/work,number_of_people_in_low_income_based_on_lim_at
Percent of people in low income based on LIM-AT,171,166,Percentage 2,Income/work,percent_of_people_in_low_income_based_on_lim_at
Number of people 0-17 in low income based on LIM-AT,172,ONE,Number,Income/work,number_of_people_0_17_in_low_income_based_on_lim_at
Percent of people 0-17 in low income based on LIM-AT,172,167,Percentage 2,Income/work,percent_of_people_0_17_in_low_income_based_on_lim_at
Number of people 18-64 in low income based on LIM-AT,174,ONE,Number,Income/work,number_of_people_18_64_in_low_income_based_on_lim_at
Percent of people 18-64 in low income based on LIM-AT,174,169,Percentage 2,Income/work,percent_of_people_18_64_in_low_income_based_on_lim_at
Number of people 65+ in low-income based on LIM-AT,175,ONE,Number,Income/work,number_of_people_65_in_low_income_based_on_lim_at
Percent of people 65+ in low-income based on LIM-AT,175,170,Percentage 2,Income/work,percent_of_people_65_in_low_income_based_on_lim_at
Number of pop living alone (i.e. 1-person household),224,ONE,Number,Family comp,number_of_pop_living_alone_i_e_1_person_household
Average household size,229,ONE,Average,Family comp,average_household_size
Number of owner households,298,ONE,Number,Housing,number_of_owner_households
Percent of owner households,298,297,Percentage 2,Housing,percent_of_owner_households
Percent of renter households,299,297,Percentage 2,Housing,percent_of_renter_households
Percent of households living in core housing need,363,362,Percentage 2,Housing,percent_of_households_living_in_core_housing_need
Number of households living in core housing need,363,ONE,Number,Housing,number_of_households_living_in_core_housing_need
Percent of owner households in core housing need,368,ONE,Percentage 1,Housing,percent_of_owner_households_in_core_housing_need
Median monthly shelter costs for owned dwellings ($),369,ONE,Median,Housing,median_monthly_shelter_costs_for_owned_dwellings
Average monthly shelter costs for owned dwellings ($),370,ONE,Average,Housing,average_monthly_shelter_costs_for_owned_dwellings
Number of tenant households,373,ONE,Number,Housing,number_of_tenant_households
Percent of tenant households living in subsidized housing,374,ONE,Percentage 1,Housing,percent_of_tenant_households_living_in_subsidized_housing
Percent of renter households in core housing need,376,ONE,Percentage 1,Housing,percent_of_renter_households_in_core_housing_need
Median monthly shelter costs for rented dwellings ($),377,ONE,Median,Housing,median_monthly_shelter_costs_for_rented_dwellings
Average monthly shelter costs for rented dwellings ($),378,ONE,Average,Housing,average_monthly_shelter_costs_for_rented_dwellings
Average size of census families,388,ONE,Average,Family comp,average_size_of_census_families
Percent of census families that are one-parent families,397,389,Percentage 2,Family comp,percent_of_census_families_that_are_one_parent_families
Number of one-parent families,397,ONE,Number,Family comp,number_of_one_parent_families
Percent of all census families that are one-parent families,397,389,Percentage 2,Family comp,percent_of_all_census_families_that_are_one_parent_families
Average number of children in census families with children,400,ONE,Average,Family comp,average_number_of_children_in_census_families_with_children
Average after-tax income of all economic families,405,ONE,Average,Income/work,average_after_tax_income_of_all_economic_families
Average after-tax income of couple-with-children economic families,416,ONE,Average,Income/work,average_after_tax_income_of_couple_with_children_economic_families
