ONS_ID,name,number_of_people_who_identify_with_a_religion,number_buddhists,number_christians,number_hindus,number_jewish,number_muslims,number_sikhs,number_traditional_north_american_indigenous_spirituality,number_other_religions_and_spiritual_traditions,number_no_religion_and_secular_perspectives,percent_of_people_who_identify_with_a_religion,percent_buddhists,percent_christians,percent_hindus,percent_jewish,percent_muslims,percent_sikhs,percent_traditional_north_american_indigenous_spirituality,percent_other_religions_and_spiritual_traditions,percent_no_religion_and_secular_perspectives,number_of_people_0_5_in_low_income_based_on_lim_at,percent_of_people_0_5_in_low_income_based_on_lim_at,gini_index_on_adjusted_household_after_tax_income,number_of_people_with_english_as_a_language_most_spoken_at_home,percent_of_people_with_english_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_both_english_and_french,percent_of_people_with_knowledge_of_both_english_and_french,number_of_children_under_18_years_eligible_for_instruction_in_the_minority_official_language,percent_of_children_under_18_years_eligible_for_instruction_in_the_minority_official_language,number_of_commuters_aged_15_leaving_for_work_between_5_a_m_and_5_59_a_m,number_of_commuters_aged_15_leaving_for_work_between_6_a_m_and_6_59_a_m,number_of_commuters_aged_15_leaving_for_work_between_7_a_m_and_7_59_a_m,number_of_commuters_aged_15_leaving_for_work_between_8_a_m_and_8_59_a_m,number_of_commuters_aged_15_leaving_for_work_between_9_a_m_and_11_59_a_m,number_of_commuters_aged_15_leaving_for_work_between_12_p_m_and_4_59_a_m,percent_of_commuters_aged_15_leaving_for_work_between_5_a_m_and_5_59_a_m,percent_of_commuters_aged_15_leaving_for_work_between_6_a_m_and_6_59_a_m,percent_of_commuters_aged_15_leaving_for_work_between_7_a_m_and_7_59_a_m,percent_of_commuters_aged_15_leaving_for_work_between_8_a_m_and_8_59_a_m,percent_of_commuters_aged_15_leaving_for_work_between_9_a_m_and_11_59_a_m,percent_of_commuters_aged_15_leaving_for_work_between_12_p_m_and_4_59_a_m,number_of_commuters_aged_15_who_commute_for_less_than_15_minutes,number_of_commuters_aged_15_who_commute_for_15_to_29_minutes,number_of_commuters_aged_15_who_commute_for_30_to_44_minutes,number_of_commuters_aged_15_who_commute_for_45_to_59_minutes,number_of_commuters_aged_15_who_commute_for_60_minutes_and_over,percent_of_commuters_aged_15_who_commute_for_less_than_15_minutes,percent_of_commuters_aged_15_who_commute_for_15_to_29_minutes,percent_of_commuters_aged_15_who_commute_for_30_to_44_minutes,percent_of_commuters_aged_15_who_commute_for_45_to_59_minutes,percent_of_commuters_aged_15_who_commute_for_60_minutes_and_over,number_of_commuters_aged_15_who_commute_within_ottawa,number_of_commuters_aged_15_who_commute_outside_of_ottawa_in_ontario,number_of_commuters_aged_15_who_commute_to_a_different_province_territory,percent_of_commuters_aged_15_who_commute_within_ottawa,percent_of_commuters_aged_15_who_commute_outside_of_ottawa_in_ontario,percent_of_commuters_aged_15_who_commute_to_a_different_province_territory,number_of_people_aged_25_64_with_no_high_school_diploma_or_equivalent,number_of_people_aged_25_64_with_a_high_school_diploma_or_equivalent,number_of_people_aged_25_64_with_a_postsecondary_certificate_diploma_or_degree,number_of_people_aged_25_64_with_an_apprencticeship_or_trades_certificate,number_of_people_aged_25_64_with_a_college_cegep_or_other_non_university_certificate_diploma,number_of_people_aged_25_64_with_a_university_certificate_below_bachelor_level,number_of_people_aged_25_64_with_a_bachelors_degree_or_higher,number_of_people_aged_25_64_with_a_bachelors_degree,number_of_people_aged_25_64_with_a_masters_degree,number_of_people_aged_25_64_with_a_doctorate,percent_of_people_aged_25_64_with_no_high_school_diploma_or_equivalent,percent_of_people_aged_25_64_with_a_high_school_diploma_or_equivalent,percent_of_people_aged_25_64_with_a_postsecondary_certificate_diploma_or_degree,percent_of_people_aged_25_64_with_an_apprencticeship_or_trades_certificate,percent_of_people_aged_25_64_with_a_college_cegep_or_other_non_university_certificate_diploma,percent_of_people_aged_25_64_with_a_university_certificate_below_bachelor_level,percent_of_people_aged_25_64_with_a_bachelors_degree_or_higher,percent_of_people_aged_25_64_with_a_bachelors_degree,percent_of_people_aged_25_64_with_a_masters_degree,percent_of_people_aged_25_64_with_a_doctorate,number_of_households,number_of_multigenerational_households,percent_of_multigenerational_households,number_of_census_families,number_of_couple_families,number_of_couple_families_with_children,number_of_couple_families_without_children,percent_of_census_families,percent_of_couple_families,percent_of_couple_families_with_children,percent_of_couple_families_without_children,median_after_tax_income_of_households_in_2020,average_after_tax_income_of_households_in_2020,median_after_tax_income_of_one_person_households_in_2020,average_after_tax_income_of_one_person_households_in_2020,median_after_tax_income_of_two_or_more_person_households_in_2020,average_after_tax_income_of_two_or_more_person_households_in_2020,ONS_ID
0,census_division_ottawa_3506,684210,10800,528715,20300,10600,98920,6375,445,8055,316740,0.683560617,0.01078975,0.528213197,0.020280733,0.01058994,0.098826115,0.006368949,4.45E-04,0.008047355,0.316439383,7030,0.117637216,0.3,791650,0.790894696,365220,0.364871548,72285,0.350413263,14395,48330,71860,60390,37570,43155,0.05221255,0.175299238,0.260645629,0.219042437,0.136271309,0.156528836,74060,116265,55365,15975,14030,0.268625317,0.421708379,0.200816104,0.057943417,0.050888647,219175,7030,6420,0.942161372,0.030219662,0.027597472,35045,508270,417420,19905,117225,11355,268940,160030,75165,13550,0.064502176,0.935497824,0.768283592,0.036636206,0.215758814,0.020899478,0.494998297,0.294543681,0.138345159,0.024939492,407255,9890,0.024284539,275340,231175,121845,109325,1,0.839598315,0.442525605,0.397054551,88000,103000,47600,53100,109000,123000,3506
3001,airport_3001,170,0,170,0,0,0,0,0,0,85,0.586206897,0,0.586206897,0,0,0,0,0,0,0.293103448,0,NA,0.4,255,0.86440678,80,0.271186441,15,0.333333333,0,15,25,30,15,15,0,0.157894737,0.263157895,0.315789474,0.157894737,0.157894737,50,30,10,0,0,0.526315789,0.315789474,0.105263158,0,0,70,0,10,0.875,0,0.125,25,140,115,10,25,0,80,50,20,0,0.15625,0.875,0.71875,0.0625,0.15625,0,0.5,0.3125,0.125,0,125,0,0,105,80,30,50,1,0.761904762,0.285714286,0.476190476,95000,114000,NA,34000,121000,134000,3001
3002,alta_vista_3002,4975,55,4100,145,175,420,0,0,80,2790,0.639871383,0.007073955,0.52733119,0.018649518,0.022508039,0.054019293,0,0,0.010289389,0.358842444,0,0,0.3,6625,0.852638353,3810,0.49034749,695,0.437106918,65,200,465,595,330,165,0.03601108,0.110803324,0.257617729,0.329639889,0.182825485,0.091412742,615,855,245,50,35,0.340720222,0.473684211,0.135734072,0.027700831,0.019390582,1400,20,55,0.945945946,0.013513514,0.037162162,135,3850,3365,65,500,35,2765,1180,1045,190,0.033877039,0.966122961,0.844416562,0.016311167,0.125470514,0.008782936,0.693851945,0.296110414,0.262233375,0.047678795,3060,65,0.02124183,2285,2055,1025,1035,1,0.899343545,0.448577681,0.452954048,115000,131200,54400,40500,139000,156000,3002
3003,bayshore_3003,10900,255,5400,1180,50,3715,120,0,180,3360,0.764643985,0.01788846,0.378814451,0.082777973,0.003507541,0.260610312,0.008418099,0,0.012627148,0.23570677,355,0.348039216,0.3,10035,0.703963522,2775,0.194668537,850,0.273311897,250,655,870,750,625,1050,0.059453032,0.155766944,0.206896552,0.178359096,0.14863258,0.249702735,960,1810,820,285,325,0.228299643,0.430439952,0.195005945,0.067776457,0.077288942,3335,55,50,0.969476744,0.015988372,0.014534884,975,6755,5195,265,1450,275,3205,1925,960,110,0.126131953,0.873868047,0.672056921,0.034282018,0.187580854,0.035575679,0.41461837,0.249029754,0.124191462,0.014230272,5725,160,0.027947598,3550,2575,1330,1245,1,0.725352113,0.374647887,0.350704225,64000,72700,42000,46560,78000,84700,3003
3004,beacon_hill_south_cardinal_heights_3004,5875,60,4800,90,25,815,15,0,70,1825,0.762987013,0.007792208,0.623376623,0.011688312,0.003246753,0.105844156,0.001948052,0,0.009090909,0.237012987,110,0.20952381,0.3,5000,0.649350649,3405,0.442207792,690,0.461538462,135,450,535,385,280,400,0.061784897,0.205949657,0.244851259,0.176201373,0.128146453,0.183066362,615,850,345,205,165,0.281464531,0.389016018,0.157894737,0.09382151,0.075514874,1695,40,60,0.944289694,0.022284123,0.033426184,455,3625,2755,150,985,105,1515,955,390,55,0.111519608,0.888480392,0.675245098,0.036764706,0.241421569,0.025735294,0.371323529,0.234068627,0.095588235,0.013480392,3220,75,0.023291925,2020,1570,785,790,1,0.777227723,0.388613861,0.391089109,73500,84000,46000,49300,91000,100100,3004
3005,beaverbrook_3005,4335,45,3555,185,30,435,10,0,75,2435,0.639852399,0.006642066,0.524723247,0.027306273,0.004428044,0.064206642,0.001476015,0,0.011070111,0.359409594,45,0.155172414,0.3,5775,0.851769912,1940,0.286135693,345,0.238754325,65,285,385,405,230,205,0.041533546,0.182108626,0.24600639,0.258785942,0.146964856,0.130990415,535,550,315,90,85,0.341853035,0.3514377,0.201277955,0.057507987,0.054313099,1240,55,0,0.953846154,0.042307692,0,150,3220,2640,95,770,65,1710,1035,475,65,0.044510386,0.955489614,0.783382789,0.028189911,0.228486647,0.019287834,0.507418398,0.307121662,0.140949555,0.019287834,2770,50,0.018050542,2005,1585,825,755,1,0.790523691,0.411471322,0.376558603,89000,101400,51200,57500,102000,116600,3005
3006,beechwood_cemetery_3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3006
3007,bells_corners_east_3007,3195,25,2795,50,0,305,0,0,20,1810,0.639,0.005,0.559,0.01,0,0.061,0,0,0.004,0.362,0,0,0.2,4615,0.922077922,1290,0.257742258,200,0.240963855,80,300,335,260,185,280,0.055555556,0.208333333,0.232638889,0.180555556,0.128472222,0.194444444,425,665,210,90,55,0.295138889,0.461805556,0.145833333,0.0625,0.038194444,1175,15,15,0.983263598,0.012552301,0.012552301,215,2525,2000,115,810,45,1035,690,235,45,0.078754579,0.924908425,0.732600733,0.042124542,0.296703297,0.016483516,0.379120879,0.252747253,0.086080586,0.016483516,2125,70,0.032941176,1475,1245,545,705,1,0.844067797,0.369491525,0.477966102,83000,92600,43600,49400,99000,109600,3007
3008,bells_corners_west_3008,2720,90,2200,30,15,340,0,0,45,1410,0.654632972,0.02166065,0.529482551,0.007220217,0.003610108,0.081829122,0,0,0.010830325,0.339350181,45,0.142857143,0.3,3600,0.866425993,960,0.231046931,185,0.255172414,75,330,415,220,165,210,0.053003534,0.233215548,0.293286219,0.155477032,0.116607774,0.148409894,330,670,240,80,95,0.233215548,0.473498233,0.169611307,0.056537102,0.067137809,1185,20,10,0.971311475,0.016393443,0.008196721,260,2115,1525,110,710,30,670,465,150,20,0.109473684,0.890526316,0.642105263,0.046315789,0.298947368,0.012631579,0.282105263,0.195789474,0.063157895,0.008421053,1820,70,0.038461538,1170,825,420,405,1,0.705128205,0.358974359,0.346153846,74000,81000,47200,49800,88000,96000,3008
3009,billings_bridge_heron_park_3009,3740,50,2855,125,65,540,30,10,65,2130,0.63713799,0.008517888,0.48637138,0.021294719,0.011073254,0.091993186,0.005110733,0.001703578,0.011073254,0.36286201,60,0.210526316,0.3,4720,0.804088586,1585,0.270017036,305,0.378881988,65,300,345,350,250,310,0.040123457,0.185185185,0.212962963,0.216049383,0.154320988,0.191358025,515,630,330,85,60,0.317901235,0.388888889,0.203703704,0.052469136,0.037037037,1295,20,20,0.973684211,0.015037594,0.015037594,275,2860,2355,110,660,65,1515,895,420,85,0.087719298,0.912280702,0.751196172,0.035087719,0.210526316,0.020733652,0.483253589,0.285486443,0.133971292,0.027113238,2975,40,0.013445378,1325,995,360,630,1,0.750943396,0.271698113,0.475471698,55200,67100,32000,39800,78500,87600,3009
