name,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,ONS_ID
ottawa_airport_3001,0,0,18.8,17.8,0,0,35,14000,0,NA,NA,15000,14000,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.25,10,15,0.375,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,40,0.8888888888888888,3001
ottawa_alta_vista_3002,0,0,20.3,20.2,25,0.02487562189054726,825,18400,760,14880,29.6,15440,16040,5.6,80,0.07960199004975124,0,0,0.01485148514851485,15,0.0099009900990099,10,0,0,0,0,0.26732673267326734,270,605,0.6019900497512438,170,0.2809917355371901,0,NA,0,NA,0,NA,135,0.313953488372093,70,0.16279069767441862,0,135,0.13366336633663367,1005,1,3002
ottawa_bayshore_3003,0,0,20.8,21.2,70,0.0345679012345679,1705,20160,1510,16700,30.5,15940,16420,8.9,235,0.11576354679802955,20,0.00987654320987654,0.02469135802469135,50,0.01234567901234567,25,0.0074074074074074,15,0,0,0.7481481481481481,1515,1195,0.5901234567901235,310,0.2594142259414226,0,NA,0,NA,0,NA,155,0.1751412429378531,125,0.14124293785310735,0.10344827586206896,105,0.05185185185185185,2025,1,3003
ottawa_beacon_hill_south_cardinal_heights_3004,0,0,20.6,21,45,0.04945054945054945,730,20440,680,15720,32.4,14560,15150,11.5,110,0.12087912087912088,0,0,0.01639344262295082,15,0,0,0,0,0,0,0.644808743169399,590,520,0.5714285714285714,105,0.20192307692307693,0,NA,0,NA,0,NA,100,0.24390243902439024,35,0.08536585365853659,0.04838709677419355,225,0.2459016393442623,915,1.0054945054945057,3004
ottawa_beaverbrook_3005,0,0,19.4,19,0,0,590,18400,555,14600,30.2,14450,14450,6.5,55,0.06875,0,0,0.05,40,0.03125,25,0.01875,15,0,0,0.34375,275,415,0.515527950310559,110,0.26506024096385544,0,NA,0,NA,0,NA,90,0.29508196721311475,30,0.09836065573770492,0.04761904761904761,0,0,805,1.00625,3005
ottawa_beechwood_cemetery_3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3006
ottawa_bells_corners_east_3007,0,0,20.2,20.2,0,0,385,21300,370,19300,20,14800,15200,5.5,0,0,0,0,0.06185567010309278,30,0,0,0.05154639175257732,25,0,0,0.38144329896907214,185,325,0.6701030927835051,65,0.2,0,NA,0,NA,0,NA,35,0.1346153846153846,35,0.1346153846153846,0.06521739130434782,10,0.02061855670103092,490,1.0103092783505154,3007
ottawa_bells_corners_west_3008,0,0,21.1,21.4,10,0.02298850574712643,400,23100,370,20300,23.8,16800,16000,9,20,0.04597701149425287,0,0,0.02325581395348837,10,0,0,0,0,0,0,0.3953488372093023,170,295,0.686046511627907,90,0.3050847457627119,0,NA,0,NA,0,NA,40,0.1951219512195122,15,0.07317073170731707,0.15151515151515152,15,0.03488372093023256,435,1,3008
ottawa_billings_bridge_heron_park_3009,0,0,21.6,22,125,0.12254901960784312,940,20440,820,18000,27.6,16520,17320,6.9,340,0.3333333333333333,0,0,0.04901960784313725,50,0.01470588235294117,15,0.02941176470588235,30,0,0,0.4362745098039216,445,655,0.6421568627450981,140,0.21374045801526717,0,NA,0,NA,0,NA,175,0.33980582524271846,50,0.0970873786407767,0.0588235294117647,50,0.04901960784313725,1020,1,3009
ottawa_blackburn_hamlet_3010,0,0,20.1,20.2,0,0,640,19320,620,14350,31.4,14700,14400,8.5,70,0.08284023668639054,0,0,0.04761904761904761,40,0.04166666666666666,35,0,0,0,0,0.30357142857142855,255,535,0.6369047619047619,130,0.24299065420560748,0,NA,0,NA,0,NA,120,0.2926829268292683,35,0.08536585365853659,0,145,0.17261904761904762,840,1,3010
ottawa_blossom_park_timbermill_3011,0,0,19.7,19.6,10,0.00769230769230769,950,20560,850,17720,29.2,14160,14360,9.8,110,0.0842911877394636,10,0.00769230769230769,0,0,0,0,0,0,0,0,0.5538461538461539,720,665,0.5095785440613027,205,0.3082706766917293,0,NA,0,NA,0,NA,85,0.18478260869565216,55,0.11956521739130437,0.02666666666666667,165,0.12692307692307692,1305,1.0038461538461538,3011
ottawa_borden_farm_fisher_glen_3012,0,0,20.3,20.4,20,0.02272727272727272,690,18160,650,15280,24.4,12720,13800,5.4,115,0.13068181818181818,0,0,0.03409090909090909,30,0.0284090909090909,25,0,0,0,0,0.3636363636363637,320,525,0.5965909090909091,140,0.26666666666666666,0,NA,0,NA,0,NA,90,0.2307692307692308,30,0.07692307692307693,0.05172413793103448,15,0.01704545454545454,880,1,3012
ottawa_braemar_park_belair_heights_copeland_park_3013,0,0,21,21.6,50,0.04405286343612335,985,21200,890,19040,22.5,16160,16400,7.9,90,0.07894736842105263,0,0,0.02643171806167401,30,0.013215859030837,15,0.013215859030837,15,0,0,0.3524229074889868,400,780,0.6842105263157895,165,0.2115384615384615,0,NA,0,NA,0,NA,100,0.16260162601626016,65,0.10569105691056913,0.06862745098039216,60,0.05286343612334802,1135,1,3013
ottawa_bridlewood_emerald_meadows_3014,0,0,19.6,19.6,25,0.0074074074074074,2590,17300,2425,14220,26.8,13880,13900,6.1,135,0.0400593471810089,0,0,0.01333333333333333,45,0.01185185185185185,40,0,0,0,0,0.33925925925925926,1145,2135,0.6325925925925926,555,0.25995316159250587,0,NA,0,NA,0,NA,335,0.2126984126984127,150,0.09523809523809525,0.0321285140562249,190,0.05629629629629629,3375,1,3014
ottawa_britannia_3015,0,0,20.5,20.6,55,0.05851063829787234,725,20480,645,15560,34.4,14400,14100,10.8,145,0.15425531914893617,0,0,0.02127659574468085,20,0.01063829787234042,10,0.01063829787234042,10,0,0,0.5797872340425532,545,555,0.5904255319148937,155,0.27927927927927926,0,NA,0,NA,0,NA,55,0.1375,70,0.175,0.04411764705882353,115,0.12234042553191488,940,1,3015
