name,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,ONS_ID
ottawa_airport_3001,75,1,74,72.5,0,0,75,52000,65,48000,28,48000,50000,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0,3001
ottawa_alta_vista_3002,1520,1,74.8,74,295,0.19407894736842105,1515,64600,1415,71700,19,61050,66300,17.9,80,0.0528052805280528,35,0.0231023102310231,0.0132013201320132,20,0,0,0.0099009900990099,15,0,0,0.10231023102310231,155,295,0.19471947194719472,15,0.05084745762711865,0,NA,0,NA,0,NA,135,0.4821428571428571,20,0.07142857142857142,0.10714285714285714,135,0.0891089108910891,0,0,3002
ottawa_bayshore_3003,1910,1,74.8,74,655,0.34293193717277487,1900,35440,1340,30360,45.6,34640,32120,39.7,335,0.17539267015706805,150,0.078534031413612565,0.01832460732984293,35,0.01308900523560209,25,0,0,0,0,0.3481675392670157,665,235,0.12303664921465968,30,0.1276595744680851,0,NA,0,NA,0,NA,45,0.225,25,0.125,0.12903225806451613,110,0.05759162303664921,0,0,3003
ottawa_beacon_hill_south_cardinal_heights_3004,1445,1,75.1,73.5,460,0.31833910034602075,1435,41800,1200,37400,34.8,40360,37100,31.5,160,0.11072664359861592,50,0.03460207612456748,0.02422145328719723,35,0.01038062283737024,15,0.01384083044982699,20,0,0,0.2352941176470588,340,215,0.14878892733564014,30,0.13953488372093023,0,NA,0,NA,0,NA,25,0.1388888888888889,15,0.08333333333333333,0.07142857142857142,370,0.2560553633217993,0,0,3004
ottawa_beaverbrook_3005,1495,1,75.6,75,375,0.2508361204013378,1495,46760,1370,42360,29.3,45320,43160,26.7,105,0.07023411371237458,45,0.03010033444816053,0.01672240802675585,25,0.01003344481605351,15,0.00668896321070234,10,0,0,0.12374581939799333,185,165,0.11073825503355704,15,0.09090909090909093,0,NA,0,NA,0,NA,65,0.43333333333333335,15,0.1,0,35,0.02341137123745819,0,0,3005
ottawa_beechwood_cemetery_3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3006
ottawa_bells_corners_east_3007,1095,1,75.5,74,280,0.2557077625570776,1090,43700,985,36800,34,41500,35500,31.9,55,0.05045871559633028,20,0.01834862385321101,0.01376146788990825,15,0.0091743119266055,10,0,0,0,0,0.06422018348623854,70,135,0.12385321100917432,10,0.07407407407407407,0,NA,0,NA,0,NA,50,0.4,10,0.08,0,10,0.0091743119266055,0,0,3007
ottawa_bells_corners_west_3008,695,1,73.5,71,250,0.3597122302158273,690,40000,550,35600,37.2,36900,33600,35.6,110,0.15942028985507245,20,0.02898550724637681,0,0,0,0,0,0,0,0,0.18840579710144928,130,125,0.18115942028985507,0,0,0,NA,0,NA,0,NA,35,0.28,10,0.08,0,15,0.0217391304347826,0,0,3008
ottawa_billings_bridge_heron_park_3009,1035,1,75.7,74.5,505,0.48792270531400966,1030,34600,700,32600,44.6,32900,32400,41.8,400,0.3883495145631068,100,0.0970873786407767,0,0,0,0,0,0,0,0,0.2961165048543689,305,110,0.10679611650485436,20,0.18181818181818185,0,NA,0,NA,0,NA,25,0.2777777777777778,15,0.16666666666666666,0,55,0.05339805825242718,0,0,3009
ottawa_blackburn_hamlet_3010,1680,1,75.8,74.5,335,0.19940476190476192,1670,52200,1535,49040,27,48720,47800,25.1,55,0.03273809523809524,30,0.01785714285714285,0.00595238095238095,10,0.00595238095238095,10,0,0,0,0,0.09523809523809525,160,255,0.15178571428571427,15,0.0588235294117647,0,NA,0,NA,0,NA,120,0.5,25,0.10416666666666669,0,235,0.13988095238095238,0,0,3010
ottawa_blossom_park_timbermill_3011,1190,1,74.1,72,205,0.1722689075630252,1165,43700,1045,35500,36.2,39700,34100,32.8,50,0.04201680672268908,60,0.05063291139240506,0.01687763713080168,20,0,0,0.01265822784810126,15,0,0,0.25738396624472576,305,210,0.17721518987341772,45,0.21428571428571427,0,NA,0,NA,0,NA,55,0.34375,10,0.0625,0,75,0.06329113924050633,0,0,3011
ottawa_borden_farm_fisher_glen_3012,2420,1,77,76,825,0.3409090909090909,2410,45280,2175,40000,32.9,44120,40840,30.2,305,0.1260330578512397,95,0.03925619834710744,0.01239669421487603,30,0.00413223140495867,10,0.00826446280991735,20,0,0,0.1590909090909091,385,235,0.09690721649484536,30,0.1276595744680851,0,NA,0,NA,0,NA,55,0.2682926829268293,35,0.17073170731707318,0.06666666666666667,105,0.04338842975206612,0,0,3012
