name,percent_of_residents_aged_25_64_with_no_high_school_degree_or_diploma,percent_of_residents_living_in_low_income_lim_at,unemployment_rate_15_years,percent_of_census_families_that_are_lone_parent,average_household_income_after_tax_2020,median_market_income_individual_2020,participation_rate,unaffordable1_percent_households_spending_30_percent_or_more_of_income_on_shelter_costs,unaffordable2_percent_households_spending_30_percent_to_less_than_100_percent_of_income_on_shelter_costs,unsuitable_housing_percent_households_not_suitable,inadequate_housing_percent_households_major_repairs_needed,percent_households_in_core_housing_need,ONS_ID
airport_3001,0.15625,0.1206896551724138,0.06896551724137931,0.1904761904761905,114000,37600,51.8,0.24,0,0,0.125,0.18181818181818185,3001
alta_vista_3002,0.03387703889585947,0.05016077170418006,0.08588235294117647,0.10065645514223195,131200,59600,65.3,0.12828947368421054,0.10855263157894736,0.02941176470588235,0.06209150326797386,0.04697986577181208,3002
bayshore_3003,0.1261319534282018,0.17642932304454578,0.16256830601092895,0.27323943661971833,72700,30000,62.7,0.2906057945566286,0.26865671641791045,0.16419213973799127,0.07685589519650655,0.2407906558849955,3003
beacon_hill_south_cardinal_heights_3004,0.11151960784313726,0.11233766233766232,0.11424903722721438,0.22524752475247525,84000,37200,60.5,0.2332814930015552,0.2161741835147745,0.07906976744186046,0.06356589147286822,0.16113744075829384,3004
beaverbrook_3005,0.04451038575667656,0.08487084870848709,0.10410557184750734,0.20947630922693267,101400,42400,60.2,0.1890909090909091,0.17454545454545456,0.03610108303249097,0.06678700361010831,0.11049723756906076,3005
bells_corners_east_3007,0.07875457875457875,0.058,0.10586011342155008,0.15593220338983052,92600,42400,61.4,0.13411764705882354,0.1223529411764706,0.02816901408450704,0.05164319248826291,0.07819905213270142,3007
bells_corners_west_3008,0.10947368421052632,0.1022864019253911,0.10084033613445378,0.29914529914529914,81000,41600,68,0.1900826446280992,0.18457300275482097,0.05205479452054794,0.05205479452054794,0.1361111111111111,3008
billings_bridge_heron_park_3009,0.08771929824561403,0.23083475298126063,0.12808641975308643,0.2490566037735849,67100,31600,62.5,0.2782462057335582,0.2478920741989882,0.06565656565656566,0.06734006734006734,0.18815331010452965,3009
blackburn_hamlet_3010,0.08024691358024691,0.06840796019900497,0.09310761789600969,0.18867924528301888,102000,45600,62.9,0.1439873417721519,0.13449367088607594,0.03627760252365931,0.05993690851735016,0.10063897763578276,3010
blossom_park_timbermill_3011,0.09901960784313724,0.07857911733046287,0.12008072653884964,0.20392156862745095,107900,40400,65.2,0.1822429906542056,0.17133956386292834,0.06501547987616099,0.05263157894736842,0.10393700787401576,3011
