name,total_population,number_of_children_age_0_14,percent_of_pop_that_are_children_age_0_14,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_adults_age_25_64,percent_of_pop_that_are_adults_age_25_64,percent_of_pop_that_are_seniors_65,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_indigenous,percent_of_pop_that_are_fn,percent_of_pop_that_are_metis,percent_of_pop_that_are_inuit,percent_of_pop_that_are_racialized,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,percent_of_pop_with_knowledge_of_neither_english_nor_french,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,percent_of_pop_living_alone,unemployment_rate,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,percent_of_income_from_government_transfers_2020,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_refugees,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,average_age_of_the_population,median_age_of_the_population,number_of_seniors_65,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_people_who_are_indigenous,number_of_people_who_are_fn,number_of_people_who_are_metis,number_of_people_who_are_inuit,number_of_immigrants,number_of_recent_immigrants_arr_2016_2021,number_of_people_with_knowledge_of_neither_english_nor_french,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_people_age_25_64_with_a_high_school_diploma,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_people_who_are_racialized,number_self_identified_as_south_asian,number_self_identified_as_chinese,number_self_identified_as_black,number_self_identified_as_filipino,number_self_identified_as_arab,number_self_identified_as_latin_american,number_self_identified_as_southeast_asian,number_self_identified_as_west_asian,number_self_identified_as_korean,number_self_identified_as_japanese,number_self_identified_with_other_visible_minority,number_self_identified_with_multiple_visible_minorities,number_of_people_who_are_non_racialized,percent_self_identified_as_south_asian,percent_self_identified_as_chinese,percent_self_identified_as_black,percent_self_identified_as_filipino,percent_self_identified_as_arab,percent_self_identified_as_latin_american,percent_self_identified_as_southeast_asian,percent_self_identified_as_west_asian,percent_self_identified_as_korean,percent_self_identified_as_japanese,percent_self_identified_with_other_visible_minority,percent_self_identified_with_multiple_visible_minorities,percent_of_people_who_are_non_racialized,number_of_children_eligible_for_instruction_in_the_minority_official_language,percent_of_children_eligible_for_instruction_in_the_minority_official_language,number_of_children_not_eligible_for_instruction_in_the_minority_official_language,percent_of_children_not_eligible_for_instruction_in_the_minority_official_language,ONS_ID
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_census_division_3506,70860,70860,1,0,0,0,0,0,0.04212829017006563,0.04382188977489239,0.02977912638487051,0.01538352974384306,0.00980876437795498,0.00268153270764236,0.4315150659798179,0.01481795088907705,0.33816425120772947,0.04212829017006563,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1050,8275,0.11678780608284524,8275,0.11678780608284524,0,NA,0,NA,3.7,3.8,0,9675,0.1370590735231619,2110,1090,695,190,3105,2985,2985,9155,0.1292075365182415,3590,0.05066685484440053,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,30575,5120,3015,9600,1180,6060,640,1010,1150,300,180,355,1965,40285,0.07226024980594171,0.04255169007127232,0.13548796838614072,0.01665372944746312,0.08552678004375132,0.00903253122574271,0.01425446334062522,0.01623032954625643,0.00423399901206689,0.00254039940724013,0.00501023216427916,0.02773269352903817,0.5685555006703832,24055,0.33947219870166523,46805,0.6605278012983348,3506
ottawa_airport_3001,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,3001
ottawa_alta_vista_3002,525,525,1,0,0,0,0,0,0.01886792452830188,0.01886792452830188,0.01886792452830188,0,0.01886792452830188,0,0.3490566037735849,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,3.9,3.9,0,40,0.0761904761904762,10,0,10,0,10,10,0,100,0.18867924528301888,50,0.09433962264150944,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,185,45,40,25,0,55,0,0,0,0,0,0,0,345,0.08490566037735849,0.07547169811320754,0.04716981132075472,0,0.10377358490566038,0,0,0,0,0,0,0,0.6509433962264151,225,0.42857142857142855,305,0.580952380952381,3002
ottawa_bayshore_3003,1160,1160,1,0,0,0,0,0,0.09482758620689656,0.09913793103448276,0.04310344827586207,0.03017241379310345,0,0,0.7456896551724138,0.02586206896551724,0.2608695652173913,0.08189655172413793,NA,0,0,NA,NA,NA,NA,NA,NA,NA,30,410,0.35344827586206895,410,0.35344827586206895,0,NA,0,NA,3.5,3.2,0,290,0.25,50,35,0,0,115,110,95,115,0.09913793103448276,40,0.03448275862068965,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,865,205,10,300,75,185,0,20,40,0,0,0,25,295,0.17672413793103448,0.00862068965517241,0.25862068965517243,0.06465517241379311,0.15948275862068967,0,0.01724137931034482,0.03448275862068965,0,0,0,0.02155172413793103,0.2543103448275862,280,0.2413793103448276,875,0.7543103448275862,3003
ottawa_beacon_hill_south_cardinal_heights_3004,610,610,1,0,0,0,0,0,0.08130081300813008,0.08130081300813008,0.02439024390243902,0,0.02439024390243902,0,0.5609756097560976,0.01639344262295082,0.2,0.06504065040650407,NA,0,0,NA,NA,NA,NA,NA,NA,NA,10,120,0.19672131147540983,120,0.19672131147540983,0,NA,0,NA,3.5,3.2,0,110,0.18032786885245905,15,0,15,0,50,50,40,135,0.2195121951219512,65,0.10569105691056913,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,345,45,20,140,0,60,10,0,20,0,0,30,15,265,0.07317073170731707,0.03252032520325203,0.22764227642276424,0,0.0975609756097561,0.01626016260162601,0,0.03252032520325203,0,0,0.04878048780487805,0.02439024390243902,0.43089430894308944,275,0.45081967213114754,340,0.5573770491803278,3004
ottawa_beaverbrook_3005,365,365,1,0,0,0,0,0,0.06944444444444445,0.06944444444444445,0,0,0,0,0.4027777777777778,0,0,0.05555555555555555,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,55,0.1506849315068493,55,0.1506849315068493,0,NA,0,NA,3.9,4.1,0,85,0.2328767123287671,0,0,0,0,25,25,20,25,0.06944444444444445,15,0.04166666666666666,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,145,45,35,15,0,25,0,0,0,0,0,0,0,215,0.125,0.09722222222222222,0.04166666666666666,0,0.06944444444444445,0,0,0,0,0,0,0,0.5972222222222222,105,0.2876712328767123,255,0.6986301369863014,3005
ottawa_beechwood_cemetery_3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3006
ottawa_bells_corners_east_3007,330,330,1,0,0,0,0,0,0.02985074626865671,0.02985074626865671,0,0,0,0,0.31343283582089554,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,25,0.07575757575757576,25,0.07575757575757576,0,NA,0,NA,3.4,3.5,0,50,0.15151515151515152,0,0,0,0,10,10,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,105,35,0,30,10,0,0,0,0,0,0,0,20,230,0.1044776119402985,0,0.08955223880597014,0.02985074626865671,0,0,0,0,0,0,0,0.05970149253731343,0.6865671641791045,105,0.3181818181818182,225,0.6818181818181818,3007
ottawa_bells_corners_west_3008,365,365,1,0,0,0,0,0,0.0410958904109589,0.0410958904109589,0.0684931506849315,0.0273972602739726,0.0410958904109589,0,0.3150684931506849,0.0273972602739726,0.6666666666666666,0.0410958904109589,NA,0,0,NA,NA,NA,NA,NA,NA,NA,10,55,0.1506849315068493,55,0.1506849315068493,0,NA,0,NA,3.6,3.7,0,80,0.2191780821917808,25,10,15,0,15,15,15,25,0.0684931506849315,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,115,0,0,30,0,45,10,0,15,0,0,10,0,250,0,0,0.0821917808219178,0,0.1232876712328767,0.0273972602739726,0,0.0410958904109589,0,0,0.0273972602739726,0,0.684931506849315,100,0.273972602739726,260,0.7123287671232876,3008
