name,ONS_ID,total_population,number_of_children_age_0_14,percent_of_pop_that_are_children_age_0_14,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_adults_age_25_64,percent_of_pop_that_are_adults_age_25_64,percent_of_pop_that_are_seniors_65,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_indigenous,percent_of_pop_that_are_fn,percent_of_pop_that_are_metis,percent_of_pop_that_are_inuit,percent_of_pop_that_are_racialized,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,percent_of_pop_with_knowledge_of_neither_english_nor_french,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,percent_of_pop_living_alone,unemployment_rate,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,percent_of_income_from_government_transfers_2020,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_refugees,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,average_age_of_the_population,median_age_of_the_population,number_of_seniors_65,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_people_who_are_indigenous,number_of_people_who_are_fn,number_of_people_who_are_metis,number_of_people_who_are_inuit,number_of_immigrants,number_of_recent_immigrants_arr_2016_2021,number_of_people_with_knowledge_of_neither_english_nor_french,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_people_age_25_64_with_a_high_school_diploma,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_people_who_are_racialized,number_self_identified_as_south_asian,number_self_identified_as_chinese,number_self_identified_as_black,number_self_identified_as_filipino,number_self_identified_as_arab,number_self_identified_as_latin_american,number_self_identified_as_southeast_asian,number_self_identified_as_west_asian,number_self_identified_as_korean,number_self_identified_as_japanese,number_self_identified_with_other_visible_minority,number_self_identified_with_multiple_visible_minorities,number_of_people_who_are_non_racialized,percent_self_identified_as_south_asian,percent_self_identified_as_chinese,percent_self_identified_as_black,percent_self_identified_as_filipino,percent_self_identified_as_arab,percent_self_identified_as_latin_american,percent_self_identified_as_southeast_asian,percent_self_identified_as_west_asian,percent_self_identified_as_korean,percent_self_identified_as_japanese,percent_self_identified_with_other_visible_minority,percent_self_identified_with_multiple_visible_minorities,percent_of_people_who_are_non_racialized
ottawa_census_division_3506,0,130395,0,0,130390,0.999961655,0,0,0,0.043828368,0.157559722,0.031442923,0.016104912,0.012692204,0.001533801,0.421066759,0.05337628,0.338768557,0.001648836,NA,0.041757736,25.3,19380,16240,15160,15540,7,27.5,NA,6960,14170,0.108665644,3035,0.08557733,11135,0.117296956,0,NA,20.2,20.4,0,24035,0.248218527,4100,2100,1655,200,20545,5715,215,13475,0.103339852,895,0.00686376,30010,0.67819209,7755,0.175254237,4480,0.101242938,1025,0.023163842,990,0.022372881,14955,0.251979781,7085,0.11937658,NA,0.049830508,54905,9605,7185,16725,2145,9950,1580,2550,1585,640,380,515,2045,75495,0.0736608,0.055101806,0.128264121,0.016450017,0.076306607,0.012117029,0.019555965,0.012155374,0.004908164,0.002914222,0.003949538,0.015683117,0.578971586
ottawa_airport_3001,3001,45,0,0,40,0.888888889,0,0,0,0,0,0,0,0,0,0.25,0,NA,0,NA,0,0,14000,NA,15000,14000,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,18.8,17.8,0,10,0.222222222,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,10,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0.75
ottawa_alta_vista_3002,3002,1005,0,0,1005,1,0,0,0,0.014851485,0.079207921,0.014851485,0.00990099,0,0,0.267326733,0,0,0,NA,0.024875622,28.1,18400,14880,15440,16040,5.6,29.6,NA,0,80,0.07960199,0,0,70,0.098591549,0,NA,20.3,20.2,0,85,0.114864865,15,10,0,0,80,15,0,135,0.133663366,0,0,200,0.677966102,40,0.13559322,30,0.101694915,20,0.06779661,10,0.033898305,135,0.313953488,70,0.162790698,NA,0,270,40,45,30,0,95,0,0,15,0,15,0,20,740,0.03960396,0.044554455,0.02970297,0,0.094059406,0,0,0.014851485,0,0.014851485,0,0.01980198,0.732673267
ottawa_bayshore_3003,3003,2025,0,0,2025,1,0,0,0,0.130864198,0.320987654,0.024691358,0.012345679,0.007407407,0,0.748148148,0.172839506,0.538461538,0.009876543,NA,0.034567901,25.9,20160,16700,15940,16420,8.9,30.5,NA,350,235,0.115763547,70,0.155555556,160,0.101587302,0,NA,20.8,21.2,0,595,0.445692884,50,25,15,0,650,265,20,105,0.051851852,0,0,400,0.551724138,240,0.331034483,55,0.075862069,0,0,30,0.04137931,155,0.175141243,125,0.141242938,NA,0.103448276,1515,435,45,450,115,265,35,75,50,0,0,0,50,510,0.214814815,0.022222222,0.222222222,0.056790123,0.130864198,0.017283951,0.037037037,0.024691358,0,0,0,0.024691358,0.251851852
ottawa_beacon_hill_south_cardinal_heights_3004,3004,910,0,0,915,1.005494505,0,0,0,0.136612022,0.327868852,0.016393443,0,0,0,0.644808743,0.142857143,0.433333333,0,NA,0.049450549,20.2,20440,15720,14560,15150,11.5,32.4,NA,130,110,0.120879121,25,0.119047619,80,0.114285714,0,NA,20.6,21,0,215,0.344,15,0,0,0,300,125,0,225,0.245901639,45,0.049180328,160,0.516129032,105,0.338709677,35,0.112903226,0,0,10,0.032258065,100,0.243902439,35,0.085365854,NA,0.048387097,590,55,40,325,35,55,35,20,0,0,0,0,15,320,0.06010929,0.043715847,0.355191257,0.038251366,0.06010929,0.038251366,0.021857923,0,0,0,0,0.016393443,0.349726776
ottawa_beaverbrook_3005,3005,800,0,0,805,1.00625,0,0,0,0.05625,0.2125,0.05,0.03125,0.01875,0,0.34375,0.03125,0.147058824,0,NA,0,26.5,18400,14600,14450,14450,6.5,30.2,NA,25,55,0.06875,30,0.095238095,25,0.051020408,0,NA,19.4,19,0,225,0.306122449,40,25,15,0,170,45,0,0,0,0,0,145,0.69047619,30,0.142857143,25,0.119047619,0,0,10,0.047619048,90,0.295081967,30,0.098360656,NA,0.047619048,275,55,40,25,0,45,35,30,10,0,0,0,25,525,0.06875,0.05,0.03125,0,0.05625,0.04375,0.0375,0.0125,0,0,0,0.03125,0.65625
ottawa_beechwood_cemetery_3006,3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_bells_corners_east_3007,3007,485,0,0,490,1.010309278,0,0,0,0.030927835,0.18556701,0.06185567,0,0.051546392,0,0.381443299,0,0,0,NA,0,20,21300,19300,14800,15200,5.5,20,NA,0,0,0,0,0,0,0,0,NA,20.2,20.2,0,115,0.26744186,30,0,25,0,90,15,0,10,0.020618557,0,0,155,0.673913043,50,0.217391304,25,0.108695652,0,0,0,0,35,0.134615385,35,0.134615385,NA,0.065217391,185,75,0,35,45,15,0,10,0,0,0,0,0,300,0.154639175,0,0.072164948,0.092783505,0.030927835,0,0.020618557,0,0,0,0,0,0.618556701
ottawa_bells_corners_west_3008,3008,435,0,0,435,1,0,0,0,0.058139535,0.11627907,0.023255814,0,0,0,0.395348837,0,0,0,NA,0.022988506,30.5,23100,20300,16800,16000,9,23.8,NA,0,20,0.045977011,0,0,20,0.053333333,0,NA,21.1,21.4,0,130,0.356164384,10,0,0,0,50,25,0,15,0.034883721,0,0,120,0.727272727,30,0.181818182,0,0,0,0,0,0,40,0.195121951,15,0.073170732,NA,0.151515152,170,10,20,55,20,15,0,25,0,0,0,0,30,265,0.023255814,0.046511628,0.127906977,0.046511628,0.034883721,0,0.058139535,0,0,0,0,0.069767442,0.61627907
ottawa_billings_bridge_heron_park_3009,3009,1020,0,0,1020,1,0,0,0,0.034313725,0.073529412,0.049019608,0.014705882,0.029411765,0,0.43627451,0.044117647,0.6,0,NA,0.12254902,21.4,20440,18000,16520,17320,6.9,27.6,NA,45,340,0.333333333,20,0.222222222,320,0.344086022,0,NA,21.6,22,0,130,0.456140351,50,15,30,0,75,35,0,50,0.049019608,0,0,225,0.661764706,75,0.220588235,35,0.102941176,0,0,10,0.029411765,175,0.339805825,50,0.097087379,NA,0.058823529,445,90,80,170,10,60,15,0,0,0,15,0,0,575,0.088235294,0.078431373,0.166666667,0.009803922,0.058823529,0.014705882,0,0,0,0.014705882,0,0,0.56372549
