name,ONS_ID,total_population,number_of_children_age_0_14,percent_of_pop_that_are_children_age_0_14,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_adults_age_25_64,percent_of_pop_that_are_adults_age_25_64,percent_of_pop_that_are_seniors_65,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_indigenous,percent_of_pop_that_are_fn,percent_of_pop_that_are_metis,percent_of_pop_that_are_inuit,percent_of_pop_that_are_racialized,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,percent_of_pop_with_knowledge_of_neither_english_nor_french,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,percent_of_pop_living_alone,unemployment_rate,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,percent_of_income_from_government_transfers_2020,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_refugees,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,average_age_of_the_population,median_age_of_the_population,number_of_seniors_65,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_people_who_are_indigenous,number_of_people_who_are_fn,number_of_people_who_are_metis,number_of_people_who_are_inuit,number_of_immigrants,number_of_recent_immigrants_arr_2016_2021,number_of_people_with_knowledge_of_neither_english_nor_french,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_people_age_25_64_with_a_high_school_diploma,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_people_who_are_racialized,number_self_identified_as_south_asian,number_self_identified_as_chinese,number_self_identified_as_black,number_self_identified_as_filipino,number_self_identified_as_arab,number_self_identified_as_latin_american,number_self_identified_as_southeast_asian,number_self_identified_as_west_asian,number_self_identified_as_korean,number_self_identified_as_japanese,number_self_identified_with_other_visible_minority,number_self_identified_with_multiple_visible_minorities,number_of_people_who_are_non_racialized,percent_self_identified_as_south_asian,percent_self_identified_as_chinese,percent_self_identified_as_black,percent_self_identified_as_filipino,percent_self_identified_as_arab,percent_self_identified_as_latin_american,percent_self_identified_as_southeast_asian,percent_self_identified_as_west_asian,percent_self_identified_as_korean,percent_self_identified_as_japanese,percent_self_identified_with_other_visible_minority,percent_self_identified_with_multiple_visible_minorities,percent_of_people_who_are_non_racialized
ottawa_census_division_3506,0,160435,0,0,0,0,0,0,1,0.012247951,0.350609281,0.014865834,0.007978309,0.005921401,2.18E-04,0.180228753,0.035092093,0.214149867,0.046218095,NA,0.24988313,11.7,48560,48080,47240,48880,25.5,28.7,NA,5630,15630,0.097422632,0,NA,0,NA,15630,0.097422632,74.5,73,160435,400,0.909090909,2385,1280,950,35,56250,1965,7415,18280,0.113940225,2360,0.014710007,10065,0.761922786,1240,0.093868282,1060,0.080242241,75,0.005677517,775,0.058667676,8425,0.387356322,1765,0.081149425,NA,0.048448145,28915,5620,6695,5375,1110,4240,1530,1545,1330,190,280,415,580,131520,0.035029763,0.041730296,0.033502665,0.00691869,0.026428148,0.009536572,0.009630068,0.008289962,0.00118428,0.001745255,0.002586717,0.003615171,0.819771247
ottawa_airport_3001,3001,75,0,0,0,0,0,0,1,0,0.6,0,0,0,0,0,0,0,0,NA,0,0,52000,48000,48000,50000,26,28,NA,0,0,0,0,NA,0,NA,0,0,74,72.5,75,0,NA,0,0,0,0,45,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0.933333333
ottawa_alta_vista_3002,3002,1520,0,0,0,0,0,0,1,0,0.320132013,0.01320132,0,0.00990099,0,0.102310231,0,0,0.02310231,NA,0.194078947,5.1,64600,71700,61050,66300,17.9,19,NA,0,80,0.052805281,0,NA,0,NA,80,0.052805281,74.8,74,1520,0,NA,20,0,15,0,485,0,35,135,0.089108911,0,0,95,0.678571429,0,0,35,0.25,0,0,15,0.107142857,135,0.482142857,20,0.071428571,NA,0.107142857,155,15,60,15,0,55,0,0,10,0,0,0,0,1365,0.00990099,0.03960396,0.00990099,0,0.03630363,0,0,0.00660066,0,0,0,0,0.900990099
ottawa_bayshore_3003,3003,1910,0,0,0,0,0,0,1,0.018324607,0.494764398,0.018324607,0.013089005,0,0,0.348167539,0.123036649,0.385245902,0.078534031,NA,0.342931937,12.8,35440,30360,34640,32120,39.7,45.6,NA,235,335,0.17539267,0,NA,0,NA,335,0.17539267,74.8,74,1910,0,NA,35,25,0,0,945,35,150,110,0.057591623,40,0.020942408,105,0.677419355,35,0.225806452,10,0.064516129,0,0,0,0,45,0.225,25,0.125,NA,0.129032258,665,90,95,140,65,105,35,50,30,0,0,15,35,1250,0.047120419,0.04973822,0.073298429,0.034031414,0.054973822,0.018324607,0.02617801,0.015706806,0,0,0.007853403,0.018324607,0.654450262
ottawa_beacon_hill_south_cardinal_heights_3004,3004,1445,0,0,0,0,0,0,1,0.020761246,0.349480969,0.024221453,0.010380623,0.01384083,0,0.235294118,0.051903114,0.254237288,0.034602076,NA,0.3183391,14,41800,37400,40360,37100,31.5,34.8,NA,75,160,0.110726644,0,NA,0,NA,160,0.110726644,75.1,73.5,1445,10,1,35,15,20,0,505,30,50,370,0.256055363,50,0.034602076,85,0.607142857,40,0.285714286,10,0.071428571,0,0,10,0.071428571,25,0.138888889,15,0.083333333,NA,0.071428571,340,30,55,120,25,40,40,10,0,0,0,0,10,1105,0.020761246,0.038062284,0.083044983,0.017301038,0.027681661,0.027681661,0.006920415,0,0,0,0,0.006920415,0.764705882
ottawa_beaverbrook_3005,3005,1495,0,0,0,0,0,0,1,0.016722408,0.337792642,0.016722408,0.010033445,0.006688963,0,0.123745819,0.023411371,0.194444444,0.030100334,NA,0.25083612,9.1,46760,42360,45320,43160,26.7,29.3,NA,35,105,0.070234114,0,NA,0,NA,105,0.070234114,75.6,75,1495,0,NA,25,15,10,0,505,25,45,35,0.023411371,0,0,75,0.833333333,10,0.111111111,0,0,0,0,0,0,65,0.433333333,15,0.1,NA,0,185,30,35,35,10,0,0,20,20,10,15,0,0,1310,0.02006689,0.023411371,0.023411371,0.006688963,0,0,0.013377926,0.013377926,0.006688963,0.010033445,0,0,0.876254181
ottawa_beechwood_cemetery_3006,3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_bells_corners_east_3007,3007,1095,0,0,0,0,0,0,1,0,0.23853211,0.013761468,0.009174312,0,0,0.064220183,0.02283105,0.333333333,0.018348624,NA,0.255707763,7.4,43700,36800,41500,35500,31.9,34,NA,25,55,0.050458716,0,NA,0,NA,55,0.050458716,75.5,74,1095,0,NA,15,10,0,0,260,0,20,10,0.009174312,0,0,50,0.714285714,0,0,10,0.142857143,0,0,10,0.142857143,50,0.4,10,0.08,NA,0,70,35,0,10,0,0,10,20,0,0,0,0,0,1020,0.032110092,0,0.009174312,0,0,0.009174312,0.018348624,0,0,0,0,0,0.935779817
ottawa_bells_corners_west_3008,3008,695,0,0,0,0,0,0,1,0,0.333333333,0,0,0,0,0.188405797,0.035971223,0.172413793,0.028985507,NA,0.35971223,0,40000,35600,36900,33600,35.6,37.2,NA,25,110,0.15942029,0,NA,0,NA,110,0.15942029,73.5,71,695,0,NA,0,0,0,0,230,0,20,15,0.02173913,0,0,55,0.611111111,0,0,20,0.222222222,0,0,10,0.111111111,35,0.28,10,0.08,NA,0,130,25,30,35,15,10,0,0,0,0,0,0,0,565,0.036231884,0.043478261,0.050724638,0.02173913,0.014492754,0,0,0,0,0,0,0,0.81884058
ottawa_billings_bridge_heron_park_3009,3009,1035,0,0,0,0,0,0,1,0.019417476,0.504854369,0,0,0,0,0.296116505,0.09178744,0.351851852,0.097087379,NA,0.487922705,18.2,34600,32600,32900,32400,41.8,44.6,NA,95,400,0.388349515,0,NA,0,NA,400,0.388349515,75.7,74.5,1035,10,1,0,0,0,0,520,20,100,55,0.053398058,40,0.038834951,40,0.571428571,15,0.214285714,0,0,0,0,10,0.142857143,25,0.277777778,15,0.166666667,NA,0,305,20,60,110,15,65,0,0,20,0,0,0,10,725,0.019417476,0.058252427,0.106796117,0.014563107,0.063106796,0,0,0.019417476,0,0,0,0.009708738,0.703883495
