ONS_ID,name,total_population,number_of_children_age_0_14,percent_of_pop_that_are_children_age_0_14,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_adults_age_25_64,percent_of_pop_that_are_adults_age_25_64,percent_of_pop_that_are_seniors_65,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_indigenous,percent_of_pop_that_are_fn,percent_of_pop_that_are_metis,percent_of_pop_that_are_inuit,percent_of_pop_that_are_racialized,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,percent_of_pop_with_knowledge_of_neither_english_nor_french,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,percent_of_pop_living_alone,number_in_the_labour_force_age_15,number_employed_age_15,number_unemployed_age_15,number_not_in_labour_force_age_15,participation_rate,employment_rate,unemployment_rate,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,percent_of_income_from_government_transfers_2020,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_refugees,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,average_age_of_the_population,median_age_of_the_population,number_of_seniors_65,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_people_who_are_indigenous,number_of_people_who_are_fn,number_of_people_who_are_metis,number_of_people_who_are_inuit,number_of_immigrants,number_of_recent_immigrants_arr_2016_2021,number_of_people_with_knowledge_of_neither_english_nor_french,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_people_age_25_64_with_a_high_school_diploma,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_people_who_are_racialized,number_self_identified_as_south_asian,number_self_identified_as_chinese,number_self_identified_as_black,number_self_identified_as_filipino,number_self_identified_as_arab,number_self_identified_as_latin_american,number_self_identified_as_southeast_asian,number_self_identified_as_west_asian,number_self_identified_as_korean,number_self_identified_as_japanese,number_self_identified_with_other_visible_minority,number_self_identified_with_multiple_visible_minorities,number_of_people_who_are_non_racialized,percent_self_identified_as_south_asian,percent_self_identified_as_chinese,percent_self_identified_as_black,percent_self_identified_as_filipino,percent_self_identified_as_arab,percent_self_identified_as_latin_american,percent_self_identified_as_southeast_asian,percent_self_identified_as_west_asian,percent_self_identified_as_korean,percent_self_identified_as_japanese,percent_self_identified_with_other_visible_minority,percent_self_identified_with_multiple_visible_minorities,percent_of_people_who_are_non_racialized,number_of_children_eligible_for_instruction_in_the_minority_official_language,percent_of_children_eligible_for_instruction_in_the_minority_official_language,number_of_children_not_eligible_for_instruction_in_the_minority_official_language,percent_of_children_not_eligible_for_instruction_in_the_minority_official_language,number_1_year_mobility_total,number_1_year_non_movers,number_1_year_movers,number_1_year_non_migrants,number_1_year_migrants,number_1_year_intraprovincial_migrants,number_1_year_interprovincial_migrants,number_1_year_external_migrants,percent_1_year_non_movers,percent_1_year_movers,percent_1_year_migrants.x,percent_1_year_migrants.y,percent_1_year_intraprovincial_migrants,percent_1_year_interprovincial_migrants,percent_1_year_external_migrants,number_5_year_mobility_total,number_5_year_non_movers,number_5_year_movers,number_5_year_non_migrants,number_5_year_migrants,number_5_year_intraprovincial_migrants,number_5_year_interprovincial_migrants,number_5_year_external_migrants,percent_5_year_non_movers,percent_5_year_movers,percent_5_year_migrants.x,percent_5_year_migrants.y,percent_5_year_intraprovincial_migrants,percent_5_year_interprovincial_migrants,percent_5_year_external_migrants
0,Ottawa,188640,32960,0.174724343,24805,0.131493851,100125,0.530772901,0.163035411,0.051367684,0.219677693,0.035808948,0.014259966,0.019667091,2.39E-04,0.30605916,0.059531383,0.298233966,5.83E-04,0.063370787,0.122534987,100400,91030,9370,55275,65,59,9,53300,61400,50640,60750,10,13,0.781722846,11230,16660,0.08831637,4180,0.1030191,9560,0.081493479,2920,0.094943912,40,40,30755,14850,0.251396648,6755,2690,3710,45,41440,9690,110,107420,0.569444444,14100,0.074745547,37805,0.748613861,6805,0.134752475,3460,0.068514851,740,0.014653465,1690,0.033465347,40215,0.441753172,7435,0.081671884,0.936579276,0.061980198,57735,2455,2475,34145,215,11775,1835,1325,1050,275,210,530,1440,130905,0.013014207,0.013120229,0.181006149,0.001139737,0.062420483,0.009727523,0.007023961,0.005566158,0.001457803,0.001113232,0.002809584,0.007633588,0.69394084,36815,0.888607289,4615,0.111392711,187115,163540,23575,16135,7445,2260,2855,2325,0.874007963,0.125992037,0.086230393,0.039788365,0.012078134,0.015257996,0.012425514,180685,106720,73965,41360,32600,8290,12430,11885,0.590641171,0.409358829,0.228906661,0.180424496,0.045880953,0.068793757,0.065777458
3701,Admaston/Bromley ,40,0,0,0,0,10,0.25,0.5,0,0,0,0,0,0,0,0,NA,0,0.4,0,25,20,0,20,56,44,0,30000,22000,32000,30000,22,40,0.4,0,0,0,0,NA,0,0,0,0,58,62,20,0,NA,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NA,45,45,0,0,0,0,0,0,1,0,0,0,0,0,0,45,20,20,0,15,15,0,0,0.444444444,0.444444444,0,0.333333333,0.333333333,0,0
3001,AIRPORT ,25,0,0,10,0.4,0,0,0.4,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,20,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,NA,44,NA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NA,25,25,0,0,0,0,0,0,1,0,0,0,0,0,0,25,25,0,0,0,0,0,0,1,0,0,0,0,0,0
3801,Akwesasne (Part) 59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3601,Alfred and Plantagenet ,7430,1190,0.160161507,670,0.090174966,4075,0.548452221,0.200538358,0.001345895,0.009421265,0.044414536,0.024899058,0.015477793,0,0.006729475,0.002018843,0.375,0,0.148466258,0.106325707,3990,3795,195,2250,64,61,5,42320,44520,40200,44440,15,20,0.544785276,15,665,0.089502019,115,0.083636364,325,0.07127193,220,0.147651007,43,46,1490,480,0.244897959,330,185,115,0,70,10,0,6890,0.927321669,1330,0.179004038,2915,0.944894652,35,0.011345219,75,0.024311183,0,0,50,0.016207455,710,0.187088274,725,0.191040843,0.851533742,0.137763371,50,0,0,30,10,10,0,0,0,0,0,0,0,7380,0,0,0.004037685,0.001345895,0.001345895,0,0,0,0,0,0,0,0.993270525,1385,0.992831541,0,0,7335,6690,645,315,335,275,55,0,0.91206544,0.08793456,0.042944785,0.045671438,0.037491479,0.007498296,0,7005,4640,2365,940,1425,1210,215,0,0.662384011,0.337615989,0.134189864,0.203426124,0.172733762,0.030692363,0
3002,ALTA VISTA ,1425,310,0.21754386,225,0.157894737,665,0.466666667,0.161403509,0.042105263,0.175438596,0.010526316,0,0,0,0.192982456,0.010526316,0.083333333,0,0.015037594,0.052631579,745,685,60,370,67,61,8,61200,77400,58900,71800,7,9,0.864661654,15,75,0.052631579,0,0,50,0.060606061,0,0,39,40,230,50,0.103092784,15,0,0,0,250,60,0,785,0.550877193,65,0.045614035,195,0.75,25,0.096153846,20,0.076923077,10,0.038461538,15,0.057692308,415,0.605839416,35,0.051094891,0.977443609,0.057692308,275,20,35,65,0,95,10,0,35,0,0,10,0,1150,0.014035088,0.024561404,0.045614035,0,0.066666667,0.007017544,0,0.024561404,0,0,0.007017544,0,0.807017544,355,0.934210526,25,0.065789474,1410,1240,170,120,55,15,10,30,0.879432624,0.120567376,0.085106383,0.039007092,0.010638298,0.007092199,0.021276596,1340,845,495,300,190,35,70,80,0.630597015,0.369402985,0.223880597,0.141791045,0.026119403,0.052238806,0.059701493
3702,Arnprior ,460,55,0.119565217,25,0.054347826,240,0.52173913,0.304347826,0,0.043478261,0.141304348,0.032608696,0.119565217,0,0,0,0,0,0.1875,0.173913043,165,150,20,240,41,37,12,44600,45800,44000,50000,17,23,0.5625,0,55,0.119565217,0,0,35,0.134615385,0,0,51,58,140,0,0,65,15,55,0,20,0,0,120,0.258064516,0,0,90,0.857142857,0,0,0,0,0,0,0,0,45,0.3,15,0.1,0.791666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0.666666667,20,0.333333333,450,380,70,15,55,40,15,0,0.844444444,0.155555556,0.033333333,0.122222222,0.088888889,0.033333333,0,430,170,260,50,210,165,45,0,0.395348837,0.604651163,0.11627907,0.488372093,0.38372093,0.104651163,0
3003,BAYSHORE ,1735,390,0.224783862,200,0.115273775,905,0.521613833,0.141210375,0.141210375,0.44092219,0.034582133,0.014409222,0.020172911,0,0.628242075,0.18443804,0.43537415,0.005747126,0.110497238,0.11815562,830,715,115,520,62,53,14,40000,42300,37100,42700,18,25,0.723756906,320,350,0.201729107,120,0.258064516,175,0.170731707,60,0.244897959,37,36,245,265,0.420634921,60,25,35,0,765,245,10,935,0.537356322,230,0.132183908,290,0.666666667,115,0.264367816,15,0.034482759,0,0,0,0,280,0.391608392,90,0.125874126,0.889502762,0.091954023,1090,45,20,690,0,210,20,30,10,0,0,0,45,650,0.025936599,0.011527378,0.397694524,0,0.121037464,0.011527378,0.017291066,0.005763689,0,0,0,0.025936599,0.374639769,400,0.842105263,85,0.178947368,1730,1520,205,140,65,0,40,15,0.878612717,0.11849711,0.080924855,0.037572254,0,0.023121387,0.00867052,1645,870,770,375,400,40,135,225,0.52887538,0.468085106,0.227963526,0.243161094,0.024316109,0.082066869,0.136778116
3004,BEACON HILL SOUTH - CARDINAL HEIGHTS ,2690,375,0.139405204,360,0.133828996,1415,0.526022305,0.198884758,0.111524164,0.271375465,0.040892193,0.014869888,0.026022305,0,0.347583643,0.092936803,0.35971223,0,0.109540636,0.120817844,1345,1190,160,970,58,51,12,45560,47720,42800,48120,14,19,0.674911661,250,275,0.102230483,100,0.210526316,130,0.077380952,40,0.074074074,43,44,535,245,0.322368421,110,40,70,0,730,300,0,1775,0.658627087,290,0.107606679,505,0.677852349,160,0.214765101,50,0.067114094,15,0.020134228,10,0.013422819,435,0.365546218,145,0.121848739,0.890459364,0.046979866,935,45,15,680,0,110,10,0,0,0,0,30,30,1755,0.016728625,0.005576208,0.252788104,0,0.040892193,0.003717472,0,0,0,0,0.011152416,0.011152416,0.652416357,430,0.895833333,50,0.104166667,2670,2320,350,195,155,35,30,85,0.868913858,0.131086142,0.073033708,0.058052434,0.013108614,0.011235955,0.031835206,2575,1655,920,415,505,55,140,315,0.642718447,0.357281553,0.161165049,0.196116505,0.021359223,0.054368932,0.122330097
3005,BEAVERBROOK ,670,155,0.231343284,60,0.089552239,335,0.5,0.171641791,0.141791045,0.328358209,0.044776119,0,0.037313433,0,0.298507463,0.044776119,0.153846154,0,0.044776119,0.149253731,335,290,40,180,66,57,12,56800,64400,54400,63000,10,12,0.791044776,30,90,0.134328358,30,0.166666667,55,0.144736842,0,0,40,41,115,45,0.204545455,30,0,25,0,220,95,0,190,0.28358209,20,0.029850746,110,0.785714286,15,0.107142857,0,0,0,0,0,0,150,0.517241379,15,0.051724138,0.955223881,0.071428571,200,10,15,50,0,85,15,10,0,0,0,0,10,470,0.014925373,0.02238806,0.074626866,0,0.126865672,0.02238806,0.014925373,0,0,0,0,0.014925373,0.701492537,140,0.8,45,0.257142857,655,540,115,75,40,0,15,20,0.824427481,0.175572519,0.114503817,0.061068702,0,0.022900763,0.030534351,625,335,290,130,155,15,30,100,0.536,0.464,0.208,0.248,0.024,0.048,0.16
