var_name_clean,var_name,numerator,denominator,type,category,ind_or_hh,VAR_ID,source,reference_year
Total population,total_population,1,ONE,Number,Demographics,ind,VAR1,"Census of Population, 2021",2021
Percent of pop that are seniors age 65+,percent_of_pop_that_are_seniors_age_65,17,1,Percentage 2,Demographics,ind,VAR2,"Census of Population, 2021",2021
Number of seniors age 65+,number_of_seniors_age_65,17,ONE,Number,Demographics,ind,VAR3,"Census of Population, 2021",2021
Average age of the population,average_age_of_the_population,32,ONE,Average,Demographics,ind,VAR4,"Census of Population, 2021",2021
Median age of the population,median_age_of_the_population,33,ONE,Median,Demographics,ind,VAR5,"Census of Population, 2021",2021
Number of children living in one-parent families,number_of_children_living_in_one_parent_families,40,ONE,Number,Demographics,hh,VAR6,"Census of Population, 2021",2021
Percent of children living in one-parent families,percent_of_children_living_in_one_parent_families,40,38,Percentage 2,Demographics,hh,VAR7,"Census of Population, 2021",2021
Number of people living alone,number_of_people_living_alone,42,ONE,Number,Family comp,ind,VAR8,"Census of Population, 2021",2021
Percent of people living alone,percent_of_people_living_alone,42,34,Percentage 2,Family comp,ind,VAR9,"Census of Population, 2021",2021
Number of after-tax income recipients age 15+,number_of_after_tax_income_recipients_age_15,63,ONE,Number,Income/work,ind,VAR10,"Census of Population, 2021",2020
Average after-tax income in 2020 among recipients ($),average_after_tax_income_in_2020_among_recipients,65,ONE,Average,Income/work,ind,VAR11,"Census of Population, 2021",2020
Number of market income recipients age 15+,number_of_market_income_recipients_age_15,66,ONE,Number,Income/work,ind,VAR12,"Census of Population, 2021",2020
Average market income in 2020 among recipients ($),average_market_income_in_2020_among_recipients,68,ONE,Average,Income/work,ind,VAR13,"Census of Population, 2021",2020
Percent of income from government transfers (2020),percent_of_income_from_government_transfers_2020,84,ONE,Percentage 1,Income/work,ind,VAR14,"Census of Population, 2021",2020
Average after-tax income in 2019 among recipients ($),average_after_tax_income_in_2019_among_recipients,143,ONE,Average,Income/work,ind,VAR15,"Census of Population, 2021",2019
Average market income in 2019 among recipients ($),average_market_income_in_2019_among_recipients,146,ONE,Average,Income/work,ind,VAR16,"Census of Population, 2021",2019
Percent of income from government transfers (2019),percent_of_income_from_government_transfers_2019,159,ONE,Percentage 1,Income/work,ind,VAR17,"Census of Population, 2021",2019
Number of people in low-income based on LIM-AT,number_of_people_in_low_income_based_on_lim_at,171,ONE,Number,Income/work,ind,VAR18,"Census of Population, 2021",2020
Percent of people in low income based on LIM-AT,percent_of_people_in_low_income_based_on_lim_at,171,166,Percentage 2,Income/work,ind,VAR19,"Census of Population, 2021",2020
Number of people 0-17 in low income based on LIM-AT,number_of_people_0_17_in_low_income_based_on_lim_at,172,ONE,Number,Income/work,ind,VAR20,"Census of Population, 2021",2020
Percent of people 0-17 in low income based on LIM-AT,percent_of_people_0_17_in_low_income_based_on_lim_at,172,167,Percentage 2,Income/work,ind,VAR21,"Census of Population, 2021",2020
Number of people 18-64 in low income based on LIM-AT,number_of_people_18_64_in_low_income_based_on_lim_at,174,ONE,Number,Income/work,ind,VAR22,"Census of Population, 2021",2020
Percent of people 18-64 in low income based on LIM-AT,percent_of_people_18_64_in_low_income_based_on_lim_at,174,169,Percentage 2,Income/work,ind,VAR23,"Census of Population, 2021",2020
Number of people 65+ in low-income based on LIM-AT,number_of_people_65_in_low_income_based_on_lim_at,175,ONE,Number,Income/work,ind,VAR24,"Census of Population, 2021",2020
Percent of people 65+ in low-income based on LIM-AT,percent_of_people_65_in_low_income_based_on_lim_at,175,170,Percentage 2,Income/work,ind,VAR25,"Census of Population, 2021",2020
Number of pop living alone (i.e. 1-person household),number_of_pop_living_alone_i_e_1_person_household,224,ONE,Number,Family comp,hh,VAR26,"Census of Population, 2021",2021
Average household size,average_household_size,229,ONE,Average,Family comp,hh,VAR27,"Census of Population, 2021",2021
Number of owner households,number_of_owner_households,298,ONE,Number,Housing,hh,VAR28,"Census of Population, 2021",2021
Percent of owner households,percent_of_owner_households,298,297,Percentage 2,Housing,hh,VAR29,"Census of Population, 2021",2021
Percent of renter households,percent_of_renter_households,299,297,Percentage 2,Housing,hh,VAR30,"Census of Population, 2021",2021
Percent of households living in core housing need,percent_of_households_living_in_core_housing_need,363,362,Percentage 2,Housing,hh,VAR31,"Census of Population, 2021",2021
Number of households living in core housing need,number_of_households_living_in_core_housing_need,363,ONE,Number,Housing,hh,VAR32,"Census of Population, 2021",2021
Percent of owner households in core housing need,percent_of_owner_households_in_core_housing_need,368,ONE,Percentage 1,Housing,hh,VAR33,"Census of Population, 2021",2021
Median monthly shelter costs for owned dwellings ($),median_monthly_shelter_costs_for_owned_dwellings,369,ONE,Median,Housing,hh,VAR34,"Census of Population, 2021",2021
Average monthly shelter costs for owned dwellings ($),average_monthly_shelter_costs_for_owned_dwellings,370,ONE,Average,Housing,hh,VAR35,"Census of Population, 2021",2021
Number of tenant households,number_of_tenant_households,373,ONE,Number,Housing,hh,VAR36,"Census of Population, 2021",2021
Percent of tenant households living in subsidized housing,percent_of_tenant_households_living_in_subsidized_housing,374,ONE,Percentage 1,Housing,hh,VAR37,"Census of Population, 2021",2021
Percent of renter households in core housing need,percent_of_renter_households_in_core_housing_need,376,ONE,Percentage 1,Housing,hh,VAR38,"Census of Population, 2021",2021
Median monthly shelter costs for rented dwellings ($),median_monthly_shelter_costs_for_rented_dwellings,377,ONE,Median,Housing,hh,VAR39,"Census of Population, 2021",2021
Average monthly shelter costs for rented dwellings ($),average_monthly_shelter_costs_for_rented_dwellings,378,ONE,Average,Housing,hh,VAR40,"Census of Population, 2021",2021
Average size of census families,average_size_of_census_families,388,ONE,Average,Family comp,hh,VAR41,"Census of Population, 2021",2021
Percent of census families that are one-parent families,percent_of_census_families_that_are_one_parent_families,397,389,Percentage 2,Family comp,hh,VAR42,"Census of Population, 2021",2021
Number of one-parent families,number_of_one_parent_families,397,ONE,Number,Family comp,hh,VAR43,"Census of Population, 2021",2021
Percent of all census families that are one-parent families,percent_of_all_census_families_that_are_one_parent_families,397,389,Percentage 2,Family comp,hh,VAR44,"Census of Population, 2021",2021
Average number of children in census families with children,average_number_of_children_in_census_families_with_children,400,ONE,Average,Family comp,hh,VAR45,"Census of Population, 2021",2021
Average after-tax income of all economic families,average_after_tax_income_of_all_economic_families,405,ONE,Average,Income/work,hh,VAR46,"Census of Population, 2021",2020
Average after-tax income of couple-with-children economic families,average_after_tax_income_of_couple_with_children_economic_families,416,ONE,Average,Income/work,hh,VAR47,"Census of Population, 2021",2020
Average after-tax income of one-parent economic families,average_after_tax_income_of_one_parent_economic_families,423,ONE,Average,Income/work,hh,VAR48,"Census of Population, 2021",2020
Number of people with knowledge of only French as an official language,number_of_people_with_knowledge_of_only_french_as_an_official_language,427,ONE,Number,Language,ind,VAR49,"Census of Population, 2021",2021
Percent of people with knowledge of only French as an official language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,427,425,Percentage 2,Language,ind,VAR50,"Census of Population, 2021",2021
Percent of people who know neither English nor French,percent_of_people_who_know_neither_english_nor_french,429,425,Percentage 2,Language,ind,VAR51,"Census of Population, 2021",2021
Number of people who know neither English nor French,number_of_people_who_know_neither_english_nor_french,429,ONE,Number,Language,ind,VAR52,"Census of Population, 2021",2021
Percent of pop that are Indigenous,percent_of_pop_that_are_indigenous,1445,1444,Percentage 2,Indigenous,ind,VAR53,"Census of Population, 2021",2021
Number of people who are Indigenous,number_of_people_who_are_indigenous,1445,ONE,Number,Indigenous,ind,VAR54,"Census of Population, 2021",2021
Percent of Pop that are FN,percent_of_pop_that_are_fn,1447,1444,Percentage 2,Indigenous,ind,VAR55,"Census of Population, 2021",2021
Number of people who are FN,number_of_people_who_are_fn,1447,ONE,Number,Indigenous,ind,VAR56,"Census of Population, 2021",2021
Percent of Pop that are Metis,percent_of_pop_that_are_metis,1448,1444,Percentage 2,Indigenous,ind,VAR57,"Census of Population, 2021",2021
Number of people who are Metis,number_of_people_who_are_metis,1448,ONE,Number,Indigenous,ind,VAR58,"Census of Population, 2021",2021
Percent of Pop that are Inuit,percent_of_pop_that_are_inuit,1449,1444,Percentage 2,Indigenous,ind,VAR59,"Census of Population, 2021",2021
Number of people who are Inuit,number_of_people_who_are_inuit,1449,ONE,Number,Indigenous,ind,VAR60,"Census of Population, 2021",2021
Percent of pop that are immigrants,percent_of_pop_that_are_immigrants,1485,1483,Percentage 2,Immigration,ind,VAR61,"Census of Population, 2021",2021
Number of immigrants,number_of_immigrants,1485,ONE,Number,Immigration,ind,VAR62,"Census of Population, 2021",2021
Percent of pop that are recent immigrants (arr. 2016-2021),percent_of_pop_that_are_recent_immigrants_arr_2016_2021,1492,1483,Percentage 2,Immigration,ind,VAR63,"Census of Population, 2021",2021
