name,total_population,percent_of_pop_that_are_seniors_65,number_of_seniors_65,average_age_of_the_population,median_age_of_the_population,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_pop_living_alone,percent_of_pop_living_alone,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_pop_living_alone_i_e_1_person_household,average_household_size,number_of_owner_households,percent_of_owner_households,percent_of_renter_households,percent_of_households_living_in_core_housing_need,number_of_households_living_in_core_housing_need,percent_of_owner_households_in_core_housing_need,median_monthly_shelter_costs_for_owned_dwellings,average_monthly_shelter_costs_for_owned_dwellings,number_of_tenant_households,percent_of_tenant_households_living_in_subsidized_housing,percent_of_renter_households_in_core_housing_need,median_monthly_shelter_costs_for_rented_dwellings,average_monthly_shelter_costs_for_rented_dwellings,average_size_of_census_families,percent_of_census_families_that_are_one_parent_families,number_of_one_parent_families,percent_of_all_census_families_that_are_one_parent_families,average_number_of_children_in_census_families_with_children,average_after_tax_income_of_all_economic_families,average_after_tax_income_of_couple_with_children_economic_families,average_after_tax_income_of_one_parent_economic_families,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_pop_with_knowledge_of_neither_english_nor_french,number_of_people_with_knowledge_of_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_immigrants,number_of_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,percent_in_the_labour_force_participation_rate,number_of_pop_in_labour_force,unemployment_rate,number_of_pop_unemployed,number_of_people_age_25_64_w_no_high_school_diploma_or_equivalent,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_youth_age_15_24,percent_of_of_pop_that_are_youth_age_15_24,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,ONS_ID
airport_3001,295,0.2542372881355932,75,50.6,54.8,25,0.3125,25,0.0847457627118644,51600,65000,14.6,70500,105000,6.6,35,0.1206896551724138,0,0,25,0.1388888888888889,0,0,25,2.4,110,0.9166666666666666,0.08333333333333333,0.18181818181818185,20,0,1010,1880,0,NA,NA,NA,NA,2.5,0.1904761904761905,20,0.1904761904761905,1.5,134000,NA,50000,0,0,0,0,0.06896551724137931,20,0,0,0,0,0,0,0.3448275862068966,100,0,0,0,0,0,0.1896551724137931,55,0.5178571428571429,145,0.06896551724137931,10,25,0.15625,140,0.875,115,0.71875,40,0.2962962962962963,10,0.07407407407407407,75,0.7894736842105263,0,0,10,0.10526315789473684,0,0,0,0,0,40,0.13559322033898305,0,0,3001
alta_vista_3002,7775,0.1954983922829582,1520,42.4,43.6,325,0.14412416851441243,655,0.0842443729903537,64000,83800,8.6,63550,80700,6.2,390,0.05016077170418006,60,0.03858520900321544,245,0.05212765957446808,85,0.0561056105610561,655,2.5,2405,0.7859477124183006,0.2107843137254902,0.04697986577181208,140,2.5,1370,1866,645,5.4,13.4,1470,1580,2.9,0.10065645514223195,230,0.10065645514223195,1.8,158000,172000,91000,65,0.00836550836550836,0.00707850707850707,55,0.00964630225080386,75,0.00321543408360128,25,0.00643086816720257,50,0,0,0.20643086816720255,1605,0.02636655948553054,205,0.01864951768488746,0.13302752293577982,145,0.21864951768488747,1700,0.65284178187404,4250,0.08588235294117647,365,135,0.03387703889585947,3850,0.9661229611041404,3365,0.8444165621079046,2060,0.5302445302445302,330,0.08494208494208494,1365,0.7562326869806094,120,0.0664819944598338,180,0.0997229916897507,55,0.03047091412742382,85,0.04709141274238227,0.01939058171745152,1010,0.12990353697749196,785,0.10102960102960104,3002
bayshore_3003,14255,0.13398807435987373,1910,37,33.2,1890,0.40864864864864864,1795,0.12592072956857242,37600,39040,24.8,33840,38440,17.3,2515,0.17642932304454578,855,0.28171334431630973,1325,0.14239656098871575,340,0.17801047120418848,1795,2.5,1395,0.24366812227074236,0.7563318777292577,0.2407906558849955,1340,11.8,1000,1302,4330,14,28.1,1350,1328,3,0.27323943661971833,970,0.27323943661971833,2,81600,89000,63400,230,0.01613468958260259,0.02981410031567871,425,0.02770957558751315,395,0.01683619782532445,240,0.00806734479130129,115,0.0014030164854437,20,0.4145913714486145,5910,0.1346895826025956,1920,0.1406524026657313,0.3675527039413382,2005,0.6050508593475973,8625,0.6272493573264781,7320,0.16256830601092895,1190,975,0.1261319534282018,6755,0.8738680465717982,5195,0.6720569210866753,1915,0.31265306122448977,755,0.12326530612244896,2890,0.6872770511296076,965,0.2294887039239001,205,0.04875148632580262,35,0.00832342449464922,100,0.02378121284185493,0.07728894173602854,2025,0.14205541915117503,940,0.06594177481585409,3003
beacon_hill_south_cardinal_heights_3004,7700,0.18766233766233767,1445,41.3,40,720,0.31929046563192903,1025,0.1331168831168831,43720,46120,19.8,40720,46040,14.1,865,0.11233766233766232,270,0.18243243243243243,435,0.0910041841004184,155,0.10726643598615918,1020,2.4,2195,0.6806201550387597,0.3178294573643411,0.16113744075829384,510,8.5,1260,1372,1025,7.3,32.7,1300,1364,2.9,0.22524752475247525,455,0.22524752475247525,1.8,98700,108000,72800,290,0.03766233766233766,0.01753246753246753,135,0.03506493506493506,270,0.01688311688311688,130,0.01623376623376623,125,0,0,0.3246753246753247,2500,0.09935064935064936,765,0.09675324675324676,0.3348314606741573,745,0.41753246753246753,3215,0.6052836052836053,3895,0.11424903722721438,445,455,0.11151960784313726,3625,0.8884803921568627,2755,0.6752450980392157,1235,0.35745296671490595,385,0.1114327062228654,1480,0.6773455377574371,465,0.2128146453089245,150,0.06864988558352403,20,0.0091533180778032,75,0.03432494279176201,0.07551487414187644,915,0.11883116883116884,1775,0.2305194805194805,3004
beaverbrook_3005,6780,0.2205014749262537,1495,43.3,44,615,0.28805620608899296,710,0.10471976401179942,52100,58350,13.8,49160,57400,10.4,575,0.08487084870848709,155,0.1087719298245614,315,0.08160621761658031,110,0.07357859531772576,710,2.5,2035,0.7346570397111913,0.26534296028880866,0.11049723756906076,300,6.9,1290,1456,730,12.3,23.2,1600,1516,2.9,0.20947630922693267,420,0.20947630922693267,1.7,116200,135000,76000,25,0.00368731563421828,0.01253687315634218,85,0.02952029520295203,200,0.01328413284132841,90,0.01254612546125461,85,0,0,0.2656826568265683,1800,0.06568265682656826,445,0.03613569321533923,0.17314487632508835,245,0.2605166051660517,1765,0.6019417475728155,3410,0.10410557184750734,355,150,0.04451038575667656,3220,0.9554896142433236,2640,0.7833827893175074,1475,0.48440065681444994,270,0.08866995073891626,1235,0.7891373801916933,160,0.1022364217252396,80,0.0511182108626198,40,0.0255591054313099,55,0.03514376996805112,0.05431309904153354,805,0.1187315634218289,190,0.02802359882005899,3005
beechwood_cemetery_3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3006
bells_corners_east_3007,5005,0.2187812187812188,1095,45.1,47.6,340,0.2595419847328244,600,0.11988011988011987,47200,51250,16.8,44200,49600,12.4,290,0.058,55,0.06748466257668712,180,0.05806451612903226,55,0.05045871559633028,600,2.4,1795,0.8427230046948356,0.15258215962441316,0.07819905213270142,165,4.5,800,1225,330,0,25,1550,1540,2.7,0.15593220338983052,230,0.15593220338983052,1.7,109500,124000,86000,0,0,0.00599400599400599,30,0.037,185,0.017,85,0.018,90,0,0,0.178,890,0.028,140,0.02197802197802198,0.17054263565891473,110,0.174,870,0.6136890951276102,2645,0.10586011342155008,280,215,0.07875457875457875,2525,0.924908424908425,2000,0.7326007326007326,915,0.386892177589852,240,0.1014799154334038,1190,0.8263888888888888,135,0.09375,90,0.0625,0,0,25,0.01736111111111111,0.03819444444444445,490,0.0979020979020979,100,0.01998001998001998,3007
bells_corners_west_3008,4155,0.16726835138387486,695,41.2,39.6,465,0.3705179282868526,590,0.14199759326113118,43040,45840,18.5,39000,44120,13.6,425,0.1022864019253911,125,0.176056338028169,200,0.07272727272727272,110,0.15942028985507245,595,2.3,1295,0.7095890410958904,0.29041095890410956,0.1361111111111111,245,7.5,1410,1336,530,34.9,28.6,1300,1240,2.8,0.29914529914529914,350,0.29914529914529914,1.6,95600,114000,67600,10,0.00240673886883273,0.00962695547533092,40,0.03249097472924187,135,0.01444043321299639,60,0.01323706377858002,55,0.00240673886883273,10,0.24067388688327315,1000,0.0457280385078219,190,0.05535499398315283,0.26744186046511625,230,0.27918170878459686,1160,0.68,2380,0.10084033613445378,240,260,0.10947368421052632,2115,0.8905263157894737,1525,0.6421052631578947,720,0.3372365339578454,195,0.09133489461358314,1090,0.7703180212014135,160,0.11307420494699646,100,0.0706713780918728,10,0.00706713780918727,50,0.0353356890459364,0.06713780918727916,435,0.10469314079422384,130,0.03128760529482551,3008
billings_bridge_heron_park_3009,5875,0.17617021276595746,1035,40.1,34.4,530,0.44537815126050423,1280,0.2178723404255319,39280,42760,21.3,35560,40840,14.6,1355,0.23083475298126063,205,0.26282051282051283,750,0.18450184501845016,400,0.3883495145631068,1275,2,960,0.32323232323232326,0.6784511784511784,0.18815331010452965,540,7.3,1180,1404,2010,28.4,24.3,1120,1129,2.7,0.2490566037735849,330,0.2490566037735849,1.7,89700,108000,67500,85,0.01448040885860306,0.02385008517887564,140,0.03918228279386712,230,0.01533219761499148,90,0.01448040885860306,85,0.00851788756388415,50,0.2776831345826235,1630,0.06132879045996593,360,0.07404255319148936,0.3346153846153846,435,0.3833049403747871,2250,0.6248794599807136,3240,0.12808641975308643,415,275,0.08771929824561403,2860,0.912280701754386,2355,0.7511961722488039,1200,0.425531914893617,285,0.10106382978723404,1070,0.6604938271604939,340,0.20987654320987653,130,0.08024691358024691,10,0.00617283950617283,65,0.04012345679012345,0.03703703703703703,1020,0.17361702127659576,405,0.06899488926746167,3009
blackburn_hamlet_3010,8040,0.208955223880597,1680,42.3,42.8,710,0.27307692307692305,710,0.08830845771144279,51300,55900,15.3,48760,56650,11.1,550,0.06840796019900497,225,0.13353115727002968,265,0.05674518201284796,55,0.03273809523809524,705,2.5,2410,0.7602523659305994,0.23974763406940064,0.10063897763578276,315,3.8,1290,1426,760,11.2,29.7,1310,1304,2.9,0.18867924528301888,450,0.18867924528301888,1.8,114800,131000,70000,225,0.02800248911014312,0.0043559427504667,35,0.03047263681592039,245,0.01741293532338308,140,0.0099502487562189,80,0,0,0.16666666666666666,1340,0.02736318407960199,220,0.03606965174129353,0.29743589743589743,290,0.1958955223880597,1575,0.6293759512937596,4135,0.09310761789600969,385,325,0.08024691358024691,3720,0.9185185185185184,2950,0.7283950617283951,1605,0.428,290,0.07733333333333334,1675,0.7827102803738317,275,0.12850467289719625,120,0.05607476635514018,15,0.00700934579439252,55,0.02570093457943925,0.03738317757009345,840,0.1044776119402985,1255,0.15619166148102054,3010
