name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,number_of_immigrants,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,ONS_ID
ottawa_airport_3001,255,75,0.29411764705882354,56.4,56.4,25,0.09803921568627452,250,55200,225,68000,14.6,73000,109000,6.6,0,0,180,0.7058823529411765,75,0.29411764705882354,30,0.1176470588235294,0,0,0,0,0.0392156862745098,10,0,0,0,0,0,0,100,0.392156862745098,0,0,0,0,0,0.17647058823529413,45,145,0.5686274509803921,10,0.06896551724137931,20,0.12121212121212122,140,0.8484848484848485,115,0.696969696969697,45,0.3333333333333333,10,0.07407407407407407,75,0.8333333333333334,0,0,10,0.1111111111111111,0,0,0,0,0,0,0,10,0.0392156862745098,3001
ottawa_alta_vista_3002,6215,1520,0.24456958970233303,50.6,51.2,660,0.10619469026548672,6130,65300,5830,85600,8.6,64000,81400,6.2,0,0,4700,0.7562349155269509,1515,0.2437650844730491,325,0.05229283990345937,0,0,45,0.00723472668810289,0.00964630225080386,60,0.00482315112540193,30,0.00562700964630225,35,0,0,1530,0.2459807073954984,0.02572347266881029,160,0.02172164119066774,0.13366336633663367,135,0.19935691318327975,1240,4185,0.6728295819935691,360,0.08602150537634409,135,0.03387703889585947,3855,0.9673776662484316,3365,0.8444165621079046,2050,0.5352480417754569,325,0.08485639686684072,1335,0.7585227272727273,110,0.0625,170,0.09659090909090907,50,0.0284090909090909,85,0.04829545454545454,0.02272727272727272,545,0.08762057877813505,710,0.11423974255832664,3002
ottawa_bayshore_3003,11220,1910,0.17023172905525846,44.7,40.4,1795,0.15998217468805703,10860,38240,8965,39680,24.7,34000,38560,17.3,0,0,9310,0.8301382077574677,1910,0.17030762371823452,1660,0.14801604993312528,130,0.01158645276292335,310,0.02762923351158645,0.0249554367201426,280,0.0160427807486631,180,0.00623885918003565,70,0.00133689839572192,15,5160,0.45989304812834225,0.12344028520499108,1385,0.14572192513368984,0.3471337579617834,1635,0.5628342245989305,6315,7255,0.6466131907308378,1170,0.16126809097174363,970,0.12548512289780078,6760,0.8745148771021992,5200,0.6727037516170763,1915,0.31470829909613807,755,0.12407559572719803,2860,0.6875,955,0.22956730769230768,205,0.04927884615384615,35,0.00841346153846153,105,0.02524038461538461,0.07692307692307693,635,0.05659536541889483,1580,0.1408199643493761,3003
ottawa_beacon_hill_south_cardinal_heights_3004,6220,1445,0.23231511254019296,49.1,47.6,1025,0.1647909967845659,6125,44120,5420,46560,19.8,40880,46200,14.1,0,0,4775,0.7676848874598071,1445,0.23231511254019296,595,0.09565916398713828,165,0.02652733118971061,100,0.01607717041800643,0.03536977491961415,220,0.01929260450160772,120,0.01527331189710611,95,0,0,2160,0.34726688102893893,0.07556270096463022,470,0.09163987138263666,0.30238726790450926,570,0.38263665594855306,2380,3860,0.6200803212851406,445,0.11528497409326424,450,0.11042944785276074,3620,0.8883435582822086,2755,0.6760736196319018,1230,0.3601756954612006,380,0.11127379209370424,1470,0.6837209302325581,455,0.2116279069767442,140,0.06511627906976744,15,0.00697674418604651,70,0.03255813953488372,0.07906976744186046,1395,0.22427652733118972,705,0.11334405144694534,3004
ottawa_beaverbrook_3005,5355,1495,0.2791783380018674,52,51.6,710,0.13258636788048553,5270,53100,4930,59400,13.8,49680,58050,10.4,0,0,3855,0.7198879551820728,1495,0.2791783380018674,420,0.0784313725490196,0,0,60,0.01120448179271708,0.02707749766573296,145,0.0130718954248366,70,0.01027077497665733,55,0,0,1570,0.2931839402427638,0.05508870214752567,295,0.04108309990662932,0.18565400843881855,220,0.23902894491129784,1280,3320,0.6205607476635514,330,0.09939759036144578,150,0.04451038575667656,3220,0.9554896142433236,2635,0.7818991097922848,1475,0.49331103678929766,270,0.0903010033444816,1185,0.7821782178217822,160,0.1056105610561056,80,0.0528052805280528,40,0.0264026402640264,50,0.033003300330033,0.0561056105610561,145,0.02707749766573296,495,0.09243697478991596,3005
ottawa_beechwood_cemetery_3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3006
ottawa_bells_corners_east_3007,4185,1095,0.2616487455197133,52.1,54,600,0.14336917562724014,4125,47680,3755,51750,16.9,44520,50000,12.4,0,0,3095,0.7395459976105138,1090,0.26045400238948624,235,0.05615292712066905,0,0,25,0.00596658711217183,0.03341288782816229,140,0.01551312649164677,65,0.01551312649164677,65,0,0,830,0.19809069212410504,0.02625298329355608,110,0.02389486260454002,0.17094017094017094,100,0.15513126491646778,650,2590,0.6181384248210023,270,0.10424710424710423,210,0.07678244972577697,2520,0.9213893967093236,2000,0.7312614259597806,910,0.3922413793103448,240,0.10344827586206896,1165,0.8321428571428572,130,0.09285714285714286,80,0.05714285714285714,0,0,25,0.01785714285714285,0.03571428571428571,80,0.01909307875894988,365,0.08721624850657109,3007
ottawa_bells_corners_west_3008,3445,695,0.2017416545718433,48.1,47.6,590,0.17126269956458637,3395,43320,2990,46160,18.6,39080,44200,13.6,0,0,2750,0.7994186046511628,690,0.2005813953488372,305,0.08866279069767442,10,0.00290275761973875,20,0.0058055152394775,0.02612481857764876,90,0.01306240928882438,45,0.01015965166908563,35,0.00290275761973875,10,930,0.26995645863570394,0.03773584905660377,130,0.05805515239477504,0.25157232704402516,200,0.2525399129172714,870,2365,0.6875,240,0.1014799154334038,260,0.1092436974789916,2115,0.8886554621848739,1525,0.6407563025210085,725,0.3411764705882353,200,0.09411764705882351,1090,0.7758007117437722,160,0.11387900355871886,105,0.07473309608540925,0,0,55,0.03914590747330961,0.0711743772241993,100,0.02902757619738752,380,0.11030478955007256,3008
ottawa_billings_bridge_heron_park_3009,5095,1035,0.20314033366045145,45,39.6,1280,0.2512266928361138,5015,39680,4215,43200,21.4,35640,40880,14.6,0,0,4060,0.7968596663395485,1030,0.20215897939156036,1150,0.225711481844946,85,0.01668302257114818,125,0.02453385672227674,0.03827281648675171,195,0.01472031403336604,75,0.01766437684003925,90,0.00490677134445534,25,1555,0.30520117762512267,0.06378802747791953,325,0.0745829244357213,0.31020408163265306,380,0.3611383709519137,1840,3205,0.6290480863591756,400,0.124804992199688,275,0.08771929824561403,2855,0.9106858054226477,2355,0.7511961722488039,1200,0.42704626334519574,285,0.101423487544484,1065,0.6594427244582043,340,0.21052631578947367,125,0.07739938080495357,15,0.00928792569659442,65,0.04024767801857585,0.04024767801857585,285,0.05593719332679097,930,0.18253189401373895,3009
ottawa_blackburn_hamlet_3010,6350,1680,0.26456692913385826,51.2,50.4,705,0.1110236220472441,6250,51700,5790,56400,15.3,48920,56850,11.1,0,0,4670,0.7354330708661417,1680,0.26456692913385826,325,0.05118110236220472,120,0.01888276947285602,35,0.005507474429583,0.02992125984251968,190,0.01811023622047244,115,0.01023622047244094,65,0,0,1255,0.19763779527559056,0.02677165354330708,170,0.03858267716535433,0.2752808988764045,245,0.17559055118110237,1115,4070,0.6409448818897637,355,0.08722358722358722,325,0.08034610630407911,3725,0.9208899876390606,2955,0.73053152039555,1605,0.43203230148048455,290,0.07806191117092867,1650,0.7857142857142857,270,0.12857142857142856,110,0.05238095238095238,15,0.00714285714285714,60,0.02857142857142857,0.0380952380952381,930,0.14634146341463414,620,0.09763779527559056,3010
