name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,number_of_immigrants,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,ONS_ID
ottawa_airport_3001,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,3001
ottawa_alta_vista_3002,105,0,0,39.2,39.2,0,0,100,51000,85,68000,7.6,51000,76000,3.8,15,0.14285714285714285,85,0.8095238095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,1,0,0,0.09523809523809525,0.09090909090909093,10,0.8181818181818182,90,70,0.7,10,0.14285714285714285,0,0,70,1,70,1,25,0.35714285714285715,0,0,40,0.8888888888888888,0,0,0,0,0,0,0,0,0,0,0,20,0.1904761904761905,3002
ottawa_bayshore_3003,875,45,0.05142857142857143,34.4,33.6,25,0.02857142857142857,735,32500,570,31500,31.1,28850,32000,20,155,0.17714285714285713,675,0.7714285714285715,45,0.05142857142857143,145,0.1657142857142857,15,0.01714285714285714,50,0.05714285714285714,0,0,0,0,0,0,0,0,875,1,0,0,0.3828571428571429,0.3828571428571429,335,0.9828571428571428,860,470,0.6064516129032258,90,0.1914893617021277,115,0.21296296296296297,425,0.7870370370370371,330,0.6111111111111112,80,0.21052631578947367,35,0.09210526315789472,190,0.6333333333333333,95,0.31666666666666665,10,0.03333333333333333,0,0,10,0.03333333333333333,0.1,90,0.10285714285714286,185,0.21142857142857144,3003
ottawa_beacon_hill_south_cardinal_heights_3004,370,35,0.0945945945945946,39,35.6,20,0.05405405405405406,340,35800,290,36000,22.2,30600,34000,11.7,25,0.0684931506849315,310,0.8493150684931506,35,0.0958904109589041,25,0.0684931506849315,25,0.06756756756756757,10,0.02702702702702703,0,0,0,0,0,0,0,0,365,1,0,0,0.14864864864864866,0.1506849315068493,55,0.8493150684931506,310,275,0.7857142857142857,50,0.18181818181818185,25,0.10416666666666669,210,0.875,170,0.7083333333333334,60,0.26666666666666666,25,0.1111111111111111,100,0.5882352941176471,55,0.3235294117647059,10,0.0588235294117647,0,0,0,0,0.0588235294117647,70,0.1891891891891892,80,0.21621621621621623,3004
ottawa_beaverbrook_3005,225,0,0,31.4,38.4,0,0,150,54000,150,57000,13.2,44000,48000,12.4,70,0.3111111111111111,155,0.6888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,1,0,0,0.08888888888888889,0.09090909090909093,20,0.8636363636363636,190,135,0.75,10,0.07407407407407407,15,0.12,115,0.92,110,0.88,35,0.2916666666666667,30,0.25,65,0.7222222222222222,10,0.1111111111111111,10,0.1111111111111111,0,0,0,0,0.1111111111111111,0,0,45,0.2,3005
ottawa_beechwood_cemetery_3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3006
ottawa_bells_corners_east_3007,105,0,0,36.4,36.4,0,0,90,38500,80,36000,28,33000,35500,11,0,0,80,0.7619047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,1,0,0,0,0,0,0.9523809523809524,100,80,0.8888888888888888,30,0.375,0,0,80,1,65,0.8125,25,0.4545454545454546,10,0.18181818181818185,30,1,0,0,0,0,0,0,0,0,0,0,0,10,0.09523809523809525,3007
ottawa_bells_corners_west_3008,85,10,0.1176470588235294,44,38.4,0,0,75,40000,65,46000,17,32000,44000,13,0,0,65,0.7222222222222222,0,0,0,0,0,0,10,0.1176470588235294,0,0,0,0,0,0,0,0,90,1,0,0,0.1176470588235294,0.1111111111111111,10,0.7777777777777778,70,60,0.7058823529411765,0,0,10,0.14285714285714285,55,0.7857142857142857,40,0.5714285714285714,10,0.18181818181818185,0,0,30,0.6666666666666666,20,0.4444444444444444,0,0,0,0,0,0,0.4444444444444444,0,0,0,0,3008
ottawa_billings_bridge_heron_park_3009,195,10,0.05128205128205128,34.8,34.8,20,0.10256410256410256,155,38000,150,28800,35,32000,27200,22,40,0.20512820512820512,145,0.7435897435897436,0,0,25,0.1282051282051282,20,0.10256410256410256,10,0.05128205128205128,0,0,0,0,0,0,0,0,200,1,0,0,0.358974358974359,0.35,70,0.875,175,120,0.7741935483870968,10,0.08333333333333333,10,0.07692307692307693,125,0.9615384615384616,90,0.6923076923076923,35,0.3181818181818182,15,0.13636363636363635,60,0.75,15,0.1875,0,0,0,0,0,0,0,40,0.20512820512820512,15,0.07692307692307693,3009
ottawa_blackburn_hamlet_3010,90,0,0,32,32.8,0,0,70,44000,65,39000,26,42000,46000,10,0,0,75,0.7894736842105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0.5,0.5,45,0.8888888888888888,80,65,0.7647058823529411,10,0.15384615384615383,10,0.16666666666666666,50,0.8333333333333334,45,0.75,10,0.16666666666666666,10,0.16666666666666666,30,0.6666666666666666,10,0.2222222222222222,0,0,0,0,10,0.2222222222222222,0.2222222222222222,15,0.15789473684210523,15,0.16666666666666666,3010
