name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,ONS_ID
ottawa_airport_3001,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,3001
ottawa_alta_vista_3002,205,0,0,31.5,33.6,25,0.12195121951219512,160,48000,140,58000,11.2,42000,58000,6,0,0,0,0,0,0,0,0,0,0,0,0,0.7073170731707317,145,130,0.7647058823529411,0,0,10,0.06451612903225806,155,1,135,0.8709677419354839,65,0.5416666666666666,15,0.125,0,45,0.2195121951219512,10,0.04878048780487805,3002
ottawa_bayshore_3003,1920,40,0.02083333333333333,27.9,29,80,0.04166666666666666,1380,37760,1115,41300,22,28700,34900,16.6,345,0.1796875,125,0.06510416666666667,0,0,0,0,0,0,0,0,0.9453125,1815,1025,0.6925675675675675,155,0.15121951219512195,175,0.1483050847457627,1005,0.8516949152542372,890,0.7542372881355932,315,0.3620689655172414,100,0.11494252873563218,0.09090909090909093,140,0.07291666666666667,265,0.13802083333333334,3003
ottawa_beacon_hill_south_cardinal_heights_3004,770,30,0.03896103896103896,27.4,25,20,0.02597402597402597,445,35400,360,29400,38.8,24000,23300,26.8,165,0.21428571428571427,35,0.04545454545454545,0,0,0,0,0,0,0,0,0.9019607843137256,690,310,0.6019417475728155,65,0.20967741935483872,65,0.18055555555555555,295,0.8194444444444444,250,0.6944444444444444,55,0.22916666666666663,30,0.125,0.17142857142857143,190,0.24675324675324675,130,0.16883116883116883,3004
ottawa_beaverbrook_3005,440,25,0.05681818181818181,30.2,31.4,0,0,295,36000,290,38400,13,28400,33200,10,115,0.26136363636363635,25,0.05681818181818181,0,0,0,0,0,0,0,0,0.6292134831460674,280,235,0.7580645161290323,20,0.0851063829787234,15,0.0625,220,0.9166666666666666,200,0.8333333333333334,105,0.4772727272727273,30,0.13636363636363635,0.13043478260869565,20,0.04545454545454545,40,0.09090909090909093,3005
ottawa_beechwood_cemetery_3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3006
ottawa_bells_corners_east_3007,140,0,0,30.8,30.2,10,0.07142857142857142,115,38500,100,41000,21,32500,39000,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0.6785714285714286,95,100,0.8695652173913043,20,0.2,0,0,90,1,90,1,45,0.5625,10,0.125,0,0,0,20,0.14285714285714285,3007
ottawa_bells_corners_west_3008,185,0,0,27.1,29.6,0,0,125,37500,100,38500,25,25600,28400,24,0,0,0,0,0,0,0,0,0,0,0,0,0.8947368421052632,170,100,0.7692307692307693,15,0.15,15,0.15,85,0.85,80,0.8,45,0.5294117647058824,10,0.1176470588235294,0.3333333333333333,0,0,20,0.10810810810810811,3008
ottawa_billings_bridge_heron_park_3009,360,20,0.05555555555555555,33.9,32.8,40,0.1111111111111111,310,32400,245,32800,27.6,24800,28400,15.2,145,0.4027777777777778,20,0.05555555555555555,0,0,0,0,0,0,0,0,0.9166666666666666,330,255,0.796875,40,0.1568627450980392,15,0.05555555555555555,255,0.9444444444444444,210,0.7777777777777778,100,0.46511627906976744,25,0.11627906976744186,0.08333333333333333,70,0.19444444444444445,30,0.08333333333333333,3009
ottawa_blackburn_hamlet_3010,220,10,0.04545454545454545,31.7,32,0,0,145,30800,135,24800,30,28000,29200,16,60,0.2727272727272727,0,0,0,0,0,0,0,0,0,0,0.9318181818181818,205,135,0.7941176470588235,25,0.18518518518518515,10,0.07692307692307693,120,0.9230769230769232,115,0.8846153846153846,25,0.2272727272727273,10,0.09090909090909093,0,40,0.18181818181818185,30,0.13636363636363635,3010
