name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,ONS_ID
ottawa_airport_3001,100,45,0.45,61.6,59.6,0,0,100,57000,90,70000,14.8,69000,90000,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4,40,40,0.4,0,0,0,0,50,0.9090909090909092,40,0.7272727272727273,10,0.25,0,0,0,0,0,0,0,3001
ottawa_alta_vista_3002,1610,490,0.30434782608695654,53.8,54.8,180,0.11180124223602483,1520,60950,1395,78000,11.4,58750,76900,8.9,160,0.09968847352024922,45,0.02803738317757009,0,0,0,0,0,0,0,0,0.5327102803738317,855,920,0.5935483870967742,65,0.07065217391304347,30,0.03045685279187817,955,0.9695431472081218,865,0.8781725888324873,455,0.5321637426900585,85,0.09941520467836255,0,115,0.07165109034267912,80,0.04968944099378881,3002
ottawa_bayshore_3003,5910,945,0.1598984771573604,42.4,40.4,585,0.09898477157360408,5135,36680,3975,38000,28.9,32800,37280,20.9,1020,0.17258883248730963,330,0.05583756345177665,0,0,0,0,0,0,0,0,0.8764805414551607,5180,3235,0.6046728971962617,525,0.16228748068006182,600,0.1595744680851064,3160,0.8404255319148937,2520,0.6702127659574468,795,0.2933579335793358,345,0.12730627306273062,0.08093994778067885,415,0.07021996615905245,645,0.10913705583756345,3003
ottawa_beacon_hill_south_cardinal_heights_3004,2500,510,0.204,44.3,43.6,260,0.104,2115,39440,1815,38800,25.8,35360,38560,17.2,345,0.138,95,0.038,0,0,0,0,0,0,0,0,0.818,2045,1405,0.6314606741573033,190,0.13523131672597866,180,0.127208480565371,1240,0.8763250883392226,990,0.6996466431095406,295,0.24180327868852455,120,0.09836065573770492,0.07262569832402235,445,0.178,300,0.12,3004
ottawa_beaverbrook_3005,1800,505,0.28055555555555556,49,48.4,145,0.08055555555555556,1565,49160,1430,54800,15.6,45200,53300,13,195,0.10833333333333334,55,0.03055555555555555,0.00555555555555555,10,0.00555555555555555,10,0,0,0,0,0.5972222222222222,1075,910,0.56,90,0.0989010989010989,50,0.05263157894736842,895,0.9421052631578948,785,0.8263157894736842,360,0.4390243902439024,95,0.11585365853658536,0.07526881720430108,45,0.025,170,0.09444444444444444,3005
ottawa_beechwood_cemetery_3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3006
ottawa_bells_corners_east_3007,890,260,0.29213483146067415,51.3,51.6,80,0.0898876404494382,845,42400,735,44800,21.7,39200,43100,15.6,45,0.05027932960893855,25,0.02793296089385474,0,0,0,0,0,0,0,0,0.6067415730337079,540,535,0.6257309941520468,80,0.14953271028037382,45,0.0891089108910891,460,0.9108910891089108,400,0.7920792079207921,160,0.3516483516483517,45,0.0989010989010989,0.05084745762711865,0,0,85,0.09550561797752807,3007
ottawa_bells_corners_west_3008,995,235,0.23618090452261303,49.1,51.6,120,0.12060301507537688,910,43000,775,46500,19.7,36800,43400,14.8,130,0.1306532663316583,20,0.02010050251256281,0,0,0,0,0,0,0,0,0.715,715,620,0.6666666666666666,55,0.08870967741935484,105,0.16279069767441862,540,0.8372093023255814,440,0.6821705426356589,195,0.34513274336283184,70,0.12389380530973453,0.0945945945945946,10,0.0100502512562814,50,0.05025125628140704,3008
ottawa_billings_bridge_heron_park_3009,1630,525,0.3220858895705521,51.6,52,445,0.27300613496932513,1535,36400,1170,37300,32.7,32320,35500,24.9,530,0.32515337423312884,110,0.06748466257668712,0,0,0,0,0,0,0,0,0.6993865030674846,1140,870,0.5594855305466238,135,0.15517241379310345,80,0.08376963350785341,875,0.9162303664921466,730,0.7643979057591623,320,0.43537414965986393,85,0.11564625850340136,0.04819277108433735,140,0.08588957055214724,70,0.04294478527607362,3009
ottawa_blackburn_hamlet_3010,1340,435,0.3246268656716418,52.5,54.4,100,0.07462686567164178,1225,44700,1100,45300,22.2,41900,46500,15.6,120,0.08955223880597014,25,0.01865671641791044,0,0,0,0,0,0,0,0,0.6380597014925373,855,765,0.6,90,0.1176470588235294,75,0.10273972602739724,650,0.8904109589041096,525,0.7191780821917808,240,0.35555555555555557,90,0.13333333333333333,0.05747126436781609,165,0.12313432835820896,100,0.07462686567164178,3010
