name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,number_of_immigrants,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,ONS_ID
ottawa_airport_3001,100,45,0.45,61.6,59.6,0,0,100,57000,90,70000,14.8,69000,90000,8.4,0,0,55,0.55,45,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0,0,0,0,0,0.4,40,40,0.4,0,0,0,0,50,0.9090909090909092,40,0.7272727272727273,10,0.25,0,0,25,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,3001
ottawa_alta_vista_3002,1610,490,0.30434782608695654,53.8,54.8,180,0.11180124223602483,1520,60950,1395,78000,11.4,58750,76900,8.9,75,0.04672897196261682,1040,0.6479750778816199,490,0.3052959501557632,160,0.09968847352024922,15,0.00934579439252336,45,0.02803738317757009,0,0,0,0,0,0,0,0,1605,1,0.1277258566978193,205,0.09006211180124224,0.13302752293577982,145,0.5327102803738317,855,920,0.5935483870967742,65,0.07065217391304347,30,0.03045685279187817,955,0.9695431472081218,865,0.8781725888324873,455,0.5321637426900585,85,0.09941520467836255,335,0.8589743589743589,20,0.05128205128205128,25,0.0641025641025641,0,0,15,0.03846153846153846,0,115,0.07165109034267912,80,0.04968944099378881,3002
ottawa_bayshore_3003,5910,945,0.1598984771573604,42.4,40.4,585,0.09898477157360408,5135,36680,3975,38000,28.9,32800,37280,20.9,750,0.12690355329949238,4220,0.7140439932318104,945,0.1598984771573604,1020,0.17258883248730963,160,0.02707275803722504,330,0.05583756345177665,0,0,0,0,0,0,0,0,5910,1,0.3248730964467005,1920,0.3392554991539763,0.3675527039413382,2005,0.8764805414551607,5180,3235,0.6046728971962617,525,0.16228748068006182,600,0.1595744680851064,3160,0.8404255319148937,2520,0.6702127659574468,795,0.2933579335793358,345,0.12730627306273062,1370,0.7154046997389034,435,0.22715404699738903,70,0.03655352480417755,0,0,30,0.01566579634464751,0.08093994778067885,415,0.07021996615905245,645,0.10913705583756345,3003
ottawa_beacon_hill_south_cardinal_heights_3004,2500,510,0.204,44.3,43.6,260,0.104,2115,39440,1815,38800,25.8,35360,38560,17.2,340,0.136,1650,0.66,505,0.202,345,0.138,170,0.068,95,0.038,0,0,0,0,0,0,0,0,2500,1,0.306,765,0.298,0.3348314606741573,745,0.818,2045,1405,0.6314606741573033,190,0.13523131672597866,180,0.127208480565371,1240,0.8763250883392226,990,0.6996466431095406,295,0.24180327868852455,120,0.09836065573770492,590,0.659217877094972,240,0.2681564245810056,25,0.02793296089385474,0,0,35,0.03910614525139665,0.07262569832402235,445,0.178,300,0.12,3004
ottawa_beaverbrook_3005,1800,505,0.28055555555555556,49,48.4,145,0.08055555555555556,1565,49160,1430,54800,15.6,45200,53300,13,230,0.12777777777777777,1065,0.5916666666666667,505,0.28055555555555556,195,0.10833333333333334,10,0.00555555555555555,55,0.03055555555555555,0.00555555555555555,10,0.00555555555555555,10,0,0,0,0,1800,1,0.24722222222222223,445,0.1361111111111111,0.17314487632508835,245,0.5972222222222222,1075,910,0.56,90,0.0989010989010989,50,0.05263157894736842,895,0.9421052631578948,785,0.8263157894736842,360,0.4390243902439024,95,0.11585365853658536,355,0.7634408602150538,60,0.12903225806451613,15,0.03225806451612903,0,0,35,0.07526881720430108,0.07526881720430108,45,0.025,170,0.09444444444444444,3005
ottawa_beechwood_cemetery_3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3006
ottawa_bells_corners_east_3007,890,260,0.29213483146067415,51.3,51.6,80,0.0898876404494382,845,42400,735,44800,21.7,39200,43100,15.6,60,0.0670391061452514,570,0.6368715083798883,260,0.2905027932960894,45,0.05027932960893855,0,0,25,0.02793296089385474,0,0,0,0,0,0,0,0,890,1,0.15730337078651685,140,0.12359550561797752,0.17054263565891473,110,0.6067415730337079,540,535,0.6257309941520468,80,0.14953271028037382,45,0.0891089108910891,460,0.9108910891089108,400,0.7920792079207921,160,0.3516483516483517,45,0.0989010989010989,235,0.7966101694915254,35,0.11864406779661016,20,0.06779661016949153,0,0,0,0,0.05084745762711865,0,0,85,0.09550561797752807,3007
ottawa_bells_corners_west_3008,995,235,0.23618090452261303,49.1,51.6,120,0.12060301507537688,910,43000,775,46500,19.7,36800,43400,14.8,65,0.06532663316582915,695,0.6984924623115578,235,0.23618090452261303,130,0.1306532663316583,0,0,20,0.02010050251256281,0,0,0,0,0,0,0,0,1000,1,0.19,190,0.23115577889447236,0.26900584795321636,230,0.715,715,620,0.6666666666666666,55,0.08870967741935484,105,0.16279069767441862,540,0.8372093023255814,440,0.6821705426356589,195,0.34513274336283184,70,0.12389380530973453,280,0.7567567567567568,55,0.14864864864864866,20,0.05405405405405406,0,0,0,0,0.0945945945945946,10,0.0100502512562814,50,0.05025125628140704,3008
ottawa_billings_bridge_heron_park_3009,1630,525,0.3220858895705521,51.6,52,445,0.27300613496932513,1535,36400,1170,37300,32.7,32320,35500,24.9,75,0.0460122699386503,1030,0.6319018404907976,525,0.3220858895705521,530,0.32515337423312884,50,0.03067484662576687,110,0.06748466257668712,0,0,0,0,0,0,0,0,1630,1,0.22085889570552147,360,0.2668711656441718,0.3346153846153846,435,0.6993865030674846,1140,870,0.5594855305466238,135,0.15517241379310345,80,0.08376963350785341,875,0.9162303664921466,730,0.7643979057591623,320,0.43537414965986393,85,0.11564625850340136,275,0.6626506024096386,135,0.3253012048192771,15,0.03614457831325301,0,0,0,0,0.04819277108433735,140,0.08588957055214724,70,0.04294478527607362,3009
ottawa_blackburn_hamlet_3010,1340,435,0.3246268656716418,52.5,54.4,100,0.07462686567164178,1225,44700,1100,45300,22.2,41900,46500,15.6,80,0.05970149253731343,820,0.6119402985074627,435,0.3246268656716418,120,0.08955223880597014,75,0.05597014925373134,25,0.01865671641791044,0,0,0,0,0,0,0,0,1340,1,0.16417910447761194,220,0.2164179104477612,0.29743589743589743,290,0.6380597014925373,855,765,0.6,90,0.1176470588235294,75,0.10273972602739724,650,0.8904109589041096,525,0.7191780821917808,240,0.35555555555555557,90,0.13333333333333333,340,0.7816091954022989,80,0.1839080459770115,10,0.02298850574712643,0,0,10,0.02298850574712643,0.05747126436781609,165,0.12313432835820896,100,0.07462686567164178,3010
ottawa_blossom_park_timbermill_3011,2790,520,0.1863799283154122,47.6,49.2,155,0.05555555555555555,2480,47280,2150,50400,21.8,42000,48120,15.2,240,0.08602150537634409,2030,0.7275985663082437,520,0.1863799283154122,290,0.1039426523297491,75,0.02688172043010752,125,0.04480286738351254,0,0,0,0,0,0,0,0,2790,1,0.2114695340501792,590,0.2974910394265233,0.3593073593073593,830,0.7795698924731183,2175,1650,0.6226415094339622,170,0.10303030303030304,235,0.1291208791208791,1585,0.8708791208791209,1245,0.6840659340659341,475,0.32094594594594594,210,0.14189189189189189,820,0.8282828282828283,115,0.11616161616161616,15,0.01515151515151515,10,0.0101010101010101,25,0.02525252525252525,0.08080808080808081,230,0.08243727598566308,300,0.10752688172043012,3011
