name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,ONS_ID
ottawa_airport_3001,20,0,0,27,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0,3001
ottawa_alta_vista_3002,80,15,0.1875,36.5,33.2,10,0.125,65,54000,65,50000,17,48000,52000,9.5,0,0,0,0,1,80,0.3125,25,0.625,50,0,0,0,0,40,0.6153846153846154,0,0,0,0,30,1,25,0.8333333333333334,15,0.42857142857142855,0,0,0,0,0,10,0.125,3002
ottawa_bayshore_3003,390,35,0.08974358974358974,34.4,31.8,75,0.19230769230769232,280,39600,210,43200,26.4,37200,43200,19.2,125,0.32051282051282054,0,0,1,395,0.6075949367088608,240,0.2911392405063291,115,0.05063291139240506,20,0,0,175,0.5833333333333334,30,0.17142857142857143,30,0.13636363636363635,190,0.8636363636363636,135,0.6136363636363636,55,0.3793103448275862,35,0.2413793103448276,0,40,0.10256410256410256,45,0.1153846153846154,3003
ottawa_beacon_hill_south_cardinal_heights_3004,265,35,0.1320754716981132,39,36.4,50,0.18867924528301888,220,40800,180,45200,23.2,39600,48400,15.2,30,0.11320754716981132,0,0,1,265,0.5094339622641509,135,0.49056603773584906,130,0,0,0,0,120,0.5454545454545454,10,0.08333333333333333,20,0.1176470588235294,145,0.8529411764705882,95,0.5588235294117647,70,0.6086956521739131,10,0.08695652173913043,0,50,0.18867924528301888,15,0.05660377358490566,3004
ottawa_beaverbrook_3005,195,30,0.15384615384615383,39.6,42.4,15,0.07692307692307693,160,44800,145,50000,18.5,45000,53000,12.8,40,0.20512820512820512,0,0,1,200,0.425,85,0.425,85,0,0,0,0,85,0.4857142857142857,10,0.1176470588235294,0,0,105,1,75,0.7142857142857143,20,0.25,10,0.125,0.3333333333333333,0,0,35,0.1794871794871795,3005
ottawa_beechwood_cemetery_3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3006
ottawa_bells_corners_east_3007,185,15,0.08108108108108109,38.2,42.4,15,0.08108108108108109,140,47000,115,58000,14.8,43000,53000,11.6,30,0.16216216216216217,0,0,1,190,0.42105263157894735,80,0.5,95,0,0,0,0,100,0.6666666666666666,0,0,15,0.15,90,0.9,60,0.6,25,0.25,10,0.1,0,0,0,30,0.16216216216216217,3007
ottawa_bells_corners_west_3008,130,10,0.07692307692307693,34,36,10,0.07692307692307693,85,47000,70,52000,20,44000,54000,12,0,0,0,0,1,130,0.5,65,0.4230769230769231,55,0.07692307692307693,10,0,0,70,0.7368421052631579,0,0,15,0.2,55,0.7333333333333333,35,0.4666666666666667,20,0.26666666666666666,10,0.13333333333333333,0,0,0,0,0,3008
ottawa_billings_bridge_heron_park_3009,235,0,0,30.2,28.4,45,0.1914893617021277,195,40400,150,48000,19.6,30800,35600,13.6,55,0.23404255319148937,0,0,1,235,0.3829787234042553,90,0.3617021276595745,85,0.2127659574468085,50,0,0,135,0.6923076923076923,10,0.07407407407407407,30,0.20689655172413793,110,0.7586206896551724,80,0.5517241379310345,35,0.2692307692307692,20,0.15384615384615383,0.1111111111111111,0,0,50,0.2127659574468085,3009
ottawa_blackburn_hamlet_3010,245,10,0.04081632653061224,36,36.8,30,0.12244897959183672,180,45600,165,46400,20,40800,44400,11.6,0,0,0,0,1,245,0.5510204081632653,135,0.32653061224489793,80,0,0,0,0,145,0.725,30,0.20689655172413793,45,0.3,110,0.7333333333333333,80,0.5333333333333333,40,0.34782608695652173,0,0,0,10,0.04081632653061224,40,0.16326530612244897,3010
