name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,ONS_ID
ottawa_airport_3001,55,0,0,44,51.2,0,0,50,58000,50,80000,6.8,80000,130000,2.8,0,0,0,0,0,0,0,0,0,0,0,0,1,60,35,0.7,0,0,10,0.25,25,0.625,25,0.625,0,0,0,0,0,0,0,10,0.18181818181818185,3001
ottawa_alta_vista_3002,1705,150,0.08797653958944282,34.7,34,100,0.05865102639296188,1230,53300,1110,65800,10.8,52600,68600,6.5,200,0.11730205278592376,30,0.01764705882352941,0,0,0,0,0,0,0,0,1,1700,940,0.706766917293233,105,0.11170212765957446,40,0.04395604395604396,870,0.956043956043956,780,0.8571428571428571,405,0.48502994011976047,95,0.11377245508982035,0.0238095238095238,120,0.07058823529411765,270,0.1583577712609971,3002
ottawa_bayshore_3003,8630,660,0.07647740440324449,32,28.8,510,0.05909617612977984,6215,34320,4990,34720,27.5,29320,33240,18.4,1535,0.17786790266512167,420,0.04866743916570104,0,0,0,0,0,0,0,0,1,8625,4410,0.6606741573033708,755,0.1712018140589569,600,0.13348164627363737,3895,0.8665183537263627,3185,0.7085650723025584,1030,0.2814207650273224,440,0.12021857923497269,0.09142857142857144,625,0.07242178447276941,1520,0.1761297798377752,3003
ottawa_beacon_hill_south_cardinal_heights_3004,3215,345,0.1073094867807154,34,31.4,220,0.06842923794712286,2340,36280,2025,35000,25.7,31720,35600,14.8,515,0.16018662519440124,105,0.03265940902021773,0,0,0,0,0,0,0,0,1,3215,1660,0.6613545816733067,230,0.13855421686746988,180,0.11428571428571428,1390,0.8825396825396825,1100,0.6984126984126984,360,0.2517482517482518,155,0.1083916083916084,0.08653846153846154,625,0.19440124416796267,590,0.1835147744945568,3004
ottawa_beaverbrook_3005,1765,185,0.1048158640226629,35,34.4,70,0.03966005665722379,1240,46800,1150,52000,14.4,41000,49200,9.6,165,0.09348441926345608,70,0.03977272727272727,0,0,0,0,0,0,0,0,1,1760,910,0.6715867158671587,105,0.1153846153846154,55,0.06145251396648044,840,0.9385474860335196,735,0.8212290502793296,350,0.43209876543209874,75,0.0925925925925926,0.05494505494505494,45,0.02556818181818182,275,0.1558073654390935,3005
ottawa_beechwood_cemetery_3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3006
ottawa_bells_corners_east_3007,870,75,0.08620689655172414,34.1,30,20,0.02298850574712643,660,38400,565,41000,20.8,34800,39800,11.7,0,0,10,0.01149425287356321,0,0,0,0,0,0,0,0,1,870,490,0.7050359712230215,60,0.12244897959183672,35,0.07954545454545454,405,0.9204545454545454,360,0.8181818181818182,125,0.29069767441860467,55,0.12790697674418605,0.08333333333333333,20,0.02298850574712643,185,0.21264367816091953,3007
ottawa_bells_corners_west_3008,1165,125,0.1072961373390558,35.5,34.8,80,0.06866952789699571,875,39100,765,41000,19.2,34100,40200,12.4,200,0.17167381974248927,35,0.03017241379310345,0,0,0,0,0,0,0,0,1,1160,640,0.7111111111111111,70,0.109375,90,0.1487603305785124,515,0.8512396694214877,410,0.6776859504132231,170,0.2982456140350877,60,0.10526315789473684,0.13580246913580246,15,0.01293103448275862,170,0.1459227467811159,3008
ottawa_billings_bridge_heron_park_3009,2245,310,0.13808463251670378,35,29.2,380,0.16926503340757235,1785,31920,1440,32600,27.6,27480,31160,17.7,765,0.34075723830734966,105,0.04666666666666667,0,0,0,0,0,0,0,0,1,2250,1190,0.6363636363636364,180,0.15126050420168066,65,0.05829596412556054,1050,0.9417040358744396,880,0.7892376681614349,430,0.4257425742574258,135,0.13366336633663367,0.05982905982905983,240,0.10666666666666667,450,0.20044543429844097,3009
ottawa_blackburn_hamlet_3010,1570,160,0.10191082802547773,34.1,30.4,70,0.04458598726114649,1080,39300,975,37100,24.8,34500,37500,15.3,210,0.1337579617834395,15,0.00955414012738853,0,0,0,0,0,0,0,0,1,1570,820,0.703862660944206,135,0.16463414634146342,70,0.09333333333333334,680,0.9066666666666666,525,0.7,235,0.34057971014492755,75,0.10869565217391304,0.05434782608695652,240,0.15286624203821655,255,0.1624203821656051,3010
