name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,ONS_ID
ottawa_airport_3001,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,3001
ottawa_alta_vista_3002,570,55,0.09649122807017543,37.1,34.8,35,0.06140350877192982,450,45000,370,56600,15.7,45000,64000,7.8,95,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,1,570,325,0.6842105263157895,40,0.12307692307692308,20,0.06153846153846154,300,0.9230769230769232,230,0.7076923076923077,105,0.3620689655172414,55,0.1896551724137931,0,45,0.07894736842105263,95,0.16666666666666666,3002
ottawa_bayshore_3003,1590,110,0.06918238993710692,30.4,27.2,60,0.03773584905660377,1020,28550,670,26300,44,25080,26700,32.4,425,0.2672955974842767,170,0.1069182389937107,0,0,0,0,0,0,0,0,1,1590,550,0.4932735426008968,160,0.2909090909090909,210,0.28378378378378377,530,0.7162162162162162,395,0.5337837837837838,100,0.25316455696202533,60,0.1518987341772152,0.0847457627118644,65,0.04088050314465408,270,0.16981132075471697,3003
ottawa_beacon_hill_south_cardinal_heights_3004,400,45,0.1125,31.3,28.4,10,0.025,250,37200,175,38800,34.5,32000,39600,22,40,0.1,0,0,0,0,0,0,0,0,0,0,1,395,145,0.5178571428571429,20,0.13793103448275862,30,0.16216216216216217,155,0.8378378378378378,125,0.6756756756756757,60,0.48,0,0,0,30,0.075,60,0.15,3004
ottawa_beaverbrook_3005,215,0,0,27.8,23,0,0,125,39000,120,37000,23,37500,42000,16,65,0.3023255813953488,0,0,0,0,0,0,0,0,0,0,1,210,105,0.7241379310344828,20,0.1904761904761905,0,0,95,0.9047619047619048,70,0.6666666666666666,45,0.5294117647058824,0,0,0,20,0.09523809523809525,45,0.20930232558139536,3005
ottawa_beechwood_cemetery_3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3006
ottawa_bells_corners_east_3007,40,0,0,39,40.4,0,0,40,28000,35,28000,24,32000,34000,6,0,0,0,0,0,0,0,0,0,0,0,0,1,40,30,0.75,15,0.5,0,0,20,0.8,15,0.6,0,0,0,0,0,0,0,0,0,3007
ottawa_bells_corners_west_3008,205,10,0.04878048780487805,25.3,23,15,0.07317073170731707,115,41000,80,47000,28,36500,50000,16.5,85,0.4146341463414634,10,0.05,0,0,0,0,0,0,0,0,1,200,70,0.6086956521739131,15,0.21428571428571427,30,0.3157894736842105,60,0.631578947368421,40,0.42105263157894735,15,0.2727272727272727,20,0.3636363636363637,0,0,0,10,0.04878048780487805,3008
ottawa_billings_bridge_heron_park_3009,460,65,0.14130434782608697,38.2,31.4,55,0.11956521739130437,365,31600,250,34400,34,27100,32800,20.8,135,0.29347826086956524,60,0.13186813186813187,0,0,0,0,0,0,0,0,1,455,230,0.6052631578947368,45,0.1956521739130435,45,0.17647058823529413,210,0.8235294117647058,175,0.6862745098039216,75,0.40540540540540543,20,0.10810810810810811,0,0,0,65,0.14130434782608697,3009
ottawa_blackburn_hamlet_3010,210,20,0.09523809523809525,33.2,26.4,10,0.04761904761904761,130,37000,100,36000,33,32000,39500,23,65,0.30952380952380953,0,0,0,0,0,0,0,0,0,0,1,210,90,0.6,15,0.16666666666666666,20,0.21052631578947367,75,0.7894736842105263,60,0.631578947368421,20,0.26666666666666666,10,0.13333333333333333,0.2,40,0.1904761904761905,40,0.1904761904761905,3010
ottawa_blossom_park_timbermill_3011,1635,105,0.06422018348623854,31.6,27.6,45,0.02752293577981651,1085,38900,845,41900,29.8,32100,39700,19.9,305,0.1865443425076453,95,0.0581039755351682,0,0,0,0,0,0,0,0,1,1635,700,0.5761316872427984,130,0.18571428571428572,145,0.18471337579617833,640,0.8152866242038217,475,0.6050955414012739,180,0.3157894736842105,100,0.17543859649122806,0.03947368421052631,120,0.07339449541284404,325,0.19877675840978593,3011
