name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,ONS_ID
ottawa_airport_3001,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,3001
ottawa_alta_vista_3002,165,10,0.06060606060606061,30.5,24.6,10,0.06060606060606061,95,61000,85,76000,12,47000,66000,12.4,0,0,10,0.06060606060606061,0,0,0,0,0,0,0,0,1,170,75,0.6521739130434783,10,0.13333333333333333,10,0.14285714285714285,60,0.8571428571428571,60,0.8571428571428571,20,0.2857142857142857,10,0.14285714285714285,0,25,0.15151515151515152,35,0.21212121212121213,3002
ottawa_bayshore_3003,2340,140,0.05982905982905983,28.6,24.6,140,0.05982905982905983,1485,32480,1155,28150,38,29840,30800,25.2,490,0.2094017094017094,40,0.01709401709401709,0,0,0,0,0,0,0,0,1,2340,965,0.5993788819875776,205,0.21243523316062177,145,0.14285714285714285,870,0.8571428571428571,655,0.645320197044335,160,0.21052631578947367,120,0.15789473684210523,0.08403361344537816,505,0.21581196581196585,450,0.19230769230769232,3003
ottawa_beacon_hill_south_cardinal_heights_3004,1430,115,0.08041958041958042,31.3,27.2,110,0.07692307692307693,985,34500,850,30550,30.3,29100,30600,20.4,285,0.1993006993006993,0,0,0,0,0,0,0,0,0,0,1,1435,680,0.6238532110091743,100,0.14705882352941177,85,0.13178294573643412,565,0.875968992248062,435,0.6744186046511628,120,0.20689655172413793,85,0.14655172413793102,0.1111111111111111,525,0.36585365853658536,320,0.22377622377622375,3004
ottawa_beaverbrook_3005,175,35,0.2,40.8,41.2,40,0.22857142857142856,140,45000,135,42000,23,38000,39500,17,0,0,0,0,0,0,0,0,0,0,0,0,1,175,90,0.6206896551724138,10,0.1111111111111111,0,0,85,0.9444444444444444,70,0.7777777777777778,20,0.25,0,0,0.16666666666666666,15,0.08571428571428572,20,0.11428571428571428,3005
ottawa_beechwood_cemetery_3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3006
ottawa_bells_corners_east_3007,200,0,0,30.9,26,0,0,130,39500,100,42000,27,33000,36000,19,0,0,0,0,0,0,0,0,0,0,0,0,1,200,115,0.8214285714285714,15,0.13043478260869565,20,0.21052631578947367,75,0.7894736842105263,65,0.6842105263157895,35,0.3333333333333333,0,0,0.14285714285714285,20,0.1,35,0.175,3007
ottawa_bells_corners_west_3008,270,30,0.1111111111111111,32.8,29,10,0.03703703703703703,180,34400,160,32000,28,28000,33500,15.4,0,0,10,0.03703703703703703,0,0,0,0,0,0,0,0,1,270,140,0.7,10,0.07142857142857142,10,0.08695652173913043,105,0.9130434782608696,85,0.7391304347826086,30,0.2307692307692308,10,0.07692307692307693,0.14285714285714285,15,0.05555555555555555,55,0.2037037037037037,3008
ottawa_billings_bridge_heron_park_3009,835,115,0.1377245508982036,32.6,27.6,130,0.15568862275449102,590,30100,485,26200,34.4,25500,26300,22.8,325,0.3892215568862275,0,0,0,0,0,0,0,0,0,0,1,830,380,0.59375,75,0.1973684210526316,20,0.0547945205479452,340,0.9315068493150684,260,0.7123287671232876,115,0.3770491803278688,35,0.11475409836065574,0.10526315789473684,220,0.2634730538922156,170,0.20359281437125748,3009
ottawa_blackburn_hamlet_3010,670,45,0.06716417910447761,30.6,25.8,30,0.04477611940298507,440,34600,390,30300,29.4,29000,29400,19.2,80,0.11940298507462686,0,0,0,0,0,0,0,0,0,0,1,670,335,0.7204301075268817,50,0.14925373134328357,25,0.0847457627118644,270,0.9152542372881356,205,0.6949152542372882,70,0.24561403508771928,45,0.15789473684210523,0.04651162790697674,185,0.27611940298507465,125,0.1865671641791045,3010
