name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,number_of_immigrants,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,ONS_ID
ottawa_airport_3001,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,3001
ottawa_alta_vista_3002,280,60,0.21428571428571427,36,32.4,35,0.125,180,50400,170,59600,10.8,49600,59200,8.8,100,0.35714285714285715,125,0.44642857142857145,60,0.21428571428571427,35,0.125,10,0.03508771929824561,20,0.07017543859649122,0,0,0,0,0,0,0,0,100,0.3508771929824561,0.03508771929824561,10,0,0,0,1,285,100,0.4878048780487805,10,0.1,0,0,100,1,100,1,50,0.5263157894736842,0,0,25,0.625,0,0,0,0,0,0,0,0,0,20,0.07017543859649122,45,0.16071428571428573,3002
ottawa_bayshore_3003,390,95,0.2435897435897436,49.5,55.2,30,0.07692307692307693,355,43600,305,51600,14,43200,51600,10.2,35,0.08974358974358974,260,0.6666666666666666,95,0.2435897435897436,35,0.08974358974358974,0,0,75,0.1948051948051948,0,0,0,0,0,0,0,0,260,0.6753246753246753,0.02597402597402597,10,0.08974358974358974,0.15555555555555556,35,1,385,225,0.6081081081081081,15,0.06666666666666667,40,0.1702127659574468,200,0.851063829787234,170,0.723404255319149,80,0.3902439024390244,0,0,115,0.8846153846153846,10,0.07692307692307693,0,0,0,0,0,0,0.07692307692307693,10,0.02597402597402597,45,0.1153846153846154,3003
ottawa_beacon_hill_south_cardinal_heights_3004,265,55,0.20754716981132076,42,40,35,0.1320754716981132,215,40800,200,39600,21.6,36800,41600,10.2,50,0.18867924528301888,160,0.6037735849056604,55,0.20754716981132076,45,0.16981132075471697,0,0,40,0.1509433962264151,0,0,0,0,0,0,0,0,160,0.6037735849056604,0.1320754716981132,35,0,0,0,1,265,140,0.6222222222222222,30,0.21428571428571427,0,0,125,1,110,0.88,45,0.45,0,0,40,0.6666666666666666,10,0.16666666666666666,10,0.16666666666666666,0,0,0,0,0,15,0.05660377358490566,40,0.1509433962264151,3004
ottawa_beaverbrook_3005,305,30,0.09836065573770492,35.2,38.4,15,0.04918032786885246,200,54000,190,60800,11.2,46800,58800,8.8,90,0.29508196721311475,180,0.5901639344262295,30,0.09836065573770492,0,0,0,0,30,0.09836065573770492,0,0,0,0,0,0,0,0,175,0.5737704918032787,0.06557377049180328,20,0,0,0,1,305,140,0.6222222222222222,10,0.07142857142857142,0,0,150,1,135,0.9,80,0.6153846153846154,0,0,40,0.8888888888888888,0,0,0,0,0,0,0,0,0,0,0,45,0.14754098360655735,3005
ottawa_beechwood_cemetery_3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3006
ottawa_bells_corners_east_3007,30,0,0,30,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,15,0.6,0,0,0,0,0,1,25,15,1,0,0,0,0,15,1,15,1,0,0,0,0,10,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,3007
ottawa_bells_corners_west_3008,135,30,0.2222222222222222,46.4,48.4,15,0.1111111111111111,130,45000,125,45000,15.6,37500,41000,12,0,0,100,0.7407407407407407,30,0.2222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0.5714285714285714,0.07142857142857142,10,0.1111111111111111,0.25,15,1,140,95,0.7307692307692307,15,0.15789473684210523,10,0.1176470588235294,80,0.9411764705882352,65,0.7647058823529411,40,0.5,0,0,25,0.7142857142857143,15,0.42857142857142855,0,0,0,0,0,0,0.42857142857142855,0,0,15,0.1111111111111111,3008
ottawa_billings_bridge_heron_park_3009,300,60,0.2,39.4,33.2,95,0.31666666666666665,265,33600,230,42000,16.8,29000,38800,13,25,0.08333333333333333,210,0.7,60,0.2,125,0.4166666666666667,0,0,30,0.1,0,0,0,0,0,0,0,0,145,0.48333333333333334,0.05,15,0,0,0,1,300,170,0.6181818181818182,25,0.14705882352941177,0,0,135,1,115,0.8518518518518519,75,0.5172413793103449,10,0.06896551724137931,50,0.7142857142857143,20,0.2857142857142857,0,0,0,0,0,0,0,0,0,80,0.26666666666666666,3009
ottawa_blackburn_hamlet_3010,75,20,0.26666666666666666,41,42.4,0,0,50,48000,50,46000,19,42000,42000,12,0,0,35,0.4666666666666667,20,0.26666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.6,0,0,0,0,0,1,75,45,0.8181818181818182,0,0,0,0,35,1,30,0.8571428571428571,25,0.625,0,0,10,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,3010
