name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,ONS_ID
ottawa_airport_3001,215,70,0.32558139534883723,54.6,57.6,25,0.11627906976744186,215,48800,180,60400,17.2,68500,101000,7.4,35,0.16279069767441862,0,0,0,0,0,0,0,0,0,0,0,0,105,0.4883720930232558,10,0.09523809523809525,10,0.08333333333333333,110,0.9166666666666666,90,0.75,45,0.47368421052631576,0,0,0,0,0,25,0.11627906976744186,3001
ottawa_alta_vista_3002,5995,1350,0.22518765638031693,44.7,47.2,545,0.09090909090909093,4980,66700,4785,88400,8.1,66400,83800,6.1,185,0.03085904920767306,20,0.00333611342785654,0,0,0,0,0,0,0,0,0,0,3270,0.6392961876832844,260,0.07951070336391437,95,0.03119868637110016,2945,0.9671592775041052,2565,0.8423645320197044,1645,0.5465116279069767,230,0.07641196013289037,0.02205882352941176,655,0.10925771476230192,720,0.12010008340283568,3002
ottawa_bayshore_3003,5240,1220,0.23282442748091603,45.6,46.4,1220,0.23282442748091603,4590,41880,3930,44240,21.8,39560,44440,16.2,865,0.1650763358778626,10,0.00190657769304099,0.00190657769304099,10,0,0,0,0,0,0,0,0,2735,0.5812964930924548,410,0.14990859232175502,340,0.11276948590381426,2680,0.8888888888888888,1875,0.6218905472636815,840,0.3605150214592275,290,0.12446351931330472,0.05387205387205387,265,0.05052430886558627,465,0.08874045801526717,3003
ottawa_beacon_hill_south_cardinal_heights_3004,4220,1065,0.2523696682464455,47.1,49.2,755,0.17890995260663506,3625,48760,3275,53150,16.9,46440,52050,13.7,325,0.07692307692307693,30,0.00710059171597633,0,0,0,0,0,0,0,0,0,0,2120,0.5721997300944669,210,0.09905660377358493,250,0.10706638115631692,2085,0.892933618843683,1560,0.6680942184154176,805,0.42036553524804177,225,0.1174934725848564,0.0730593607305936,1110,0.26272189349112424,300,0.07109004739336493,3004
ottawa_beaverbrook_3005,4825,1290,0.26735751295336785,46.5,49.2,625,0.12953367875647667,3995,54150,3745,60800,13.5,51850,60100,10.4,375,0.07780082987551867,15,0.00311203319502074,0.00207468879668049,10,0,0,0,0,0,0,0,0,2415,0.5826296743063932,250,0.10351966873706003,90,0.0379746835443038,2285,0.9641350210970464,1830,0.7721518987341772,1105,0.5103926096997691,180,0.08314087759815242,0.0380952380952381,145,0.03008298755186722,485,0.10051813471502592,3005
ottawa_beechwood_cemetery_3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3006
ottawa_bells_corners_east_3007,3955,1000,0.2528445006321112,47.8,51.6,560,0.1415929203539823,3380,49040,3125,52950,16.3,46120,51350,12.5,220,0.05562579013906448,15,0.00379266750948166,0,0,0,0,0,0,0,0,0,0,2060,0.5936599423631124,225,0.10922330097087378,160,0.07289293849658314,2035,0.9271070615034168,1585,0.7220956719817767,770,0.4196185286103542,180,0.09809264305177112,0.02830188679245283,75,0.01896333754740834,265,0.06700379266750948,3007
ottawa_bells_corners_west_3008,2865,555,0.193717277486911,43.8,44,505,0.1762652705061082,2470,44320,2185,47320,18.3,40560,45080,14,220,0.07678883071553229,0,0,0,0,0,0,0,0,0,0,0,0,1665,0.6633466135458167,175,0.10510510510510512,150,0.08849557522123894,1545,0.911504424778761,1075,0.6342182890855457,535,0.35785953177257523,125,0.08361204013377926,0.0418848167539267,110,0.03839441535776614,255,0.08900523560209424,3008
ottawa_billings_bridge_heron_park_3009,3390,725,0.21386430678466076,44.2,40.4,850,0.25073746312684364,3090,43480,2670,47920,18.9,40480,46280,13.6,535,0.15781710914454278,30,0.00884955752212389,0,0,0,0,0,0,0,0,0,0,1910,0.6121794871794872,230,0.12041884816753928,175,0.09333333333333334,1700,0.9066666666666666,1400,0.7466666666666667,730,0.43582089552238806,135,0.08059701492537313,0.01587301587301587,155,0.04572271386430678,525,0.15486725663716813,3009
ottawa_blackburn_hamlet_3010,6230,1510,0.24237560192616373,44.7,45.2,610,0.09791332263242376,5050,54050,4715,60100,13.8,52000,60850,10.6,315,0.05056179775280899,15,0.00240770465489566,0.00160513643659711,10,0,0,0,0,0,0,0,0,3175,0.6088207094918504,225,0.07086614173228346,215,0.06814580031695722,2950,0.9350237717908082,2355,0.7464342313787639,1330,0.4500846023688663,210,0.07106598984771574,0.03405572755417956,1000,0.16051364365971107,550,0.08828250401284109,3010
