name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,number_of_immigrants,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,ONS_ID
ottawa_airport_3001,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,3001
ottawa_alta_vista_3002,300,15,0.05,31.8,34.4,10,0.03333333333333333,225,74500,225,88000,6,75000,93000,2.6,80,0.26666666666666666,210,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0.45901639344262296,0.04918032786885246,15,0,0,0,1,305,200,0.8888888888888888,10,0.05,0,0,170,1,160,0.9411764705882352,115,0.6052631578947368,20,0.10526315789473684,60,0.75,0,0,15,0.1875,0,0,0,0,0,10,0.03333333333333333,40,0.13333333333333333,3002
ottawa_bayshore_3003,2175,90,0.04137931034482758,29.4,28,120,0.05517241379310345,1680,39640,1520,43880,13.5,29520,36000,8.6,375,0.1724137931034483,1715,0.7885057471264367,90,0.04137931034482758,265,0.12183908045977011,0,0,50,0.02293577981651376,0,0,0,0,0,0,0,0,1155,0.5298165137614679,0.32798165137614677,715,0.06896551724137931,0.13333333333333333,150,1,2180,1470,0.8010899182561307,135,0.09183673469387756,30,0.02290076335877862,1280,0.9770992366412212,1195,0.9122137404580152,525,0.3947368421052632,170,0.12781954887218044,440,0.546583850931677,275,0.3416149068322981,55,0.06832298136645963,0,0,35,0.04347826086956521,0.11801242236024843,0,0,435,0.2,3003
ottawa_beacon_hill_south_cardinal_heights_3004,345,30,0.08695652173913043,33.7,31.4,25,0.07246376811594203,275,42000,240,47600,15.8,40400,49600,5.7,75,0.21739130434782608,245,0.7101449275362319,30,0.08695652173913043,0,0,0,0,10,0.02898550724637681,0,0,0,0,0,0,0,0,240,0.6956521739130435,0.17391304347826086,60,0.04347826086956521,0.06521739130434782,15,1,345,230,0.8214285714285714,35,0.15217391304347827,10,0.05,185,0.925,140,0.7,85,0.4473684210526316,10,0.05263157894736842,65,0.5909090909090909,45,0.4090909090909091,0,0,0,0,0,0,0.09090909090909093,20,0.05797101449275362,55,0.15942028985507245,3004
ottawa_beaverbrook_3005,465,35,0.07526881720430108,32,30.2,10,0.02150537634408602,315,58000,295,72000,7.9,44800,56800,5.5,140,0.3010752688172043,290,0.6236559139784946,35,0.07526881720430108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0.5652173913043478,0.2065217391304348,95,0,0,0,1,460,265,0.7910447761194029,20,0.07547169811320754,0,0,240,0.979591836734694,220,0.8979591836734694,130,0.5416666666666666,15,0.0625,95,0.8636363636363636,0,0,0,0,0,0,10,0.09090909090909093,0,0,0,55,0.11827956989247312,3005
ottawa_beechwood_cemetery_3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3006
ottawa_bells_corners_east_3007,330,35,0.10606060606060606,34.7,28.6,0,0,255,38800,215,43200,18.8,35600,44400,10.6,80,0.24242424242424243,220,0.6666666666666666,35,0.10606060606060606,0,0,0,0,10,0.03076923076923077,0,0,0,0,0,0,0,0,180,0.5538461538461539,0.12307692307692308,40,0,0,0,1,325,165,0.6,10,0.06060606060606061,10,0.0625,155,0.96875,150,0.9375,60,0.4,30,0.2,75,0.8823529411764706,10,0.1176470588235294,0,0,0,0,0,0,0.1176470588235294,0,0,75,0.2272727272727273,3007
ottawa_bells_corners_west_3008,125,20,0.16,40,40,15,0.12,95,40000,90,42000,17.5,31600,34500,18.5,0,0,80,0.64,20,0.16,55,0.44,0,0,0,0,0,0,0,0,0,0,0,0,90,0.6923076923076923,0.2307692307692308,30,0,0,0,1,130,65,0.6190476190476191,0,0,0,0,65,0.9285714285714286,55,0.7857142857142857,30,0.5,10,0.16666666666666666,15,0.5,0,0,0,0,0,0,0,0,0,0,0,10,0.08,3008
ottawa_billings_bridge_heron_park_3009,345,20,0.05797101449275362,31.7,28.4,35,0.10144927536231883,310,37200,280,38400,17.2,31000,33600,8,0,0,300,0.8695652173913043,20,0.05797101449275362,70,0.2028985507246377,0,0,0,0,0,0,0,0,0,0,0,0,165,0.4714285714285714,0.18571428571428572,65,0.05797101449275362,0.13333333333333333,20,1,350,255,0.796875,15,0.0588235294117647,0,0,210,1,190,0.9047619047619048,115,0.4893617021276595,45,0.1914893617021277,60,0.5,40,0.3333333333333333,20,0.16666666666666666,0,0,0,0,0,0,0,85,0.2463768115942029,3009
ottawa_blackburn_hamlet_3010,175,30,0.17142857142857143,39.6,33.6,15,0.08571428571428572,145,38000,145,33500,21,33500,32500,14.4,30,0.17142857142857143,115,0.6571428571428571,30,0.17142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.5555555555555556,0.05555555555555555,10,0.08571428571428572,0.21428571428571427,15,1,180,105,0.6774193548387096,30,0.2857142857142857,15,0.16666666666666666,75,0.8333333333333334,65,0.7222222222222222,35,0.4375,0,0,30,0.6666666666666666,10,0.2222222222222222,0,0,0,0,0,0,0,0,0,30,0.17142857142857143,3010
