name,total_population,percent_of_pop_that_are_seniors_65,number_of_seniors_65,average_age_of_the_population,median_age_of_the_population,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_pop_living_alone,percent_of_pop_living_alone,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_pop_living_alone_i_e_1_person_household,average_household_size,number_of_owner_households,percent_of_owner_households,percent_of_renter_households,percent_of_households_living_in_core_housing_need,number_of_households_living_in_core_housing_need,percent_of_owner_households_in_core_housing_need,median_monthly_shelter_costs_for_owned_dwellings,average_monthly_shelter_costs_for_owned_dwellings,number_of_tenant_households,percent_of_tenant_households_living_in_subsidized_housing,percent_of_renter_households_in_core_housing_need,median_monthly_shelter_costs_for_rented_dwellings,average_monthly_shelter_costs_for_rented_dwellings,average_size_of_census_families,percent_of_census_families_that_are_one_parent_families,number_of_one_parent_families,percent_of_all_census_families_that_are_one_parent_families,average_number_of_children_in_census_families_with_children,average_after_tax_income_of_all_economic_families,average_after_tax_income_of_couple_with_children_economic_families,average_after_tax_income_of_one_parent_economic_families,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_pop_with_knowledge_of_neither_english_nor_french,number_of_people_with_knowledge_of_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_immigrants,number_of_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,percent_in_the_labour_force_participation_rate,number_of_pop_in_labour_force,unemployment_rate,number_of_pop_unemployed,number_of_people_age_25_64_w_no_high_school_diploma_or_equivalent,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_youth_age_15_24,percent_of_of_pop_that_are_youth_age_15_24,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home
census_division_ottawa_3506_00000_3_1_percent,1000955,0.1602819307561279,160435,40.1,39.2,70740,0.2331690755970137,116225,0.11611411102397211,52450,61750,12.8,49440,60550,9,89230,0.08914531195364404,21565,0.10661492065061551,52030,0.08152041927472993,15630,0.09742263221865553,116230,2.5,260225,0.6389731249462868,0.3610268750537133,0.11222659998989747,44435,4.6,1560,1668,146985,14.1,23.3,1380,1422,2.9,0.1604198445558219,44170,0.1604198445558219,1.8,124100,136000,80200,14100,0.014086547347283344,0.015410283179563517,15425,0.026369948548878565,26395,0.013287376991857735,13300,0.010534991757830061,10545,0.0012687946450871672,1270,0.258968979469504,259215,0.04736500324691543,47410,0.05289948099564915,0.24453886297510738,52950,0.32465158099805186,324960,0.6593478391176647,549995,0.1033554850498641,56845,35045,0.06450217645380672,508270,0.9354978235461933,417420,0.7682835923911543,215705,0.43740241305890704,43075,0.08734664909256819,211765,0.7680993833877403,31015,0.11249546608632571,19395,0.07034820457018498,4260,0.01545157780195865,9265,0.03360536815379035,0.050888647080159596,130395,0.1302705915850363,107425,0.10732250700580945
ons2022_admaston_bromley_3701_00000_3_2_percent,2995,0.2036727879799666,610,42.7,45.6,110,0.11956521739130435,205,0.06844741235392321,40720,41680,18.8,40520,43840,14.2,310,0.10350584307178631,80,0.12903225806451613,190,0.10734463276836158,40,0.06611570247933884,200,2.6,1020,0.8986784140969163,0.1013215859030837,0,0,0,870,1032,110,0,0,1060,1120,2.9,0.0718232044198895,65,0.0718232044198895,2,96400,113000,66000,0,0,0.00667779632721202,20,0.05843071786310518,175,0.02671118530884808,80,0.025041736227045076,75,0,0,0.03171953255425709,95,0,0,0,0,0,0.011686143572621035,35,0.647887323943662,1610,0.062111801242236024,100,170,0.1118421052631579,1350,0.8881578947368421,920,0.6052631578947368,330,0.21782178217821782,215,0.1419141914191419,1135,0.9659574468085106,0,0,10,0.00851063829787234,0,0,20,0.01702127659574468,0.10638297872340426,355,0.11853088480801335,0,0
ons2022_airport_3001_00000_6_7_percent,295,0.2542372881355932,75,50.6,54.8,25,0.3125,25,0.0847457627118644,51600,65000,14.6,70500,105000,6.6,35,0.1206896551724138,0,0,25,0.1388888888888889,0,0,25,2.4,110,0.9166666666666666,0.08333333333333333,0.18181818181818182,20,0,1010,1880,0,NA,NA,NA,NA,2.5,0.19047619047619047,20,0.19047619047619047,1.5,134000,NA,50000,0,0,0,0,0.06896551724137931,20,0,0,0,0,0,0,0.3448275862068966,100,0,0,0,0,0,0.1896551724137931,55,0.5178571428571429,145,0.06896551724137931,10,25,0.15625,140,0.875,115,0.71875,40,0.2962962962962963,10,0.07407407407407407,75,0.7894736842105263,0,0,10,0.10526315789473684,0,0,0,0,0,40,0.13559322033898305,0,0
ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,9650,0.19430051813471502,1875,42.9,44.8,635,0.24564796905222436,1025,0.10621761658031088,42280,44560,20,40160,44640,15.2,875,0.09067357512953368,150,0.08333333333333333,455,0.07608695652173914,270,0.1443850267379679,1025,2.4,3155,0.7732843137254902,0.2267156862745098,0.04469987228607918,175,2.2,1210,1268,920,9.8,12.4,990,1028,2.7,0.14046822742474915,420,0.14046822742474915,1.7,94500,113000,73200,1330,0.1378238341968912,0.002072538860103627,20,0.04455958549222798,430,0.02694300518134715,260,0.013989637305699482,135,0,0,0.035233160621761656,340,0.003626943005181347,35,0.0062176165803108805,0.2553191489361702,60,0.023316062176165803,225,0.6309597523219814,5095,0.0647693817468106,330,800,0.150093808630394,4530,0.849906191369606,2965,0.5562851782363978,970,0.20356768100734524,940,0.19727177334732424,3585,0.9446640316205533,55,0.014492753623188406,100,0.026350461133069828,0,0,55,0.014492753623188406,0.15019762845849802,870,0.09015544041450778,6890,0.7139896373056995
ons2022_alta_vista_3002_00000_2_8_percent,7775,0.1954983922829582,1520,42.4,43.6,325,0.14412416851441243,655,0.0842443729903537,64000,83800,8.6,63550,80700,6.2,390,0.05016077170418006,60,0.03858520900321544,245,0.052127659574468084,85,0.056105610561056105,655,2.5,2405,0.7859477124183006,0.2107843137254902,0.04697986577181208,140,2.5,1370,1866,645,5.4,13.4,1470,1580,2.9,0.10065645514223195,230,0.10065645514223195,1.8,158000,172000,91000,65,0.008365508365508366,0.007078507078507079,55,0.00964630225080386,75,0.003215434083601286,25,0.006430868167202572,50,0,0,0.20643086816720257,1605,0.026366559485530548,205,0.01864951768488746,0.13302752293577982,145,0.21864951768488747,1700,0.65284178187404,4250,0.08588235294117647,365,135,0.033877038895859475,3850,0.9661229611041405,3365,0.8444165621079046,2060,0.5302445302445302,330,0.08494208494208494,1365,0.7562326869806094,120,0.0664819944598338,180,0.0997229916897507,55,0.030470914127423823,85,0.04709141274238227,0.019390581717451522,1010,0.12990353697749196,785,0.10102960102960103
ons2022_arnprior_3702_00000_2_5_percent,9415,0.2575677110993096,2425,45.1,47.2,775,0.3144016227180527,1430,0.15188528943175783,42160,44040,22.4,40560,43960,18,1135,0.12055231014338821,210,0.12138728323699421,540,0.10256410256410256,380,0.15670103092783505,1435,2.2,2725,0.6329849012775842,0.3670150987224158,0.099882491186839,425,4.3,1170,1269,1580,20.9,19.9,1010,1085,2.7,0.18231046931407943,505,0.18231046931407943,1.7,93200,113000,68400,0,0,0.003186404673393521,30,0.06160382368560807,580,0.02973977695167286,280,0.028146574614976102,265,0,0,0.07328730748805098,690,0.006903876792352629,65,0.008497079129049389,0.20512820512820512,80,0.04248539564524695,400,0.5534471853257432,4375,0.09257142857142857,405,485,0.10319148936170212,4215,0.8968085106382979,2910,0.6191489361702127,835,0.21032745591939547,630,0.15869017632241814,2740,0.8768,0,0,280,0.0896,35,0.0112,60,0.0192,0.08,775,0.08231545406266595,115,0.012214551248008496
ons2022_bayshore_3003_00000_5_4_percent,14255,0.13398807435987373,1910,37,33.2,1890,0.40864864864864864,1795,0.12592072956857242,37600,39040,24.8,33840,38440,17.3,2515,0.17642932304454578,855,0.28171334431630973,1325,0.14239656098871575,340,0.17801047120418848,1795,2.5,1395,0.24366812227074236,0.7563318777292577,0.2407906558849955,1340,11.8,1000,1302,4330,14,28.1,1350,1328,3,0.27323943661971833,970,0.27323943661971833,2,81600,89000,63400,230,0.016134689582602595,0.02981410031567871,425,0.027709575587513153,395,0.01683619782532445,240,0.008067344791301298,115,0.0014030164854437039,20,0.4145913714486145,5910,0.1346895826025956,1920,0.1406524026657313,0.3675527039413382,2005,0.6050508593475973,8625,0.6272493573264781,7320,0.16256830601092895,1190,975,0.1261319534282018,6755,0.8738680465717982,5195,0.6720569210866753,1915,0.31265306122448977,755,0.12326530612244897,2890,0.6872770511296076,965,0.2294887039239001,205,0.04875148632580262,35,0.008323424494649227,100,0.023781212841854936,0.07728894173602854,2025,0.14205541915117503,940,0.06594177481585409
ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,7700,0.18766233766233767,1445,41.3,40,720,0.31929046563192903,1025,0.1331168831168831,43720,46120,19.8,40720,46040,14.1,865,0.11233766233766233,270,0.18243243243243243,435,0.09100418410041841,155,0.10726643598615918,1020,2.4,2195,0.6806201550387597,0.3178294573643411,0.16113744075829384,510,8.5,1260,1372,1025,7.3,32.7,1300,1364,2.9,0.22524752475247525,455,0.22524752475247525,1.8,98700,108000,72800,290,0.03766233766233766,0.01753246753246753,135,0.03506493506493506,270,0.016883116883116882,130,0.016233766233766232,125,0,0,0.3246753246753247,2500,0.09935064935064936,765,0.09675324675324676,0.3348314606741573,745,0.41753246753246753,3215,0.6052836052836053,3895,0.11424903722721438,445,455,0.11151960784313726,3625,0.8884803921568627,2755,0.6752450980392157,1235,0.35745296671490595,385,0.11143270622286541,1480,0.6773455377574371,465,0.2128146453089245,150,0.06864988558352403,20,0.009153318077803204,75,0.034324942791762014,0.07551487414187644,915,0.11883116883116883,1775,0.2305194805194805
ons2022_beaverbrook_3005_00000_2_3_percent,6780,0.2205014749262537,1495,43.3,44,615,0.28805620608899296,710,0.10471976401179942,52100,58350,13.8,49160,57400,10.4,575,0.08487084870848709,155,0.10877192982456141,315,0.08160621761658031,110,0.07357859531772576,710,2.5,2035,0.7346570397111913,0.26534296028880866,0.11049723756906077,300,6.9,1290,1456,730,12.3,23.2,1600,1516,2.9,0.20947630922693267,420,0.20947630922693267,1.7,116200,135000,76000,25,0.003687315634218289,0.012536873156342183,85,0.02952029520295203,200,0.013284132841328414,90,0.012546125461254613,85,0,0,0.2656826568265683,1800,0.06568265682656826,445,0.036135693215339236,0.17314487632508835,245,0.2605166051660517,1765,0.6019417475728155,3410,0.10410557184750734,355,150,0.04451038575667656,3220,0.9554896142433235,2640,0.7833827893175074,1475,0.48440065681444994,270,0.08866995073891626,1235,0.7891373801916933,160,0.10223642172523961,80,0.051118210862619806,40,0.025559105431309903,55,0.03514376996805112,0.054313099041533544,805,0.1187315634218289,190,0.028023598820058997
