name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,number_of_immigrants,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
province_of_ontario_00000_3_8_percent,1687900,0,0,20.2,20.2,47685,0.028251081225191065,1353090,18900,1225135,15760,29.4,14840,15380,7.9,478555,0.28352178304930103,1209345,0.7164811792202714,0,0,172145,0.10198797911007497,1740,0.0010308667575093312,4870,0.002885242016707151,0.03749333491320576,63285,0.023982463416079153,40480,0.01162391136915694,19620,4.59150423603294e-4,775,262075,0.1552668996978494,0.036734996149060964,62005,0.03365720718052017,0.21677000858532863,56810,0.4207358255820842,710160,968080,0.5735410865572605,244770,0.252840674324436,0,NA,0,NA,0,NA,120520,0.16662288645255838,100450,0.13887544759508372,463330,0.7713103769737225,75555,0.125777211776163,43050,0.07166579269358504,7820,0.013018037139694193,10955,0.01823690496999359,0.06512347991110445,35330,0.020931334794715328,1687900,1
ottawa_census_division_3506_00000_3_1_percent,130395,0,0,20.2,20.4,5445,0.0417577361095134,105120,19380,96965,16240,27.5,15160,15540,7,35465,0.27197085889570555,94930,0.7279907975460123,0,0,14170,0.10866564417177914,895,0.006863760113501285,215,0.0016488362283829901,0.03144292342497795,4100,0.01610491199815944,2100,0.01269220445569232,1655,0.0015338011426818514,200,20545,0.15755972238199317,0.0438283676521339,5715,0.053376279765328424,0.33876855682647844,6960,0.42106675869473525,54905,79485,0.6095709191303348,20140,0.25338114109580423,0,NA,0,NA,0,NA,14955,0.25197978096040435,7085,0.1193765796124684,30010,0.6781920903954802,7755,0.1752542372881356,4480,0.10124293785310734,1025,0.023163841807909605,990,0.022372881355932205,0.04983050847457627,13475,0.10333985198818973,130390,0.999961654971433
ottawa_ons2022_admaston_bromley_3701_00000_3_2_percent,355,0,0,19.6,19.4,10,0.028169014084507043,290,17400,270,16800,17.6,16400,16200,8.8,110,0.30985915492957744,245,0.6901408450704225,0,0,45,0.1267605633802817,0,0,0,0,0.07042253521126761,25,0.028169014084507043,10,0.028169014084507043,10,0,0,0,0,0,0,0,NA,0,0,0,265,0.7464788732394366,10,0.03773584905660377,0,NA,0,NA,0,NA,55,0.22,45,0.18,185,0.9487179487179487,10,0.05128205128205128,0,0,0,0,0,0,0.07692307692307693,0,0,355,1
ottawa_ons2022_airport_3001_00000_6_7_percent,45,0,0,18.8,17.8,0,0,35,14000,0,NA,NA,15000,14000,NA,25,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0.25,10,15,0.375,0,0,0,NA,0,NA,0,NA,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,40,0.8888888888888888
ottawa_ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,870,0,0,20.4,20.4,10,0.011494252873563218,750,23400,700,21920,20.2,18880,19500,11,220,0.25287356321839083,650,0.7471264367816092,0,0,70,0.08045977011494253,40,0.04597701149425287,0,0,0.034482758620689655,30,0.011494252873563218,10,0.011494252873563218,10,0,0,15,0.017241379310344827,0.011494252873563218,10,0,0,0,0.040229885057471264,35,600,0.6896551724137931,50,0.08333333333333333,0,NA,0,NA,0,NA,60,0.11009174311926606,120,0.22018348623853212,470,0.9690721649484536,0,0,10,0.020618556701030927,0,0,0,0,0.1134020618556701,650,0.7471264367816092,870,1
ottawa_ons2022_alta_vista_3002_00000_2_8_percent,1005,0,0,20.3,20.2,25,0.024875621890547265,825,18400,760,14880,29.6,15440,16040,5.6,295,0.2935323383084577,710,0.7064676616915423,0,0,80,0.07960199004975124,0,0,0,0,0.01485148514851485,15,0.009900990099009901,10,0,0,0,0,80,0.07920792079207921,0.01485148514851485,15,0,0,0,0.26732673267326734,270,605,0.6019900497512438,170,0.2809917355371901,0,NA,0,NA,0,NA,135,0.313953488372093,70,0.16279069767441862,200,0.6779661016949152,40,0.13559322033898305,30,0.1016949152542373,20,0.06779661016949153,10,0.03389830508474576,0,135,0.13366336633663367,1005,1
ottawa_ons2022_arnprior_3702_00000_2_5_percent,775,0,0,19.9,19.6,30,0.03870967741935484,670,18520,635,15250,26.4,15750,15450,10.9,215,0.27741935483870966,565,0.7290322580645161,0,0,60,0.07741935483870968,0,0,0,0,0.10256410256410256,80,0.0641025641025641,50,0.03205128205128205,25,0,0,20,0.02564102564102564,0.01282051282051282,10,0,0,0,0.05128205128205128,40,500,0.6451612903225806,90,0.18,0,NA,0,NA,0,NA,40,0.0975609756097561,85,0.2073170731707317,290,0.7837837837837838,0,0,70,0.1891891891891892,10,0.02702702702702703,0,0,0.02702702702702703,0,0,775,1
ottawa_ons2022_bayshore_3003_00000_5_4_percent,2025,0,0,20.8,21.2,70,0.0345679012345679,1705,20160,1510,16700,30.5,15940,16420,8.9,450,0.22167487684729065,1575,0.7758620689655172,0,0,235,0.11576354679802955,0,0,20,0.009876543209876543,0.024691358024691357,50,0.012345679012345678,25,0.007407407407407408,15,0,0,650,0.32098765432098764,0.1308641975308642,265,0.1728395061728395,0.5384615384615384,350,0.7481481481481481,1515,1195,0.5901234567901235,310,0.2594142259414226,0,NA,0,NA,0,NA,155,0.1751412429378531,125,0.14124293785310735,400,0.5517241379310345,240,0.3310344827586207,55,0.07586206896551724,0,0,30,0.041379310344827586,0.10344827586206896,105,0.05185185185185185,2025,1
ottawa_ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,910,0,0,20.6,21,45,0.04945054945054945,730,20440,680,15720,32.4,14560,15150,11.5,210,0.23076923076923078,700,0.7692307692307693,0,0,110,0.12087912087912088,45,0.04918032786885246,0,0,0.01639344262295082,15,0,0,0,0,0,0,300,0.32786885245901637,0.1366120218579235,125,0.14285714285714285,0.43333333333333335,130,0.644808743169399,590,520,0.5714285714285714,105,0.20192307692307693,0,NA,0,NA,0,NA,100,0.24390243902439024,35,0.08536585365853659,160,0.5161290322580645,105,0.3387096774193548,35,0.11290322580645161,0,0,10,0.03225806451612903,0.04838709677419355,225,0.2459016393442623,915,1.0054945054945055
