name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
province_of_ontario_00000_3_8_percent,4206585,1089710,0.2590486106901441,50.8,51.2,420345,0.09992547398899583,3927150,43800,3357330,48720,20.6,41200,49280,14,485585,0.11543435419187513,283700,0.06744179965245009,5.408180973187309e-4,2275,4.469178122897644e-4,1880,5.1110281724627314e-5,215,2.377222405796619e-6,10,0.6935332418895115,2917410,2425795,0.5990815447040025,311495,0.128409449273331,299470,0.11102151883013489,2397940,0.8889803348032647,1894210,0.702234184336427,660685,0.31248403727001844,257465,0.1217731636948399,0.11619573763419912,53035,0.01260759902914237,262075,0.06230113025173627
ottawa_census_division_3506_00000_3_1_percent,259215,56250,0.21700133094149643,48,48.4,27580,0.10639816368651506,235595,48640,204305,56350,16.8,45000,55000,11.9,31850,0.12287097583087399,11825,0.04561850201570125,4.822251798699921e-4,125,4.0506915109079334e-4,105,3.8578014389599364e-5,10,0,0,0.7212159790135602,186950,155855,0.6381484666093437,17910,0.11491450386577268,14270,0.08522455805064501,153175,0.91480530339226,130600,0.7799808886765408,57040,0.413498133314002,12780,0.09264561963101237,0.06301969365426696,22115,0.085315278822599,20545,0.0792585305634319
ottawa_ons2022_admaston_bromley_3701_00000_3_2_percent,95,60,0.631578947368421,69,73.5,15,0.15789473684210525,95,34500,70,32000,37,34500,35000,33,0,0,0,0,0,0,0,0,0,0,0,0,0.2631578947368421,25,35,0.3684210526315789,0,0,0,0,30,1,15,0.5,0,0,10,0.25,0,0,0,0,0
ottawa_ons2022_airport_3001_00000_6_7_percent,100,45,0.45,61.6,59.6,0,0,100,57000,90,70000,14.8,69000,90000,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4,40,40,0.4,0,0,0,0,50,0.9090909090909091,40,0.7272727272727273,10,0.25,0,0,0,0,0,0,0
ottawa_ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,335,125,0.373134328358209,55.4,58.4,40,0.11940298507462686,320,48800,270,55200,19.2,43600,53600,13.4,30,0.08823529411764706,15,0.04477611940298507,0,0,0,0,0,0,0,0,0.36764705882352944,125,195,0.582089552238806,40,0.20512820512820512,30,0.15384615384615385,165,0.8461538461538461,135,0.6923076923076923,65,0.40625,25,0.15625,0.2222222222222222,60,0.1791044776119403,20,0.05970149253731343
ottawa_ons2022_alta_vista_3002_00000_2_8_percent,1610,490,0.30434782608695654,53.8,54.8,180,0.11180124223602485,1520,60950,1395,78000,11.4,58750,76900,8.9,160,0.09968847352024922,45,0.028037383177570093,0,0,0,0,0,0,0,0,0.5327102803738317,855,920,0.5935483870967742,65,0.07065217391304347,30,0.030456852791878174,955,0.9695431472081218,865,0.8781725888324873,455,0.5321637426900585,85,0.09941520467836257,0,115,0.07165109034267912,80,0.049689440993788817
ottawa_ons2022_arnprior_3702_00000_2_5_percent,695,300,0.4316546762589928,57.5,61.2,115,0.16546762589928057,665,43800,570,44800,24.6,41300,43400,19.6,95,0.1366906474820144,20,0.02877697841726619,0,0,0,0,0,0,0,0,0.3115942028985507,215,330,0.4888888888888889,40,0.12121212121212122,10,0.028169014084507043,345,0.971830985915493,240,0.676056338028169,70,0.2413793103448276,50,0.1724137931034483,0.09302325581395349,0,0,15,0.02158273381294964
ottawa_ons2022_bayshore_3003_00000_5_4_percent,5910,945,0.1598984771573604,42.4,40.4,585,0.09898477157360407,5135,36680,3975,38000,28.9,32800,37280,20.9,1020,0.17258883248730963,330,0.05583756345177665,0,0,0,0,0,0,0,0,0.8764805414551607,5180,3235,0.6046728971962617,525,0.16228748068006182,600,0.1595744680851064,3160,0.8404255319148937,2520,0.6702127659574468,795,0.2933579335793358,345,0.12730627306273062,0.08093994778067885,415,0.07021996615905245,645,0.10913705583756345
ottawa_ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,2500,510,0.204,44.3,43.6,260,0.104,2115,39440,1815,38800,25.8,35360,38560,17.2,345,0.138,95,0.038,0,0,0,0,0,0,0,0,0.818,2045,1405,0.6314606741573033,190,0.13523131672597866,180,0.127208480565371,1240,0.8763250883392226,990,0.6996466431095406,295,0.24180327868852458,120,0.09836065573770492,0.07262569832402235,445,0.178,300,0.12
