name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
province_of_ontario_00000_3_8_percent,406590,42255,0.10392533018519885,35.3,33.2,42930,0.10558547922969085,297860,42360,239055,46160,23.1,36720,42640,17.7,69030,0.16977790895004796,355,8.731154233994934e-4,1,406590,0.617403280946408,251030,0.33108290907302196,134615,0.010600359084089623,4310,2.3365060626183624e-4,95,189040,0.5986635842543624,28275,0.14957151925518408,43500,0.20691131353009728,166735,0.7930886864699027,112480,0.535020334387709,31135,0.19366777594625695,22905,0.14247504120921842,0.07603356924623893,17410,0.04281954794756389,63280,0.15563589857104207
ottawa_census_division_3506_00000_3_1_percent,26395,2385,0.09035802235271832,35.6,33.6,3475,0.13165372229588937,20190,46760,17470,54150,16.2,44320,53700,10.9,3195,0.12104565258571699,20,7.577192650123129e-4,1,26395,0.503693881416935,13295,0.3993180526614889,10540,0.04811517332828187,1270,0,0,14155,0.6675312426314548,1940,0.13705404450724126,1845,0.12538226299694188,12870,0.8746177370030581,9730,0.6612300373768264,4740,0.3882063882063882,1430,0.11711711711711711,0.06451612903225806,3205,0.12142451221822315,4105,0.15552187914377724
ottawa_ons2022_admaston_bromley_3701_00000_3_2_percent,175,25,0.14285714285714285,40.4,45.2,10,0.05714285714285714,135,39000,125,40000,19,33500,37000,16,0,0,0,0,1,175,0.45714285714285713,80,0.45714285714285713,80,0,0,0,0,95,0.6333333333333333,10,0.10526315789473684,10,0.1,90,0.9,70,0.7,15,0.17647058823529413,0,0,0,0,0,25,0.14285714285714285
ottawa_ons2022_airport_3001_00000_6_7_percent,20,0,0,27,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
ottawa_ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,435,50,0.11494252873563218,38.1,39.6,50,0.11494252873563218,330,46000,290,50000,18.4,42400,47200,13.6,35,0.08045977011494253,0,0,1,430,0.6046511627906976,260,0.313953488372093,135,0,0,0,0,240,0.7272727272727273,20,0.08333333333333333,30,0.11764705882352941,225,0.8823529411764706,140,0.5490196078431373,55,0.25,45,0.20454545454545456,0.12121212121212122,270,0.6206896551724138,30,0.06896551724137931
ottawa_ons2022_alta_vista_3002_00000_2_8_percent,80,15,0.1875,36.5,33.2,10,0.125,65,54000,65,50000,17,48000,52000,9.5,0,0,0,0,1,80,0.3125,25,0.625,50,0,0,0,0,40,0.6153846153846154,0,0,0,0,30,1,25,0.8333333333333334,15,0.42857142857142855,0,0,0,0,0,10,0.125
ottawa_ons2022_arnprior_3702_00000_2_5_percent,575,50,0.08695652173913043,33.9,31.6,50,0.08695652173913043,425,38200,360,38400,24.6,33000,34200,22,70,0.1206896551724138,0,0,1,575,0.48695652173913045,280,0.4608695652173913,265,0,0,0,0,280,0.6436781609195402,20,0.07142857142857142,55,0.1746031746031746,255,0.8095238095238095,165,0.5238095238095238,35,0.13725490196078433,65,0.2549019607843137,0.09302325581395349,0,0,75,0.13043478260869565
ottawa_ons2022_bayshore_3003_00000_5_4_percent,390,35,0.08974358974358974,34.4,31.8,75,0.19230769230769232,280,39600,210,43200,26.4,37200,43200,19.2,125,0.32051282051282054,0,0,1,395,0.6075949367088608,240,0.2911392405063291,115,0.05063291139240506,20,0,0,175,0.5833333333333334,30,0.17142857142857143,30,0.13636363636363635,190,0.8636363636363636,135,0.6136363636363636,55,0.3793103448275862,35,0.2413793103448276,0,40,0.10256410256410256,45,0.11538461538461539
ottawa_ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,265,35,0.1320754716981132,39,36.4,50,0.18867924528301888,220,40800,180,45200,23.2,39600,48400,15.2,30,0.11320754716981132,0,0,1,265,0.5094339622641509,135,0.49056603773584906,130,0,0,0,0,120,0.5454545454545454,10,0.08333333333333333,20,0.11764705882352941,145,0.8529411764705882,95,0.5588235294117647,70,0.6086956521739131,10,0.08695652173913043,0,50,0.18867924528301888,15,0.05660377358490566
