name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,number_of_immigrants,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
province_of_ontario_20000_3_8_percent,4817360,517815,0.10748937177209093,36.3,34.4,294570,0.0611475995150871,3661310,40160,3142020,44400,19.7,36800,44600,11.3,1100325,0.22840829832107212,3199220,0.6641023299068369,517815,0.10748937177209093,601595,0.1248806400185994,14940,0.0031012836906521416,271930,0.05644792998654865,1.97203447531428e-5,95,0,0,0,0,0,0,2917410,0.6056034840659614,0.10411615490642177,501565,0.09646050949067539,0.1742530632142422,464685,1,4817360,2576005,0.6598601642218673,372260,0.1445105890710616,258425,0.09657534502539342,2417465,0.9034246549746066,1933985,0.7227445821763974,685325,0.3109819874804027,257165,0.11669453589231059,1142690,0.76058147351886,254105,0.16913384673753154,59685,0.03972670212128675,9535,0.006346554489846178,36375,0.02421142313247559,0.11941972457218165,71720,0.01488782237574107,710160,0.14741684241991465
ottawa_census_division_3506_00000_3_1_percent,324960,28920,0.08899556868537666,34.1,31.8,23330,0.07179345150172328,237375,43000,206420,48600,17.1,39040,47480,10.5,84615,0.26038589364844905,211425,0.6506185376661743,28915,0.08898018217626785,45920,0.1413096996553422,9100,0.028003877459955993,13120,0.04037482112907941,0,0,0,0,0,0,0,0,186950,0.5753104275976674,0.12386330414980536,40250,0.138770925652388,0.26142786747441954,45095,1,324955,174310,0.6844006439200597,23255,0.13341173770867995,14310,0.08374787850412595,156560,0.9162521214958741,132950,0.7780769005676831,58950,0.3902552050577604,14170,0.09380689152957532,66525,0.7298008885963468,16150,0.1771707531128298,4950,0.054303110087214085,855,0.009379628105973342,2670,0.029290768471285172,0.06845482968570019,32790,0.1009062793309843,54905,0.16895925652387986
ottawa_ons2022_admaston_bromley_3701_00000_3_2_percent,35,15,0.42857142857142855,52,NA,0,0,35,26000,20,40000,28,32000,NA,28,0,0,20,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.5714285714285714,0,0,0,0,0,1,35,10,0.3333333333333333,0,0,0,0,20,1,10,0.5,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ottawa_ons2022_airport_3001_00000_6_7_percent,55,0,0,44,51.2,0,0,50,58000,50,80000,6.8,80000,130000,2.8,0,0,45,0.8181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0.6666666666666666,0,0,0,0,0,1,60,35,0.7,0,0,10,0.25,25,0.625,25,0.625,0,0,0,0,25,0.7142857142857143,0,0,0,0,0,0,0,0,0,0,0,10,0.18181818181818182
ottawa_ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,220,15,0.06818181818181818,34.8,32.4,10,0.045454545454545456,150,46000,145,46000,17,41000,44000,8.8,50,0.22727272727272727,160,0.7272727272727273,0,0,0,0,0,0,10,0.045454545454545456,0,0,0,0,0,0,0,0,125,0.5681818181818182,0.1590909090909091,35,0.11363636363636363,0.21739130434782608,25,1,220,140,0.7777777777777778,0,0,0,0,125,1,95,0.76,55,0.4074074074074074,20,0.14814814814814814,70,0.875,0,0,0,0,0,0,0,0,0.125,40,0.18181818181818182,40,0.18181818181818182
ottawa_ons2022_alta_vista_3002_00000_2_8_percent,1705,150,0.08797653958944282,34.7,34,100,0.05865102639296188,1230,53300,1110,65800,10.8,52600,68600,6.5,460,0.2697947214076246,1090,0.6392961876832844,150,0.08797653958944282,200,0.11730205278592376,30,0.01764705882352941,30,0.01764705882352941,0,0,0,0,0,0,0,0,855,0.5029411764705882,0.08823529411764706,150,0.06744868035190615,0.1554054054054054,115,1,1700,940,0.706766917293233,105,0.11170212765957446,40,0.04395604395604396,870,0.9560439560439561,780,0.8571428571428571,405,0.48502994011976047,95,0.11377245508982035,335,0.7976190476190477,25,0.05952380952380952,30,0.07142857142857142,10,0.023809523809523808,20,0.047619047619047616,0.023809523809523808,120,0.07058823529411765,270,0.15835777126099707
ottawa_ons2022_arnprior_3702_00000_2_5_percent,395,50,0.12658227848101267,32.4,31.6,35,0.08860759493670886,265,44000,225,50000,20,40800,48400,13.8,140,0.35443037974683544,210,0.5316455696202531,50,0.12658227848101267,65,0.16455696202531644,0,0,15,0.0379746835443038,0,0,0,0,0,0,0,0,215,0.5443037974683544,0.0759493670886076,30,0.12658227848101267,0.2564102564102564,50,1,395,195,0.6724137931034483,30,0.15384615384615385,0,0,190,0.95,120,0.6,55,0.3333333333333333,20,0.12121212121212122,95,0.8636363636363636,0,0,15,0.13636363636363635,0,0,0,0,0.09090909090909091,0,0,45,0.11392405063291139
ottawa_ons2022_bayshore_3003_00000_5_4_percent,8630,660,0.07647740440324449,32,28.8,510,0.05909617612977984,6215,34320,4990,34720,27.5,29320,33240,18.4,2310,0.26767091541135574,5655,0.6552723059096176,660,0.07647740440324449,1535,0.17786790266512167,210,0.02433371958285052,420,0.04866743916570104,0,0,0,0,0,0,0,0,5180,0.6005797101449275,0.21043478260869566,1815,0.2149478563151796,0.3717434869739479,1855,1,8625,4410,0.6606741573033708,755,0.1712018140589569,600,0.13348164627363737,3895,0.8665183537263627,3185,0.7085650723025584,1030,0.2814207650273224,440,0.12021857923497267,1710,0.6514285714285715,725,0.2761904761904762,125,0.047619047619047616,0,0,60,0.022857142857142857,0.09142857142857143,625,0.07242178447276941,1520,0.1761297798377752
ottawa_ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,3215,345,0.10730948678071539,34,31.4,220,0.06842923794712286,2340,36280,2025,35000,25.7,31720,35600,14.8,835,0.25972006220839816,2035,0.6329704510108864,345,0.10730948678071539,515,0.16018662519440124,235,0.07309486780715396,105,0.03265940902021773,0,0,0,0,0,0,0,0,2045,0.6360808709175739,0.21461897356143078,690,0.208398133748056,0.34986945169712796,670,1,3215,1660,0.6613545816733067,230,0.13855421686746988,180,0.11428571428571428,1390,0.8825396825396825,1100,0.6984126984126984,360,0.2517482517482518,155,0.10839160839160839,635,0.6105769230769231,315,0.30288461538461536,45,0.04326923076923077,0,0,40,0.038461538461538464,0.08653846153846154,625,0.19440124416796267,590,0.18351477449455678
