name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
province_of_ontario_20000_3_8_percent,284215,21055,0.07408124131379414,32.7,30.8,14310,0.050349207466178776,196450,37480,150610,42240,26,33800,43160,16.3,63355,0.22291223193708987,16885,0.05940925003958271,0,0,0,0,0,0,0,0,1,284215,125075,0.5858862656923365,24115,0.19280431740955425,20960,0.14363050777770164,124965,0.8563352292194888,101890,0.6982114712533406,31390,0.31091521394611726,14670,0.14530507131537243,0.07915199530516431,8400,0.029555090336541,46495,0.16359094347588973
ottawa_census_division_3506_00000_3_1_percent,58185,4245,0.07295694766692447,32.1,29.8,3090,0.053106470739881416,39665,38680,30960,43240,24.9,34520,43200,16.3,12665,0.2176677837930738,2900,0.04984102431898255,0,0,0,0,0,0,0,0,1,58180,26365,0.6112914444702063,4825,0.18300777545989,4160,0.14372084988771808,24785,0.856279150112282,20180,0.6971843150803247,8185,0.3799025295892318,2815,0.13065676491065212,0.04342857142857143,4310,0.07407407407407407,9950,0.17100627309444014
ottawa_ons2022_admaston_bromley_3701_00000_3_2_percent,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA
ottawa_ons2022_airport_3001_00000_6_7_percent,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA
ottawa_ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,15,0,0,38,NA,0,0,15,50000,15,60000,10,50000,60000,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,15,15,1,0,0,0,0,15,1,15,1,0,0,0,0,0,10,0.6666666666666666,0,0
ottawa_ons2022_alta_vista_3002_00000_2_8_percent,570,55,0.09649122807017543,37.1,34.8,35,0.06140350877192982,450,45000,370,56600,15.7,45000,64000,7.8,95,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,1,570,325,0.6842105263157895,40,0.12307692307692308,20,0.06153846153846154,300,0.9230769230769231,230,0.7076923076923077,105,0.3620689655172414,55,0.1896551724137931,0,45,0.07894736842105263,95,0.16666666666666666
ottawa_ons2022_arnprior_3702_00000_2_5_percent,15,10,0.6666666666666666,52,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,1,15,10,0.6666666666666666,0,0,0,0,10,1,0,0,0,0,0,0,NA,0,0,0,0
ottawa_ons2022_bayshore_3003_00000_5_4_percent,1590,110,0.06918238993710692,30.4,27.2,60,0.03773584905660377,1020,28550,670,26300,44,25080,26700,32.4,425,0.2672955974842767,170,0.1069182389937107,0,0,0,0,0,0,0,0,1,1590,550,0.49327354260089684,160,0.2909090909090909,210,0.28378378378378377,530,0.7162162162162162,395,0.5337837837837838,100,0.25316455696202533,60,0.1518987341772152,0.0847457627118644,65,0.040880503144654086,270,0.16981132075471697
ottawa_ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,400,45,0.1125,31.3,28.4,10,0.025,250,37200,175,38800,34.5,32000,39600,22,40,0.1,0,0,0,0,0,0,0,0,0,0,1,395,145,0.5178571428571429,20,0.13793103448275862,30,0.16216216216216217,155,0.8378378378378378,125,0.6756756756756757,60,0.48,0,0,0,30,0.075,60,0.15
ottawa_ons2022_beaverbrook_3005_00000_2_3_percent,215,0,0,27.8,23,0,0,125,39000,120,37000,23,37500,42000,16,65,0.3023255813953488,0,0,0,0,0,0,0,0,0,0,1,210,105,0.7241379310344828,20,0.19047619047619047,0,0,95,0.9047619047619048,70,0.6666666666666666,45,0.5294117647058824,0,0,0,20,0.09523809523809523,45,0.20930232558139536
ottawa_ons2022_beckwith_3401_00000_1_8_percent,20,0,0,22,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,1,20,10,1,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0
ottawa_ons2022_beechwood_cemetery_3006_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_bells_corners_east_3007_00000_1_1_percent,40,0,0,39,40.4,0,0,40,28000,35,28000,24,32000,34000,6,0,0,0,0,0,0,0,0,0,0,0,0,1,40,30,0.75,15,0.5,0,0,20,0.8,15,0.6,0,0,0,0,0,0,0,0,0
ottawa_ons2022_bells_corners_west_3008_00000_2_6_percent,205,10,0.04878048780487805,25.3,23,15,0.07317073170731707,115,41000,80,47000,28,36500,50000,16.5,85,0.4146341463414634,10,0.05,0,0,0,0,0,0,0,0,1,200,70,0.6086956521739131,15,0.21428571428571427,30,0.3157894736842105,60,0.631578947368421,40,0.42105263157894735,15,0.2727272727272727,20,0.36363636363636365,0,0,0,10,0.04878048780487805
ottawa_ons2022_billings_bridge_heron_park_3009_00000_6_4_percent,460,65,0.14130434782608695,38.2,31.4,55,0.11956521739130435,365,31600,250,34400,34,27100,32800,20.8,135,0.29347826086956524,60,0.13186813186813187,0,0,0,0,0,0,0,0,1,455,230,0.6052631578947368,45,0.1956521739130435,45,0.17647058823529413,210,0.8235294117647058,175,0.6862745098039216,75,0.40540540540540543,20,0.10810810810810811,0,0,0,65,0.14130434782608695
ottawa_ons2022_blackburn_hamlet_3010_00000_2_3_percent,210,20,0.09523809523809523,33.2,26.4,10,0.047619047619047616,130,37000,100,36000,33,32000,39500,23,65,0.30952380952380953,0,0,0,0,0,0,0,0,0,0,1,210,90,0.6,15,0.16666666666666666,20,0.21052631578947367,75,0.7894736842105263,60,0.631578947368421,20,0.26666666666666666,10,0.13333333333333333,0.2,40,0.19047619047619047,40,0.19047619047619047
ottawa_ons2022_blossom_park_timbermill_3011_00000_2_0_percent,1635,105,0.06422018348623854,31.6,27.6,45,0.027522935779816515,1085,38900,845,41900,29.8,32100,39700,19.9,305,0.18654434250764526,95,0.0581039755351682,0,0,0,0,0,0,0,0,1,1635,700,0.5761316872427984,130,0.18571428571428572,145,0.18471337579617833,640,0.8152866242038217,475,0.6050955414012739,180,0.3157894736842105,100,0.17543859649122806,0.039473684210526314,120,0.07339449541284404,325,0.19877675840978593
ottawa_ons2022_bonnechere_valley_3703_00000_4_5_percent,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA
ottawa_ons2022_borden_farm_fisher_glen_3012_00000_3_2_percent,260,35,0.1346153846153846,41,41.2,20,0.07692307692307693,205,40000,175,42800,22,36000,40800,15.6,75,0.28846153846153844,10,0.038461538461538464,0,0,0,0,0,0,0,0,1,260,100,0.45454545454545453,10,0.1,15,0.10344827586206896,135,0.9310344827586207,80,0.5517241379310345,30,0.3333333333333333,30,0.3333333333333333,0,10,0.038461538461538464,45,0.17307692307692307
ottawa_ons2022_braemar_park_belair_heights_copeland_park_3013_00000_4_5_percent,340,35,0.10294117647058823,32.1,29.2,20,0.058823529411764705,210,33200,175,25000,45,23800,27200,34,100,0.29411764705882354,0,0,0,0,0,0,0,0,0,0,1,340,130,0.49056603773584906,35,0.2692307692307692,35,0.2,135,0.7714285714285715,110,0.6285714285714286,35,0.3888888888888889,10,0.1111111111111111,0,0,0,60,0.17647058823529413
ottawa_ons2022_bridlewood_emerald_meadows_3014_00000_1_2_percent,910,95,0.1043956043956044,33.3,33.2,20,0.02197802197802198,595,40600,500,43400,21.8,37800,45400,12.5,190,0.2087912087912088,10,0.01098901098901099,0,0,0,0,0,0,0,0,1,910,410,0.6356589147286822,80,0.1951219512195122,20,0.0449438202247191,425,0.9550561797752809,385,0.8651685393258427,160,0.48484848484848486,25,0.07575757575757576,0,40,0.04395604395604396,100,0.10989010989010989
ottawa_ons2022_britannia_3015_00000_4_2_percent,365,65,0.1780821917808219,40,39.2,40,0.1095890410958904,275,33600,165,38000,38,29800,38000,30,115,0.3150684931506849,40,0.1111111111111111,0,0,0,0,0,0,0,0,1,360,125,0.43859649122807015,35,0.28,10,0.05405405405405406,180,0.972972972972973,135,0.7297297297297297,40,0.4444444444444444,15,0.16666666666666666,0,20,0.05555555555555555,40,0.1095890410958904
ottawa_ons2022_brookside_briarbrook_morgans_grant_3016_00000_1_0_percent,1310,70,0.05343511450381679,30.8,30.8,25,0.019083969465648856,850,46200,755,52300,15.2,42500,54100,8.8,100,0.07604562737642585,25,0.019011406844106463,0,0,0,0,0,0,0,0,1,1315,655,0.7197802197802198,95,0.1450381679389313,25,0.0390625,615,0.9609375,540,0.84375,300,0.5405405405405406,40,0.07207207207207207,0.058823529411764705,65,0.049429657794676805,205,0.15648854961832062
