name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,number_of_immigrants,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
province_of_ontario_20000_3_8_percent,284215,21055,0.07408124131379414,32.7,30.8,14310,0.050349207466178776,196450,37480,150610,42240,26,33800,43160,16.3,85650,0.30135636753865913,177510,0.6245623911475467,21055,0.07408124131379414,63355,0.22291223193708987,1680,0.0059110180673081995,16885,0.05940925003958271,0,0,0,0,0,0,0,0,194260,0.6834966486638636,0.2047745544746055,58200,0.26596062839751594,0.4054170018771789,75590,1,284215,125075,0.5858862656923365,24115,0.19280431740955425,20960,0.14363050777770164,124965,0.8563352292194888,101890,0.6982114712533406,31390,0.31091521394611726,14670,0.14530507131537243,58150,0.8531396713615024,5615,0.08237969483568075,2345,0.034404342723004695,325,0.004768192488262911,1725,0.025308098591549297,0.07915199530516431,8400,0.029555090336541,46495,0.16359094347588973
ottawa_census_division_3506_00000_3_1_percent,58185,4245,0.07295694766692447,32.1,29.8,3090,0.053106470739881416,39665,38680,30960,43240,24.9,34520,43200,16.3,18145,0.3118501331958409,35800,0.6152788519377846,4245,0.07295694766692447,12665,0.2176677837930738,1120,0.019248947323193263,2900,0.04984102431898255,0,0,0,0,0,0,0,0,36145,0.6212616019250602,0.17600550017188038,10240,0.1923176076308327,0.32853787433940107,11190,1,58180,26365,0.6112914444702063,4825,0.18300777545989,4160,0.14372084988771808,24785,0.856279150112282,20180,0.6971843150803247,8185,0.3799025295892318,2815,0.13065676491065212,10980,0.8365714285714285,1225,0.09333333333333334,440,0.033523809523809525,75,0.005714285714285714,395,0.030095238095238095,0.04342857142857143,4310,0.07407407407407407,9950,0.17100627309444014
ottawa_ons2022_admaston_bromley_3701_00000_3_2_percent,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA
ottawa_ons2022_airport_3001_00000_6_7_percent,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA
ottawa_ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,15,0,0,38,NA,0,0,15,50000,15,60000,10,50000,60000,NA,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.6666666666666666,0,0,0,0,0,1,15,15,1,0,0,0,0,15,1,15,1,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,10,0.6666666666666666,0,0
ottawa_ons2022_alta_vista_3002_00000_2_8_percent,570,55,0.09649122807017543,37.1,34.8,35,0.06140350877192982,450,45000,370,56600,15.7,45000,64000,7.8,120,0.21052631578947367,395,0.6929824561403509,60,0.10526315789473684,95,0.16666666666666666,15,0.02631578947368421,0,0,0,0,0,0,0,0,0,0,335,0.5877192982456141,0.12280701754385964,70,0.07894736842105263,0.15789473684210525,45,1,570,325,0.6842105263157895,40,0.12307692307692308,20,0.06153846153846154,300,0.9230769230769231,230,0.7076923076923077,105,0.3620689655172414,55,0.1896551724137931,165,0.9428571428571428,0,0,0,0,0,0,0,0,0,45,0.07894736842105263,95,0.16666666666666666
ottawa_ons2022_arnprior_3702_00000_2_5_percent,15,10,0.6666666666666666,52,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,1,15,10,0.6666666666666666,0,0,0,0,10,1,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
ottawa_ons2022_bayshore_3003_00000_5_4_percent,1590,110,0.06918238993710692,30.4,27.2,60,0.03773584905660377,1020,28550,670,26300,44,25080,26700,32.4,560,0.3522012578616352,920,0.5786163522012578,110,0.06918238993710692,425,0.2672955974842767,50,0.031446540880503145,170,0.1069182389937107,0,0,0,0,0,0,0,0,1070,0.6729559748427673,0.2389937106918239,380,0.36163522012578614,0.5476190476190477,575,1,1590,550,0.49327354260089684,160,0.2909090909090909,210,0.28378378378378377,530,0.7162162162162162,395,0.5337837837837838,100,0.25316455696202533,60,0.1518987341772152,220,0.7457627118644068,45,0.15254237288135594,15,0.05084745762711865,0,0,10,0.03389830508474576,0.0847457627118644,65,0.040880503144654086,270,0.16981132075471697
ottawa_ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,400,45,0.1125,31.3,28.4,10,0.025,250,37200,175,38800,34.5,32000,39600,22,135,0.3375,220,0.55,45,0.1125,40,0.1,0,0,0,0,0,0,0,0,0,0,0,0,285,0.7215189873417721,0.34177215189873417,135,0.3875,0.5740740740740741,155,1,395,145,0.5178571428571429,20,0.13793103448275862,30,0.16216216216216217,155,0.8378378378378378,125,0.6756756756756757,60,0.48,0,0,55,0.7857142857142857,0,0,0,0,0,0,15,0.21428571428571427,0,30,0.075,60,0.15
