name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
province_of_ontario_20000_3_8_percent,768740,71250,0.09268413247652002,33.9,31.4,70095,0.09118167390795327,547960,39360,466360,39520,25.4,35520,39760,15.8,110790,0.144118947888753,5565,0.007239165642256434,2.6016767806851515e-5,20,0,0,0,0,0,0,1,768735,389355,0.6619769794447183,66080,0.16971658255319697,43335,0.11064161156075268,348330,0.889345622590446,256365,0.654543365588378,76410,0.2363658861014013,48530,0.1501221888823584,0.1450490706168003,48450,0.0630256200120978,125255,0.16293545281889846
ottawa_census_division_3506_00000_3_1_percent,84770,5375,0.06340686563642799,31.1,27.6,7035,0.08298926507018993,58050,39280,50175,39680,23.2,34640,38920,14.8,14240,0.16798395658841572,1120,0.013212221304706853,0,0,0,0,0,0,0,0,1,84770,43610,0.6912895299992075,6820,0.1563861499656042,4210,0.1027205075027449,36775,0.8972794924972551,29960,0.730999146029035,10675,0.29016036966567,4680,0.127208480565371,0.09450038729666925,24695,0.2913176831426212,16725,0.19729857260823405
ottawa_ons2022_admaston_bromley_3701_00000_3_2_percent,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA
ottawa_ons2022_airport_3001_00000_6_7_percent,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA
ottawa_ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,80,15,0.1875,37.5,50.8,10,0.125,50,46000,50,48000,10,42000,42000,11,0,0,0,0,0,0,0,0,0,0,0,0,1,80,45,0.75,0,0,0,0,35,1,20,0.5714285714285714,0,0,0,0,0,25,0.3125,10,0.125
ottawa_ons2022_alta_vista_3002_00000_2_8_percent,165,10,0.06060606060606061,30.5,24.6,10,0.06060606060606061,95,61000,85,76000,12,47000,66000,12.4,0,0,10,0.06060606060606061,0,0,0,0,0,0,0,0,1,170,75,0.6521739130434783,10,0.13333333333333333,10,0.14285714285714285,60,0.8571428571428571,60,0.8571428571428571,20,0.2857142857142857,10,0.14285714285714285,0,25,0.15151515151515152,35,0.21212121212121213
ottawa_ons2022_arnprior_3702_00000_2_5_percent,45,10,0.2222222222222222,33.5,29.6,0,0,35,48000,35,44000,14,44000,44000,20,0,0,0,0,0,0,0,0,0,0,0,0,1,45,35,1,0,0,0,0,20,1,20,1,0,0,0,0,0,0,0,0,0
ottawa_ons2022_bayshore_3003_00000_5_4_percent,2340,140,0.05982905982905983,28.6,24.6,140,0.05982905982905983,1485,32480,1155,28150,38,29840,30800,25.2,490,0.2094017094017094,40,0.017094017094017096,0,0,0,0,0,0,0,0,1,2340,965,0.5993788819875776,205,0.21243523316062177,145,0.14285714285714285,870,0.8571428571428571,655,0.645320197044335,160,0.21052631578947367,120,0.15789473684210525,0.08403361344537816,505,0.21581196581196582,450,0.19230769230769232
ottawa_ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,1430,115,0.08041958041958042,31.3,27.2,110,0.07692307692307693,985,34500,850,30550,30.3,29100,30600,20.4,285,0.1993006993006993,0,0,0,0,0,0,0,0,0,0,1,1435,680,0.6238532110091743,100,0.14705882352941177,85,0.13178294573643412,565,0.875968992248062,435,0.6744186046511628,120,0.20689655172413793,85,0.14655172413793102,0.1111111111111111,525,0.36585365853658536,320,0.22377622377622378
ottawa_ons2022_beaverbrook_3005_00000_2_3_percent,175,35,0.2,40.8,41.2,40,0.22857142857142856,140,45000,135,42000,23,38000,39500,17,0,0,0,0,0,0,0,0,0,0,0,0,1,175,90,0.6206896551724138,10,0.1111111111111111,0,0,85,0.9444444444444444,70,0.7777777777777778,20,0.25,0,0,0.16666666666666666,15,0.08571428571428572,20,0.11428571428571428
ottawa_ons2022_beckwith_3401_00000_1_8_percent,70,10,0.14285714285714285,32,21,0,0,60,48000,55,52000,17,48000,50000,14,0,0,0,0,0,0,0,0,0,0,0,0,1,75,35,0.5833333333333334,0,0,0,0,20,1,20,1,0,0,0,0,0,30,0.42857142857142855,35,0.5
ottawa_ons2022_beechwood_cemetery_3006_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
