name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,number_of_immigrants,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
province_of_ontario_20000_3_8_percent,820245,129935,0.15840998725990404,40.8,40,70005,0.08534645136514091,661140,42400,584830,48960,15.9,39960,49520,8.9,146540,0.1786539387621991,543770,0.6629360739778969,129935,0.15840998725990404,132445,0.1614700485830453,285,3.4745716218934585e-4,121535,0.14816914458484964,0,0,0,0,0,0,0,0,529330,0.6453315777603034,0.07295381258038756,59840,0.03793378807551402,0.06395749185500364,31115,1,820245,412540,0.5904985471565779,54725,0.13265380326756193,42130,0.09088261624583392,421435,0.9091173837541661,353155,0.7618241239092683,159480,0.44570518284588406,25730,0.07190866788703659,158020,0.8146200639241159,22095,0.1139034952056913,8945,0.046113001340344364,1600,0.00824827301783689,3325,0.01714094236519229,0.1062222909578307,2555,0.003114922980329048,105120,0.12815683119068083
ottawa_census_division_3506_00000_3_1_percent,46175,6695,0.1449918787222523,39.6,38.4,4220,0.09139144558743909,36560,48160,33295,57600,11.1,45600,56950,6.8,9015,0.19523551705468328,30465,0.6597726042230644,6695,0.1449918787222523,6505,0.1408770979967515,45,9.745533297238765e-4,4815,0.1042772062804548,0,0,0,0,0,0,0,0,26680,0.5778644141217241,0.07569850552306692,3495,0.012994044396318355,0.024681201151789386,600,1,46170,24400,0.6282183316168898,2675,0.1096311475409836,990,0.039663461538461536,23975,0.9605368589743589,21770,0.8721955128205128,12085,0.5561435803037276,780,0.035895075931891396,7540,0.7953586497890295,980,0.10337552742616034,625,0.06592827004219409,110,0.011603375527426161,225,0.023734177215189875,0.05168776371308017,805,0.017433676231727126,7185,0.1556036816459123
ottawa_ons2022_admaston_bromley_3701_00000_3_2_percent,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA
ottawa_ons2022_airport_3001_00000_6_7_percent,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA
ottawa_ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,40,0,0,36,31.8,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,20,0.5,0.25,10,0,0,0,1,40,30,0.8571428571428571,0,0,0,0,25,1,25,1,30,1,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
ottawa_ons2022_alta_vista_3002_00000_2_8_percent,280,60,0.21428571428571427,36,32.4,35,0.125,180,50400,170,59600,10.8,49600,59200,8.8,100,0.35714285714285715,125,0.44642857142857145,60,0.21428571428571427,35,0.125,10,0.03508771929824561,20,0.07017543859649122,0,0,0,0,0,0,0,0,100,0.3508771929824561,0.03508771929824561,10,0,0,0,1,285,100,0.4878048780487805,10,0.1,0,0,100,1,100,1,50,0.5263157894736842,0,0,25,0.625,0,0,0,0,0,0,0,0,0,20,0.07017543859649122,45,0.16071428571428573
ottawa_ons2022_arnprior_3702_00000_2_5_percent,10,0,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,10,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
ottawa_ons2022_bayshore_3003_00000_5_4_percent,390,95,0.24358974358974358,49.5,55.2,30,0.07692307692307693,355,43600,305,51600,14,43200,51600,10.2,35,0.08974358974358974,260,0.6666666666666666,95,0.24358974358974358,35,0.08974358974358974,0,0,75,0.19480519480519481,0,0,0,0,0,0,0,0,260,0.6753246753246753,0.025974025974025976,10,0.08974358974358974,0.15555555555555556,35,1,385,225,0.6081081081081081,15,0.06666666666666667,40,0.1702127659574468,200,0.851063829787234,170,0.723404255319149,80,0.3902439024390244,0,0,115,0.8846153846153846,10,0.07692307692307693,0,0,0,0,0,0,0.07692307692307693,10,0.025974025974025976,45,0.11538461538461539
ottawa_ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,265,55,0.20754716981132076,42,40,35,0.1320754716981132,215,40800,200,39600,21.6,36800,41600,10.2,50,0.18867924528301888,160,0.6037735849056604,55,0.20754716981132076,45,0.16981132075471697,0,0,40,0.1509433962264151,0,0,0,0,0,0,0,0,160,0.6037735849056604,0.1320754716981132,35,0,0,0,1,265,140,0.6222222222222222,30,0.21428571428571427,0,0,125,1,110,0.88,45,0.45,0,0,40,0.6666666666666666,10,0.16666666666666666,10,0.16666666666666666,0,0,0,0,0,15,0.05660377358490566,40,0.1509433962264151
