name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,number_of_immigrants,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
province_of_ontario_20000_3_8_percent,8817325,1951985,0.22138063414924594,44.4,46,1115530,0.12651569495283432,7351175,49480,6636540,56900,15.9,47920,57650,11.5,1518825,0.17225462370957179,5346510,0.6063641750757741,1951985,0.22138063414924594,751400,0.08521858953821028,22405,0.002541021534888152,70855,0.0080358884559027,0.001068351834797875,9420,0,0,0,0,0,0,1287050,0.14596838948796234,0.00940421806172397,82920,0.0139526443677646,0.18134982347781864,123025,0,0,4638525,0.6126579185460597,506350,0.10916185640909556,456485,0.09705415544695811,4246920,0.9029458445530419,3102330,0.6595923591525714,1214225,0.2938464610041927,485690,0.11753858440167708,2540250,0.8745670630521453,130225,0.04483436503728594,140100,0.04823416810692079,26950,0.009278449896370559,67060,0.023087675326553238,0.07717122613252174,238285,0.027024651481402512,915755,0.10385859656982134
ottawa_census_division_3506_00000_3_1_percent,650220,129225,0.19874042631724648,43.3,44,89500,0.13764571991018423,542545,56800,505125,67400,11.4,54100,66000,8.4,111475,0.17144197348589707,409520,0.6298176001968564,129225,0.19874042631724648,40145,0.06174064162898711,4835,0.007436001937820567,2285,0.003514222218804549,9.535307552117376e-4,620,0,0,0,0,0,0,72145,0.11095560699153358,0.01098098321324485,7140,0.012065147180954139,0.17845768880800728,7845,0,0,361880,0.6476367736277896,31660,0.0874875649386537,18920,0.05283440379782184,339180,0.9471655962021782,275015,0.7679838034068696,152170,0.4608140027860214,27500,0.0832778147901399,139910,0.7892035198555957,13955,0.0787172833935018,13860,0.07818140794223827,3255,0.018360785198555957,6305,0.035565207581227436,0.041262409747292415,71505,0.1099713171797021,71450,0.10988588477745993
ottawa_ons2022_admaston_bromley_3701_00000_3_2_percent,2800,570,0.20357142857142857,42.6,45.6,195,0.06964285714285715,2260,40880,2090,41680,18.7,40880,43920,14,575,0.20535714285714285,1655,0.5910714285714286,570,0.20357142857142857,290,0.10357142857142858,0,0,20,0.0071301247771836,0.0053475935828877,15,0,0,0,0,0,0,75,0.026737967914438502,0,0,0,0,0,0,0,1520,0.6551724137931034,90,0.05921052631578947,165,0.1166077738515901,1250,0.8833922261484098,845,0.5971731448763251,315,0.2202797202797203,200,0.13986013986013987,1065,0.9594594594594594,10,0.009009009009009009,15,0.013513513513513514,0,0,20,0.018018018018018018,0.0990990990990991,0,0,335,0.11964285714285715
ottawa_ons2022_airport_3001_00000_6_7_percent,215,70,0.32558139534883723,54.6,57.6,25,0.11627906976744186,215,48800,180,60400,17.2,68500,101000,7.4,0,0,130,0.6046511627906976,70,0.32558139534883723,35,0.16279069767441862,0,0,0,0,0,0,0,0,0,0,0,0,60,0.2727272727272727,0,0,0,0,0,0,0,105,0.4883720930232558,10,0.09523809523809523,10,0.08333333333333333,110,0.9166666666666666,90,0.75,45,0.47368421052631576,0,0,40,0.8,0,0,0,0,0,0,0,0,0,0,0,25,0.11627906976744186
ottawa_ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,8995,1810,0.20122290161200668,43.3,45.2,965,0.10728182323513062,7395,42040,6545,44280,20.1,40040,44520,15.4,1645,0.1828793774319066,5540,0.6158977209560867,1810,0.20122290161200668,815,0.090605892162312393,1285,0.14285714285714285,15,0.0016675931072818232,0,0,0,0,0,0,0,0,210,0.023346303501945526,0,0,0.0033351862145636463,0.25,30,0,0,4710,0.6226040978189028,300,0.06369426751592357,770,0.15555555555555556,4180,0.8444444444444444,2730,0.5515151515151515,865,0.1961451247165533,875,0.1984126984126984,3345,0.9435825105782792,55,0.015514809590973202,95,0.02679830747531735,0,0,50,0.014104372355430184,0.152327221438646,6580,0.7315175097276264,800,0.08893829905503058
ottawa_ons2022_alta_vista_3002_00000_2_8_percent,5995,1350,0.22518765638031693,44.7,47.2,545,0.09090909090909091,4980,66700,4785,88400,8.1,66400,83800,6.1,1080,0.18015012510425354,3565,0.5946622185154296,1350,0.22518765638031693,185,0.030859049207673062,40,0.006672226855713094,20,0.003336113427856547,0,0,0,0,0,0,0,0,750,0.12510425354462051,0.009174311926605505,55,0.0050041701417848205,0.08450704225352113,30,0,0,3270,0.6392961876832844,260,0.07951070336391437,95,0.031198686371100164,2945,0.9671592775041051,2565,0.8423645320197044,1645,0.5465116279069767,230,0.07641196013289037,1015,0.7463235294117647,90,0.0661764705882353,150,0.11029411764705882,40,0.029411764705882353,65,0.04779411764705882,0.022058823529411766,655,0.10925771476230192,720,0.12010008340283569
ottawa_ons2022_arnprior_3702_00000_2_5_percent,8460,2330,0.27541371158392436,46.4,49.6,1340,0.15839243498817968,7045,42360,6170,44160,22.4,41000,44320,18,1430,0.1690307328605201,4700,0.5555555555555556,2330,0.27541371158392436,1000,0.1182033096926714,0,0,20,0.002364066193853428,0.002364066193853428,20,0,0,0,0,0,0,475,0.05614657210401891,0.004137115839243499,35,0.002955082742316785,0.125,25,0,0,3925,0.5455177206393329,360,0.09171974522292993,435,0.10344827586206896,3775,0.8977407847800237,2635,0.6266349583828775,750,0.21037868162692847,550,0.15427769985974754,2460,0.8754448398576512,10,0.0035587188612099642,250,0.08896797153024912,35,0.012455516014234875,55,0.019572953736654804,0.07829181494661921,115,0.013593380614657211,655,0.07742316784869976
ottawa_ons2022_bayshore_3003_00000_5_4_percent,5240,1220,0.23282442748091603,45.6,46.4,1220,0.23282442748091603,4590,41880,3930,44240,21.8,39560,44440,16.2,610,0.11641221374045801,3410,0.6507633587786259,1225,0.23377862595419846,865,0.1650763358778626,20,0.0038131553860819827,10,0.0019065776930409914,0.0019065776930409914,10,0,0,0,0,0,0,730,0.13918017159199236,0.019065776930409915,100,0.02767175572519084,0.30851063829787234,145,0,0,2735,0.5812964930924548,410,0.14990859232175502,340,0.11276948590381426,2680,0.8888888888888888,1875,0.6218905472636815,840,0.3605150214592275,290,0.12446351931330472,1100,0.7407407407407407,240,0.16161616161616163,80,0.05387205387205387,30,0.020202020202020204,40,0.026936026936026935,0.05387205387205387,265,0.05052430886558627,465,0.08874045801526717
ottawa_ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,4220,1065,0.2523696682464455,47.1,49.2,755,0.17890995260663506,3625,48760,3275,53150,16.9,46440,52050,13.7,600,0.14201183431952663,2560,0.6059171597633136,1065,0.25207100591715975,325,0.07692307692307693,50,0.011834319526627219,30,0.007100591715976331,0,0,0,0,0,0,0,0,455,0.10781990521327015,0.017772511848341232,75,0.017772511848341232,0.2459016393442623,75,0,0,2120,0.5721997300944669,210,0.09905660377358491,250,0.10706638115631692,2085,0.892933618843683,1560,0.6680942184154176,805,0.42036553524804177,225,0.1174934725848564,815,0.7442922374429224,140,0.1278538812785388,95,0.0867579908675799,10,0.0091324200913242,30,0.0273972602739726,0.0730593607305936,1110,0.26272189349112424,300,0.07109004739336493
ottawa_ons2022_beaverbrook_3005_00000_2_3_percent,4825,1290,0.26735751295336785,46.5,49.2,625,0.12953367875647667,3995,54150,3745,60800,13.5,51850,60100,10.4,890,0.18464730290456433,2645,0.54875518672199175,1290,0.2676348547717842,375,0.07780082987551867,10,0.002074688796680498,15,0.0031120331950207467,0.002074688796680498,10,0,0,0,0,0,0,710,0.14730290456431536,0.032157676348547715,155,0.013471502590673576,0.1566265060240964,65,0,0,2415,0.5826296743063932,250,0.10351966873706005,90,0.0379746835443038,2285,0.9641350210970464,1830,0.7721518987341772,1105,0.5103926096997691,180,0.08314087759815242,835,0.7952380952380952,95,0.09047619047619047,65,0.06190476190476191,30,0.02857142857142857,30,0.02857142857142857,0.0380952380952381,145,0.03008298755186722,485,0.10051813471502591
ottawa_ons2022_beckwith_3401_00000_1_8_percent,8490,1435,0.1690223792697291,42.3,45.2,505,0.059481743227326266,6930,53450,6545,60800,11.9,50560,60300,9.1,1760,0.20730270906949352,5300,0.624263839811543,1435,0.1690223792697291,265,0.03121319199057715,20,0.002354326074161271,10,0.0011771630370806356,0.0011771630370806356,10,0,0,0,0,0,0,520,0.06121247792819305,0.0011771630370806356,10,0.004711425206124852,0.1568627450980392,40,0,0,4765,0.671599718111346,300,0.06295907660020986,320,0.06645898234683281,4495,0.9335410176531672,3505,0.7279335410176532,1405,0.3143176733780761,675,0.15100671140939598,2910,0.9509803921568627,0,0,100,0.032679738562091505,0,0,50,0.016339869281045753,0.04738562091503268,195,0.022954679223072396,850,0.10011778563015312
ottawa_ons2022_beechwood_cemetery_3006_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_bells_corners_east_3007_00000_1_1_percent,3955,1000,0.2528445006321112,47.8,51.6,560,0.1415929203539823,3380,49040,3125,52950,16.3,46120,51350,12.5,545,0.13780025284450062,2405,0.6080910240202275,1000,0.2528445006321112,220,0.05562579013906448,0,0,15,0.0037926675094816687,0,0,0,0,0,0,0,0,350,0.08849557522123894,0.011378002528445006,45,0.015170670037926675,0.34285714285714286,60,0,0,2060,0.5936599423631124,225,0.10922330097087378,160,0.07289293849658314,2035,0.9271070615034168,1585,0.7220956719817767,770,0.4196185286103542,180,0.09809264305177112,890,0.839622641509434,75,0.07075471698113207,70,0.0660377358490566,0,0,20,0.018867924528301886,0.02830188679245283,75,0.018963337547408345,265,0.06700379266750948
