name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,number_of_immigrants,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
province_of_ontario_20000_3_8_percent,1515295,148895,0.09826139464592704,35,32.8,52270,0.03449493332981367,1150095,40880,991070,46480,17.7,36960,45760,10.1,341065,0.2250815847739219,1025335,0.6766570205801511,148895,0.09826139464592704,132565,0.0874846152069399,490,3.233693769200057e-4,64930,0.042849742129420346,2.9697187676327052e-5,45,0,0,0,0,0,0,934380,0.6166324049112549,0.12531553261906098,189890,0.060252294107747996,0.10488646872648527,91300,1,1515295,852705,0.6933519266890545,112055,0.13141121489847016,67205,0.07938551676480837,779360,0.9206144832351916,646185,0.7633022862981579,243285,0.3284749881860528,92705,0.12516708296766355,379570,0.7717111750414248,81015,0.16471317766414897,16380,0.03330249768732655,1875,0.003812099094245255,13005,0.02644071931768509,0.1192627908631609,5020,0.0033128862696702624,234370,0.15466955279335046
ottawa_census_division_3506_00000_3_1_percent,57820,5620,0.09719820131442407,34.3,31.6,3180,0.05499827049463853,44085,48280,39920,57300,11.8,43560,54400,7.1,12980,0.22448979591836735,39215,0.6782255274991352,5620,0.09719820131442407,4160,0.07194742303701142,40,6.918619735362795e-4,1400,0.024215169073769784,0,0,0,0,0,0,0,0,32935,0.5696125907990315,0.1396575579384296,8075,0.0487720511933587,0.09641025641025641,2820,1,57820,34835,0.7436225851211442,3310,0.09501937706329841,1290,0.0407905138339921,30330,0.9590513833992095,27160,0.8588142292490119,14230,0.4513162067871868,2465,0.07817951157627656,11805,0.6879370629370629,3635,0.21182983682983683,1005,0.05856643356643357,145,0.00844988344988345,575,0.03350815850815851,0.08041958041958042,615,0.010637377843120297,9605,0.1661189899688689
ottawa_ons2022_admaston_bromley_3701_00000_3_2_percent,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA
ottawa_ons2022_airport_3001_00000_6_7_percent,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA
ottawa_ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,40,0,0,30,25.8,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,25,0.625,0.25,10,0,0,0,1,40,25,0.8333333333333334,0,0,0,0,20,1,15,0.75,10,0.5,10,0.5,10,1,0,0,0,0,0,0,0,0,0,0,0,10,0.25
ottawa_ons2022_alta_vista_3002_00000_2_8_percent,300,15,0.05,31.8,34.4,10,0.03333333333333333,225,74500,225,88000,6,75000,93000,2.6,80,0.26666666666666666,210,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0.45901639344262296,0.04918032786885246,15,0,0,0,1,305,200,0.8888888888888888,10,0.05,0,0,170,1,160,0.9411764705882353,115,0.6052631578947368,20,0.10526315789473684,60,0.75,0,0,15,0.1875,0,0,0,0,0,10,0.03333333333333333,40,0.13333333333333333
ottawa_ons2022_arnprior_3702_00000_2_5_percent,120,25,0.20833333333333334,37.2,34.8,20,0.16666666666666666,95,48000,80,64000,15,44000,64000,9.5,0,0,70,0.5833333333333334,25,0.20833333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0.625,0.08333333333333333,10,0.16666666666666666,0.2857142857142857,20,1,120,65,0.6842105263157895,0,0,0,0,70,1,45,0.6428571428571429,30,0.46153846153846156,10,0.15384615384615385,35,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0
ottawa_ons2022_bayshore_3003_00000_5_4_percent,2175,90,0.041379310344827586,29.4,28,120,0.05517241379310345,1680,39640,1520,43880,13.5,29520,36000,8.6,375,0.1724137931034483,1715,0.7885057471264367,90,0.041379310344827586,265,0.12183908045977011,0,0,50,0.022935779816513763,0,0,0,0,0,0,0,0,1155,0.5298165137614679,0.32798165137614677,715,0.06896551724137931,0.13333333333333333,150,1,2180,1470,0.8010899182561307,135,0.09183673469387756,30,0.022900763358778626,1280,0.9770992366412213,1195,0.9122137404580153,525,0.39473684210526316,170,0.12781954887218044,440,0.546583850931677,275,0.3416149068322981,55,0.06832298136645963,0,0,35,0.043478260869565216,0.11801242236024845,0,0,435,0.2
ottawa_ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,345,30,0.08695652173913043,33.7,31.4,25,0.07246376811594203,275,42000,240,47600,15.8,40400,49600,5.7,75,0.21739130434782608,245,0.7101449275362319,30,0.08695652173913043,0,0,0,0,10,0.028985507246376812,0,0,0,0,0,0,0,0,240,0.6956521739130435,0.17391304347826086,60,0.043478260869565216,0.06521739130434782,15,1,345,230,0.8214285714285714,35,0.15217391304347827,10,0.05,185,0.925,140,0.7,85,0.4473684210526316,10,0.05263157894736842,65,0.5909090909090909,45,0.4090909090909091,0,0,0,0,0,0,0.09090909090909091,20,0.057971014492753624,55,0.15942028985507245
