name,ONS_ID,total_population,percent_of_pop_that_are_seniors_age_65,number_of_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_who_know_neither_english_nor_french,number_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_immigrants,number_of_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,percent_of_pop_in_labour_force_participation_rate,number_of_pop_in_labour_force,unemployment_rate,number_of_pop_unemployed,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,pop
VAR_ID,VAR200,VAR1,VAR2,VAR3,VAR4,VAR5,VAR8,VAR9,VAR10,VAR11,VAR12,VAR13,VAR14,VAR15,VAR16,VAR17,VAR18,VAR19,VAR20,VAR21,VAR22,VAR23,VAR24,VAR25,VAR49,VAR50,VAR51,VAR52,VAR53,VAR54,VAR55,VAR56,VAR57,VAR58,VAR59,VAR60,VAR61,VAR62,VAR63,VAR64,VAR65,VAR66,VAR67,VAR68,VAR69,VAR70,VAR71,VAR72,VAR73,VAR74,VAR75,VAR76,VAR77,VAR78,VAR79,VAR80,VAR81,VAR82,VAR83,VAR84,VAR85,VAR86,VAR87,VAR88,VAR89,VAR90,VAR91,VAR92,VAR93,VAR94,VAR95,VAR96,VAR97,VAR98,VAR201
type,NA,Number,Percentage 2,Number,Average,Median,Number,Percentage 2,Number,Average,Number,Average,Percentage 1,Average,Average,Percentage 1,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Percentage 2,Number,Percentage 1,Number,Percentage 2,NA
category,NA,Demographics,Demographics,Demographics,Demographics,Demographics,Family comp,Family comp,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Language,Language,Language,Language,Indigenous,Indigenous,Indigenous,Indigenous,Indigenous,Indigenous,Indigenous,Indigenous,Immigration,Immigration,Immigration,Immigration,Immigration,Immigration,Immigration,Demographics,Demographics,Income/work,Income/work,Income/work,Income/work,Education,Education,Education,Education,Education,Education,Income/work,Income/work,Income/work,Income/work,Commuting,Commuting,Commuting,Commuting,Commuting,Commuting,Commuting,Commuting,Commuting,Commuting,Commuting,Demographics,Demographics,Language,Language,NA
ottawa_airport_3001,3001,100,0.45,45,61.6,59.6,0,0,100,57000,90,70000,14.8,69000,90000,8.4,0,0,0,0,55,0.55,45,0.45,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0.4,40,0.4,40,0,0,0,0,50,0.909090909,40,0.727272727,10,0.25,0,0,25,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,immigrant_all
ottawa_alta_vista_3002,3002,1610,0.304347826,490,53.8,54.8,180,0.111801242,1520,60950,1395,78000,11.4,58750,76900,8.9,160,0.099688474,75,0.046728972,1040,0.647975078,490,0.30529595,15,0.009345794,0.028037383,45,0,0,0,0,0,0,0,0,1,1605,0.127725857,205,0.090062112,0.133027523,145,0.53271028,855,0.593548387,920,0.070652174,65,30,0.030456853,955,0.969543147,865,0.878172589,455,0.532163743,85,0.099415205,335,0.858974359,20,0.051282051,25,0.064102564,0,0,15,0.038461538,0,80,0.049689441,115,0.07165109,immigrant_all
ottawa_bayshore_3003,3003,5910,0.159898477,945,42.4,40.4,585,0.098984772,5135,36680,3975,38000,28.9,32800,37280,20.9,1020,0.172588832,750,0.126903553,4220,0.714043993,945,0.159898477,160,0.027072758,0.055837563,330,0,0,0,0,0,0,0,0,1,5910,0.324873096,1920,0.339255499,0.367552704,2005,0.876480541,5180,0.604672897,3235,0.162287481,525,600,0.159574468,3160,0.840425532,2520,0.670212766,795,0.293357934,345,0.127306273,1370,0.7154047,435,0.227154047,70,0.036553525,0,0,30,0.015665796,0.080939948,645,0.109137056,415,0.070219966,immigrant_all
ottawa_beacon_hill_south_cardinal_heights_3004,3004,2500,0.204,510,44.3,43.6,260,0.104,2115,39440,1815,38800,25.8,35360,38560,17.2,345,0.138,340,0.136,1650,0.66,505,0.202,170,0.068,0.038,95,0,0,0,0,0,0,0,0,1,2500,0.306,765,0.298,0.334831461,745,0.818,2045,0.631460674,1405,0.135231317,190,180,0.127208481,1240,0.876325088,990,0.699646643,295,0.241803279,120,0.098360656,590,0.659217877,240,0.268156425,25,0.027932961,0,0,35,0.039106145,0.072625698,300,0.12,445,0.178,immigrant_all
ottawa_beaverbrook_3005,3005,1800,0.280555556,505,49,48.4,145,0.080555556,1565,49160,1430,54800,15.6,45200,53300,13,195,0.108333333,230,0.127777778,1065,0.591666667,505,0.280555556,10,0.005555556,0.030555556,55,0.005555556,10,0.005555556,10,0,0,0,0,1,1800,0.247222222,445,0.136111111,0.173144876,245,0.597222222,1075,0.56,910,0.098901099,90,50,0.052631579,895,0.942105263,785,0.826315789,360,0.43902439,95,0.115853659,355,0.76344086,60,0.129032258,15,0.032258065,0,0,35,0.075268817,0.075268817,170,0.094444444,45,0.025,immigrant_all
ottawa_beechwood_cemetery_3006,3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,immigrant_all
ottawa_bells_corners_east_3007,3007,890,0.292134831,260,51.3,51.6,80,0.08988764,845,42400,735,44800,21.7,39200,43100,15.6,45,0.05027933,60,0.067039106,570,0.636871508,260,0.290502793,0,0,0.027932961,25,0,0,0,0,0,0,0,0,1,890,0.157303371,140,0.123595506,0.170542636,110,0.606741573,540,0.625730994,535,0.14953271,80,45,0.089108911,460,0.910891089,400,0.792079208,160,0.351648352,45,0.098901099,235,0.796610169,35,0.118644068,20,0.06779661,0,0,0,0,0.050847458,85,0.095505618,0,0,immigrant_all
