name,ONS_ID,total_population,percent_of_pop_that_are_seniors_age_65,number_of_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_who_know_neither_english_nor_french,number_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_immigrants,number_of_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,percent_of_pop_in_labour_force_participation_rate,number_of_pop_in_labour_force,unemployment_rate,number_of_pop_unemployed,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,pop
VAR_ID,VAR200,VAR1,VAR2,VAR3,VAR4,VAR5,VAR8,VAR9,VAR10,VAR11,VAR12,VAR13,VAR14,VAR15,VAR16,VAR17,VAR18,VAR19,VAR20,VAR21,VAR22,VAR23,VAR24,VAR25,VAR49,VAR50,VAR51,VAR52,VAR53,VAR54,VAR55,VAR56,VAR57,VAR58,VAR59,VAR60,VAR61,VAR62,VAR63,VAR64,VAR65,VAR66,VAR67,VAR68,VAR69,VAR70,VAR71,VAR72,VAR73,VAR74,VAR75,VAR76,VAR77,VAR78,VAR79,VAR80,VAR81,VAR82,VAR83,VAR84,VAR85,VAR86,VAR87,VAR88,VAR89,VAR90,VAR91,VAR92,VAR93,VAR94,VAR95,VAR96,VAR97,VAR98,VAR201
type,NA,Number,Percentage 2,Number,Average,Median,Number,Percentage 2,Number,Average,Number,Average,Percentage 1,Average,Average,Percentage 1,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Percentage 2,Number,Percentage 1,Number,Percentage 2,NA
category,NA,Demographics,Demographics,Demographics,Demographics,Demographics,Family comp,Family comp,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Language,Language,Language,Language,Indigenous,Indigenous,Indigenous,Indigenous,Indigenous,Indigenous,Indigenous,Indigenous,Immigration,Immigration,Immigration,Immigration,Immigration,Immigration,Immigration,Demographics,Demographics,Income/work,Income/work,Income/work,Income/work,Education,Education,Education,Education,Education,Education,Income/work,Income/work,Income/work,Income/work,Commuting,Commuting,Commuting,Commuting,Commuting,Commuting,Commuting,Commuting,Commuting,Commuting,Commuting,Demographics,Demographics,Language,Language,NA
ottawa_airport_3001,3001,0,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,visible_minority_black
ottawa_alta_vista_3002,3002,165,0.060606061,10,30.5,24.6,10,0.060606061,95,61000,85,76000,12,47000,66000,12.4,0,0,65,0.393939394,85,0.515151515,0,0,0,0,0.060606061,10,0,0,0,0,0,0,0,0,0.441176471,75,0.058823529,10,0.151515152,0.357142857,25,1,170,0.652173913,75,0.133333333,10,10,0.142857143,60,0.857142857,60,0.857142857,20,0.285714286,10,0.142857143,25,0.555555556,15,0.333333333,0,0,0,0,0,0,0,35,0.212121212,25,0.151515152,visible_minority_black
ottawa_bayshore_3003,3003,2340,0.05982906,140,28.6,24.6,140,0.05982906,1485,32480,1155,28150,38,29840,30800,25.2,490,0.209401709,865,0.36965812,1335,0.570512821,140,0.05982906,130,0.055555556,0.017094017,40,0,0,0,0,0,0,0,0,0.504273504,1180,0.145299145,340,0.275641026,0.575892857,645,1,2340,0.599378882,965,0.212435233,205,145,0.142857143,870,0.857142857,655,0.645320197,160,0.210526316,120,0.157894737,370,0.621848739,195,0.327731092,20,0.033613445,0,0,0,0,0.084033613,450,0.192307692,505,0.215811966,visible_minority_black
ottawa_beacon_hill_south_cardinal_heights_3004,3004,1430,0.08041958,115,31.3,27.2,110,0.076923077,985,34500,850,30550,30.3,29100,30600,20.4,285,0.199300699,430,0.300699301,890,0.622377622,115,0.08041958,210,0.146341463,0,0,0,0,0,0,0,0,0,0,0.571428571,820,0.236933798,340,0.265734266,0.496732026,380,1,1435,0.623853211,680,0.147058824,100,85,0.131782946,565,0.875968992,435,0.674418605,120,0.206896552,85,0.146551724,235,0.522222222,170,0.377777778,25,0.055555556,0,0,10,0.022222222,0.111111111,320,0.223776224,525,0.365853659,visible_minority_black
ottawa_beaverbrook_3005,3005,175,0.2,35,40.8,41.2,40,0.228571429,140,45000,135,42000,23,38000,39500,17,0,0,35,0.2,110,0.628571429,35,0.2,10,0.057142857,0,0,0,0,0,0,0,0,0,0,0.628571429,110,0.057142857,10,0.142857143,0.3125,25,1,175,0.620689655,90,0.111111111,10,0,0,85,0.944444444,70,0.777777778,20,0.25,0,0,45,0.75,15,0.25,0,0,0,0,0,0,0.166666667,20,0.114285714,15,0.085714286,visible_minority_black
ottawa_beechwood_cemetery_3006,3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visible_minority_black
ottawa_bells_corners_east_3007,3007,200,0,0,30.9,26,0,0,130,39500,100,42000,27,33000,36000,19,0,0,75,0.375,120,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,110,0.05,10,0.15,0.315789474,30,1,200,0.821428571,115,0.130434783,15,20,0.210526316,75,0.789473684,65,0.684210526,35,0.333333333,0,0,40,0.571428571,15,0.214285714,0,0,0,0,0,0,0.142857143,35,0.175,20,0.1,visible_minority_black
