name,ONS_ID,total_population,percent_of_pop_that_are_seniors_age_65,number_of_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_who_know_neither_english_nor_french,number_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_immigrants,number_of_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,percent_of_pop_in_labour_force_participation_rate,number_of_pop_in_labour_force,unemployment_rate,number_of_pop_unemployed,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,pop
VAR_ID,VAR200,VAR1,VAR2,VAR3,VAR4,VAR5,VAR8,VAR9,VAR10,VAR11,VAR12,VAR13,VAR14,VAR15,VAR16,VAR17,VAR18,VAR19,VAR20,VAR21,VAR22,VAR23,VAR24,VAR25,VAR49,VAR50,VAR51,VAR52,VAR53,VAR54,VAR55,VAR56,VAR57,VAR58,VAR59,VAR60,VAR61,VAR62,VAR63,VAR64,VAR65,VAR66,VAR67,VAR68,VAR69,VAR70,VAR71,VAR72,VAR73,VAR74,VAR75,VAR76,VAR77,VAR78,VAR79,VAR80,VAR81,VAR82,VAR83,VAR84,VAR85,VAR86,VAR87,VAR88,VAR89,VAR90,VAR91,VAR92,VAR93,VAR94,VAR95,VAR96,VAR97,VAR98,VAR200
type,NA,Number,Percentage 2,Number,Average,Median,Number,Percentage 2,Number,Average,Number,Average,Percentage 1,Average,Average,Percentage 1,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Percentage 2,Number,Percentage 1,Number,Percentage 2,NA
category,NA,Demographics,Demographics,Demographics,Demographics,Demographics,Family comp,Family comp,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Language,Language,Language,Language,Indigenous,Indigenous,Indigenous,Indigenous,Indigenous,Indigenous,Indigenous,Indigenous,Immigration,Immigration,Immigration,Immigration,Immigration,Immigration,Immigration,Demographics,Demographics,Income/work,Income/work,Income/work,Income/work,Education,Education,Education,Education,Education,Education,Income/work,Income/work,Income/work,Income/work,Commuting,Commuting,Commuting,Commuting,Commuting,Commuting,Commuting,Commuting,Commuting,Commuting,Commuting,Demographics,Demographics,Language,Language,NA
ottawa_airport_3001,3001,0,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,visible_minority_south_asian
ottawa_alta_vista_3002,3002,300,0.05,15,31.8,34.4,10,0.033333333,225,74500,225,88000,6,75000,93000,2.6,0,0,80,0.266666667,210,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459016393,140,0.049180328,15,0,0,0,1,305,0.888888889,200,0.05,10,0,0,170,1,160,0.941176471,115,0.605263158,20,0.105263158,60,0.75,0,0,15,0.1875,0,0,0,0,0,40,0.133333333,10,0.033333333,visible_minority_south_asian
ottawa_bayshore_3003,3003,2175,0.04137931,90,29.4,28,120,0.055172414,1680,39640,1520,43880,13.5,29520,36000,8.6,265,0.12183908,375,0.172413793,1715,0.788505747,90,0.04137931,0,0,0.02293578,50,0,0,0,0,0,0,0,0,0.529816514,1155,0.327981651,715,0.068965517,0.133333333,150,1,2180,0.801089918,1470,0.091836735,135,30,0.022900763,1280,0.977099237,1195,0.91221374,525,0.394736842,170,0.127819549,440,0.546583851,275,0.341614907,55,0.068322981,0,0,35,0.043478261,0.118012422,435,0.2,0,0,visible_minority_south_asian
ottawa_beacon_hill_south_cardinal_heights_3004,3004,345,0.086956522,30,33.7,31.4,25,0.072463768,275,42000,240,47600,15.8,40400,49600,5.7,0,0,75,0.217391304,245,0.710144928,30,0.086956522,0,0,0.028985507,10,0,0,0,0,0,0,0,0,0.695652174,240,0.173913043,60,0.043478261,0.065217391,15,1,345,0.821428571,230,0.152173913,35,10,0.05,185,0.925,140,0.7,85,0.447368421,10,0.052631579,65,0.590909091,45,0.409090909,0,0,0,0,0,0,0.090909091,55,0.15942029,20,0.057971014,visible_minority_south_asian
ottawa_beaverbrook_3005,3005,465,0.075268817,35,32,30.2,10,0.021505376,315,58000,295,72000,7.9,44800,56800,5.5,0,0,140,0.301075269,290,0.623655914,35,0.075268817,0,0,0,0,0,0,0,0,0,0,0,0,0.565217391,260,0.206521739,95,0,0,0,1,460,0.791044776,265,0.075471698,20,0,0,240,0.979591837,220,0.897959184,130,0.541666667,15,0.0625,95,0.863636364,0,0,0,0,0,0,10,0.090909091,0,55,0.11827957,0,0,visible_minority_south_asian
ottawa_beechwood_cemetery_3006,3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visible_minority_south_asian
ottawa_bells_corners_east_3007,3007,330,0.106060606,35,34.7,28.6,0,0,255,38800,215,43200,18.8,35600,44400,10.6,0,0,80,0.242424242,220,0.666666667,35,0.106060606,0,0,0.030769231,10,0,0,0,0,0,0,0,0,0.553846154,180,0.123076923,40,0,0,0,1,325,0.6,165,0.060606061,10,10,0.0625,155,0.96875,150,0.9375,60,0.4,30,0.2,75,0.882352941,10,0.117647059,0,0,0,0,0,0,0.117647059,75,0.227272727,0,0,visible_minority_south_asian
