VAR2,VAR9,VAR14,VAR17,VAR19,VAR21,VAR23,VAR25,VAR50,VAR51,VAR53,VAR55,VAR57,VAR59,VAR61,VAR63,VAR65,VAR66,VAR68,VAR70,VAR72,VAR75,VAR77,VAR79,VAR81,VAR83,VAR85,VAR87,VAR89,VAR91,VAR93,VAR94,VAR96,VAR98,VAR5,VAR4,VAR11,VAR13,VAR15,VAR16
0,0,NA,NA,0,0.625,0,0,0,0,0,0,0,0,0,0,0,NA,0.25,0.375,0,NA,NA,NA,0,0,1,0,0,0,0,0,0.888888889,0,17.8,18.8,14000,NA,15000,14000
0,0.024875622,29.6,5.6,0.07960199,0.293532338,0.706467662,0,0,0,0.014851485,0.00990099,0,0,0.079207921,0.014851485,0,0,0.267326733,0.60199005,0.280991736,NA,NA,NA,0.313953488,0.162790698,0.677966102,0.13559322,0.101694915,0.06779661,0.033898305,0,1,0.133663366,20.2,20.3,18400,14880,15440,16040
0,0.034567901,30.5,8.9,0.115763547,0.221674877,0.775862069,0,0,0.009876543,0.024691358,0.012345679,0.007407407,0,0.320987654,0.130864198,0.172839506,0.538461538,0.748148148,0.590123457,0.259414226,NA,NA,NA,0.175141243,0.141242938,0.551724138,0.331034483,0.075862069,0,0.04137931,0.103448276,1,0.051851852,21.2,20.8,20160,16700,15940,16420
0,0.049450549,32.4,11.5,0.120879121,0.230769231,0.769230769,0,0.049180328,0,0.016393443,0,0,0,0.327868852,0.136612022,0.142857143,0.433333333,0.644808743,0.571428571,0.201923077,NA,NA,NA,0.243902439,0.085365854,0.516129032,0.338709677,0.112903226,0,0.032258065,0.048387097,1.005494505,0.245901639,21,20.6,20440,15720,14560,15150
0,0,30.2,6.5,0.06875,0.39375,0.6125,0,0,0,0.05,0.03125,0.01875,0,0.2125,0.05625,0.03125,0.147058824,0.34375,0.51552795,0.265060241,NA,NA,NA,0.295081967,0.098360656,0.69047619,0.142857143,0.119047619,0,0.047619048,0.047619048,1.00625,0,19,19.4,18400,14600,14450,14450
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,20,5.5,0,0.24742268,0.75257732,0,0,0,0.06185567,0,0.051546392,0,0.18556701,0.030927835,0,0,0.381443299,0.670103093,0.2,NA,NA,NA,0.134615385,0.134615385,0.673913043,0.217391304,0.108695652,0,0,0.065217391,1.010309278,0.020618557,20.2,20.2,21300,19300,14800,15200
0,0.022988506,23.8,9,0.045977011,0.137931034,0.862068966,0,0,0,0.023255814,0,0,0,0.11627907,0.058139535,0,0,0.395348837,0.686046512,0.305084746,NA,NA,NA,0.195121951,0.073170732,0.727272727,0.181818182,0,0,0,0.151515152,1,0.034883721,21.4,21.1,23100,20300,16800,16000
0,0.12254902,27.6,6.9,0.333333333,0.088235294,0.911764706,0,0,0,0.049019608,0.014705882,0.029411765,0,0.073529412,0.034313725,0.044117647,0.6,0.43627451,0.642156863,0.213740458,NA,NA,NA,0.339805825,0.097087379,0.661764706,0.220588235,0.102941176,0,0.029411765,0.058823529,1,0.049019608,22,21.6,20440,18000,16520,17320
0,0,31.4,8.5,0.082840237,0.26035503,0.733727811,0,0,0,0.047619048,0.041666667,0,0,0.125,0.041666667,0.047619048,0.380952381,0.303571429,0.636904762,0.242990654,NA,NA,NA,0.292682927,0.085365854,0.719298246,0.122807018,0.105263158,0,0.035087719,0,1,0.172619048,20.2,20.1,19320,14350,14700,14400
0,0.007692308,29.2,9.8,0.084291188,0.348659004,0.651340996,0,0.019230769,0.007692308,0,0,0,0,0.234615385,0.161538462,0.123076923,0.524590164,0.553846154,0.509578544,0.308270677,NA,NA,NA,0.184782609,0.119565217,0.733333333,0.133333333,0.066666667,0,0.04,0.026666667,1.003846154,0.126923077,19.6,19.7,20560,17720,14160,14360
0,0.022727273,24.4,5.4,0.130681818,0.232954545,0.767045455,0,0,0,0.034090909,0.028409091,0,0,0.096590909,0.017045455,0.034090909,0.352941176,0.363636364,0.596590909,0.266666667,NA,NA,NA,0.230769231,0.076923077,0.672413793,0.224137931,0.068965517,0,0.034482759,0.051724138,1,0.017045455,20.4,20.3,18160,15280,12720,13800
0,0.044052863,22.5,7.9,0.078947368,0.184210526,0.811403509,0,0,0,0.026431718,0.013215859,0.013215859,0,0.105726872,0.052863436,0.030837004,0.291666667,0.352422907,0.684210526,0.211538462,NA,NA,NA,0.162601626,0.105691057,0.666666667,0.215686275,0.068627451,0.049019608,0,0.068627451,1,0.052863436,21.6,21,21200,19040,16160,16400
0,0.007407407,26.8,6.1,0.040059347,0.348664688,0.651335312,0,0.004444444,0,0.013333333,0.011851852,0,0,0.124444444,0.020740741,0.02962963,0.238095238,0.339259259,0.632592593,0.259953162,NA,NA,NA,0.212698413,0.095238095,0.799196787,0.064257028,0.096385542,0.016064257,0.024096386,0.032128514,1,0.056296296,19.6,19.6,17300,14220,13880,13900
