ONS_ID,data_ID,value
0,food_convenience_num_region_plus_buffer,359
0,food_convenience_num_per_1000_res_plus_buffer,0.35
0,food_convenience_dist_closest_3_popwt,1.64
0,food_convenience_pct_within_15_mins,0.77
0,food_fastfood_num_region_plus_buffer,1549
0,food_fastfood_num_per_1000_res_plus_buffer,1.52
0,food_fastfood_dist_closest_3_popwt,1.26
0,food_fastfood_pct_within_15_mins,0.81
0,food_grocery_num_region_plus_buffer,129
0,food_grocery_num_per_1000_res_plus_buffer,0.13
0,food_grocery_dist_closest_3_popwt,2.61
0,food_grocery_pct_within_15_mins,0.54
0,food_resto_num_region_plus_buffer,1071
0,food_resto_num_per_1000_res_plus_buffer,1.05
0,food_resto_dist_closest_3_popwt,1.41
0,food_resto_pct_within_15_mins,0.75
0,food_specialty_num_region_plus_buffer,289
0,food_specialty_num_per_1000_res_plus_buffer,0.28
0,food_specialty_dist_closest_3_popwt,2.36
0,food_specialty_pct_within_15_mins,0.55
0,num_people_attached,892197
0,num_people_uncertainly_attached,165362
0,total_population_attachment,1057559
0,percent_attached,84.4
0,percent_uncertaintly_attached,15.6
0,crime_person_total,7627
0,crime_property_total,29132
0,crime_other_total,6201
0,crime_total,42960
0,crime_person_total_per_1000pop_plus_50m_buffer,7.5
0,crime_property_total_per_1000pop_plus_50m_buffer,28.64
0,crime_other_total_per_1000pop_plus_50m_buffer,6.09
0,crime_total_per_1000pop_plus_50m_buffer,42.23
0,walkscore_mean,NA
0,walkscore_sd,NA
0,bikescore_mean,NA
0,bikescore_sd,NA
0,Deciles,NA
0,Quintiles,NA
3001,food_convenience_num_region_plus_buffer,2
3001,food_convenience_num_per_1000_res_plus_buffer,6.35
3001,food_convenience_dist_closest_3_popwt,1.55
3001,food_convenience_pct_within_15_mins,0.62
3001,food_fastfood_num_region_plus_buffer,14
3001,food_fastfood_num_per_1000_res_plus_buffer,44.44
3001,food_fastfood_dist_closest_3_popwt,1.58
3001,food_fastfood_pct_within_15_mins,0.62
3001,food_grocery_num_region_plus_buffer,1
3001,food_grocery_num_per_1000_res_plus_buffer,3.17
3001,food_grocery_dist_closest_3_popwt,2.94
3001,food_grocery_pct_within_15_mins,0
3001,food_resto_num_region_plus_buffer,8
3001,food_resto_num_per_1000_res_plus_buffer,25.4
3001,food_resto_dist_closest_3_popwt,2.19
3001,food_resto_pct_within_15_mins,0
3001,food_specialty_num_region_plus_buffer,0
3001,food_specialty_num_per_1000_res_plus_buffer,0
3001,food_specialty_dist_closest_3_popwt,3.96
3001,food_specialty_pct_within_15_mins,0
3001,num_people_attached,NA
3001,num_people_uncertainly_attached,NA
3001,total_population_attachment,NA
3001,percent_attached,NA
3001,percent_uncertaintly_attached,NA
3001,crime_person_total,13
3001,crime_property_total,70
3001,crime_other_total,18
3001,crime_total,101
3001,crime_person_total_per_1000pop_plus_50m_buffer,44.44
3001,crime_property_total_per_1000pop_plus_50m_buffer,234.92
3001,crime_other_total_per_1000pop_plus_50m_buffer,57.14
3001,crime_total_per_1000pop_plus_50m_buffer,336.51
3001,walkscore_mean,12.77
3001,walkscore_sd,11.65
3001,bikescore_mean,57.44
3001,bikescore_sd,12.52
3001,Deciles,8
3001,Quintiles,4
3002,food_convenience_num_region_plus_buffer,3
