ONS_name,ONS_ID,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_pop_living_alone_i_e_1_person_household,average_household_size,number_of_owner_households,percent_of_owner_households,percent_of_renter_households,percent_of_households_living_in_core_housing_need,number_of_households_living_in_core_housing_need,percent_of_owner_households_in_core_housing_need,median_monthly_shelter_costs_for_owned_dwellings,average_monthly_shelter_costs_for_owned_dwellings,number_of_tenant_households,percent_of_tenant_households_living_in_subsidized_housing,percent_of_renter_households_in_core_housing_need,median_monthly_shelter_costs_for_rented_dwellings,average_monthly_shelter_costs_for_rented_dwellings,average_size_of_census_families,percent_of_census_families_that_are_one_parent_families,number_of_one_parent_families,percent_of_all_census_families_that_are_one_parent_families,average_number_of_children_in_census_families_with_children,average_after_tax_income_of_all_economic_families,average_after_tax_income_of_couple_with_children_economic_families,average_after_tax_income_of_one_parent_economic_families,pop
VAR_ID,VAR200,VAR6,VAR7,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35,VAR36,VAR37,VAR38,VAR39,VAR40,VAR41,VAR42,VAR43,VAR44,VAR45,VAR46,VAR47,VAR48,VAR201
airport_3001,3001,25,0.3125,25,2.4,110,0.916666667,0.083333333,0.181818182,20,0,1010,1880,0,NA,NA,NA,NA,2.5,0.19047619,20,0.19047619,1.5,134000,NA,50000,general
alta_vista_3002,3002,325,0.144124169,655,2.5,2405,0.785947712,0.210784314,0.046979866,140,2.5,1370,1866,645,5.4,13.4,1470,1580,2.9,0.100656455,230,0.100656455,1.8,158000,172000,91000,general
bayshore_3003,3003,1890,0.408648649,1795,2.5,1395,0.243668122,0.756331878,0.240790656,1340,11.8,1000,1302,4330,14,28.1,1350,1328,3,0.273239437,970,0.273239437,2,81600,89000,63400,general
beacon_hill_south_cardinal_heights_3004,3004,720,0.319290466,1020,2.4,2195,0.680620155,0.317829457,0.161137441,510,8.5,1260,1372,1025,7.3,32.7,1300,1364,2.9,0.225247525,455,0.225247525,1.8,98700,108000,72800,general
beaverbrook_3005,3005,615,0.288056206,710,2.5,2035,0.73465704,0.26534296,0.110497238,300,6.9,1290,1456,730,12.3,23.2,1600,1516,2.9,0.209476309,420,0.209476309,1.7,116200,135000,76000,general
beechwood_cemetery_3006,3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,general
bells_corners_east_3007,3007,340,0.259541985,600,2.4,1795,0.842723005,0.15258216,0.078199052,165,4.5,800,1225,330,0,25,1550,1540,2.7,0.155932203,230,0.155932203,1.7,109500,124000,86000,general
bells_corners_west_3008,3008,465,0.370517928,595,2.3,1295,0.709589041,0.290410959,0.136111111,245,7.5,1410,1336,530,34.9,28.6,1300,1240,2.8,0.299145299,350,0.299145299,1.6,95600,114000,67600,general
billings_bridge_heron_park_3009,3009,530,0.445378151,1275,2,960,0.323232323,0.678451178,0.18815331,540,7.3,1180,1404,2010,28.4,24.3,1120,1129,2.7,0.249056604,330,0.249056604,1.7,89700,108000,67500,general
blackburn_hamlet_3010,3010,710,0.273076923,705,2.5,2410,0.760252366,0.239747634,0.100638978,315,3.8,1290,1426,760,11.2,29.7,1310,1304,2.9,0.188679245,450,0.188679245,1.8,114800,131000,70000,general
blossom_park_timbermill_3011,3011,885,0.256150507,625,2.9,2460,0.761609907,0.23993808,0.103937008,330,6,1520,1614,775,14.2,25,1560,1616,3.2,0.203921569,520,0.203921569,2,119300,122000,86400,general
borden_farm_fisher_glen_3012,3012,455,0.230964467,1345,2.2,2550,0.672823219,0.327176781,0.114911081,420,6.6,1150,1428,1240,20.6,22.2,1330,1644,2.7,0.154347826,355,0.154347826,1.7,114100,145000,82400,general
braemar_park_belair_heights_copeland_park_3013,3013,540,0.256532067,1270,2.3,2405,0.613520408,0.385204082,0.135170604,515,6.7,900,1366,1515,2.3,24.8,1470,1504,2.7,0.158995816,380,0.158995816,1.6,108500,137000,76000,general
bridlewood_emerald_meadows_3014,3014,1445,0.156639566,1360,2.9,7825,0.876259798,0.123180291,0.050339367,445,3.5,1680,1650,1105,11.3,16.3,1940,1768,3.1,0.121352785,915,0.121352785,1.8,133200,141000,86000,general
britannia_3015,3015,915,0.452970297,2080,1.9,1420,0.323831243,0.676168757,0.235294118,1000,11.2,1120,1456,2960,18.6,29.3,1250,1227,2.7,0.245192308,510,0.245192308,1.8,90100,98000,65600,general
brookside_briarbrook_morgans_grant_3016,3016,1040,0.17035217,660,3.1,4065,0.820383451,0.178607467,0.060699588,295,3.5,1740,1698,890,7.3,19.2,2020,1868,3.3,0.138211382,595,0.138211382,1.9,132000,137000,86000,general
cardinal_creek_3017,3017,930,0.196202532,745,2.9,3990,0.887652948,0.112347052,0.042696629,190,3,1820,1840,505,0,14.4,1920,2030,3.1,0.151271754,565,0.151271754,1.9,135400,146000,91600,general
carleton_heights_courtland_park_3018,3018,715,0.37434555,1190,2.3,1800,0.495867769,0.504132231,0.154401154,535,8.5,1180,1618,1830,10.4,22.3,1240,1288,2.8,0.21025641,410,0.21025641,1.7,114100,138000,81200,general
carleton_university_3019,3019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,general
carlington_3020,3020,1670,0.360691145,2820,2.2,2865,0.402953586,0.597046414,0.200145033,1380,5.7,1470,1450,4245,27,29.9,1100,1100,2.9,0.249047014,980,0.249047014,1.9,98600,108000,67000,general
carp_3021,3021,255,0.120283019,360,2.8,2105,0.931415929,0.068584071,0.04805492,105,2.7,1600,1876,155,16.1,34.5,1110,1360,3,0.083116883,160,0.083116883,1.9,169400,174000,102000,general
carson_grove_carson_meadows_3022,3022,1140,0.384485666,1570,2.2,2320,0.503800217,0.496199783,0.134894091,605,6.5,1160,1428,2290,22.9,21,1390,1402,2.8,0.234042553,660,0.234042553,1.8,105300,123000,71600,general
centrepointe_briargreen_3023,3023,670,0.253308129,810,2.5,2520,0.701949861,0.299442897,0.086206897,300,4.6,1020,1462,1070,13.6,18.5,1600,1564,2.9,0.164092664,425,0.164092664,1.7,138600,153000,72000,general
centretown_3024,3024,915,0.302479339,12285,1.5,5025,0.247110893,0.752889107,0.157378741,3050,5.1,1800,1898,15310,12.5,19.4,1350,1360,2.4,0.111710324,725,0.111710324,1.5,130600,117000,69800,general
chapel_hill_north_3025,3025,915,0.231939163,765,2.7,3515,0.802511416,0.197488584,0.050984936,220,2,1160,1436,865,9.2,17.3,1840,1744,3,0.158485273,565,0.158485273,1.9,135000,144000,93200,general
chapel_hill_south_3026,3026,930,0.180407371,715,2.9,4200,0.864197531,0.136831276,0.042708333,205,2.9,1940,1886,660,2.3,12.4,2000,1880,3.1,0.130277443,540,0.130277443,1.9,136400,145000,101200,general
chapman_mills_3027,3027,715,0.148186528,505,3.2,2720,0.71957672,0.279100529,0.093369418,345,5.2,1760,1768,1060,0,19.9,1940,1908,3.3,0.13740458,450,0.13740458,2,119600,129000,88400,general
city_view_3028,3028,390,0.266211604,565,2.7,1190,0.501052632,0.503157895,0.130530973,295,6.9,950,1520,1190,2.9,20,1620,1640,2.8,0.184931507,270,0.184931507,1.7,112900,138000,75000,general
civic_hospital_3029,3029,215,0.155797101,820,2.2,1655,0.654150198,0.345849802,0.081761006,195,3.4,1720,1992,875,3.4,19,1520,1648,2.8,0.091205212,140,0.091205212,1.8,174000,186000,78000,general
colonnade_business_park_3030,3030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,general
constance_bay_3031,3031,170,0.306306306,290,2.2,875,0.888324873,0.106598985,0.09947644,95,7.6,1260,1348,110,0,33.3,970,1120,2.7,0.165413534,110,0.165413534,1.6,112000,127000,73000,general
convent_glen_orleans_woods_3032,3032,1095,0.255841121,1370,2.5,4915,0.837308348,0.162691652,0.087931034,510,4,1240,1400,960,6.8,33.2,1510,1504,2.8,0.17114094,765,0.17114094,1.7,118400,139000,88400,general
corkery_3033,3033,145,0.114624506,115,3,1240,0.97254902,0.02745098,0.04,50,3.3,1640,1756,35,0,0,NA,1200,3,0.090909091,110,0.090909091,1.8,144000,153000,100000,general
craig_henry_manordale_3034,3034,820,0.27749577,625,2.8,1990,0.637820513,0.360576923,0.120915033,370,4.8,950,1330,1125,8.4,25.5,1620,1580,3.1,0.201284797,470,0.201284797,2,111100,118000,76000,general
crestview_tanglewood_3035,3035,565,0.234927235,755,2.6,2210,0.701587302,0.296825397,0.085760518,265,5.1,1050,1364,935,0,17.4,1600,1592,3,0.165116279,355,0.165116279,1.9,106300,121000,85600,general
crystal_bay_lakeview_park_3036,3036,210,0.202898551,355,2.5,1350,0.835913313,0.164086687,0.062893082,100,3.3,1070,1532,265,0,20.4,1780,1820,2.7,0.111111111,135,0.111111111,1.7,135600,157000,112000,general
cumberland_3037,3037,185,0.141762452,220,2.7,1480,0.916408669,0.083591331,0.038461538,60,2.4,1450,1758,140,0,16,1290,1280,2.8,0.101754386,145,0.101754386,1.7,141800,162000,104000,general
dunrobin_3038,3038,150,0.079575597,270,2.9,1920,0.952853598,0.047146402,0.038265306,75,3.5,1640,1886,100,0,0,1760,2120,3,0.045584046,80,0.045584046,1.9,154200,162000,132000,general
edwards_carlsbad_springs_3039,3039,190,0.2375,255,2.4,1045,0.860082305,0.139917695,0.072649573,85,4.5,1130,1376,170,0,27.3,1250,1320,2.7,0.145945946,135,0.145945946,1.6,110000,131000,84000,general
elmvale_canterbury_3040,3040,590,0.268181818,1085,2.3,2030,0.564673157,0.435326843,0.141242938,500,4,1190,1376,1565,6.1,27.5,1300,1358,2.8,0.176972281,415,0.176972281,1.7,108700,112000,82400,general
emerald_woods_sawmill_creek_3041,3041,530,0.263027295,600,2.7,890,0.425837321,0.574162679,0.281862745,575,12.5,1000,1372,1200,9.2,40.3,1360,1352,3.2,0.20979021,300,0.20979021,2.2,89700,90000,68000,general
experimental_farm_3042,3042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,general
fallingbrook_3043,3043,1285,0.208434712,1010,2.8,5970,0.923433875,0.076566125,0.045347928,290,3,1600,1588,495,6.1,22.9,1740,1720,3,0.143904675,785,0.143904675,1.8,128600,141000,89400,general
findlay_creek_3044,3044,970,0.163989856,620,3.2,3840,0.874715262,0.125284738,0.087962963,380,7,2080,2072,555,4.5,21.9,2180,2010,3.4,0.134564644,510,0.134564644,2.1,127200,136000,90000,general
fisher_heights_3045,3045,305,0.244,420,2.6,1085,0.632653061,0.370262391,0.110778443,185,5.1,990,1432,635,4.7,21.7,1570,1690,2.9,0.146443515,175,0.146443515,1.8,114200,135000,72500,general
fitzroy_3046,3046,155,0.144859813,295,2.5,1490,0.93125,0.06875,0.082236842,125,6,1380,1428,105,0,33.3,1280,1200,2.7,0.103846154,135,0.103846154,1.7,131200,143000,80000,general
glebe_dows_lake_3047,3047,540,0.180602007,2485,2.1,3130,0.486780715,0.513219285,0.094931617,590,3.2,1660,2184,3295,3.3,15.8,1430,1584,2.8,0.112554113,390,0.112554113,1.8,159400,198000,95200,general
glen_cairn_3048,3048,920,0.23028786,960,2.6,3815,0.816916488,0.184154176,0.066160521,305,4.2,1550,1454,855,8.2,18.1,1640,1520,2.9,0.171703297,625,0.171703297,1.7,107600,116000,81600,general
greely_3049,3049,445,0.123955432,420,2.9,3350,0.934449093,0.065550907,0.034090909,120,2.4,1780,1920,235,0,15.9,1620,1540,3,0.089783282,290,0.089783282,1.9,151000,166000,89000,general
