"","ONS_name","ONS_ID","pop","name","value"
"1","VAR_ID","VAR200","VAR201","number_of_children_living_in_one_parent_families","VAR6"
"2","VAR_ID","VAR200","VAR201","percent_of_children_living_in_one_parent_families","VAR7"
"3","VAR_ID","VAR200","VAR201","number_of_pop_living_alone_i_e_1_person_household","VAR26"
"4","VAR_ID","VAR200","VAR201","average_household_size","VAR27"
"5","VAR_ID","VAR200","VAR201","number_of_owner_households","VAR28"
"6","VAR_ID","VAR200","VAR201","percent_of_owner_households","VAR29"
"7","VAR_ID","VAR200","VAR201","percent_of_renter_households","VAR30"
"8","VAR_ID","VAR200","VAR201","percent_of_households_living_in_core_housing_need","VAR31"
"9","VAR_ID","VAR200","VAR201","number_of_households_living_in_core_housing_need","VAR32"
"10","VAR_ID","VAR200","VAR201","percent_of_owner_households_in_core_housing_need","VAR33"
"11","VAR_ID","VAR200","VAR201","median_monthly_shelter_costs_for_owned_dwellings","VAR34"
"12","VAR_ID","VAR200","VAR201","average_monthly_shelter_costs_for_owned_dwellings","VAR35"
"13","VAR_ID","VAR200","VAR201","number_of_tenant_households","VAR36"
"14","VAR_ID","VAR200","VAR201","percent_of_tenant_households_living_in_subsidized_housing","VAR37"
"15","VAR_ID","VAR200","VAR201","percent_of_renter_households_in_core_housing_need","VAR38"
"16","VAR_ID","VAR200","VAR201","median_monthly_shelter_costs_for_rented_dwellings","VAR39"
"17","VAR_ID","VAR200","VAR201","average_monthly_shelter_costs_for_rented_dwellings","VAR40"
"18","VAR_ID","VAR200","VAR201","average_size_of_census_families","VAR41"
"19","VAR_ID","VAR200","VAR201","percent_of_census_families_that_are_one_parent_families","VAR42"
"20","VAR_ID","VAR200","VAR201","number_of_one_parent_families","VAR43"
"21","VAR_ID","VAR200","VAR201","percent_of_all_census_families_that_are_one_parent_families","VAR44"
"22","VAR_ID","VAR200","VAR201","average_number_of_children_in_census_families_with_children","VAR45"
"23","VAR_ID","VAR200","VAR201","average_after_tax_income_of_all_economic_families","VAR46"
"24","VAR_ID","VAR200","VAR201","average_after_tax_income_of_couple_with_children_economic_families","VAR47"
"25","VAR_ID","VAR200","VAR201","average_after_tax_income_of_one_parent_economic_families","VAR48"
"26","airport_3001","3001","general","number_of_children_living_in_one_parent_families","25"
"27","airport_3001","3001","general","percent_of_children_living_in_one_parent_families","0.3125"
"28","airport_3001","3001","general","number_of_pop_living_alone_i_e_1_person_household","25"
"29","airport_3001","3001","general","average_household_size","2.4"
"30","airport_3001","3001","general","number_of_owner_households","110"
"31","airport_3001","3001","general","percent_of_owner_households","0.916666667"
"32","airport_3001","3001","general","percent_of_renter_households","0.083333333"
"33","airport_3001","3001","general","percent_of_households_living_in_core_housing_need","0.181818182"
"34","airport_3001","3001","general","number_of_households_living_in_core_housing_need","20"
"35","airport_3001","3001","general","percent_of_owner_households_in_core_housing_need","0"
"36","airport_3001","3001","general","median_monthly_shelter_costs_for_owned_dwellings","1010"
"37","airport_3001","3001","general","average_monthly_shelter_costs_for_owned_dwellings","1880"
"38","airport_3001","3001","general","number_of_tenant_households","0"
"39","airport_3001","3001","general","percent_of_tenant_households_living_in_subsidized_housing",NA
"40","airport_3001","3001","general","percent_of_renter_households_in_core_housing_need",NA
"41","airport_3001","3001","general","median_monthly_shelter_costs_for_rented_dwellings",NA
"42","airport_3001","3001","general","average_monthly_shelter_costs_for_rented_dwellings",NA
"43","airport_3001","3001","general","average_size_of_census_families","2.5"
"44","airport_3001","3001","general","percent_of_census_families_that_are_one_parent_families","0.19047619"
"45","airport_3001","3001","general","number_of_one_parent_families","20"
"46","airport_3001","3001","general","percent_of_all_census_families_that_are_one_parent_families","0.19047619"
"47","airport_3001","3001","general","average_number_of_children_in_census_families_with_children","1.5"
"48","airport_3001","3001","general","average_after_tax_income_of_all_economic_families","134000"
"49","airport_3001","3001","general","average_after_tax_income_of_couple_with_children_economic_families",NA
"50","airport_3001","3001","general","average_after_tax_income_of_one_parent_economic_families","50000"
"51","alta_vista_3002","3002","general","number_of_children_living_in_one_parent_families","325"
"52","alta_vista_3002","3002","general","percent_of_children_living_in_one_parent_families","0.144124169"
"53","alta_vista_3002","3002","general","number_of_pop_living_alone_i_e_1_person_household","655"
"54","alta_vista_3002","3002","general","average_household_size","2.5"
"55","alta_vista_3002","3002","general","number_of_owner_households","2405"
"56","alta_vista_3002","3002","general","percent_of_owner_households","0.785947712"
"57","alta_vista_3002","3002","general","percent_of_renter_households","0.210784314"
"58","alta_vista_3002","3002","general","percent_of_households_living_in_core_housing_need","0.046979866"
"59","alta_vista_3002","3002","general","number_of_households_living_in_core_housing_need","140"
"60","alta_vista_3002","3002","general","percent_of_owner_households_in_core_housing_need","2.5"
"61","alta_vista_3002","3002","general","median_monthly_shelter_costs_for_owned_dwellings","1370"
"62","alta_vista_3002","3002","general","average_monthly_shelter_costs_for_owned_dwellings","1866"
"63","alta_vista_3002","3002","general","number_of_tenant_households","645"
"64","alta_vista_3002","3002","general","percent_of_tenant_households_living_in_subsidized_housing","5.4"
"65","alta_vista_3002","3002","general","percent_of_renter_households_in_core_housing_need","13.4"
