ONS_ID,name,value,value_rounded
0,food_convenience_num_region_plus_buffer,359,359
3001,food_convenience_num_region_plus_buffer,2,2
3002,food_convenience_num_region_plus_buffer,3,3
3003,food_convenience_num_region_plus_buffer,7,7
3004,food_convenience_num_region_plus_buffer,5,5
3005,food_convenience_num_region_plus_buffer,2,2
3006,food_convenience_num_region_plus_buffer,1,1
3007,food_convenience_num_region_plus_buffer,6,6
3008,food_convenience_num_region_plus_buffer,2,2
3009,food_convenience_num_region_plus_buffer,7,7
3010,food_convenience_num_region_plus_buffer,2,2
3011,food_convenience_num_region_plus_buffer,6,6
3012,food_convenience_num_region_plus_buffer,3,3
3013,food_convenience_num_region_plus_buffer,2,2
3014,food_convenience_num_region_plus_buffer,3,3
3015,food_convenience_num_region_plus_buffer,10,10
3016,food_convenience_num_region_plus_buffer,5,5
3017,food_convenience_num_region_plus_buffer,2,2
3018,food_convenience_num_region_plus_buffer,4,4
3019,food_convenience_num_region_plus_buffer,1,1
3020,food_convenience_num_region_plus_buffer,10,10
3021,food_convenience_num_region_plus_buffer,3,3
3022,food_convenience_num_region_plus_buffer,3,3
3023,food_convenience_num_region_plus_buffer,2,2
3024,food_convenience_num_region_plus_buffer,24,24
3025,food_convenience_num_region_plus_buffer,4,4
3026,food_convenience_num_region_plus_buffer,2,2
3027,food_convenience_num_region_plus_buffer,2,2
3028,food_convenience_num_region_plus_buffer,6,6
3029,food_convenience_num_region_plus_buffer,1,1
3030,food_convenience_num_region_plus_buffer,5,5
3031,food_convenience_num_region_plus_buffer,2,2
3032,food_convenience_num_region_plus_buffer,5,5
3033,food_convenience_num_region_plus_buffer,0,0
3034,food_convenience_num_region_plus_buffer,2,2
3035,food_convenience_num_region_plus_buffer,4,4
3036,food_convenience_num_region_plus_buffer,1,1
3037,food_convenience_num_region_plus_buffer,1,1
3038,food_convenience_num_region_plus_buffer,2,2
3039,food_convenience_num_region_plus_buffer,2,2
3040,food_convenience_num_region_plus_buffer,5,5
3041,food_convenience_num_region_plus_buffer,5,5
3042,food_convenience_num_region_plus_buffer,0,0
3043,food_convenience_num_region_plus_buffer,5,5
3044,food_convenience_num_region_plus_buffer,5,5
3045,food_convenience_num_region_plus_buffer,6,6
3046,food_convenience_num_region_plus_buffer,1,1
3047,food_convenience_num_region_plus_buffer,6,6
3048,food_convenience_num_region_plus_buffer,8,8
3049,food_convenience_num_region_plus_buffer,5,5
3050,food_convenience_num_region_plus_buffer,4,4
3051,food_convenience_num_region_plus_buffer,2,2
3052,food_convenience_num_region_plus_buffer,1,1
3053,food_convenience_num_region_plus_buffer,1,1
3054,food_convenience_num_region_plus_buffer,2,2
3055,food_convenience_num_region_plus_buffer,6,6
3056,food_convenience_num_region_plus_buffer,3,3
3057,food_convenience_num_region_plus_buffer,6,6
3058,food_convenience_num_region_plus_buffer,5,5
3059,food_convenience_num_region_plus_buffer,2,2
3060,food_convenience_num_region_plus_buffer,4,4
3061,food_convenience_num_region_plus_buffer,6,6
3062,food_convenience_num_region_plus_buffer,1,1
3063,food_convenience_num_region_plus_buffer,4,4
3064,food_convenience_num_region_plus_buffer,0,0
3065,food_convenience_num_region_plus_buffer,5,5
3066,food_convenience_num_region_plus_buffer,0,0
3067,food_convenience_num_region_plus_buffer,6,6
3068,food_convenience_num_region_plus_buffer,9,9
3069,food_convenience_num_region_plus_buffer,5,5
3070,food_convenience_num_region_plus_buffer,3,3
3071,food_convenience_num_region_plus_buffer,0,0
3072,food_convenience_num_region_plus_buffer,0,0
3073,food_convenience_num_region_plus_buffer,1,1
3074,food_convenience_num_region_plus_buffer,3,3
3075,food_convenience_num_region_plus_buffer,0,0
3076,food_convenience_num_region_plus_buffer,2,2
3077,food_convenience_num_region_plus_buffer,2,2
3078,food_convenience_num_region_plus_buffer,1,1
3079,food_convenience_num_region_plus_buffer,9,9
3080,food_convenience_num_region_plus_buffer,5,5
3081,food_convenience_num_region_plus_buffer,5,5
3082,food_convenience_num_region_plus_buffer,5,5
3083,food_convenience_num_region_plus_buffer,2,2
3084,food_convenience_num_region_plus_buffer,1,1
3085,food_convenience_num_region_plus_buffer,4,4
3086,food_convenience_num_region_plus_buffer,2,2
3087,food_convenience_num_region_plus_buffer,15,15
3088,food_convenience_num_region_plus_buffer,1,1
3089,food_convenience_num_region_plus_buffer,5,5
3090,food_convenience_num_region_plus_buffer,2,2
