"","ONS_ID","name","value"
"1","average_after_tax_income_in_2020_among_recipients","3002","Q5"
"2","average_after_tax_income_in_2020_among_recipients","3003","Q1"
"3","average_after_tax_income_in_2020_among_recipients","3004","Q1"
"4","average_after_tax_income_in_2020_among_recipients","3005","Q3"
"5","average_after_tax_income_in_2020_among_recipients","3007","Q2"
"6","average_after_tax_income_in_2020_among_recipients","3008","Q1"
"7","average_after_tax_income_in_2020_among_recipients","3009","Q1"
"8","average_after_tax_income_in_2020_among_recipients","3010","Q3"
"9","average_after_tax_income_in_2020_among_recipients","3011","Q2"
"10","average_after_tax_income_in_2020_among_recipients","3012","Q2"
"11","average_after_tax_income_in_2020_among_recipients","3013","Q2"
"12","average_after_tax_income_in_2020_among_recipients","3014","Q4"
"13","average_after_tax_income_in_2020_among_recipients","3015","Q1"
"14","average_after_tax_income_in_2020_among_recipients","3016","Q4"
"15","average_after_tax_income_in_2020_among_recipients","3017","Q4"
"16","average_after_tax_income_in_2020_among_recipients","3018","Q2"
"17","average_after_tax_income_in_2020_among_recipients","3020","Q1"
"18","average_after_tax_income_in_2020_among_recipients","3021","Q5"
"19","average_after_tax_income_in_2020_among_recipients","3022","Q2"
"20","average_after_tax_income_in_2020_among_recipients","3023","Q4"
"21","average_after_tax_income_in_2020_among_recipients","3024","Q4"
"22","average_after_tax_income_in_2020_among_recipients","3025","Q4"
"23","average_after_tax_income_in_2020_among_recipients","3026","Q4"
"24","average_after_tax_income_in_2020_among_recipients","3027","Q2"
"25","average_after_tax_income_in_2020_among_recipients","3028","Q1"
"26","average_after_tax_income_in_2020_among_recipients","3029","Q5"
"27","average_after_tax_income_in_2020_among_recipients","3031","Q3"
"28","average_after_tax_income_in_2020_among_recipients","3032","Q3"
"29","average_after_tax_income_in_2020_among_recipients","3034","Q2"
"30","average_after_tax_income_in_2020_among_recipients","3035","Q1"
"31","average_after_tax_income_in_2020_among_recipients","3036","Q4"
"32","average_after_tax_income_in_2020_among_recipients","3037","Q4"
"33","average_after_tax_income_in_2020_among_recipients","3038","Q5"
"34","average_after_tax_income_in_2020_among_recipients","3039","Q2"
"35","average_after_tax_income_in_2020_among_recipients","3040","Q2"
"36","average_after_tax_income_in_2020_among_recipients","3041","Q1"
"37","average_after_tax_income_in_2020_among_recipients","3043","Q3"
"38","average_after_tax_income_in_2020_among_recipients","3044","Q3"
"39","average_after_tax_income_in_2020_among_recipients","3045","Q3"
"40","average_after_tax_income_in_2020_among_recipients","3046","Q4"
"41","average_after_tax_income_in_2020_among_recipients","3047","Q5"
"42","average_after_tax_income_in_2020_among_recipients","3048","Q2"
"43","average_after_tax_income_in_2020_among_recipients","3049","Q5"
"44","average_after_tax_income_in_2020_among_recipients","3052","Q1"
"45","average_after_tax_income_in_2020_among_recipients","3053","Q1"
"46","average_after_tax_income_in_2020_among_recipients","3054","Q1"
"47","average_after_tax_income_in_2020_among_recipients","3055","Q4"
"48","average_after_tax_income_in_2020_among_recipients","3056","Q1"
"49","average_after_tax_income_in_2020_among_recipients","3058","Q1"
"50","average_after_tax_income_in_2020_among_recipients","3059","Q5"
"51","average_after_tax_income_in_2020_among_recipients","3060","Q5"
"52","average_after_tax_income_in_2020_among_recipients","3061","Q3"
"53","average_after_tax_income_in_2020_among_recipients","3062","Q3"
"54","average_after_tax_income_in_2020_among_recipients","3063","Q5"
"55","average_after_tax_income_in_2020_among_recipients","3065","Q1"
"56","average_after_tax_income_in_2020_among_recipients","3066","Q3"
"57","average_after_tax_income_in_2020_among_recipients","3067","Q1"
"58","average_after_tax_income_in_2020_among_recipients","3068","Q3"
"59","average_after_tax_income_in_2020_among_recipients","3069","Q2"
"60","average_after_tax_income_in_2020_among_recipients","3070","Q5"
"61","average_after_tax_income_in_2020_among_recipients","3071","Q3"
"62","average_after_tax_income_in_2020_among_recipients","3072","Q5"
"63","average_after_tax_income_in_2020_among_recipients","3073","Q4"
"64","average_after_tax_income_in_2020_among_recipients","3075","Q4"
"65","average_after_tax_income_in_2020_among_recipients","3074","Q5"
"66","average_after_tax_income_in_2020_among_recipients","3076","Q3"
"67","average_after_tax_income_in_2020_among_recipients","3077","Q5"
"68","average_after_tax_income_in_2020_among_recipients","3078","Q4"
