name,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
province_of_ontario_00000_3_8_percent,2510275,1,74.7,73.5,582760,0.23214986405871868,2493145,41360,2055730,37840,36.1,40840,39760,31.7,305115,0.12154644411468862,167415,0.06669176346861705,0.016830791784183438,42250,0.00923203786031837,23175,0.0065510620329206305,16445,1.015822936086811e-4,255,0.20627778574501648,517815,391045,0.15577744315375178,52455,0.1341405720569244,0,NA,0,NA,0,NA,100325,0.2963023125313801,34605,0.10220325467379426,0.08151726756819476,64535,0.025708287521710727,0,0
ottawa_census_division_3506_00000_3_1_percent,160435,1,74.5,73,40090,0.2498831302396609,159415,48560,138140,48080,28.7,47240,48880,25.5,15630,0.09742263221865553,7415,0.046218094555427434,0.014865833515130739,2385,0.007978308972481068,1280,0.005921401190513292,950,2.1815688596627918e-4,35,0.18022875307757036,28915,24630,0.15352011718141303,2880,0.11693057247259439,0,NA,0,NA,0,NA,8425,0.3873563218390805,1765,0.08114942528735632,0.04844814534443603,18280,0.11394022501324524,0,0
ottawa_ons2022_admaston_bromley_3701_00000_3_2_percent,610,1,73,72.5,85,0.13934426229508196,605,38400,515,29400,42.4,36800,29700,38.8,35,0.05737704918032787,0,0,0.04132231404958678,25,0,0,0.03305785123966942,20,0,0,0.01652892561983471,10,110,0.18181818181818182,15,0.13636363636363635,0,NA,0,NA,0,NA,30,0.3157894736842105,10,0.10526315789473684,0,0,0,0,0
ottawa_ons2022_airport_3001_00000_6_7_percent,75,1,74,72.5,0,0,75,52000,65,48000,28,48000,50000,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
ottawa_ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,1875,1,73.6,72.5,445,0.23733333333333334,1870,35240,1505,26400,46.2,33880,28720,40.3,270,0.1443850267379679,0,0,0.02666666666666667,50,0.016,30,0.008,15,0,0,0.008,15,250,0.13368983957219252,50,0.2,0,NA,0,NA,0,NA,60,0.2926829268292683,30,0.14634146341463414,0.10344827586206896,1420,0.7573333333333333,0,0
ottawa_ons2022_alta_vista_3002_00000_2_8_percent,1520,1,74.8,74,295,0.19407894736842105,1515,64600,1415,71700,19,61050,66300,17.9,80,0.052805280528052806,35,0.0231023102310231,0.013201320132013201,20,0,0,0.009900990099009901,15,0,0,0.10231023102310231,155,295,0.19471947194719472,15,0.05084745762711865,0,NA,0,NA,0,NA,135,0.48214285714285715,20,0.07142857142857142,0.10714285714285714,135,0.0891089108910891,0,0
ottawa_ons2022_arnprior_3702_00000_2_5_percent,2425,1,74.9,73.5,715,0.2948453608247423,2425,38240,2070,28680,42.9,38160,30560,38.5,385,0.15876288659793814,10,0.004123711340206186,0.020618556701030927,50,0.008247422680412371,20,0.010309278350515464,25,0,0,0.018556701030927835,45,290,0.11958762886597939,35,0.1206896551724138,0,NA,0,NA,0,NA,75,0.28846153846153844,35,0.1346153846153846,0.08108108108108109,20,0.008247422680412371,0,0
ottawa_ons2022_bayshore_3003_00000_5_4_percent,1910,1,74.8,74,655,0.34293193717277487,1900,35440,1340,30360,45.6,34640,32120,39.7,335,0.17539267015706805,150,0.078534031413612565,0.01832460732984293,35,0.013089005235602094,25,0,0,0,0,0.3481675392670157,665,235,0.12303664921465969,30,0.1276595744680851,0,NA,0,NA,0,NA,45,0.225,25,0.125,0.12903225806451613,110,0.05759162303664921,0,0
ottawa_ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,1445,1,75.1,73.5,460,0.31833910034602075,1435,41800,1200,37400,34.8,40360,37100,31.5,160,0.11072664359861592,50,0.03460207612456748,0.02422145328719723,35,0.010380622837370242,15,0.01384083044982699,20,0,0,0.23529411764705882,340,215,0.14878892733564014,30,0.13953488372093023,0,NA,0,NA,0,NA,25,0.1388888888888889,15,0.08333333333333333,0.07142857142857142,370,0.2560553633217993,0,0
ottawa_ons2022_beaverbrook_3005_00000_2_3_percent,1495,1,75.6,75,375,0.2508361204013378,1495,46760,1370,42360,29.3,45320,43160,26.7,105,0.07023411371237458,45,0.030100334448160536,0.016722408026755852,25,0.010033444816053512,15,0.006688963210702341,10,0,0,0.12374581939799331,185,165,0.11073825503355705,15,0.09090909090909091,0,NA,0,NA,0,NA,65,0.43333333333333335,15,0.1,0,35,0.023411371237458192,0,0
ottawa_ons2022_beckwith_3401_00000_1_8_percent,1485,1,73.2,71.5,230,0.15488215488215487,1480,43640,1335,36320,35.1,41800,35240,33.2,85,0.057432432432432436,0,0,0.016891891891891893,25,0.006756756756756757,10,0,0,0,0,0.02027027027027027,30,300,0.20270270270270271,40,0.13333333333333333,0,NA,0,NA,0,NA,105,0.40384615384615385,40,0.15384615384615385,0.06666666666666667,50,0.033783783783783786,0,0
ottawa_ons2022_beechwood_cemetery_3006_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_bells_corners_east_3007_00000_1_1_percent,1095,1,75.5,74,280,0.2557077625570776,1090,43700,985,36800,34,41500,35500,31.9,55,0.05045871559633028,20,0.01834862385321101,0.013761467889908258,15,0.009174311926605505,10,0,0,0,0,0.06422018348623854,70,135,0.12385321100917432,10,0.07407407407407407,0,NA,0,NA,0,NA,50,0.4,10,0.08,0,10,0.009174311926605505,0,0
ottawa_ons2022_bells_corners_west_3008_00000_2_6_percent,695,1,73.5,71,250,0.3597122302158273,690,40000,550,35600,37.2,36900,33600,35.6,110,0.15942028985507245,20,0.028985507246376812,0,0,0,0,0,0,0,0,0.18840579710144928,130,125,0.18115942028985507,0,0,0,NA,0,NA,0,NA,35,0.28,10,0.08,0,15,0.021739130434782608,0,0
ottawa_ons2022_billings_bridge_heron_park_3009_00000_6_4_percent,1035,1,75.7,74.5,505,0.48792270531400966,1030,34600,700,32600,44.6,32900,32400,41.8,400,0.3883495145631068,100,0.0970873786407767,0,0,0,0,0,0,0,0,0.2961165048543689,305,110,0.10679611650485436,20,0.18181818181818182,0,NA,0,NA,0,NA,25,0.2777777777777778,15,0.16666666666666666,0,55,0.05339805825242718,0,0
ottawa_ons2022_blackburn_hamlet_3010_00000_2_3_percent,1680,1,75.8,74.5,335,0.19940476190476192,1670,52200,1535,49040,27,48720,47800,25.1,55,0.03273809523809524,30,0.017857142857142856,0.005952380952380952,10,0.005952380952380952,10,0,0,0,0,0.09523809523809523,160,255,0.15178571428571427,15,0.058823529411764705,0,NA,0,NA,0,NA,120,0.5,25,0.10416666666666667,0,235,0.13988095238095238,0,0
ottawa_ons2022_blossom_park_timbermill_3011_00000_2_0_percent,1190,1,74.1,72,205,0.1722689075630252,1165,43700,1045,35500,36.2,39700,34100,32.8,50,0.04201680672268908,60,0.05063291139240506,0.016877637130801686,20,0,0,0.012658227848101266,15,0,0,0.25738396624472576,305,210,0.17721518987341772,45,0.21428571428571427,0,NA,0,NA,0,NA,55,0.34375,10,0.0625,0,75,0.06329113924050633,0,0
ottawa_ons2022_bonnechere_valley_3703_00000_4_5_percent,1155,1,74.6,73,285,0.24675324675324675,1160,35000,895,26250,47.6,34200,27350,43.6,210,0.1810344827586207,0,0,0.034482758620689655,40,0.02586206896551724,30,0.008620689655172414,10,0,0,0.01293103448275862,15,165,0.14224137931034483,25,0.15151515151515152,0,NA,0,NA,0,NA,30,0.21428571428571427,10,0.07142857142857142,0,30,0.02586206896551724,0,0
ottawa_ons2022_borden_farm_fisher_glen_3012_00000_3_2_percent,2420,1,77,76,825,0.3409090909090909,2410,45280,2175,40000,32.9,44120,40840,30.2,305,0.12603305785123967,95,0.03925619834710744,0.012396694214876033,30,0.004132231404958678,10,0.008264462809917356,20,0,0,0.1590909090909091,385,235,0.09690721649484536,30,0.1276595744680851,0,NA,0,NA,0,NA,55,0.2682926829268293,35,0.17073170731707318,0.06666666666666667,105,0.04338842975206612,0,0
ottawa_ons2022_braemar_park_belair_heights_copeland_park_3013_00000_4_5_percent,1820,1,76.2,74.5,575,0.3159340659340659,1810,43600,1640,36000,35.3,42480,37080,31.4,145,0.07988980716253444,35,0.01928374655647383,0.013774104683195593,25,0,0,0.013774104683195593,25,0,0,0.1349862258953168,245,210,0.11570247933884298,45,0.21428571428571427,0,NA,0,NA,0,NA,75,0.4838709677419355,0,0,0,80,0.0440771349862259,0,0
ottawa_ons2022_bridlewood_emerald_meadows_3014_00000_1_2_percent,3165,1,74,72,480,0.15165876777251186,3135,46000,2755,42680,30.3,44440,42520,27.1,170,0.053712480252764615,175,0.05529225908372828,0.01263823064770932,40,0.009478672985781991,30,0.00315955766192733,10,0,0,0.21800947867298578,690,565,0.17851500789889416,75,0.13274336283185842,0,NA,0,NA,0,NA,185,0.37755102040816324,40,0.08163265306122448,0.03333333333333333,75,0.023696682464454975,0,0
ottawa_ons2022_britannia_3015_00000_4_2_percent,1935,1,75.4,74,880,0.45478036175710596,1925,44200,1685,39120,33.8,43600,39960,30.8,260,0.1343669250645995,60,0.031007751937984496,0.015503875968992248,30,0,0,0.012919896640826873,25,0,0,0.11369509043927649,220,250,0.12886597938144329,40,0.16,0,NA,0,NA,0,NA,75,0.36585365853658536,30,0.14634146341463414,0.1111111111111111,100,0.05167958656330749,0,0
