name,percent_of_residents_aged_25_64_with_no_high_school_degree_or_diploma,percent_of_residents_living_in_low_income_lim_at,unemployment_rate_15_years,percent_of_census_families_that_are_lone_parent,average_household_income_after_tax_2020,median_market_income_individual_2020,participation_rate,unaffordable1_percent_households_spending_30_percent_or_more_of_income_on_shelter_costs,unaffordable2_percent_households_spending_30_percent_to_less_than_100_percent_of_income_on_shelter_costs,unsuitable_housing_percent_households_not_suitable,inadequate_housing_percent_households_major_repairs_needed,percent_households_in_core_housing_need
census_division_ottawa_3506_00000_3_1_percent,0.06450217645380672,0.08914531195364404,0.1033554850498641,0.1604198445558219,103000,46800,65.9,0.2014595475649511,0.17928232737330832,0.05419209095038735,0.05367644350591153,0.11222659998989747
ons2022_admaston_bromley_3701_00000_3_2_percent,0.1118421052631579,0.10350584307178631,0.062111801242236024,0.0718232044198895,86600,33600,64.8,0.075,0.06,0.02643171806167401,0.09691629955947137,0
ons2022_airport_3001_00000_6_7_percent,0.15625,0.1206896551724138,0.06896551724137931,0.19047619047619047,114000,37600,51.8,0.24,0,0,0.125,0.18181818181818182
ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,0.150093808630394,0.09067357512953368,0.0647693817468106,0.14046822742474915,81700,39600,63.1,0.17045454545454544,0.1590909090909091,0.024509803921568627,0.058823529411764705,0.04469987228607918
ons2022_alta_vista_3002_00000_2_8_percent,0.033877038895859475,0.05016077170418006,0.08588235294117647,0.10065645514223195,131200,59600,65.3,0.12828947368421054,0.10855263157894737,0.029411764705882353,0.06209150326797386,0.04697986577181208
ons2022_arnprior_3702_00000_2_5_percent,0.10319148936170212,0.12055231014338821,0.09257142857142857,0.18231046931407943,75600,35200,55.3,0.19114219114219114,0.18414918414918416,0.026713124274099883,0.06968641114982578,0.099882491186839
ons2022_bayshore_3003_00000_5_4_percent,0.1261319534282018,0.17642932304454578,0.16256830601092895,0.27323943661971833,72700,30000,62.7,0.2906057945566286,0.26865671641791045,0.16419213973799127,0.07685589519650655,0.2407906558849955
ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,0.11151960784313726,0.11233766233766233,0.11424903722721438,0.22524752475247525,84000,37200,60.5,0.2332814930015552,0.2161741835147745,0.07906976744186046,0.06356589147286822,0.16113744075829384
ons2022_beaverbrook_3005_00000_2_3_percent,0.04451038575667656,0.08487084870848709,0.10410557184750734,0.20947630922693267,101400,42400,60.2,0.1890909090909091,0.17454545454545456,0.036101083032490974,0.06678700361010831,0.11049723756906077
