name,total_population,number_of_children_age_0_14,percent_of_pop_that_are_children_age_0_14,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_adults_age_25_64,percent_of_pop_that_are_adults_age_25_64,percent_of_pop_that_are_seniors_65,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_indigenous,percent_of_pop_that_are_fn,percent_of_pop_that_are_metis,percent_of_pop_that_are_inuit,percent_of_pop_that_are_racialized,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,percent_of_pop_with_knowledge_of_neither_english_nor_french,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,percent_of_pop_living_alone,unemployment_rate,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,percent_of_income_from_government_transfers_2020,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_refugees,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,average_age_of_the_population,median_age_of_the_population,number_of_seniors_65,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_people_who_are_indigenous,number_of_people_who_are_fn,number_of_people_who_are_metis,number_of_people_who_are_inuit,number_of_immigrants,number_of_recent_immigrants_arr_2016_2021,number_of_people_with_knowledge_of_neither_english_nor_french,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_people_age_25_64_with_a_high_school_diploma,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_people_who_are_racialized,number_self_identified_as_south_asian,number_self_identified_as_chinese,number_self_identified_as_black,number_self_identified_as_filipino,number_self_identified_as_arab,number_self_identified_as_latin_american,number_self_identified_as_southeast_asian,number_self_identified_as_west_asian,number_self_identified_as_korean,number_self_identified_as_japanese,number_self_identified_with_other_visible_minority,number_self_identified_with_multiple_visible_minorities,number_of_people_who_are_non_racialized,percent_self_identified_as_south_asian,percent_self_identified_as_chinese,percent_self_identified_as_black,percent_self_identified_as_filipino,percent_self_identified_as_arab,percent_self_identified_as_latin_american,percent_self_identified_as_southeast_asian,percent_self_identified_as_west_asian,percent_self_identified_as_korean,percent_self_identified_as_japanese,percent_self_identified_with_other_visible_minority,percent_self_identified_with_multiple_visible_minorities,percent_of_people_who_are_non_racialized,number_of_children_eligible_for_instruction_in_the_minority_official_language,percent_of_children_eligible_for_instruction_in_the_minority_official_language,number_of_children_not_eligible_for_instruction_in_the_minority_official_language,percent_of_children_not_eligible_for_instruction_in_the_minority_official_language
province_of_ontario_00000_3_8_percent,982370,982370,1,0,0,0,0,0,0.03244178648683039,0.03424863214149383,0.0397811426390126,0.027112864232090597,0.010612037154854308,4.631632523221784e-4,0.41333502990202314,0.007965430540427742,0.2325754198246396,0.039989820587861054,NA,0,0,NA,NA,NA,NA,NA,NA,NA,7825,120345,0.12250475889939635,120345,0.12250475889939635,0,NA,0,NA,3.6,3.7,0,151645,0.1553087330117471,39080,26635,10425,455,33645,31870,39285,26465,0.026939814225728463,9215,0.00938032828604148,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,406050,130570,52890,79270,25640,28735,13800,11055,17255,5695,2070,9495,29580,576315,0.13291258429825678,0.05383891080290113,0.08069220002544852,0.026100012724265174,0.02925054078126988,0.014047588751749586,0.011253340119608093,0.017564575645756458,0.005797175213131442,0.002107138312762438,0.009665351825932053,0.03011070110701107,0.5866547906858379,112070,0.11408125248124434,870305,0.8859238372507304
ottawa_census_division_3506_00000_3_1_percent,70860,70860,1,0,0,0,0,0,0.04212829017006563,0.04382188977489239,0.02977912638487051,0.01538352974384306,0.00980876437795498,0.0026815327076423682,0.4315150659798179,0.014817950889077053,0.33816425120772947,0.04212829017006563,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1050,8275,0.11678780608284525,8275,0.11678780608284525,0,NA,0,NA,3.7,3.8,0,9675,0.13705907352316193,2110,1090,695,190,3105,2985,2985,9155,0.1292075365182415,3590,0.05066685484440053,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,30575,5120,3015,9600,1180,6060,640,1010,1150,300,180,355,1965,40285,0.07226024980594171,0.04255169007127232,0.13548796838614072,0.016653729447463128,0.08552678004375132,0.009032531225742714,0.014254463340625221,0.016230329546256438,0.004233999012066897,0.0025403994072401384,0.005010232164279161,0.027732693529038177,0.5685555006703832,24055,0.33947219870166523,46805,0.6605278012983348
ottawa_ons2022_admaston_bromley_3701_00000_3_2_percent,235,235,1,0,0,0,0,0,0,0,0.0425531914893617,0.0425531914893617,0,0,0,0,NA,0.0851063829787234,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,45,0.1956521739130435,45,0.1956521739130435,0,NA,0,NA,3.1,2.8,0,30,0.1276595744680851,10,10,0,0,0,0,20,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0.9787234042553191,0,0,230,1
ottawa_ons2022_airport_3001_00000_6_7_percent,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
ottawa_ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,820,820,1,0,0,0,0,0,0,0,0.06707317073170732,0.036585365853658534,0.012195121951219513,0,0.018292682926829267,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,60,0.07317073170731707,60,0.07317073170731707,0,NA,0,NA,3.4,3.4,0,115,0.1402439024390244,55,30,10,0,0,0,0,560,0.6829268292682927,380,0.4634146341463415,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,15,0,0,10,0,0,0,0,0,0,0,0,0,805,0,0,0.012195121951219513,0,0,0,0,0,0,0,0,0,0.9817073170731707,700,0.8536585365853658,115,0.1402439024390244
ottawa_ons2022_alta_vista_3002_00000_2_8_percent,525,525,1,0,0,0,0,0,0.018867924528301886,0.018867924528301886,0.018867924528301886,0,0.018867924528301886,0,0.3490566037735849,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,3.9,3.9,0,40,0.0761904761904762,10,0,10,0,10,10,0,100,0.18867924528301888,50,0.09433962264150944,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,185,45,40,25,0,55,0,0,0,0,0,0,0,345,0.08490566037735849,0.07547169811320754,0.04716981132075472,0,0.10377358490566038,0,0,0,0,0,0,0,0.6509433962264151,225,0.42857142857142855,305,0.580952380952381
ottawa_ons2022_arnprior_3702_00000_2_5_percent,690,690,1,0,0,0,0,0,0,0,0.10869565217391304,0.036231884057971016,0.06521739130434782,0,0.07971014492753623,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,80,0.11594202898550725,80,0.11594202898550725,0,NA,0,NA,3.4,3.5,0,145,0.21014492753623187,75,25,45,0,0,0,0,25,0.036231884057971016,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,55,20,0,0,0,0,0,10,10,0,10,0,0,635,0.028985507246376812,0,0,0,0,0,0.014492753623188406,0.014492753623188406,0,0.014492753623188406,0,0,0.9202898550724637,100,0.14492753623188406,590,0.855072463768116
ottawa_ons2022_bayshore_3003_00000_5_4_percent,1160,1160,1,0,0,0,0,0,0.09482758620689655,0.09913793103448276,0.04310344827586207,0.03017241379310345,0,0,0.7456896551724138,0.02586206896551724,0.2608695652173913,0.08189655172413793,NA,0,0,NA,NA,NA,NA,NA,NA,NA,30,410,0.35344827586206895,410,0.35344827586206895,0,NA,0,NA,3.5,3.2,0,290,0.25,50,35,0,0,115,110,95,115,0.09913793103448276,40,0.034482758620689655,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,865,205,10,300,75,185,0,20,40,0,0,0,25,295,0.17672413793103448,0.008620689655172414,0.25862068965517243,0.06465517241379311,0.15948275862068967,0,0.017241379310344827,0.034482758620689655,0,0,0,0.021551724137931036,0.2543103448275862,280,0.2413793103448276,875,0.7543103448275862
ottawa_ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,610,610,1,0,0,0,0,0,0.08130081300813008,0.08130081300813008,0.024390243902439025,0,0.024390243902439025,0,0.5609756097560976,0.01639344262295082,0.2,0.06504065040650407,NA,0,0,NA,NA,NA,NA,NA,NA,NA,10,120,0.19672131147540983,120,0.19672131147540983,0,NA,0,NA,3.5,3.2,0,110,0.18032786885245902,15,0,15,0,50,50,40,135,0.21951219512195122,65,0.10569105691056911,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,345,45,20,140,0,60,10,0,20,0,0,30,15,265,0.07317073170731707,0.032520325203252036,0.22764227642276422,0,0.0975609756097561,0.016260162601626018,0,0.032520325203252036,0,0,0.04878048780487805,0.024390243902439025,0.43089430894308944,275,0.45081967213114754,340,0.5573770491803278
