name,total_population,number_of_children_age_0_14,percent_of_pop_that_are_children_age_0_14,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_adults_age_25_64,percent_of_pop_that_are_adults_age_25_64,percent_of_pop_that_are_seniors_65,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_indigenous,percent_of_pop_that_are_fn,percent_of_pop_that_are_metis,percent_of_pop_that_are_inuit,percent_of_pop_that_are_racialized,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,percent_of_pop_with_knowledge_of_neither_english_nor_french,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,percent_of_pop_living_alone,unemployment_rate,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,percent_of_income_from_government_transfers_2020,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_refugees,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,average_age_of_the_population,median_age_of_the_population,number_of_seniors_65,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_people_who_are_indigenous,number_of_people_who_are_fn,number_of_people_who_are_metis,number_of_people_who_are_inuit,number_of_immigrants,number_of_recent_immigrants_arr_2016_2021,number_of_people_with_knowledge_of_neither_english_nor_french,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_people_age_25_64_with_a_high_school_diploma,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_people_who_are_racialized,number_self_identified_as_south_asian,number_self_identified_as_chinese,number_self_identified_as_black,number_self_identified_as_filipino,number_self_identified_as_arab,number_self_identified_as_latin_american,number_self_identified_as_southeast_asian,number_self_identified_as_west_asian,number_self_identified_as_korean,number_self_identified_as_japanese,number_self_identified_with_other_visible_minority,number_self_identified_with_multiple_visible_minorities,number_of_people_who_are_non_racialized,percent_self_identified_as_south_asian,percent_self_identified_as_chinese,percent_self_identified_as_black,percent_self_identified_as_filipino,percent_self_identified_as_arab,percent_self_identified_as_latin_american,percent_self_identified_as_southeast_asian,percent_self_identified_as_west_asian,percent_self_identified_as_korean,percent_self_identified_as_japanese,percent_self_identified_with_other_visible_minority,percent_self_identified_with_multiple_visible_minorities,percent_of_people_who_are_non_racialized
province_of_ontario_00000_3_8_percent,1687900,0,0,1687900,1,0,0,0,0.036734996149060964,0.1552668996978494,0.03749333491320576,0.023982463416079153,0.01162391136915694,4.59150423603294e-4,0.4207358255820842,0.03365720718052017,0.21677000858532863,0.002885242016707151,NA,0.028251081225191065,25.3,18900,15760,14840,15380,7.9,29.4,NA,56810,172145,0.10198797911007497,46465,0.09709437786670289,125680,0.10392402498873357,0,NA,20.2,20.2,0,337725,0.248622445035833,63285,40480,19620,775,262075,62005,4870,35330,0.020931334794715328,1740,0.0010308667575093312,463330,0.7713103769737225,75555,0.125777211776163,43050,0.07166579269358504,7820,0.013018037139694193,10955,0.01823690496999359,120520,0.16662288645255838,100450,0.13887544759508372,NA,0.06512347991110445,710160,234370,105125,125250,53150,46490,30790,26335,26345,12555,3835,15600,30300,977740,0.138853012619231,0.06228153326618876,0.0742046329758872,0.03148883227679365,0.02754310089460276,0.018241601990639254,0.015602227620119676,0.015608152141714557,0.007438236862373364,0.002272054031636945,0.009242253688014693,0.017951300432490075,0.5792641744179158
ottawa_census_division_3506_00000_3_1_percent,130395,0,0,130390,0.999961654971433,0,0,0,0.0438283676521339,0.15755972238199317,0.03144292342497795,0.01610491199815944,0.01269220445569232,0.0015338011426818514,0.42106675869473525,0.053376279765328424,0.33876855682647844,0.0016488362283829901,NA,0.0417577361095134,25.3,19380,16240,15160,15540,7,27.5,NA,6960,14170,0.10866564417177914,3035,0.08557732976173692,11135,0.11729695565153271,0,NA,20.2,20.4,0,24035,0.24821852731591448,4100,2100,1655,200,20545,5715,215,13475,0.10333985198818973,895,0.006863760113501285,30010,0.6781920903954802,7755,0.1752542372881356,4480,0.10124293785310734,1025,0.023163841807909605,990,0.022372881355932205,14955,0.25197978096040435,7085,0.1193765796124684,NA,0.04983050847457627,54905,9605,7185,16725,2145,9950,1580,2550,1585,640,380,515,2045,75495,0.07366079987729592,0.055101806050845505,0.1282641205567698,0.016450017255262857,0.0763066068484221,0.012117029027186626,0.019555964569193604,0.01215537405575367,0.004908163656581924,0.0029142221710955173,0.0039495379424057675,0.01568311668392193,0.5789715863338318
ottawa_ons2022_admaston_bromley_3701_00000_3_2_percent,355,0,0,355,1,0,0,0,0,0,0.07042253521126761,0.028169014084507043,0.028169014084507043,0,0,0,NA,0,NA,0.028169014084507043,3.8,17400,16800,16400,16200,8.8,17.6,NA,0,45,0.1267605633802817,0,0,35,0.14285714285714285,0,NA,19.6,19.4,0,20,0.0625,25,10,10,0,0,0,0,0,0,0,0,185,0.9487179487179487,10,0.05128205128205128,0,0,0,0,0,0,55,0.22,45,0.18,NA,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,1
ottawa_ons2022_airport_3001_00000_6_7_percent,45,0,0,40,0.8888888888888888,0,0,0,0,0,0,0,0,0,0.25,0,NA,0,NA,0,0,14000,NA,15000,14000,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,18.8,17.8,0,10,0.2222222222222222,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,10,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0.75
ottawa_ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,870,0,0,870,1,0,0,0,0.011494252873563218,0.017241379310344827,0.034482758620689655,0.011494252873563218,0.011494252873563218,0,0.040229885057471264,0,0,0,NA,0.011494252873563218,8.3,23400,21920,18880,19500,11,20.2,NA,0,70,0.08045977011494253,20,0.09090909090909091,55,0.08461538461538462,0,NA,20.4,20.4,0,170,0.23943661971830985,30,10,10,0,15,10,0,650,0.7471264367816092,40,0.04597701149425287,470,0.9690721649484536,0,0,10,0.020618556701030927,0,0,0,0,60,0.11009174311926606,120,0.22018348623853212,NA,0.1134020618556701,35,10,10,10,0,0,0,0,0,0,0,0,0,830,0.011494252873563218,0.011494252873563218,0.011494252873563218,0,0,0,0,0,0,0,0,0,0.9540229885057471
ottawa_ons2022_alta_vista_3002_00000_2_8_percent,1005,0,0,1005,1,0,0,0,0.01485148514851485,0.07920792079207921,0.01485148514851485,0.009900990099009901,0,0,0.26732673267326734,0,0,0,NA,0.024875621890547265,28.1,18400,14880,15440,16040,5.6,29.6,NA,0,80,0.07960199004975124,0,0,70,0.09859154929577464,0,NA,20.3,20.2,0,85,0.11486486486486487,15,10,0,0,80,15,0,135,0.13366336633663367,0,0,200,0.6779661016949152,40,0.13559322033898305,30,0.1016949152542373,20,0.06779661016949153,10,0.03389830508474576,135,0.313953488372093,70,0.16279069767441862,NA,0,270,40,45,30,0,95,0,0,15,0,15,0,20,740,0.039603960396039604,0.04455445544554455,0.0297029702970297,0,0.09405940594059406,0,0,0.01485148514851485,0,0.01485148514851485,0,0.019801980198019802,0.7326732673267327
ottawa_ons2022_arnprior_3702_00000_2_5_percent,775,0,0,775,1,0,0,0,0.01282051282051282,0.02564102564102564,0.10256410256410256,0.0641025641025641,0.03205128205128205,0,0.05128205128205128,0,0,0,NA,0.03870967741935484,18,18520,15250,15750,15450,10.9,26.4,NA,0,60,0.07741935483870968,15,0.06976744186046512,45,0.07964601769911504,0,NA,19.9,19.6,0,170,0.2833333333333333,80,50,25,0,20,10,0,0,0,0,0,290,0.7837837837837838,0,0,70,0.1891891891891892,10,0.02702702702702703,0,0,40,0.0975609756097561,85,0.2073170731707317,NA,0.02702702702702703,40,0,0,10,10,0,0,0,0,0,0,0,0,735,0,0,0.01282051282051282,0.01282051282051282,0,0,0,0,0,0,0,0,0.9423076923076923
ottawa_ons2022_bayshore_3003_00000_5_4_percent,2025,0,0,2025,1,0,0,0,0.1308641975308642,0.32098765432098764,0.024691358024691357,0.012345679012345678,0.007407407407407408,0,0.7481481481481481,0.1728395061728395,0.5384615384615384,0.009876543209876543,NA,0.0345679012345679,25.9,20160,16700,15940,16420,8.9,30.5,NA,350,235,0.11576354679802955,70,0.15555555555555556,160,0.10158730158730159,0,NA,20.8,21.2,0,595,0.44569288389513106,50,25,15,0,650,265,20,105,0.05185185185185185,0,0,400,0.5517241379310345,240,0.3310344827586207,55,0.07586206896551724,0,0,30,0.041379310344827586,155,0.1751412429378531,125,0.14124293785310735,NA,0.10344827586206896,1515,435,45,450,115,265,35,75,50,0,0,0,50,510,0.21481481481481482,0.022222222222222223,0.2222222222222222,0.056790123456790124,0.1308641975308642,0.01728395061728395,0.037037037037037035,0.024691358024691357,0,0,0,0.024691358024691357,0.2518518518518518
ottawa_ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,910,0,0,915,1.0054945054945055,0,0,0,0.1366120218579235,0.32786885245901637,0.01639344262295082,0,0,0,0.644808743169399,0.14285714285714285,0.43333333333333335,0,NA,0.04945054945054945,20.2,20440,15720,14560,15150,11.5,32.4,NA,130,110,0.12087912087912088,25,0.11904761904761904,80,0.11428571428571428,0,NA,20.6,21,0,215,0.344,15,0,0,0,300,125,0,225,0.2459016393442623,45,0.04918032786885246,160,0.5161290322580645,105,0.3387096774193548,35,0.11290322580645161,0,0,10,0.03225806451612903,100,0.24390243902439024,35,0.08536585365853659,NA,0.04838709677419355,590,55,40,325,35,55,35,20,0,0,0,0,15,320,0.060109289617486336,0.04371584699453552,0.3551912568306011,0.03825136612021858,0.060109289617486336,0.03825136612021858,0.02185792349726776,0,0,0,0,0.01639344262295082,0.34972677595628415
