name,total_population,number_of_children_age_0_14,percent_of_pop_that_are_children_age_0_14,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_adults_age_25_64,percent_of_pop_that_are_adults_age_25_64,percent_of_pop_that_are_seniors_65,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_indigenous,percent_of_pop_that_are_fn,percent_of_pop_that_are_metis,percent_of_pop_that_are_inuit,percent_of_pop_that_are_racialized,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,percent_of_pop_with_knowledge_of_neither_english_nor_french,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,percent_of_pop_living_alone,unemployment_rate,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,percent_of_income_from_government_transfers_2020,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_refugees,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,average_age_of_the_population,median_age_of_the_population,number_of_seniors_65,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_people_who_are_indigenous,number_of_people_who_are_fn,number_of_people_who_are_metis,number_of_people_who_are_inuit,number_of_immigrants,number_of_recent_immigrants_arr_2016_2021,number_of_people_with_knowledge_of_neither_english_nor_french,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_people_age_25_64_with_a_high_school_diploma,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_people_who_are_racialized,number_self_identified_as_south_asian,number_self_identified_as_chinese,number_self_identified_as_black,number_self_identified_as_filipino,number_self_identified_as_arab,number_self_identified_as_latin_american,number_self_identified_as_southeast_asian,number_self_identified_as_west_asian,number_self_identified_as_korean,number_self_identified_as_japanese,number_self_identified_with_other_visible_minority,number_self_identified_with_multiple_visible_minorities,number_of_people_who_are_non_racialized,percent_self_identified_as_south_asian,percent_self_identified_as_chinese,percent_self_identified_as_black,percent_self_identified_as_filipino,percent_self_identified_as_arab,percent_self_identified_as_latin_american,percent_self_identified_as_southeast_asian,percent_self_identified_as_west_asian,percent_self_identified_as_korean,percent_self_identified_as_japanese,percent_self_identified_with_other_visible_minority,percent_self_identified_with_multiple_visible_minorities,percent_of_people_who_are_non_racialized
province_of_ontario_00000_3_8_percent,2510275,0,0,0,0,0,0,1,0.010913125229058114,0.4341009767834664,0.016830791784183438,0.00923203786031837,0.0065510620329206305,1.015822936086811e-4,0.20627778574501648,0.030530519564589537,0.15991486786783654,0.06669176346861705,NA,0.23214986405871868,13.4,41360,37840,40840,39760,31.7,36.1,NA,76640,305115,0.12154644411468862,0,NA,0,NA,305115,0.12154644411468862,74.7,73.5,2510275,8105,0.9446386946386947,42250,23175,16445,255,1089715,27395,167415,64535,0.025708287521710727,10015,0.003989594786238985,197740,0.8343283896964199,14335,0.06048395603468281,14205,0.059935444399907174,1020,0.004303706672855003,9705,0.040948503196135105,100325,0.2963023125313801,34605,0.10220325467379426,NA,0.08151726756819476,517815,148895,129940,71255,38100,21055,24635,16440,19855,12180,5580,16100,13785,1992460,0.059314100419076754,0.05176314992749813,0.028385279729751262,0.015177589750944118,0.008387510556591296,0.009813646286470036,0.006549070223242029,0.007909476233726915,0.004852048377073474,0.0022228596013193747,0.006413627165097121,0.005491419283904585,0.7937202224453049
ottawa_census_division_3506_00000_3_1_percent,160435,0,0,0,0,0,0,1,0.012247950883535388,0.3506092810172344,0.014865833515130739,0.007978308972481068,0.005921401190513292,2.1815688596627918e-4,0.18022875307757036,0.035092093371147194,0.21414986686953214,0.046218094555427434,NA,0.2498831302396609,11.7,48560,48080,47240,48880,25.5,28.7,NA,5630,15630,0.09742263221865553,0,NA,0,NA,15630,0.09742263221865553,74.5,73,160435,400,0.9090909090909091,2385,1280,950,35,56250,1965,7415,18280,0.11394022501324524,2360,0.014710007168011968,10065,0.7619227857683573,1240,0.09386828160484481,1060,0.08024224072672217,75,0.005677517032551098,775,0.05866767600302801,8425,0.3873563218390805,1765,0.08114942528735632,NA,0.04844814534443603,28915,5620,6695,5375,1110,4240,1530,1545,1330,190,280,415,580,131520,0.035029762832299687,0.04173029575840683,0.03350266463053573,0.0069186898120734254,0.026428148471343536,0.009536572443668775,0.009630068251940039,0.00828996166671861,0.0011842802381026585,0.0017452550877302335,0.0025867173621715958,0.0036151712531554835,0.8197712469224296
ottawa_ons2022_admaston_bromley_3701_00000_3_2_percent,610,0,0,0,0,0,0,1,0,0.10743801652892562,0.04132231404958678,0,0.03305785123966942,0,0.01652892561983471,0,NA,0,NA,0.13934426229508196,13.6,38400,29400,36800,29700,38.8,42.4,NA,0,35,0.05737704918032787,0,NA,0,NA,35,0.05737704918032787,73,72.5,610,0,NA,25,0,20,0,65,0,0,0,0,0,0,60,0.8571428571428571,0,0,10,0.14285714285714285,0,0,0,0,30,0.3157894736842105,10,0.10526315789473684,NA,0,10,0,0,0,0,0,0,10,0,0,0,0,0,595,0,0,0,0,0,0,0.01652892561983471,0,0,0,0,0,0.9834710743801653
ottawa_ons2022_airport_3001_00000_6_7_percent,75,0,0,0,0,0,0,1,0,0.6,0,0,0,0,0,0,0,0,NA,0,0,52000,48000,48000,50000,26,28,NA,0,0,0,0,NA,0,NA,0,0,74,72.5,75,0,NA,0,0,0,0,45,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0.9333333333333333
ottawa_ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,1875,0,0,0,0,0,0,1,0,0.06666666666666667,0.02666666666666667,0.016,0.008,0,0.008,0.013333333333333334,0.5,0,NA,0.23733333333333334,20,35240,26400,33880,28720,40.3,46.2,NA,25,270,0.1443850267379679,0,NA,0,NA,270,0.1443850267379679,73.6,72.5,1875,0,NA,50,30,15,0,125,0,0,1420,0.7573333333333333,390,0.208,125,0.8620689655172413,10,0.06896551724137931,10,0.06896551724137931,0,0,0,0,60,0.2926829268292683,30,0.14634146341463414,NA,0.10344827586206896,15,0,0,15,0,0,0,0,0,0,0,0,0,1855,0,0,0.008,0,0,0,0,0,0,0,0,0,0.9893333333333333
ottawa_ons2022_alta_vista_3002_00000_2_8_percent,1520,0,0,0,0,0,0,1,0,0.3201320132013201,0.013201320132013201,0,0.009900990099009901,0,0.10231023102310231,0,0,0.0231023102310231,NA,0.19407894736842105,5.1,64600,71700,61050,66300,17.9,19,NA,0,80,0.052805280528052806,0,NA,0,NA,80,0.052805280528052806,74.8,74,1520,0,NA,20,0,15,0,485,0,35,135,0.0891089108910891,0,0,95,0.6785714285714286,0,0,35,0.25,0,0,15,0.10714285714285714,135,0.48214285714285715,20,0.07142857142857142,NA,0.10714285714285714,155,15,60,15,0,55,0,0,10,0,0,0,0,1365,0.009900990099009901,0.039603960396039604,0.009900990099009901,0,0.036303630363036306,0,0,0.006600660066006601,0,0,0,0,0.900990099009901
ottawa_ons2022_arnprior_3702_00000_2_5_percent,2425,0,0,0,0,0,0,1,0.004123711340206186,0.12371134020618557,0.020618556701030927,0.008247422680412371,0.010309278350515464,0,0.018556701030927835,0.004123711340206186,0.2,0.004123711340206186,NA,0.2948453608247423,12.1,38240,28680,38160,30560,38.5,42.9,NA,10,385,0.15876288659793814,0,NA,0,NA,385,0.15876288659793814,74.9,73.5,2425,0,0,50,20,25,0,300,10,10,20,0.008247422680412371,0,0,170,0.918918918918919,0,0,0,0,0,0,0,0,75,0.28846153846153844,35,0.1346153846153846,NA,0.08108108108108109,45,20,0,10,0,10,0,0,0,0,0,0,0,2375,0.008247422680412371,0,0.004123711340206186,0,0.004123711340206186,0,0,0,0,0,0,0,0.979381443298969
ottawa_ons2022_bayshore_3003_00000_5_4_percent,1910,0,0,0,0,0,0,1,0.01832460732984293,0.49476439790575916,0.01832460732984293,0.013089005235602094,0,0,0.3481675392670157,0.12303664921465969,0.38524590163934425,0.078534031413612565,NA,0.34293193717277487,12.8,35440,30360,34640,32120,39.7,45.6,NA,235,335,0.17539267015706805,0,NA,0,NA,335,0.17539267015706805,74.8,74,1910,0,NA,35,25,0,0,945,35,150,110,0.05759162303664921,40,0.020942408376963352,105,0.6774193548387096,35,0.22580645161290322,10,0.06451612903225806,0,0,0,0,45,0.225,25,0.125,NA,0.12903225806451613,665,90,95,140,65,105,35,50,30,0,0,15,35,1250,0.04712041884816754,0.049738219895287955,0.07329842931937172,0.034031413612565446,0.0549738219895288,0.01832460732984293,0.02617801047120419,0.015706806282722512,0,0,0.007853403141361256,0.01832460732984293,0.6544502617801047
ottawa_ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,1445,0,0,0,0,0,0,1,0.020761245674740483,0.3494809688581315,0.02422145328719723,0.010380622837370242,0.01384083044982699,0,0.23529411764705882,0.05190311418685121,0.2542372881355932,0.03460207612456748,NA,0.31833910034602075,14,41800,37400,40360,37100,31.5,34.8,NA,75,160,0.11072664359861592,0,NA,0,NA,160,0.11072664359861592,75.1,73.5,1445,10,1,35,15,20,0,505,30,50,370,0.2560553633217993,50,0.03460207612456748,85,0.6071428571428571,40,0.2857142857142857,10,0.07142857142857142,0,0,10,0.07142857142857142,25,0.1388888888888889,15,0.08333333333333333,NA,0.07142857142857142,340,30,55,120,25,40,40,10,0,0,0,0,10,1105,0.020761245674740483,0.03806228373702422,0.08304498269896193,0.01730103806228374,0.02768166089965398,0.02768166089965398,0.006920415224913495,0,0,0,0,0.006920415224913495,0.7647058823529411
