name,ONS_ID,total_population,number_of_children_age_0_14,percent_of_pop_that_are_children_age_0_14,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_adults_age_25_64,percent_of_pop_that_are_adults_age_25_64,percent_of_pop_that_are_seniors_65,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_indigenous,percent_of_pop_that_are_fn,percent_of_pop_that_are_metis,percent_of_pop_that_are_inuit,percent_of_pop_that_are_racialized,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,percent_of_pop_with_knowledge_of_neither_english_nor_french,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,percent_of_pop_living_alone,unemployment_rate,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,percent_of_income_from_government_transfers_2020,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_refugees,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,average_age_of_the_population,median_age_of_the_population,number_of_seniors_65,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_people_who_are_indigenous,number_of_people_who_are_fn,number_of_people_who_are_metis,number_of_people_who_are_inuit,number_of_immigrants,number_of_recent_immigrants_arr_2016_2021,number_of_people_with_knowledge_of_neither_english_nor_french,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_people_age_25_64_with_a_high_school_diploma,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_people_who_are_racialized,number_self_identified_as_south_asian,number_self_identified_as_chinese,number_self_identified_as_black,number_self_identified_as_filipino,number_self_identified_as_arab,number_self_identified_as_latin_american,number_self_identified_as_southeast_asian,number_self_identified_as_west_asian,number_self_identified_as_korean,number_self_identified_as_japanese,number_self_identified_with_other_visible_minority,number_self_identified_with_multiple_visible_minorities,number_of_people_who_are_non_racialized,percent_self_identified_as_south_asian,percent_self_identified_as_chinese,percent_self_identified_as_black,percent_self_identified_as_filipino,percent_self_identified_as_arab,percent_self_identified_as_latin_american,percent_self_identified_as_southeast_asian,percent_self_identified_as_west_asian,percent_self_identified_as_korean,percent_self_identified_as_japanese,percent_self_identified_with_other_visible_minority,percent_self_identified_with_multiple_visible_minorities,percent_of_people_who_are_non_racialized
ottawa_census_division_3506,0,89235,18535,0.207709979,14170,0.158794195,40905,0.458396369,0.175155488,0.109380253,0.356886697,0.035750308,0.018379469,0.012383727,0.003193993,0.514681161,0.115201434,0.361971831,0.055250476,0.18190709,0.292598196,27.2,15760,10890,17860,17700,47.2,66.4,0.595843521,10280,89230,1,21570,1,52030,1,15630,1,38.5,35.6,15630,12990,0.500674504,3190,1640,1105,285,31845,9760,4930,9500,0.106466435,2935,0.032892525,8345,0.609346477,3020,0.220518437,1610,0.117561154,290,0.021175612,440,0.032128514,6670,0.323080649,3655,0.177040446,0.81809291,0.084337349,45925,4160,6500,14240,510,12665,1745,1485,2020,620,180,575,1235,43305,0.046621092,0.072845456,0.159587583,0.005715567,0.141936568,0.019556203,0.016642385,0.022638126,0.006948336,0.002017259,0.006444021,0.013840637,0.485318839
ottawa_airport_3001,3001,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,15000,9500,24000,NA,NA,70,0.666666667,0,35,1,0,NA,30,1,0,NA,50,50.8,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0.833333333,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857
ottawa_alta_vista_3002,3002,390,55,0.141025641,80,0.205128205,155,0.397435897,0.205128205,0,0.423076923,0,0,0,0,0.512820513,0.076923077,0.230769231,0.051282051,0,0.282051282,0,-39600,17600,24000,29400,29.6,47,0.764705882,30,390,1,60,1,245,1,80,1,42.5,42.8,80,0,0,0,0,0,0,165,0,20,0,0,0,0,40,0.615384615,15,0.230769231,0,0,0,0,0,0,45,0.409090909,20,0.181818182,0.941176471,0,200,0,35,0,0,95,0,0,45,0,0,0,0,185,0,0.08974359,0,0,0.243589744,0,0,0.115384615,0,0,0,0,0.474358974
ottawa_bayshore_3003,3003,2520,785,0.311507937,235,0.093253968,1160,0.46031746,0.132936508,0.136904762,0.406746032,0.049603175,0.031746032,0,0,0.609126984,0.174603175,0.453608247,0.073412698,0.232758621,0.146825397,31.8,18340,8480,18020,14720,60.4,79.4,0.517241379,440,2520,1,860,1,1325,1,340,1,33.9,32,335,535,0.527093596,125,80,0,0,1025,345,185,170,0.067460317,90,0.035714286,190,0.62295082,85,0.278688525,0,0,0,0,0,0,145,0.322222222,75,0.166666667,0.767241379,0.131147541,1535,265,35,490,30,425,40,70,110,0,0,0,70,985,0.10515873,0.013888889,0.194444444,0.011904762,0.168650794,0.015873016,0.027777778,0.043650794,0,0,0,0.027777778,0.390873016
ottawa_beacon_hill_south_cardinal_heights_3004,3004,865,245,0.283236994,110,0.12716763,325,0.375722543,0.184971098,0.184971098,0.404624277,0.034682081,0,0,0,0.595375723,0.132947977,0.370967742,0.046242775,0.295774648,0.196531792,15,17600,8000,18300,14350,50.8,73.5,0.507042254,115,865,1,270,1,435,1,155,1,36.6,36.4,160,135,0.421875,30,0,0,0,350,160,40,185,0.213872832,60,0.069364162,70,0.608695652,30,0.260869565,0,0,0,0,0,0,40,0.242424242,30,0.181818182,0.704225352,0.260869565,515,0,45,285,0,40,0,0,0,0,0,0,0,355,0,0.052023121,0.329479769,0,0.046242775,0,0,0,0,0,0,0,0.410404624
ottawa_beaverbrook_3005,3005,575,125,0.217391304,40,0.069565217,290,0.504347826,0.182608696,0.191304348,0.347826087,0.069565217,0,0,0,0.286956522,0.095652174,0.297297297,0.060869565,0.175438596,0.252173913,24.3,15500,11300,19300,16400,46,58.4,0.649122807,55,580,1,155,1,315,1,110,1,40.1,40.4,105,80,0.4,40,0,0,0,200,110,35,0,0,0,0,60,0.705882353,0,0,0,0,0,0,0,0,50,0.37037037,30,0.222222222,0.824561404,0,165,0,0,0,0,65,0,0,0,0,0,0,0,415,0,0,0,0,0.113043478,0,0,0,0,0,0,0,0.72173913
ottawa_beechwood_cemetery_3006,3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_bells_corners_east_3007,3007,295,55,0.186440678,0,0,120,0.406779661,0.186440678,0,0.155172414,0.086206897,0,0,0,0,0,0,0,0.117647059,0.355932203,41.2,18000,10200,20800,19200,51,74,0.5,0,290,1,55,1,180,1,55,1,45.8,53.2,55,0,0,25,0,0,0,45,0,0,0,0,0,0,25,0.714285714,0,0,0,0,0,0,0,0,0,0,0,0,0.911764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0.862068966
ottawa_bells_corners_west_3008,3008,430,125,0.290697674,15,0.034883721,165,0.38372093,0.255813953,0,0.302325581,0,0,0,0,0.465116279,0.127906977,0.47826087,0,0.277777778,0.279069767,0,20800,9000,19400,12200,66,78,0.361111111,55,425,1,125,1,195,1,110,1,42.2,40.8,110,80,0.516129032,0,0,0,0,130,0,0,0,0,0,0,50,0.769230769,0,0,0,0,0,0,0,0,15,0.176470588,35,0.411764706,0.722222222,0,200,55,0,0,0,80,0,0,0,0,0,0,0,230,0.127906977,0,0,0,0.186046512,0,0,0,0,0,0,0,0.534883721
ottawa_billings_bridge_heron_park_3009,3009,1355,180,0.132841328,340,0.250922509,425,0.313653137,0.295202952,0.10701107,0.394833948,0.044280443,0.014760148,0,0,0.564575646,0.158671587,0.467391304,0.062730627,0.2,0.376383764,28.9,16240,8840,14960,9840,64.8,72.8,0.6,215,1350,1,205,1,745,1,405,1,43.4,36.4,400,185,0.711538462,60,20,0,0,535,145,85,110,0.081180812,50,0.036900369,85,0.425,90,0.45,0,0,0,0,0,0,75,0.272727273,60,0.218181818,0.811764706,0.125,765,70,125,325,25,135,0,0,25,0,0,0,0,590,0.051660517,0.092250923,0.239852399,0.018450185,0.099630996,0,0,0.018450185,0,0,0,0,0.435424354
