name,total_population,number_of_children_age_0_14,percent_of_pop_that_are_children_age_0_14,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_adults_age_25_64,percent_of_pop_that_are_adults_age_25_64,percent_of_pop_that_are_seniors_65,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_indigenous,percent_of_pop_that_are_fn,percent_of_pop_that_are_metis,percent_of_pop_that_are_inuit,percent_of_pop_that_are_racialized,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,percent_of_pop_with_knowledge_of_neither_english_nor_french,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,percent_of_pop_living_alone,unemployment_rate,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,percent_of_income_from_government_transfers_2020,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_refugees,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,average_age_of_the_population,median_age_of_the_population,number_of_seniors_65,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_people_who_are_indigenous,number_of_people_who_are_fn,number_of_people_who_are_metis,number_of_people_who_are_inuit,number_of_immigrants,number_of_recent_immigrants_arr_2016_2021,number_of_people_with_knowledge_of_neither_english_nor_french,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_people_age_25_64_with_a_high_school_diploma,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_people_who_are_racialized,number_self_identified_as_south_asian,number_self_identified_as_chinese,number_self_identified_as_black,number_self_identified_as_filipino,number_self_identified_as_arab,number_self_identified_as_latin_american,number_self_identified_as_southeast_asian,number_self_identified_as_west_asian,number_self_identified_as_korean,number_self_identified_as_japanese,number_self_identified_with_other_visible_minority,number_self_identified_with_multiple_visible_minorities,number_of_people_who_are_non_racialized,percent_self_identified_as_south_asian,percent_self_identified_as_chinese,percent_self_identified_as_black,percent_self_identified_as_filipino,percent_self_identified_as_arab,percent_self_identified_as_latin_american,percent_self_identified_as_southeast_asian,percent_self_identified_as_west_asian,percent_self_identified_as_korean,percent_self_identified_as_japanese,percent_self_identified_with_other_visible_minority,percent_self_identified_with_multiple_visible_minorities,percent_of_people_who_are_non_racialized,ONS_ID
ottawa_census_division_3506,47415,10105,0.213118212,5720,0.120636929,29630,0.62490773,0.04133713,1,1,5.27E-04,5.27E-04,0,0,0.848977009,0.313824739,0.313857836,0.066540124,0.103104961,0.056627649,14.5,40920,46600,33040,41680,11.9,18.8,0.800539993,14880,9755,0.205736581,3535,0.292753623,5775,0.173033708,445,0.226463104,30.9,31.6,4.1,2905,0.190242305,25,25,0,0,47410,47410,3155,5710,0.120426026,2535,0.053464094,8765,0.676050906,2805,0.216351716,855,0.06594678,140,0.010798303,395,0.030466641,9130,0.408683975,2350,0.10519248,0.896726291,0.084072503,40250,8080,3495,11020,1995,10235,1400,875,1685,325,60,390,685,7165,0.17042818,0.073718625,0.232440413,0.04207973,0.215882725,0.029529635,0.018456022,0.035541025,0.006855094,0.001265556,0.008226113,0.014448429,0.151128454,0
ottawa_airport_3001,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3001
ottawa_alta_vista_3002,205,35,0.170731707,10,0.048780488,160,0.780487805,0,1,1,0,0,0,0,0.707317073,0.195121951,0.195121951,0,0.064516129,0.12195122,0,48000,58000,42000,58000,6,11.2,0.870967742,40,0,0,0,0,0,0,0,NA,31.5,33.6,0,0,0,0,0,0,0,205,205,0,45,0.219512195,10,0.048780488,50,0.909090909,10,0.181818182,0,0,0,0,0,0,65,0.541666667,15,0.125,1,0,145,15,10,10,0,70,0,20,10,10,0,0,10,55,0.073170732,0.048780488,0.048780488,0,0.341463415,0,0.097560976,0.048780488,0.048780488,0,0,0.048780488,0.268292683,3002
ottawa_bayshore_3003,1920,435,0.2265625,265,0.138020833,1180,0.614583333,0.020833333,1,1,0,0,0,0,0.9453125,0.3203125,0.3203125,0.065104167,0.148305085,0.041666667,15.1,37760,41300,28700,34900,16.6,22,0.754237288,615,345,0.1796875,130,0.245283019,215,0.159259259,0,0,27.9,29,2.1,260,0.393939394,0,0,0,0,1920,1920,125,140,0.072916667,85,0.044270833,390,0.709090909,150,0.272727273,10,0.018181818,0,0,0,0,315,0.362068966,100,0.114942529,0.851694915,0.090909091,1815,715,10,340,155,380,30,45,80,0,0,0,55,100,0.372395833,0.005208333,0.177083333,0.080729167,0.197916667,0.015625,0.0234375,0.041666667,0,0,0,0.028645833,0.052083333,3003
ottawa_beacon_hill_south_cardinal_heights_3004,770,250,0.324675325,130,0.168831169,355,0.461038961,0.038961039,1,1,0,0,0,0,0.901960784,0.493506494,0.496732026,0.045454545,0.180555556,0.025974026,21,35400,29400,24000,23300,26.8,38.8,0.694444444,380,165,0.214285714,95,0.322033898,65,0.146067416,0,0,27.4,25,3.9,60,0.171428571,0,0,0,0,765,765,35,190,0.246753247,95,0.123376623,90,0.514285714,75,0.428571429,0,0,0,0,0,0,55,0.229166667,30,0.125,0.819444444,0.171428571,690,60,35,345,40,135,35,10,0,0,0,30,10,75,0.078431373,0.045751634,0.450980392,0.052287582,0.176470588,0.045751634,0.013071895,0,0,0,0.039215686,0.013071895,0.098039216,3004
ottawa_beaverbrook_3005,440,135,0.306818182,40,0.090909091,240,0.545454545,0.056818182,1,1,0,0,0,0,0.629213483,0.147727273,0.146067416,0.056818182,0.0625,0,8.5,36000,38400,28400,33200,10,13,0.833333333,65,115,0.261363636,35,0.233333333,70,0.264150943,0,0,30.2,31.4,5.7,0,0,0,0,0,0,445,445,25,20,0.045454545,10,0.022727273,60,0.52173913,35,0.304347826,0,0,0,0,20,0.173913043,105,0.477272727,30,0.136363636,0.916666667,0.130434783,280,90,20,10,20,70,0,0,50,0,0,0,15,160,0.202247191,0.04494382,0.02247191,0.04494382,0.157303371,0,0,0.112359551,0,0,0,0.033707865,0.359550562,3005
ottawa_beechwood_cemetery_3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3006
ottawa_bells_corners_east_3007,140,25,0.178571429,20,0.142857143,80,0.571428571,0,1,1,0,0,0,0,0.678571429,0.178571429,0.178571429,0,0,0.071428571,20,38500,41000,32500,39000,6.8,21,1,25,0,0,0,NA,0,0,0,NA,30.8,30.2,0,15,0.333333333,0,0,0,0,140,140,0,0,0,0,0,40,1,0,0,0,0,0,0,0,0,45,0.5625,10,0.125,1,0,95,40,0,10,35,0,0,0,0,0,0,0,0,45,0.285714286,0,0.071428571,0.25,0,0,0,0,0,0,0,0,0.321428571,3007
ottawa_bells_corners_west_3008,185,55,0.297297297,20,0.108108108,95,0.513513514,0,1,1,0,0,0,0,0.894736842,0.297297297,0.289473684,0,0.15,0,15,37500,38500,25600,28400,24,25,0.8,55,0,0,0,0,0,0,0,NA,27.1,29.6,0,0,0,0,0,0,0,190,190,0,0,0,0,0,25,0.555555556,20,0.444444444,0,0,0,0,0,0,45,0.529411765,10,0.117647059,0.85,0.333333333,170,30,10,60,10,45,0,0,0,0,0,10,0,15,0.157894737,0.052631579,0.315789474,0.052631579,0.236842105,0,0,0,0,0,0.052631579,0,0.078947368,3008
ottawa_billings_bridge_heron_park_3009,360,35,0.097222222,30,0.083333333,270,0.75,0.055555556,1,1,0,0,0,0,0.916666667,0.458333333,0.458333333,0.055555556,0.055555556,0.111111111,15.7,32400,32800,24800,28400,15.2,27.6,0.777777778,165,145,0.402777778,25,0.714285714,100,0.333333333,20,1,33.9,32.8,5.6,35,0.5,0,0,0,0,360,360,20,70,0.194444444,25,0.069444444,45,0.375,60,0.5,0,0,0,0,0,0,100,0.465116279,25,0.11627907,0.944444444,0.083333333,330,65,15,115,15,75,20,0,25,0,0,0,0,30,0.180555556,0.041666667,0.319444444,0.041666667,0.208333333,0.055555556,0,0.069444444,0,0,0,0,0.083333333,3009
