name,total_population,number_of_children_age_0_14,percent_of_pop_that_are_children_age_0_14,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_adults_age_25_64,percent_of_pop_that_are_adults_age_25_64,percent_of_pop_that_are_seniors_65,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_indigenous,percent_of_pop_that_are_fn,percent_of_pop_that_are_metis,percent_of_pop_that_are_inuit,percent_of_pop_that_are_racialized,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,percent_of_pop_with_knowledge_of_neither_english_nor_french,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,percent_of_pop_living_alone,unemployment_rate,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,percent_of_income_from_government_transfers_2020,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_refugees,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,average_age_of_the_population,median_age_of_the_population,number_of_seniors_65,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_people_who_are_indigenous,number_of_people_who_are_fn,number_of_people_who_are_metis,number_of_people_who_are_inuit,number_of_immigrants,number_of_recent_immigrants_arr_2016_2021,number_of_people_with_knowledge_of_neither_english_nor_french,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_people_age_25_64_with_a_high_school_diploma,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_people_who_are_racialized,number_self_identified_as_south_asian,number_self_identified_as_chinese,number_self_identified_as_black,number_self_identified_as_filipino,number_self_identified_as_arab,number_self_identified_as_latin_american,number_self_identified_as_southeast_asian,number_self_identified_as_west_asian,number_self_identified_as_korean,number_self_identified_as_japanese,number_self_identified_with_other_visible_minority,number_self_identified_with_multiple_visible_minorities,number_of_people_who_are_non_racialized,percent_self_identified_as_south_asian,percent_self_identified_as_chinese,percent_self_identified_as_black,percent_self_identified_as_filipino,percent_self_identified_as_arab,percent_self_identified_as_latin_american,percent_self_identified_as_southeast_asian,percent_self_identified_as_west_asian,percent_self_identified_as_korean,percent_self_identified_as_japanese,percent_self_identified_with_other_visible_minority,percent_self_identified_with_multiple_visible_minorities,percent_of_people_who_are_non_racialized,ONS_ID
ottawa_census_division_3506,26395,5190,0.196628149,4105,0.155521879,14720,0.557681379,0.090358022,9.47E-04,0.004925175,1,0.503693881,0.399318053,0.048115173,0,0,0,7.58E-04,0.125382263,0.131653722,13.7,46760,54150,44320,53700,10.9,16.2,0.661230037,0,3195,0.121045653,795,0.126090404,2115,0.119424054,290,0.121593291,35.6,33.6,9,3445,0.378155873,26395,13295,10540,1270,130,25,20,3205,0.121424512,165,0.006251184,5475,0.735887097,915,0.122983871,600,0.080645161,160,0.021505376,290,0.038978495,4740,0.388206388,1430,0.117117117,0.874617737,0.064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,26395,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ottawa_airport_3001,20,10,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,NA,27,NA,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,3001
ottawa_alta_vista_3002,80,15,0.1875,10,0.125,20,0.25,0.1875,0,0,1,0.3125,0.625,0,0,0,NA,0,0,0.125,0,54000,50000,48000,52000,9.5,17,0.833333333,0,0,0,0,NA,0,0,0,NA,36.5,33.2,18.8,10,0.666666667,80,25,50,0,0,0,0,0,0,0,0,15,0.6,0,0,0,0,0,0,0,0,15,0.428571429,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,1,3002
ottawa_bayshore_3003,390,95,0.243589744,45,0.115384615,230,0.58974359,0.08974359,0,0,1,0.607594937,0.291139241,0.050632911,0,0,NA,0,0.136363636,0.192307692,17.1,39600,43200,37200,43200,19.2,26.4,0.613636364,0,125,0.320512821,65,0.590909091,55,0.22,0,0,34.4,31.8,9,110,0.785714286,395,240,115,20,0,0,0,40,0.102564103,0,0,85,1,0,0,0,0,0,0,0,0,55,0.379310345,35,0.24137931,0.863636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,1,3003
ottawa_beacon_hill_south_cardinal_heights_3004,265,45,0.169811321,15,0.056603774,170,0.641509434,0.132075472,0,0,1,0.509433962,0.490566038,0,0,0,NA,0,0.117647059,0.188679245,8.3,40800,45200,39600,48400,15.2,23.2,0.558823529,0,30,0.113207547,0,0,20,0.108108108,0,0,39,36.4,13.2,35,0.538461538,265,135,130,0,0,0,0,50,0.188679245,0,0,30,0.6,15,0.3,0,0,0,0,0,0,70,0.608695652,10,0.086956522,0.852941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,1,3004
ottawa_beaverbrook_3005,195,25,0.128205128,35,0.179487179,100,0.512820513,0.153846154,0,0.075,1,0.425,0.425,0,0,0,NA,0,0,0.076923077,11.8,44800,50000,45000,53000,12.8,18.5,0.714285714,0,40,0.205128205,0,0,25,0.208333333,0,0,39.6,42.4,15.4,40,0.5,200,85,85,0,15,0,0,0,0,0,0,40,0.666666667,10,0.166666667,0,0,0,0,0,0,20,0.25,10,0.125,1,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,1,3005
ottawa_beechwood_cemetery_3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3006
ottawa_bells_corners_east_3007,185,35,0.189189189,30,0.162162162,115,0.621621622,0.081081081,0,0,1,0.421052632,0.5,0,0,0,NA,0,0.15,0.081081081,0,47000,58000,43000,53000,11.6,14.8,0.6,0,30,0.162162162,0,0,20,0.166666667,0,0,38.2,42.4,8.1,45,0.642857143,190,80,95,0,0,0,0,0,0,0,0,65,0.8125,10,0.125,0,0,0,0,0,0,25,0.25,10,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,1,3007
ottawa_bells_corners_west_3008,130,40,0.307692308,0,0,75,0.576923077,0.076923077,0,0,1,0.5,0.423076923,0.076923077,0,0,NA,0,0.2,0.076923077,0,47000,52000,44000,54000,12,20,0.466666667,0,0,0,0,0,0,0,0,NA,34,36,7.7,10,0.25,130,65,55,10,0,0,0,0,0,0,0,45,0.9,0,0,0,0,0,0,0,0,20,0.266666667,10,0.133333333,0.733333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,1,3008
ottawa_billings_bridge_heron_park_3009,235,35,0.14893617,50,0.212765957,130,0.553191489,0,0,0,1,0.382978723,0.361702128,0.212765957,0,0,NA,0,0.206896552,0.191489362,7.4,40400,48000,30800,35600,13.6,19.6,0.551724138,0,55,0.234042553,0,0,55,0.289473684,0,NA,30.2,28.4,0,30,0.545454545,235,90,85,50,0,0,0,0,0,0,0,55,0.611111111,15,0.166666667,0,0,0,0,10,0.111111111,35,0.269230769,20,0.153846154,0.75862069,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,1,3009
