name,total_population,number_of_children_age_0_14,percent_of_pop_that_are_children_age_0_14,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_adults_age_25_64,percent_of_pop_that_are_adults_age_25_64,percent_of_pop_that_are_seniors_65,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_indigenous,percent_of_pop_that_are_fn,percent_of_pop_that_are_metis,percent_of_pop_that_are_inuit,percent_of_pop_that_are_racialized,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,percent_of_pop_with_knowledge_of_neither_english_nor_french,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,percent_of_pop_living_alone,unemployment_rate,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,percent_of_income_from_government_transfers_2020,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_refugees,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,average_age_of_the_population,median_age_of_the_population,number_of_seniors_65,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_people_who_are_indigenous,number_of_people_who_are_fn,number_of_people_who_are_metis,number_of_people_who_are_inuit,number_of_immigrants,number_of_recent_immigrants_arr_2016_2021,number_of_people_with_knowledge_of_neither_english_nor_french,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_people_age_25_64_with_a_high_school_diploma,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_people_who_are_racialized,number_self_identified_as_south_asian,number_self_identified_as_chinese,number_self_identified_as_black,number_self_identified_as_filipino,number_self_identified_as_arab,number_self_identified_as_latin_american,number_self_identified_as_southeast_asian,number_self_identified_as_west_asian,number_self_identified_as_korean,number_self_identified_as_japanese,number_self_identified_with_other_visible_minority,number_self_identified_with_multiple_visible_minorities,number_of_people_who_are_non_racialized,percent_self_identified_as_south_asian,percent_self_identified_as_chinese,percent_self_identified_as_black,percent_self_identified_as_filipino,percent_self_identified_as_arab,percent_self_identified_as_latin_american,percent_self_identified_as_southeast_asian,percent_self_identified_as_west_asian,percent_self_identified_as_korean,percent_self_identified_as_japanese,percent_self_identified_with_other_visible_minority,percent_self_identified_with_multiple_visible_minorities,percent_of_people_who_are_non_racialized,ONS_ID
ottawa_census_division_3506,324960,70270,0.216241999,54905,0.168959257,170865,0.525803176,0.088995569,0.123863304,0.575310428,0,0,0,0,1,0.138770926,0.261427867,0.040374821,0.083747879,0.071793452,13.3,43000,48600,39040,47480,10.5,17.1,0.778076901,45095,45920,0.1413097,14315,0.169178042,25755,0.121816247,5850,0.202317136,34.1,31.8,8.9,31025,0.245839937,0,0,0,0,186950,40250,13120,32790,0.100906279,9100,0.028003877,66525,0.729800889,16150,0.177170753,4950,0.05430311,855,0.009379628,2670,0.029290768,58950,0.390255205,14170,0.093806892,0.916252121,0.06845483,324955,57820,46170,84770,14320,58180,14355,14955,13255,4120,2310,3780,10915,0,0.177932329,0.142081211,0.260866889,0.04406764,0.179040175,0.044175347,0.046021757,0.040790263,0.012678679,0.007108677,0.01163238,0.033589266,0,0
ottawa_airport_3001,55,0,0,10,0.181818182,30,0.545454545,0,0,0.666666667,0,0,0,0,1,0,0,0,0.25,0,0,58000,80000,80000,130000,2.8,6.8,0.625,0,0,0,0,NA,0,0,0,NA,44,51.2,0,0,0,0,0,0,0,40,0,0,0,0,0,0,25,0.714285714,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3001
ottawa_alta_vista_3002,1705,370,0.217008798,270,0.158357771,900,0.527859238,0.08797654,0.088235294,0.502941176,0,0,0,0,1,0.06744868,0.155405405,0.017647059,0.043956044,0.058651026,11.2,53300,65800,52600,68600,6.5,10.8,0.857142857,115,200,0.117302053,30,0.065217391,125,0.114678899,45,0.3,34.7,34,8.8,70,0.109375,0,0,0,0,855,150,30,120,0.070588235,30,0.017647059,335,0.797619048,25,0.05952381,30,0.071428571,10,0.023809524,20,0.047619048,405,0.48502994,95,0.113772455,0.956043956,0.023809524,1700,305,285,170,0,570,30,40,160,30,35,20,55,0,0.179411765,0.167647059,0.1,0,0.335294118,0.017647059,0.023529412,0.094117647,0.017647059,0.020588235,0.011764706,0.032352941,0,3002
ottawa_bayshore_3003,8630,1955,0.226535342,1520,0.17612978,4495,0.520857474,0.076477404,0.210434783,0.60057971,0,0,0,0,1,0.214947856,0.371743487,0.048667439,0.133481646,0.059096176,17.1,34320,34720,29320,33240,18.4,27.5,0.708565072,1855,1535,0.177867903,585,0.253246753,785,0.138815208,170,0.257575758,32,28.8,7.6,1225,0.356622999,0,0,0,0,5180,1815,420,625,0.072421784,210,0.02433372,1710,0.651428571,725,0.276190476,125,0.047619048,0,0,60,0.022857143,1030,0.281420765,440,0.120218579,0.866518354,0.091428571,8625,2180,385,2340,730,1590,235,410,410,15,15,60,250,0,0.252753623,0.044637681,0.271304348,0.084637681,0.184347826,0.027246377,0.047536232,0.047536232,0.00173913,0.00173913,0.006956522,0.028985507,0,3003
ottawa_beacon_hill_south_cardinal_heights_3004,3215,705,0.219284603,590,0.183514774,1580,0.491446345,0.107309487,0.214618974,0.636080871,0,0,0,0,1,0.208398134,0.349869452,0.032659409,0.114285714,0.068429238,13.9,36280,35000,31720,35600,14.8,25.7,0.698412698,670,515,0.160186625,205,0.245508982,240,0.117936118,65,0.188405797,34,31.4,10.7,465,0.357692308,0,0,0,0,2045,690,105,625,0.194401244,235,0.073094868,635,0.610576923,315,0.302884615,45,0.043269231,0,0,40,0.038461538,360,0.251748252,155,0.108391608,0.882539683,0.086538462,3215,345,265,1435,195,395,195,85,80,10,15,85,115,0,0.107309487,0.082426128,0.446345257,0.060653188,0.122861586,0.060653188,0.026438569,0.024883359,0.00311042,0.00466563,0.026438569,0.035769829,0,3004
ottawa_beaverbrook_3005,1765,410,0.232294618,275,0.155807365,895,0.507082153,0.104815864,0.161931818,0.613636364,0,0,0,0,1,0.101983003,0.180904523,0.039772727,0.061452514,0.039660057,11.5,46800,52000,41000,49200,9.6,14.4,0.82122905,180,165,0.093484419,45,0.09375,105,0.095454545,0,0,35,34.4,10.5,180,0.253521127,0,0,0,0,1080,285,70,45,0.025568182,15,0.008522727,360,0.791208791,55,0.120879121,10,0.021978022,0,0,25,0.054945055,350,0.432098765,75,0.092592593,0.938547486,0.054945055,1760,460,305,175,70,210,170,110,120,30,20,20,65,0,0.261363636,0.173295455,0.099431818,0.039772727,0.119318182,0.096590909,0.0625,0.068181818,0.017045455,0.011363636,0.011363636,0.036931818,0,3005
ottawa_beechwood_cemetery_3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3006
ottawa_bells_corners_east_3007,870,175,0.201149425,185,0.212643678,435,0.5,0.086206897,0.109195402,0.620689655,0,0,0,0,1,0.057471264,0.107526882,0.011494253,0.079545455,0.022988506,12.2,38400,41000,34800,39800,11.7,20.8,0.818181818,50,0,0,0,0,0,0,0,0,34.1,30,8.6,65,0.175675676,0,0,0,0,540,95,10,20,0.022988506,0,0,230,0.766666667,50,0.166666667,20,0.066666667,0,0,0,0,125,0.290697674,55,0.127906977,0.920454545,0.083333333,870,325,25,200,120,40,35,40,0,0,10,0,55,0,0.373563218,0.028735632,0.229885057,0.137931034,0.045977011,0.040229885,0.045977011,0,0,0.011494253,0,0.063218391,0,3007
ottawa_bells_corners_west_3008,1165,260,0.223175966,170,0.145922747,610,0.52360515,0.107296137,0.142241379,0.61637931,0,0,0,0,1,0.158798283,0.274074074,0.030172414,0.148760331,0.068669528,10.9,39100,41000,34100,40200,12.4,19.2,0.67768595,185,200,0.17167382,100,0.344827586,80,0.10738255,20,0.16,35.5,34.8,10.7,140,0.282828283,0,0,0,0,715,165,35,15,0.012931034,10,0.00862069,295,0.728395062,65,0.160493827,30,0.074074074,0,0,10,0.024691358,170,0.298245614,60,0.105263158,0.851239669,0.135802469,1160,130,140,270,130,200,45,105,40,0,0,30,65,0,0.112068966,0.120689655,0.232758621,0.112068966,0.172413793,0.038793103,0.090517241,0.034482759,0,0,0.025862069,0.056034483,0,3008
ottawa_billings_bridge_heron_park_3009,2245,380,0.169265033,450,0.200445434,1125,0.501113586,0.138084633,0.146666667,0.506666667,0,0,0,0,1,0.160356347,0.346153846,0.046666667,0.058295964,0.169265033,15.1,31920,32600,27480,31160,17.7,27.6,0.789237668,360,765,0.340757238,165,0.397590361,405,0.264705882,190,0.612903226,35,29.2,13.8,300,0.5,0,0,0,0,1140,330,105,240,0.106666667,80,0.035555556,350,0.598290598,175,0.299145299,45,0.076923077,10,0.017094017,10,0.017094017,430,0.425742574,135,0.133663366,0.941704036,0.05982906,2250,350,300,830,80,455,95,15,65,0,20,0,35,0,0.155555556,0.133333333,0.368888889,0.035555556,0.202222222,0.042222222,0.006666667,0.028888889,0,0.008888889,0,0.015555556,0,3009
