name,total_population,number_of_children_age_0_14,percent_of_pop_that_are_children_age_0_14,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_adults_age_25_64,percent_of_pop_that_are_adults_age_25_64,percent_of_pop_that_are_seniors_65,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_indigenous,percent_of_pop_that_are_fn,percent_of_pop_that_are_metis,percent_of_pop_that_are_inuit,percent_of_pop_that_are_racialized,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,percent_of_pop_with_knowledge_of_neither_english_nor_french,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,percent_of_pop_living_alone,unemployment_rate,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,percent_of_income_from_government_transfers_2020,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_refugees,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,average_age_of_the_population,median_age_of_the_population,number_of_seniors_65,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_people_who_are_indigenous,number_of_people_who_are_fn,number_of_people_who_are_metis,number_of_people_who_are_inuit,number_of_immigrants,number_of_recent_immigrants_arr_2016_2021,number_of_people_with_knowledge_of_neither_english_nor_french,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_people_age_25_64_with_a_high_school_diploma,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_people_who_are_racialized,number_self_identified_as_south_asian,number_self_identified_as_chinese,number_self_identified_as_black,number_self_identified_as_filipino,number_self_identified_as_arab,number_self_identified_as_latin_american,number_self_identified_as_southeast_asian,number_self_identified_as_west_asian,number_self_identified_as_korean,number_self_identified_as_japanese,number_self_identified_with_other_visible_minority,number_self_identified_with_multiple_visible_minorities,number_of_people_who_are_non_racialized,percent_self_identified_as_south_asian,percent_self_identified_as_chinese,percent_self_identified_as_black,percent_self_identified_as_filipino,percent_self_identified_as_arab,percent_self_identified_as_latin_american,percent_self_identified_as_southeast_asian,percent_self_identified_as_west_asian,percent_self_identified_as_korean,percent_self_identified_as_japanese,percent_self_identified_with_other_visible_minority,percent_self_identified_with_multiple_visible_minorities,percent_of_people_who_are_non_racialized
province_of_ontario_00000_3_8_percent,584680,96260,0.1646370664294999,62000,0.10604091126770199,399030,0.682475884244373,0.04685468974481768,1,1,3.677193702591994e-4,3.2496130394999014e-4,2.565483978552554e-5,0,0.8578379811351411,0.20560819593623864,0.20560643765446351,0.07964117430753312,0.0912474155754652,0.051592324006294044,13.9,38560,42840,32280,40400,9.4,18.5,0.7824447089781342,120215,96045,0.16426793914672003,28300,0.24637618073390502,62750,0.1418319489178957,4995,0.18233254243475086,32.4,32.4,27395,28555,0.18884957508018915,215,190,15,0,584685,584685,46565,12710,0.021738200911601974,4165,0.007123493847114258,125670,0.6801060720857236,42865,0.23197856910921094,9595,0.05192661543457084,1705,0.009227189089728326,4945,0.026761554280766316,111965,0.3736650647443599,37630,0.12558403417434255,0.9087525844245348,0.1290182920229462,501565,189890,59835,69300,42810,58200,22340,10500,24755,7300,1510,6520,8605,83115,0.3247731684582296,0.10233715590446138,0.118525359809128,0.07321891274788989,0.09954077836783909,0.03820860805390937,0.017958387849867877,0.04233903725937898,0.012485355362289096,0.0025825872050762376,0.011151303693441767,0.014717326423629818,0.14215346725159703
ottawa_census_division_3506_00000_3_1_percent,47415,10105,0.21311821153643362,5720,0.12063692924180112,29630,0.6249077296214278,0.04133712960033745,1,1,5.273149124657245e-4,5.273149124657245e-4,0,0,0.8489770090698165,0.3138247390066435,0.31385783589959926,0.06654012443319625,0.10310496118798515,0.056627649478013284,14.5,40920,46600,33040,41680,11.9,18.8,0.8005399932500844,14880,9755,0.20573658125065908,3535,0.2927536231884058,5775,0.17303370786516853,445,0.22646310432569974,30.9,31.6,1960,2905,0.1902423051735429,25,25,0,0,47410,47410,3155,5710,0.12042602551935042,2535,0.05346409364125277,8765,0.676050906286155,2805,0.21635171615888932,855,0.06594677979174701,140,0.010798303123794832,395,0.030466640956421133,9130,0.40868397493285585,2350,0.10519247985675918,0.8967262909213635,0.08407250289240262,40250,8080,3495,11020,1995,10235,1400,875,1685,325,60,390,685,7165,0.17042817970892216,0.0737186247627083,0.23244041341489138,0.04207973001476482,0.21588272516346763,0.029529635098080573,0.01845602193630036,0.03554102510018983,0.006855093862054419,0.0012655557899177389,0.008226112634465302,0.014448428601560852,0.15112845391267665
ottawa_ons2022_admaston_bromley_3701_00000_3_2_percent,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_airport_3001_00000_6_7_percent,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,35,0,0,0,0,25,0.7142857142857143,0,1,1,0,0,0,0,1,0.2857142857142857,0.2857142857142857,0,0,0,0,30000,28000,28000,30000,3.6,28,0.8,10,0,0,0,NA,0,0,0,NA,33,32.4,0,0,0,0,0,0,0,35,35,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,35,10,10,0,10,0,10,0,0,0,0,0,0,0,0.2857142857142857,0.2857142857142857,0,0.2857142857142857,0,0.2857142857142857,0,0,0,0,0,0,0
ottawa_ons2022_alta_vista_3002_00000_2_8_percent,205,35,0.17073170731707318,10,0.04878048780487805,160,0.7804878048780488,0,1,1,0,0,0,0,0.7073170731707317,0.1951219512195122,0.1951219512195122,0,0.06451612903225806,0.12195121951219512,0,48000,58000,42000,58000,6,11.2,0.8709677419354839,40,0,0,0,0,0,0,0,NA,31.5,33.6,0,0,0,0,0,0,0,205,205,0,45,0.21951219512195122,10,0.04878048780487805,50,0.9090909090909091,10,0.18181818181818182,0,0,0,0,0,0,65,0.5416666666666666,15,0.125,1,0,145,15,10,10,0,70,0,20,10,10,0,0,10,55,0.07317073170731707,0.04878048780487805,0.04878048780487805,0,0.34146341463414637,0,0.0975609756097561,0.04878048780487805,0.04878048780487805,0,0,0.04878048780487805,0.2682926829268293
ottawa_ons2022_arnprior_3702_00000_2_5_percent,65,0,0,0,0,30,0.46153846153846156,0.15384615384615385,1,1,0,0,0,0,0.46153846153846156,0,0,0,0,0,0,56000,66000,44000,52000,7,6,0.6666666666666666,0,0,0,0,NA,0,0,0,NA,37.5,32.4,10,0,NA,0,0,0,0,65,65,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,20,0.5714285714285714,10,0.2857142857142857,1,0,30,10,0,10,0,0,0,0,0,0,0,0,0,35,0.15384615384615385,0,0.15384615384615385,0,0,0,0,0,0,0,0,0,0.5384615384615384
ottawa_ons2022_bayshore_3003_00000_5_4_percent,1920,435,0.2265625,265,0.13802083333333334,1180,0.6145833333333334,0.020833333333333332,1,1,0,0,0,0,0.9453125,0.3203125,0.3203125,0.06510416666666667,0.1483050847457627,0.041666666666666664,15.1,37760,41300,28700,34900,16.6,22,0.7542372881355932,615,345,0.1796875,130,0.24528301886792453,215,0.15925925925925927,0,0,27.9,29,40,260,0.3939393939393939,0,0,0,0,1920,1920,125,140,0.07291666666666667,85,0.044270833333333336,390,0.7090909090909091,150,0.2727272727272727,10,0.01818181818181818,0,0,0,0,315,0.3620689655172414,100,0.11494252873563218,0.8516949152542372,0.09090909090909091,1815,715,10,340,155,380,30,45,80,0,0,0,55,100,0.3723958333333333,0.005208333333333333,0.17708333333333334,0.08072916666666667,0.19791666666666666,0.015625,0.0234375,0.041666666666666664,0,0,0,0.028645833333333332,0.052083333333333336
ottawa_ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,770,250,0.3246753246753247,130,0.16883116883116883,355,0.461038961038961,0.03896103896103896,1,1,0,0,0,0,0.9019607843137255,0.4935064935064935,0.49673202614379086,0.045454545454545456,0.18055555555555555,0.025974025974025976,21,35400,29400,24000,23300,26.8,38.8,0.6944444444444444,380,165,0.21428571428571427,95,0.3220338983050847,65,0.14606741573033707,0,0,27.4,25,30,60,0.17142857142857143,0,0,0,0,765,765,35,190,0.24675324675324675,95,0.12337662337662338,90,0.5142857142857142,75,0.42857142857142855,0,0,0,0,0,0,55,0.22916666666666666,30,0.125,0.8194444444444444,0.17142857142857143,690,60,35,345,40,135,35,10,0,0,0,30,10,75,0.0784313725490196,0.0457516339869281,0.45098039215686275,0.05228758169934641,0.17647058823529413,0.0457516339869281,0.013071895424836602,0,0,0,0.0392156862745098,0.013071895424836602,0.09803921568627451
