name,total_population,number_of_children_age_0_14,percent_of_pop_that_are_children_age_0_14,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_adults_age_25_64,percent_of_pop_that_are_adults_age_25_64,percent_of_pop_that_are_seniors_65,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_indigenous,percent_of_pop_that_are_fn,percent_of_pop_that_are_metis,percent_of_pop_that_are_inuit,percent_of_pop_that_are_racialized,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,percent_of_pop_with_knowledge_of_neither_english_nor_french,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,percent_of_pop_living_alone,unemployment_rate,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,percent_of_income_from_government_transfers_2020,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_refugees,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,average_age_of_the_population,median_age_of_the_population,number_of_seniors_65,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_people_who_are_indigenous,number_of_people_who_are_fn,number_of_people_who_are_metis,number_of_people_who_are_inuit,number_of_immigrants,number_of_recent_immigrants_arr_2016_2021,number_of_people_with_knowledge_of_neither_english_nor_french,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_people_age_25_64_with_a_high_school_diploma,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_people_who_are_racialized,number_self_identified_as_south_asian,number_self_identified_as_chinese,number_self_identified_as_black,number_self_identified_as_filipino,number_self_identified_as_arab,number_self_identified_as_latin_american,number_self_identified_as_southeast_asian,number_self_identified_as_west_asian,number_self_identified_as_korean,number_self_identified_as_japanese,number_self_identified_with_other_visible_minority,number_self_identified_with_multiple_visible_minorities,number_of_people_who_are_non_racialized,percent_self_identified_as_south_asian,percent_self_identified_as_chinese,percent_self_identified_as_black,percent_self_identified_as_filipino,percent_self_identified_as_arab,percent_self_identified_as_latin_american,percent_self_identified_as_southeast_asian,percent_self_identified_as_west_asian,percent_self_identified_as_korean,percent_self_identified_as_japanese,percent_self_identified_with_other_visible_minority,percent_self_identified_with_multiple_visible_minorities,percent_of_people_who_are_non_racialized
province_of_ontario_00000_3_8_percent,406590,90815,0.2233576821859859,63280,0.15563589857104207,210235,0.5170687916574436,0.10392533018519885,5.287882141715241e-4,0.0055953171499545,1,0.617403280946408,0.33108290907302196,0.010600359084089623,2.3365060626183624e-4,7.378440197742197e-5,0.024193548387096774,8.731154233994934e-4,0.20691131353009728,0.10558547922969085,15,42360,46160,36720,42640,17.7,23.1,0.535020334387709,30,69030,0.16977790895004796,22910,0.20776276412442188,38420,0.15122114419538307,7705,0.18234528458170632,35.3,33.2,10.4,61875,0.397437132671741,406590,251030,134615,4310,2275,215,355,17410,0.04281954794756389,1050,0.002582454069209769,110055,0.8512588467339599,5950,0.04602235371466141,8745,0.06764125768650656,1235,0.009552538964303671,3305,0.025563677147387553,31135,0.19366777594625695,22905,0.14247504120921842,0.7930886864699027,0.07603356924623893,95,40,0,20,0,0,15,0,10,0,0,0,10,406495,9.837920263656263e-5,0,4.9189601318281314e-5,0,0,3.6892200988710984e-5,0,2.4594800659140657e-5,0,0,0,2.4594800659140657e-5,0.9997663493937382
ottawa_census_division_3506_00000_3_1_percent,26395,5190,0.19662814927069522,4105,0.15552187914377724,14720,0.5576813790490623,0.09035802235271832,9.471490812653912e-4,0.004925175222580034,1,0.503693881416935,0.3993180526614889,0.04811517332828187,0,0,0,7.577192650123129e-4,0.12538226299694188,0.13165372229588937,13.7,46760,54150,44320,53700,10.9,16.2,0.6612300373768264,0,3195,0.12104565258571699,795,0.1260904044409199,2115,0.1194240542066629,290,0.12159329140461216,35.6,33.6,9,3445,0.3781558726673985,26395,13295,10540,1270,130,25,20,3205,0.12142451221822315,165,0.006251183936351582,5475,0.7358870967741935,915,0.12298387096774194,600,0.08064516129032258,160,0.021505376344086023,290,0.038978494623655914,4740,0.3882063882063882,1430,0.11711711711711711,0.8746177370030581,0.06451612903225806,0,0,0,0,0,0,0,0,0,0,0,0,0,26395,0,0,0,0,0,0,0,0,0,0,0,0,1
ottawa_ons2022_admaston_bromley_3701_00000_3_2_percent,175,25,0.14285714285714285,25,0.14285714285714285,95,0.5428571428571428,0.14285714285714285,0,0,1,0.45714285714285713,0.45714285714285713,0,0,0,NA,0,0.1,0.05714285714285714,10.5,39000,40000,33500,37000,16,19,0.7,0,0,0,0,0,0,0,0,0,40.4,45.2,14.3,15,0.25,175,80,80,0,0,0,0,0,0,0,0,70,1,0,0,0,0,0,0,0,0,15,0.17647058823529413,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,1
ottawa_ons2022_airport_3001_00000_6_7_percent,20,10,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,NA,27,NA,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1
ottawa_ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,435,100,0.22988505747126436,30,0.06896551724137931,260,0.5977011494252874,0.11494252873563218,0,0,1,0.6046511627906976,0.313953488372093,0,0,0,NA,0,0.11764705882352941,0.11494252873563218,8.3,46000,50000,42400,47200,13.6,18.4,0.5490196078431373,0,35,0.08045977011494253,0,0,30,0.10714285714285714,0,0,38.1,39.6,11.5,50,0.4,430,260,135,0,0,0,0,270,0.6206896551724138,40,0.09195402298850575,165,1,0,0,0,0,0,0,0,0,55,0.25,45,0.20454545454545456,0.8823529411764706,0.12121212121212122,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,0,0,0,0,0,0,0,0,0,0,0,1
ottawa_ons2022_alta_vista_3002_00000_2_8_percent,80,15,0.1875,10,0.125,20,0.25,0.1875,0,0,1,0.3125,0.625,0,0,0,NA,0,0,0.125,0,54000,50000,48000,52000,9.5,17,0.8333333333333334,0,0,0,0,NA,0,0,0,NA,36.5,33.2,18.8,10,0.6666666666666666,80,25,50,0,0,0,0,0,0,0,0,15,0.6,0,0,0,0,0,0,0,0,15,0.42857142857142855,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,1
ottawa_ons2022_arnprior_3702_00000_2_5_percent,575,140,0.24347826086956523,75,0.13043478260869565,315,0.5478260869565217,0.08695652173913043,0,0,1,0.48695652173913045,0.4608695652173913,0,0,0,NA,0,0.1746031746031746,0.08695652173913043,7.1,38200,38400,33000,34200,22,24.6,0.5238095238095238,0,70,0.1206896551724138,0,0,60,0.1643835616438356,0,0,33.9,31.6,8.7,45,0.21428571428571427,575,280,265,0,0,0,0,0,0,0,0,190,0.8837209302325582,0,0,20,0.09302325581395349,0,0,0,0,35,0.13725490196078433,65,0.2549019607843137,0.8095238095238095,0.09302325581395349,0,0,0,0,0,0,0,0,0,0,0,0,0,575,0,0,0,0,0,0,0,0,0,0,0,0,1
ottawa_ons2022_bayshore_3003_00000_5_4_percent,390,95,0.24358974358974358,45,0.11538461538461539,230,0.5897435897435898,0.08974358974358974,0,0,1,0.6075949367088608,0.2911392405063291,0.05063291139240506,0,0,NA,0,0.13636363636363635,0.19230769230769232,17.1,39600,43200,37200,43200,19.2,26.4,0.6136363636363636,0,125,0.32051282051282054,65,0.5909090909090909,55,0.22,0,0,34.4,31.8,9,110,0.7857142857142857,395,240,115,20,0,0,0,40,0.10256410256410256,0,0,85,1,0,0,0,0,0,0,0,0,55,0.3793103448275862,35,0.2413793103448276,0.8636363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,1
ottawa_ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,265,45,0.16981132075471697,15,0.05660377358490566,170,0.6415094339622641,0.1320754716981132,0,0,1,0.5094339622641509,0.49056603773584906,0,0,0,NA,0,0.11764705882352941,0.18867924528301888,8.3,40800,45200,39600,48400,15.2,23.2,0.5588235294117647,0,30,0.11320754716981132,0,0,20,0.10810810810810811,0,0,39,36.4,13.2,35,0.5384615384615384,265,135,130,0,0,0,0,50,0.18867924528301888,0,0,30,0.6,15,0.3,0,0,0,0,0,0,70,0.6086956521739131,10,0.08695652173913043,0.8529411764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,1
