name,total_population,number_of_children_age_0_14,percent_of_pop_that_are_children_age_0_14,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_adults_age_25_64,percent_of_pop_that_are_adults_age_25_64,percent_of_pop_that_are_seniors_65,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_indigenous,percent_of_pop_that_are_fn,percent_of_pop_that_are_metis,percent_of_pop_that_are_inuit,percent_of_pop_that_are_racialized,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,percent_of_pop_with_knowledge_of_neither_english_nor_french,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,percent_of_pop_living_alone,unemployment_rate,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,percent_of_income_from_government_transfers_2020,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_refugees,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,average_age_of_the_population,median_age_of_the_population,number_of_seniors_65,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_people_who_are_indigenous,number_of_people_who_are_fn,number_of_people_who_are_metis,number_of_people_who_are_inuit,number_of_immigrants,number_of_recent_immigrants_arr_2016_2021,number_of_people_with_knowledge_of_neither_english_nor_french,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_people_age_25_64_with_a_high_school_diploma,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_people_who_are_racialized,number_self_identified_as_south_asian,number_self_identified_as_chinese,number_self_identified_as_black,number_self_identified_as_filipino,number_self_identified_as_arab,number_self_identified_as_latin_american,number_self_identified_as_southeast_asian,number_self_identified_as_west_asian,number_self_identified_as_korean,number_self_identified_as_japanese,number_self_identified_with_other_visible_minority,number_self_identified_with_multiple_visible_minorities,number_of_people_who_are_non_racialized,percent_self_identified_as_south_asian,percent_self_identified_as_chinese,percent_self_identified_as_black,percent_self_identified_as_filipino,percent_self_identified_as_arab,percent_self_identified_as_latin_american,percent_self_identified_as_southeast_asian,percent_self_identified_as_west_asian,percent_self_identified_as_korean,percent_self_identified_as_japanese,percent_self_identified_with_other_visible_minority,percent_self_identified_with_multiple_visible_minorities,percent_of_people_who_are_non_racialized
province_of_ontario_00000_3_8_percent,1420780,266610,0.1876504455299202,172145,0.12116231928940441,676905,0.47643195990934556,0.2147517560776475,0.06759667225045397,0.3417735328481538,0.04858950717211673,0.035596644096904516,0.010737059924830024,4.997255028927772e-4,0.4234258646658878,0.07181618547558384,0.25552508671099255,0.0564830586016132,0.2009425182077381,0.2945178000816453,25.5,15600,9110,18600,16720,49.8,71.4,0.5336529228405549,102035,1420775,1,313075,1,802590,1,305115,1,42,41.6,305115,191340,0.49268719744566897,69035,50575,15255,710,485585,96040,80250,29260,0.02059432142907417,6795,0.004782584214304818,158340,0.7191878818159108,32275,0.14659459950491677,18980,0.08620807121931279,3500,0.01589716803306611,7065,0.032089569186746304,93155,0.29321225665318457,67020,0.21095040997151446,0.7990500952859316,0.10560261621965344,601595,132565,132445,110790,14310,63355,35375,19870,38940,19215,2625,13490,18625,819180,0.09330438209997326,0.09321992145159701,0.0779782936133673,0.010071932318867102,0.04459170314897451,0.024898295302580274,0.013985275693633075,0.02740748039809119,0.013524261321246076,0.0018475766832303383,0.009494784554962768,0.013108996466729543,0.5765706161404299
ottawa_census_division_3506_00000_3_1_percent,89235,18535,0.20770997926822435,14170,0.1587941951028184,40905,0.4583963691376702,0.17515548831736427,0.1093802532780455,0.35688669729911465,0.035750308192312,0.01837946878852404,0.012383727445926258,0.0031939930516642384,0.5146811610444918,0.11520143441474757,0.3619718309859155,0.05525047629720946,0.18190709046454767,0.2925981957752003,27.2,15760,10890,17860,17700,47.2,66.4,0.5958435207823961,10280,89230,1,21570,1,52030,1,15630,1,38.5,35.6,15630,12990,0.5006745037579495,3190,1640,1105,285,31845,9760,4930,9500,0.10646643505547462,2935,0.03289252493555979,8345,0.6093464768163563,3020,0.22051843738590726,1610,0.11756115370573202,290,0.02117561153705732,440,0.0321285140562249,6670,0.32308064906757084,3655,0.17704044562848148,0.8180929095354523,0.08433734939759036,45925,4160,6500,14240,510,12665,1745,1485,2020,620,180,575,1235,43305,0.04662109156113415,0.0728454555642721,0.15958758265157458,0.0057155665135044265,0.14193656841869326,0.01955620307071613,0.01664238484814524,0.022638126190743024,0.006948335761515186,0.0020172587694721506,0.0064440210691471475,0.0138406365572117,0.48531883895550826
ottawa_ons2022_admaston_bromley_3701_00000_3_2_percent,305,70,0.22950819672131148,45,0.14754098360655737,100,0.32786885245901637,0.11475409836065574,0,0,0,0,0,0,0,0,NA,0,0.3870967741935484,0.18032786885245902,0,16000,10800,20400,17600,28.4,47,0.45161290322580644,0,310,1,80,1,190,1,40,1,38.4,39.2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0.8571428571428571,0,0,0,0,0,0,0,0,65,0.48148148148148145,25,0.18518518518518517,0.6129032258064516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,1
ottawa_ons2022_airport_3001_00000_6_7_percent,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,15000,9500,24000,NA,NA,70,0.6666666666666666,0,35,1,0,NA,30,1,0,NA,50,50.8,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0.8333333333333334,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0.8571428571428571
ottawa_ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,880,135,0.1534090909090909,75,0.08522727272727272,395,0.44886363636363635,0.3068181818181818,0,0.03977272727272727,0.03977272727272727,0.03977272727272727,0,0,0,0,NA,0,0.2875,0.375,14.3,18640,10120,20440,15700,62.4,75.2,0.4625,0,875,1,155,1,455,1,270,1,47.8,56,270,100,0.5,35,35,0,0,35,0,0,630,0.7159090909090909,200,0.22727272727272727,85,0.9444444444444444,0,0,0,0,0,0,0,0,90,0.5,40,0.2222222222222222,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0,0.9659090909090909
ottawa_ons2022_alta_vista_3002_00000_2_8_percent,390,55,0.14102564102564102,80,0.20512820512820512,155,0.3974358974358974,0.20512820512820512,0,0.4230769230769231,0,0,0,0,0.5128205128205128,0.07692307692307693,0.23076923076923078,0.05128205128205128,0,0.28205128205128205,0,-39600,17600,24000,29400,29.6,47,0.7647058823529411,30,390,1,60,1,245,1,80,1,42.5,42.8,80,0,0,0,0,0,0,165,0,20,0,0,0,0,40,0.6153846153846154,15,0.23076923076923078,0,0,0,0,0,0,45,0.4090909090909091,20,0.18181818181818182,0.9411764705882353,0,200,0,35,0,0,95,0,0,45,0,0,0,0,185,0,0.08974358974358974,0,0,0.24358974358974358,0,0,0.11538461538461539,0,0,0,0,0.47435897435897434
ottawa_ons2022_arnprior_3702_00000_2_5_percent,1130,190,0.168141592920354,65,0.05752212389380531,505,0.4469026548672566,0.3407079646017699,0,0.084070796460177,0.05752212389380531,0.022123893805309734,0.03982300884955752,0,0.05752212389380531,0,0,0,0.20202020202020202,0.4247787610619469,14.3,16640,7440,20400,14250,64.8,82,0.45454545454545453,0,1135,1,210,1,545,1,380,1,49.7,58.4,385,125,0.5102040816326531,65,25,45,0,95,0,0,0,0,0,0,90,0.782608695652174,0,0,0,0,0,0,0,0,65,0.3611111111111111,30,0.16666666666666666,0.797979797979798,0,65,0,0,0,0,0,0,0,0,0,0,0,0,1070,0,0,0,0,0,0,0,0,0,0,0,0,0.9469026548672567
ottawa_ons2022_bayshore_3003_00000_5_4_percent,2520,785,0.3115079365079365,235,0.09325396825396826,1160,0.4603174603174603,0.13293650793650794,0.13690476190476192,0.40674603174603174,0.0496031746031746,0.031746031746031744,0,0,0.6091269841269841,0.1746031746031746,0.4536082474226804,0.07341269841269842,0.23275862068965517,0.14682539682539683,31.8,18340,8480,18020,14720,60.4,79.4,0.5172413793103449,440,2520,1,860,1,1325,1,340,1,33.9,32,335,535,0.5270935960591133,125,80,0,0,1025,345,185,170,0.06746031746031746,90,0.03571428571428571,190,0.6229508196721312,85,0.2786885245901639,0,0,0,0,0,0,145,0.32222222222222224,75,0.16666666666666666,0.7672413793103449,0.13114754098360656,1535,265,35,490,30,425,40,70,110,0,0,0,70,985,0.10515873015873016,0.013888888888888888,0.19444444444444445,0.011904761904761904,0.16865079365079366,0.015873015873015872,0.027777777777777776,0.04365079365079365,0,0,0,0.027777777777777776,0.39087301587301587
ottawa_ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,865,245,0.2832369942196532,110,0.12716763005780346,325,0.37572254335260113,0.18497109826589594,0.18497109826589594,0.4046242774566474,0.03468208092485549,0,0,0,0.5953757225433526,0.1329479768786127,0.3709677419354839,0.046242774566473986,0.29577464788732394,0.19653179190751446,15,17600,8000,18300,14350,50.8,73.5,0.5070422535211268,115,865,1,270,1,435,1,155,1,36.6,36.4,160,135,0.421875,30,0,0,0,350,160,40,185,0.2138728323699422,60,0.06936416184971098,70,0.6086956521739131,30,0.2608695652173913,0,0,0,0,0,0,40,0.24242424242424243,30,0.18181818181818182,0.704225352112676,0.2608695652173913,515,0,45,285,0,40,0,0,0,0,0,0,0,355,0,0.05202312138728324,0.32947976878612717,0,0.046242774566473986,0,0,0,0,0,0,0,0.41040462427745666
