name,total_population,number_of_children_age_0_14,percent_of_pop_that_are_children_age_0_14,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_adults_age_25_64,percent_of_pop_that_are_adults_age_25_64,percent_of_pop_that_are_seniors_65,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_indigenous,percent_of_pop_that_are_fn,percent_of_pop_that_are_metis,percent_of_pop_that_are_inuit,percent_of_pop_that_are_racialized,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,percent_of_pop_with_knowledge_of_neither_english_nor_french,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,percent_of_pop_living_alone,unemployment_rate,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,percent_of_income_from_government_transfers_2020,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_refugees,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,average_age_of_the_population,median_age_of_the_population,number_of_seniors_65,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_people_who_are_indigenous,number_of_people_who_are_fn,number_of_people_who_are_metis,number_of_people_who_are_inuit,number_of_immigrants,number_of_recent_immigrants_arr_2016_2021,number_of_people_with_knowledge_of_neither_english_nor_french,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_people_age_25_64_with_a_high_school_diploma,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_people_who_are_racialized,number_self_identified_as_south_asian,number_self_identified_as_chinese,number_self_identified_as_black,number_self_identified_as_filipino,number_self_identified_as_arab,number_self_identified_as_latin_american,number_self_identified_as_southeast_asian,number_self_identified_as_west_asian,number_self_identified_as_korean,number_self_identified_as_japanese,number_self_identified_with_other_visible_minority,number_self_identified_with_multiple_visible_minorities,number_of_people_who_are_non_racialized,percent_self_identified_as_south_asian,percent_self_identified_as_chinese,percent_self_identified_as_black,percent_self_identified_as_filipino,percent_self_identified_as_arab,percent_self_identified_as_latin_american,percent_self_identified_as_southeast_asian,percent_self_identified_as_west_asian,percent_self_identified_as_korean,percent_self_identified_as_japanese,percent_self_identified_with_other_visible_minority,percent_self_identified_with_multiple_visible_minorities,percent_of_people_who_are_non_racialized
province_of_ontario_20000_3_8_percent,4817360,913495,0.18962564558181244,710160,0.14741684241991465,2675880,0.5554660644004185,0.10748937177209093,0.10411615490642177,0.6056034840659614,1.97203447531428e-5,0,0,0,1,0.09646050949067539,0.1742530632142422,0.05644792998654865,0.09657534502539342,0.0611475995150871,14.5,40160,44400,36800,44600,11.3,19.7,0.7227445821763974,464685,601595,0.1248806400185994,161385,0.1466703019562402,352265,0.1101096517276086,87945,0.1698386489383274,36.3,34.4,517815,419625,0.236908962597036,95,0,0,0,2917410,501565,271930,71720,0.01488782237574107,14940,0.0031012836906521416,1142690,0.76058147351886,254105,0.16913384673753154,59685,0.03972670212128675,9535,0.006346554489846178,36375,0.02421142313247559,685325,0.3109819874804027,257165,0.11669453589231059,0.9034246549746066,0.11941972457218165,4817360,1515295,820245,768735,363655,284215,249190,167850,212190,99425,31415,124115,181030,0,0.31454884002856337,0.17026857033728016,0.1595759918295498,0.07548844180214889,0.05899808193699454,0.05172750220037531,0.0348427354401581,0.04404694687546706,0.020638897653486556,0.0065212066359998004,0.025764111463540195,0.03757867379643622,0
ottawa_census_division_3506_00000_3_1_percent,324960,70270,0.21624199901526342,54905,0.16895925652387986,170865,0.5258031757754801,0.08899556868537666,0.12386330414980536,0.5753104275976674,0,0,0,0,1,0.138770925652388,0.26142786747441954,0.04037482112907941,0.08374787850412595,0.07179345150172328,13.3,43000,48600,39040,47480,10.5,17.1,0.7780769005676831,45095,45920,0.1413096996553422,14315,0.16917804171837145,25755,0.12181624689606244,5850,0.20231713643437663,34.1,31.8,28920,31025,0.24583993660855785,0,0,0,0,186950,40250,13120,32790,0.1009062793309843,9100,0.028003877459955993,66525,0.7298008885963468,16150,0.1771707531128298,4950,0.054303110087214085,855,0.009379628105973342,2670,0.029290768471285172,58950,0.3902552050577604,14170,0.09380689152957532,0.9162521214958741,0.06845482968570019,324955,57820,46170,84770,14320,58180,14355,14955,13255,4120,2310,3780,10915,0,0.17793232909172038,0.14208121124463388,0.2608668892615901,0.044067640134787894,0.17904017479343293,0.04417534735578772,0.04602175685864197,0.04079026326722161,0.01267867858626579,0.007108676585988829,0.011632379867981721,0.033589266206090075,0
ottawa_ons2022_admaston_bromley_3701_00000_3_2_percent,35,0,0,0,0,0,0,0.42857142857142855,0,0.5714285714285714,0,0,0,0,1,0,0,0,0,0,0,26000,40000,32000,NA,28,28,0.5,0,0,0,0,NA,0,0,0,NA,52,NA,15,0,0,0,0,0,0,20,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0.5714285714285714,0,0,0,0,0,0
ottawa_ons2022_airport_3001_00000_6_7_percent,55,0,0,10,0.18181818181818182,30,0.5454545454545454,0,0,0.6666666666666666,0,0,0,0,1,0,0,0,0.25,0,0,58000,80000,80000,130000,2.8,6.8,0.625,0,0,0,0,NA,0,0,0,NA,44,51.2,0,0,0,0,0,0,0,40,0,0,0,0,0,0,25,0.7142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ottawa_ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,220,45,0.20454545454545456,40,0.18181818181818182,115,0.5227272727272727,0.06818181818181818,0.1590909090909091,0.5681818181818182,0,0,0,0,1,0.11363636363636363,0.21739130434782608,0.045454545454545456,0,0.045454545454545456,0,46000,46000,41000,44000,8.8,17,0.76,25,0,0,0,0,0,0,0,NA,34.8,32.4,15,10,0.125,0,0,0,0,125,35,10,40,0.18181818181818182,0,0,70,0.875,0,0,0,0,0,0,0,0,55,0.4074074074074074,20,0.14814814814814814,1,0.125,220,40,40,80,25,15,15,0,0,0,0,0,0,0,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.11363636363636363,0.06818181818181818,0.06818181818181818,0,0,0,0,0,0,0
ottawa_ons2022_alta_vista_3002_00000_2_8_percent,1705,370,0.21700879765395895,270,0.15835777126099707,900,0.5278592375366569,0.08797653958944282,0.08823529411764706,0.5029411764705882,0,0,0,0,1,0.06744868035190615,0.1554054054054054,0.01764705882352941,0.04395604395604396,0.05865102639296188,11.2,53300,65800,52600,68600,6.5,10.8,0.8571428571428571,115,200,0.11730205278592376,30,0.06521739130434782,125,0.11467889908256881,45,0.3,34.7,34,150,70,0.109375,0,0,0,0,855,150,30,120,0.07058823529411765,30,0.01764705882352941,335,0.7976190476190477,25,0.05952380952380952,30,0.07142857142857142,10,0.023809523809523808,20,0.047619047619047616,405,0.48502994011976047,95,0.11377245508982035,0.9560439560439561,0.023809523809523808,1700,305,285,170,0,570,30,40,160,30,35,20,55,0,0.17941176470588235,0.1676470588235294,0.1,0,0.3352941176470588,0.01764705882352941,0.023529411764705882,0.09411764705882353,0.01764705882352941,0.020588235294117647,0.011764705882352941,0.03235294117647059,0
ottawa_ons2022_arnprior_3702_00000_2_5_percent,395,110,0.27848101265822783,45,0.11392405063291139,200,0.5063291139240507,0.12658227848101267,0.0759493670886076,0.5443037974683544,0,0,0,0,1,0.12658227848101267,0.2564102564102564,0.0379746835443038,0,0.08860759493670886,15.4,44000,50000,40800,48400,13.8,20,0.6,50,65,0.16455696202531644,0,0,20,0.09523809523809523,0,0,32.4,31.6,50,35,0.22580645161290322,0,0,0,0,215,30,15,0,0,0,0,95,0.8636363636363636,0,0,15,0.13636363636363635,0,0,0,0,55,0.3333333333333333,20,0.12121212121212122,0.95,0.09090909090909091,395,120,10,45,25,15,20,60,50,10,25,0,0,0,0.3037974683544304,0.02531645569620253,0.11392405063291139,0.06329113924050633,0.0379746835443038,0.05063291139240506,0.1518987341772152,0.12658227848101267,0.02531645569620253,0.06329113924050633,0,0,0
ottawa_ons2022_bayshore_3003_00000_5_4_percent,8630,1955,0.22653534183082272,1520,0.1761297798377752,4495,0.5208574739281576,0.07647740440324449,0.21043478260869566,0.6005797101449275,0,0,0,0,1,0.2149478563151796,0.3717434869739479,0.04866743916570104,0.13348164627363737,0.05909617612977984,17.1,34320,34720,29320,33240,18.4,27.5,0.7085650723025584,1855,1535,0.17786790266512167,585,0.2532467532467532,785,0.138815207780725,170,0.25757575757575757,32,28.8,660,1225,0.35662299854439594,0,0,0,0,5180,1815,420,625,0.07242178447276941,210,0.02433371958285052,1710,0.6514285714285715,725,0.2761904761904762,125,0.047619047619047616,0,0,60,0.022857142857142857,1030,0.2814207650273224,440,0.12021857923497267,0.8665183537263627,0.09142857142857143,8625,2180,385,2340,730,1590,235,410,410,15,15,60,250,0,0.2527536231884058,0.04463768115942029,0.271304347826087,0.08463768115942029,0.18434782608695652,0.027246376811594204,0.04753623188405797,0.04753623188405797,0.0017391304347826088,0.0017391304347826088,0.006956521739130435,0.028985507246376812,0
ottawa_ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,3215,705,0.2192846034214619,590,0.18351477449455678,1580,0.49144634525660963,0.10730948678071539,0.21461897356143078,0.6360808709175739,0,0,0,0,1,0.208398133748056,0.34986945169712796,0.03265940902021773,0.11428571428571428,0.06842923794712286,13.9,36280,35000,31720,35600,14.8,25.7,0.6984126984126984,670,515,0.16018662519440124,205,0.24550898203592814,240,0.11793611793611794,65,0.18840579710144928,34,31.4,345,465,0.3576923076923077,0,0,0,0,2045,690,105,625,0.19440124416796267,235,0.07309486780715396,635,0.6105769230769231,315,0.30288461538461536,45,0.04326923076923077,0,0,40,0.038461538461538464,360,0.2517482517482518,155,0.10839160839160839,0.8825396825396825,0.08653846153846154,3215,345,265,1435,195,395,195,85,80,10,15,85,115,0,0.10730948678071539,0.08242612752721618,0.4463452566096423,0.060653188180404355,0.12286158631415241,0.060653188180404355,0.026438569206842923,0.024883359253499222,0.003110419906687403,0.004665629860031105,0.026438569206842923,0.03576982892690513,0
